 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,C18,H19,C20,H21,H22,C23,H24,H25,C26,H27,H28,C29,O30,O31,H32
N1,0.0,1.9519690874311897,1.8368644184316412,2.967182717392487,0.08796310883869474,0.2001190338400523,0.021894815133254752,0.006409034252175871,0.03502698247596467,0.003209928168740994,0.001004444100599855,0.0026361897761382758,0.005544861436000775,0.0012216291531399054,0.24418716498835946,0.060895361908054536,0.03338775116717811,0.006166183243843687,0.000356012498710534,0.0011439578244120396,0.00021391051216390622,1.0920905427536098e-05,0.000626166916573051,1.3447382449127687e-05,4.168182284014499e-05,0.0033086738206355992,0.0008012750022494686,0.0003787008466935582,0.0014339085301496024,0.00023836528553596026,0.0001077669863312758,4.304713627778511e-06
H2,0.0,0.0,0.02612709485200093,0.10192332754392741,0.006649084285639706,0.032128207013855326,0.0014219027011705965,0.00047004393761707064,0.004723638254872875,0.0008898763150280153,9.753589608196833e-05,0.00011764471122321929,0.0002179513084431539,0.00015083149205585844,0.00962407437868662,0.0024503114256722025,0.0006571973557771837,0.00012556541719710435,8.41271339746541e-06,1.3855326775447097e-05,5.36633509207185e-06,1.0135159749236067e-06,2.33333780934597e-05,2.3005975056111794e-06,3.126932339503341e-06,8.404168372633247e-05,1.8403607886297024e-05,3.4789440241933534e-06,5.125806321637505e-05,4.275073169413002e-05,5.1430681650144194e-06,1.0641350376427994e-06
H3,0.0,0.0,0.0,0.10166596137619921,0.033564684299704606,0.009169029153570318,0.0002815744372886009,0.0050725853817532585,0.0010412098512763146,5.820531605582602e-05,5.326124758742168e-05,0.0005302024655989834,0.001092815921235446,0.0002881388164199805,0.022666845469509478,0.05590925409499192,0.003486340570396096,0.0004542517059914486,5.2102937630804647e-05,7.733713285829058e-05,8.584610529105419e-07,3.933379691067884e-06,0.00020000730539704303,7.161304851344141e-07,9.407959024265722e-06,0.0010804382980623695,0.0002815963299194202,4.084288110628442e-05,0.00019345937471193508,0.0001237517690513279,2.890174467640172e-05,3.754397293054268e-07
C4,0.0,0.0,0.0,0.0,1.9705771399636771,2.7559730984805246,0.0940752674961347,0.08399836233388336,0.1581383993365986,0.028657465619031264,0.009319305009058976,0.01677621365570464,0.04942437353993383,0.00625112451679892,2.653922061770255,0.25921383248385527,0.20224107061478885,0.03521649348185274,0.0016875338864910105,0.004610542727632838,0.0012551979468709007,5.7230540583708134e-05,0.0037635098222378593,7.444319364058316e-05,0.00026475107907164563,0.024050428884840852,0.007727036640197804,0.0009422598206203503,0.0071366148014199715,0.0017382591574991862,0.0011394379647533814,4.595488434910866e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08206030239583662,0.0038085434862289436,0.03281600887645508,0.007538731980136548,0.0009271777891761701,0.00018413565942876353,0.012922794395431758,0.07724099269483675,0.005600160423365197,0.09398229003932745,0.019267868002126654,0.006085332688509193,0.0011303001980123017,4.936817427370066e-05,0.0005329382367291746,6.445027815105142e-05,6.398182164524258e-06,0.00128777484127518,8.925964046269108e-05,7.485783521365974e-05,0.015455413485482516,0.0104426532787123,0.0008493475074384804,0.00020040268322518706,1.9770262923768378e-05,3.8120855726409e-05,5.807486387121585e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.111264949406591,2.0351721239023397,2.845920648265073,0.10192430304821554,0.08490233332066088,0.1549060187785496,0.03282782381675167,0.03978023442503342,0.18701859666406304,0.03784907565627181,0.02614489240811227,0.003690104865658045,0.0005199545069338729,0.0005202391932454531,0.0001035913167053426,7.197962344163145e-06,0.00034243940848799337,6.780876649714607e-05,7.022893326058544e-05,0.0027531449449135492,0.00044610076389461906,0.0004047941022660151,0.0011764302152227901,0.000514658722819597,0.00017695921154971261,2.617449129083127e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022509317052942457,0.07993597101870953,0.0032656451893153804,0.03602879895917943,0.011238900900434334,0.0010599752892329617,0.0036637892262739724,0.03070023881293138,0.005062474295023267,0.0036319172381544806,0.0007862861444316582,3.9298807829712956e-05,0.00011134663006773238,4.116538321774499e-05,1.9439525082987075e-06,4.929465464775795e-05,4.4588177804616436e-05,8.970662051410727e-06,0.00022674568052849509,3.4005706353479326e-05,7.821675560504282e-05,0.0002455573020445634,0.00013847126253663244,3.2074784515501165e-05,2.8034531920351213e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08201926334134901,0.006876986849476907,0.002874058773764121,0.027593147051828693,0.004450163569820198,0.004418904579996719,0.014957627926232231,0.013464851371200237,0.001795430417745214,0.00017875569067649089,9.423003204833691e-06,2.9725902325861142e-05,3.98242436649987e-06,8.58637095202397e-07,0.00019537030251659537,4.4322694650045236e-06,6.623954571294277e-06,0.0007446888501310145,6.419808286151074e-05,8.846907350190669e-05,3.556404548676895e-05,4.150290196558437e-05,5.396169419080721e-06,1.1292754515945802e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.017734746343849,2.0780539095342796,2.5211887397266866,0.28526955157161815,0.29625864224056103,0.01539023004844925,0.00328755116683907,0.004880306676855226,0.0005130049818771187,0.000150296867761468,0.00012095748069458623,2.0642664086967244e-05,9.664578011658875e-06,0.00039012259268075833,0.00032938157059947404,1.4240099621920521e-05,0.0028538682019911693,0.0028676787288078875,0.00013319600074646054,0.0009064652410806229,0.0027902886006852673,0.00035140608140364626,5.413528042375049e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024189799223673702,0.0808833968699798,0.024779933355322692,0.023159874866308883,0.001571143330314273,0.0003167616906524229,0.0001895838471068778,2.610626039101227e-05,1.0226975937221994e-06,9.653060362158072e-06,2.2767545644342135e-06,1.443551937985177e-07,2.2146184504467925e-05,3.696685261722621e-05,1.2375159335054065e-06,9.228583883880148e-05,0.00014959442780337895,4.175749966583986e-05,2.9941667368582614e-05,5.8690333166300235e-05,2.099411066991408e-06,1.022253791838068e-06
