,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18C,19H,20C,21H,22H,23C,24H,25H,26C,27H,28H,29C,30O,31O,32H
1N,0.0,1.022112432214012,1.0227934479029805,1.4793730469854074,2.108061820750112,2.462505206643277,2.5507927751464856,2.739742626024902,3.86982077024218,4.617335379399564,4.22478969912751,4.472047848884255,4.298164601787227,5.453510681005126,2.4594100851554903,2.8433285805370776,3.584034994330081,4.757071407854763,4.791836585379594,5.895892649207534,6.843457416878027,6.136039624834077,5.685625125448355,6.019413574113315,6.453950257010137,4.261270623681802,4.1263104821040235,4.327247808950273,5.382630713679055,5.662041353556066,6.15642620669197,6.7028651636709915
2H,0.0,0.0,1.6184821255776356,2.0465405058259045,2.3670423591869465,3.3471947652135157,3.4856163278304453,3.6760714922738527,4.626418484556024,5.474901734568223,4.8590622654343525,5.073893205414592,4.658624727118797,6.118858591147423,2.6815892452468,3.1009445767381196,3.5658399444447113,4.659581429536254,4.538962330037386,5.706318517869934,6.707269695959119,5.764787042869274,5.606752218747695,6.116490483372041,6.291601711612441,4.173786207261299,4.225604561812641,3.997811767842872,5.524792168967582,5.985740395046681,6.229309038040795,6.892612519554726
3H,0.0,0.0,0.0,2.019528372800694,2.9207694690852484,2.7257423673461587,2.94851659041808,2.5773037744332132,4.19590649041905,4.81218371293407,4.450517428256164,5.082107199384678,5.052583842598562,6.051031839343151,2.5046699099645457,2.406636111112948,3.7886491802564466,4.739042514048045,4.656396148316064,6.057503142145179,6.920759780496179,6.343385430212936,6.0541093470829095,6.331574254407616,6.9216037598831495,4.753035035858111,4.735996539673578,4.92355849173233,5.165400529656144,5.489538989431111,5.763698038595388,6.250416382246426
4C,0.0,0.0,0.0,0.0,1.0920058490234732,1.54247559269783,2.1300022589721865,2.149470512128082,2.6141934647019616,3.5244061869697796,2.827012834518607,3.2573138330016884,3.085388240956873,4.370362771862066,1.5381057656369908,2.415492259952738,2.5179425042655517,3.8516579385198066,4.199191988057907,4.870711123557803,5.784469595351218,5.289262989914063,4.45323487805782,4.656231198775032,5.260339507519964,3.0758109984436772,2.805316432141894,3.4195102755712523,4.411477995117318,4.512238895325848,5.416080084415665,5.92179895711944
5H,0.0,0.0,0.0,0.0,0.0,2.1379228104237966,2.4953370879741765,3.0340907637508234,2.7607756168914634,3.7883615520459015,3.0173763718407627,2.8407273715670827,2.308510588858652,3.9796153257686973,2.19439777682698,3.304490109835906,2.646560498812069,4.09955364752908,4.540913651093177,4.804285252095272,5.785960295713962,5.136817977600322,4.125760759497524,4.420090844354153,4.755862274867988,2.6411909278132004,2.1763532052911954,2.8158519219251135,4.877845147347731,4.957403905794806,5.992759426852387,6.556556927399109
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.097603147939578,1.1011232069063168,1.5422534284653724,2.1559328466287115,2.172671797987854,2.600089521319558,3.0628500881461185,3.476711907590325,2.5241871754190734,3.0955117671206898,3.493068699238871,4.712946252736656,5.230009713953232,5.7320533360849435,6.499031553107391,6.357634862769315,5.157865662720111,5.036399554163449,6.001615663985762,3.984737540196355,3.422925397620687,4.584229519689523,4.834458163278118,4.563391224719075,5.8814405929548474,6.159081474472611
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7668822681039165,2.1708479986407676,2.5412706102429596,3.0760326651938716,2.7760562095677592,3.306950033877607,3.3837981733781786,3.4373946865568588,3.988044425445044,4.428382239889177,5.7194760874384665,6.179105426419042,6.701336101317516,7.5171916948963275,7.256907696099969,6.0446222898132795,5.964613708812317,6.80273946417217,4.773166712828933,4.102502826707034,5.2280735604676085,5.920443024109046,5.6573576225242315,6.9449642649249945,7.227495803356463
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1819515555007993,2.422237276284634,2.5646672042570677,3.5396015272486303,4.0997871071974235,4.314266434759767,2.666107741344721,2.769159061692842,3.8109727557292685,4.795618941705285,5.215513830797981,6.005772697871702,6.6759269966010075,6.681370356477298,5.6616323863242055,5.480660086755307,6.607603952956737,4.61721076168323,4.228981117472197,5.277627747882353,4.651102409512085,4.374174125226795,5.52437514012142,5.693285864734443
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096553569518,1.1009637829929826,1.5655381860247402,2.4076574166667,2.4010789494788627,3.203637663734345,3.9293690796329486,3.6781870987926784,4.8108692851590185,5.590776957478824,5.530989330914,6.169022868286466,6.309144280076367,4.679903034767814,4.286720904701331,5.451244174421289,3.807170962067874,3.027275585856515,4.621236276089735,4.767472833275998,4.179728720223662,5.977869083294421,6.149118129553275
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7680444644748052,2.1750833047288936,3.2929072057285427,2.474495902008367,4.081835219719834,4.596648657240584,4.637954107621248,5.643871604653683,6.425684623155634,6.402222961559243,6.934647760820031,7.2499120643068,5.585391238561334,5.051349777112074,6.364202523792273,4.846220850165273,4.074936713661719,5.701579066646005,5.356170649245489,4.604310697477585,6.4897344679701305,6.508129230903194
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.197929623118184,2.708660165728818,3.1302638714740145,2.8563379689556734,3.552819014417288,3.0486088763101966,3.9809693785714284,4.8585788556470035,4.640397653756361,5.180544169396388,5.511632969091973,3.862013806236223,3.356519337538919,4.713636812791222,3.2494123797925507,2.659126889366162,4.221790410739438,3.81086782115897,3.143537742592625,5.0650155460773245,5.219055687294058
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2754804547598988,1.2475765432189565,4.095092867684052,5.079476290391981,4.270152426245429,5.53078224468219,6.361748744799519,5.913520507942565,6.621490818353461,6.580119037684415,4.740680032117408,4.4250326110888825,5.236688459744704,3.8410254641058197,2.7907642655973643,4.475675923114162,5.774179094499721,5.234068792535815,7.078704774519232,7.343883687772111
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2653740592786837,3.856283487708432,5.012972955333383,3.7654779359860395,5.0829657675648034,5.87717781361237,5.273210855322439,6.085879696655133,5.786279534685395,4.01793258828516,3.9497067005384188,4.364829957424232,3.003946259558245,1.9114157100436973,3.4407452915361945,5.643225543333653,5.312042181077555,6.964994258719802,7.380546570910167
14O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.289313423255706,6.205338480034478,5.504621901402548,6.728318458021355,7.583698815481362,7.062022516695549,7.708038841551566,7.755132529922083,5.823434873640612,5.4039865339893565,6.232779033067907,5.034744618710264,3.9613156982669695,5.647146837619267,6.862878374543824,6.200301011578664,8.160540764145985,8.34171855918714
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2413276127141915,1.3629894289027573,2.4212631879550433,2.742642126419024,3.6660697888629525,4.504259085848369,4.150256607100298,3.643564708587626,3.8826178567234617,4.605956173015489,2.5634784332831226,2.797897932401747,3.07778448494595,2.969911291247524,3.308652859711369,3.911388978861492,4.4906847530411325
16O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2485552071248756,2.665411302776326,2.670724458905387,4.165047284237283,4.835245898933431,4.65075052789766,4.50028547239992,4.671142720720395,5.524179430236511,3.657921758193625,3.99391374765067,4.156950944640848,2.8053807142432468,3.2839824081422035,3.3730135690840966,3.882803992358864
