,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18C,19H,20C,21H,22H,23C,24H,25H,26C,27H,28H,29C,30O,31O,32H
17N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4609547970082775,2.1193066760354466,2.36927206894023,3.2894002070766826,2.8888633194822417,2.3382531450813784,2.7512367902862525,3.305032854818202,1.476137917448295,2.142793025226925,2.1202812927382886,2.472085078244189,2.927157787777476,3.5762528368080098,4.270413004380826
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0946485267898551,1.5528091639052526,2.214867658954165,2.1726658833692185,2.428715688896241,2.8211547742525473,3.401582740727514,2.447272181479291,3.3350177563180505,2.994009572870691,1.5265348160619727,2.446740933079965,2.3864350419992197,3.207541330499107
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2151510991015586,2.798728522085704,2.374328504818491,3.3397647582105856,3.8733249138506833,4.191991763878089,3.207531985212533,4.150868116848075,3.4636072764593906,2.1277367971577354,3.2571306104677196,2.398265842955943,3.3487736802553654
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0956776166490885,1.097450143338173,1.5393627148737925,2.1745113013921458,2.209564607959669,2.4048017510338062,3.391227732985102,2.8134255278892293,2.531154511125985,3.1655595683401243,3.322647254352799,4.067288287329996
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.769550748644084,2.2224942583953955,2.474713040179639,2.7248096665445862,3.385924487676011,4.272155207389069,3.872881872741672,2.6043706495168055,3.14282139246839,3.148331059512074,3.7541338793414987
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.180421281736712,3.07204376104562,2.464038945803739,2.8015156449959995,3.8784301262370526,2.774146131368133,3.4029146949272855,4.193465602505277,3.9674172752463575,4.813933644318424
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095655070106547,1.0954743138996348,1.5312839970634398,2.231675548314329,2.1731157901217824,3.271929596883551,3.4298856342561455,4.410028498717672,5.013555704266207
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7774759178654165,2.161107414615002,2.458940785353229,3.0600397832548376,3.146789949416097,2.919725057594278,4.3711293748932265,4.779929568395964
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.199162735532308,2.749302786552834,2.441816244371682,4.305719159403914,4.455909384647879,5.365215924617511,5.977466306855035
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1041155179532343,1.1034040745624887,3.5217783706104853,3.742604081166567,4.721319742857608,5.387866725140034
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7925033870467606,4.142370083549699,4.08039129991997,5.435903699229053,5.986958033232116
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.317428043154742,4.72344751460928,5.376219744306413,6.146184608364735
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2100665455831372,1.3616149145054814,1.8676496186015417
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.251080743581739,2.256584436943086
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9758309297024117
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
