,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21H,22H,23C,24H,25H,26N,27H,28C,29N,30H,31H,32N,33H,34H,35C,36O,37O,38H
1N,0.0,1.0195024994086666,1.019343445380456,1.4664256366736144,2.1688776770302582,2.4462336813239656,3.390727614651264,2.675203194125993,2.936692999169518,2.5150617237722974,2.4776290837884476,3.6320591601183274,2.673513605533835,2.1752463609783144,4.085113775310819,4.570667288449956,5.112092861581169,5.017515190430728,6.035521056258574,5.641017236000443,6.70786229932514,5.7052666705137,5.2910622446861435,4.307047115705608,5.621873640641414,6.343285041057353,7.252449390254009,6.50890255230869,5.743172415598558,4.895024809188049,6.162993162914373,7.753368436914778,8.341023455412786,8.145818545901886,4.496266540098105,4.048510351181184,5.811465389228538,6.224827652332619
2H,0.0,0.0,1.6278653569658765,2.0657234690793502,2.429197476262169,3.345809532869552,4.184219758511917,3.5713538681065766,3.905394562532268,3.480037484173194,2.7908522708122434,3.9164474857601808,2.812238147299506,2.2528563672411503,4.060421952786968,4.461844055879085,5.300706609212274,5.295173278011559,6.106395055891174,6.0026394684376205,7.064064714768191,5.991686483838109,5.891769758088626,4.978934591402915,6.267915511078883,7.0050175641396635,7.917062483475594,7.165362333673946,6.3297079341591935,5.405279122916877,6.7380291326462,8.440098554266541,9.079115508003204,8.80833513339557,4.199654953290554,3.6393645281619578,5.463071427737645,5.775971122721217
3H,0.0,0.0,0.0,2.0551239779118298,2.5279397031389403,2.5928232187639755,3.5908368354382407,2.3798958071453713,3.1873812062795612,2.731994755848258,3.36313851402736,4.432606914289988,3.6735764256214085,3.141606237902432,5.095857323534612,5.579415977323414,6.0640647554650915,5.897252008347362,7.0106744183071426,6.527595779429366,7.588361057374819,6.6071207619274155,6.023637906642162,4.992038065278032,6.297692749420984,6.9858996452594395,7.89181966309692,7.089767786408625,6.320822089014348,5.557844075848354,6.646857063112268,8.265931320406784,8.824359758778723,8.615404073197059,5.4735490535549225,4.932608441989057,6.794746400359124,7.162703668830652
4C,0.0,0.0,0.0,0.0,1.1019722429130154,1.5393646226269684,2.164250580116922,2.1685962731675112,2.452612918713743,2.556882614560632,1.5346525465483645,2.4159854297471215,2.4449402920873244,2.5373619240460568,3.8296009927975727,4.061087804962461,4.7851811032801645,4.920383168319446,5.762612414841879,4.949554459814508,6.041680576258822,4.818504015123039,4.545532051246001,3.521001972119308,5.108413091453906,5.380605883449962,6.354634508237712,5.324959106978158,4.4202871144105425,3.587761090737995,4.755068957607821,6.531991580352356,7.206114306394982,6.833530247651839,4.680327611582201,4.606100100742512,5.9006507781392985,6.5016374433929425
5H,0.0,0.0,0.0,0.0,0.0,2.152903514552982,2.419488150570328,2.5187164904651453,3.369582149926212,3.5853273967662154,2.1208410368929513,2.6089406566591387,3.205758402383824,3.392275677541188,4.452498329215908,4.442835032674787,5.53867465926746,5.820404158524376,6.452287182956679,5.622368946835398,6.711176928728897,5.296658022546339,5.320680824287054,4.331310049644629,6.004866023032558,6.000763760257651,7.0044110248742015,5.727021482829466,4.6391913872001425,3.833414365316568,4.768536326489988,6.855405863262863,7.621658379492515,7.005651817126101,5.275233994987601,5.2370418245067905,6.410324799660002,7.004705953736701
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0925773872422921,1.1016094366860731,1.4187020420756875,1.9406567163603128,2.4860076838586838,3.01983215268617,3.3992274828945175,3.5247175835608995,4.730875275895522,5.039994078873698,5.28879689674148,5.28185606332028,6.357547596054537,5.123995193326779,6.14538484872554,5.109691073676449,4.270199049793995,3.1830458271823763,4.73340906240335,4.8409533032607905,5.781462070432204,4.717353023929857,3.974115899341426,3.431961064530766,4.247160920319636,5.786499563011402,6.354322378597664,6.091407461714076,5.768442373995291,5.747854627238181,6.9846503423088695,7.645718234837528
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7733638107763445,2.023308376141532,2.8216946744436093,2.730629403192692,2.78527153757668,3.8606555880114666,4.228943374163903,5.026366877860836,5.147610342877375,5.486425504364198,5.633010225307901,6.533019984173197,5.032361101187279,6.007945951658863,4.860283756089868,4.146538748569917,3.1363549497893475,4.773619865360215,4.40939126442186,5.370872551868705,4.014283965952231,3.154599515914306,2.7720954265789666,3.26549110663677,4.9794326268971,5.621887946015852,5.166287463460578,6.242641012847608,6.402629548475273,7.3579354429035435,8.10444781786014
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0914816972654107,2.3802310760303937,3.4486991598849674,4.027474217383636,4.309621395676061,4.257083514114832,5.705156537616248,6.0373644885242275,6.320389980646967,6.238424338964974,7.388818585993173,6.2102490579275935,7.223020724494347,6.210865021769115,5.298869697200275,4.216277697381886,5.674100938670243,5.809040223361679,6.719134064287351,5.63229140487934,4.894409451303749,4.440813919249309,5.029975169913181,6.594224401741806,7.121775279009453,6.8300859952747315,6.6156799601559815,6.4441422895474165,7.87793120856497,8.473484292124185
9O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9730408399392991,2.8537966233289773,3.4617193758352407,3.3181307108098754,3.376149591847998,4.516036173371024,5.054313977249503,4.7068430744257,4.468501093871964,5.800113810889245,4.539275289696071,5.467773599658611,4.814160790132802,3.45841463113692,2.427617265486217,3.6503407805430403,4.152407745593032,4.9817595900922305,4.376171326922334,4.021315568425952,3.577179715696943,4.5410581894079645,5.468801529795766,5.854576750036871,5.982666214048068,5.5584313036319895,5.559196069396003,6.760391816923754,7.423292551350792
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0534631913813515,3.9292360803917763,3.1939474816950337,2.963614868907269,4.44139962489357,5.135119723527502,4.70437715836749,4.305586917975051,5.769411624483281,4.8369398377400135,5.764400015368916,5.225151168570392,3.8924575605471365,2.925021326269866,3.9110889388636036,4.809806732630719,5.584876029062766,5.198655614354348,4.876973717437405,4.333374066447717,5.448340702397688,6.334249464916439,6.680133271044282,6.898221132890288,5.251653960956509,5.068604747044794,6.513308779181227,7.076782596256982
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2437754905380918,1.3426251178336304,2.025992286629574,2.473367468318472,2.600763499072179,3.425029866837696,3.784860277078024,4.358639014309035,3.5782870091003653,4.674316238740787,3.3710184967594516,3.511103412076363,2.6755641165032618,4.216388456208949,4.462138614845771,5.414399958647237,4.529466451265916,3.689247439000492,2.70289306862065,4.2366987381746295,5.833107104199356,6.53715908498224,6.221864310608365,3.6007951905093973,3.8836032818238757,4.693834287791239,5.42493311143869
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.276876774450032,3.1630605320334384,2.8576324779894353,2.5645730418576878,3.586020611707237,4.1990089875496786,4.4308618691857875,3.294451023530767,4.327791019304494,2.752713579001212,3.338593245048993,2.684184137201691,4.2755063556214115,3.964920154400825,4.934462967075809,3.7693410628705393,2.7665670282488826,1.7436300865951546,3.2525195627396086,5.0132520082853205,5.823563950215213,5.297844377869761,4.202565004130453,4.752899020094281,5.055505470008592,5.89637375187219
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.018249852111546,1.4555035480544702,2.077656808674808,2.541323764917653,2.765752148420128,3.4235493639451344,3.239289380439987,4.278726088846584,3.320595840031406,3.4541955578094914,2.8346116670875285,3.9310393398258583,4.716598852888359,5.545756718070119,5.125919406052161,4.546647263257143,3.5809950738645626,5.261779107076762,6.47702559664641,7.074375803623013,7.012969219417955,2.3904423883059804,2.6577674152299995,3.5866100268218664,4.267525509487472
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1200096277695364,2.9066925777716,3.136303076578031,3.0513459855840197,3.9605709070787443,4.040870439163403,5.030286628316785,4.2692873416797035,4.12319099704127,3.4490551569198242,4.391865128757585,5.452482561870445,6.248694511858214,5.938050878535413,5.399532443234866,4.463986213578393,6.0944398033833815,7.282892038416664,7.82283724977996,7.844825300692061,2.4559018110866457,2.2357058238894405,3.786407070870413,4.273756601298981
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0960301681654132,1.5507972227362155,2.173531030317517,2.1370307575783527,2.6144936690791845,3.4796255365079483,2.6987448238951153,3.4557345929682137,3.279878890393467,3.931083779576702,4.737316649661064,5.4196769270316185,5.286835704942397,4.87194061129791,3.9513948915557453,5.677869031783363,6.608137187635334,7.182741515546698,7.1968590532273735,1.5317060723712714,2.427372866020586,2.3794763115536766,3.224172860452405
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.162713663686404,3.0658574784831023,2.505546111219314,2.7810815830498767,3.599033015767637,2.428968584282603,3.80966977855694,3.681293575284894,4.500982886930799,4.86412413561682,5.574878389008311,5.194992564339457,4.634707056743834,3.7030441892350643,5.346802128138446,6.464900638274288,7.143720769286338,6.941472799339697,2.1475299178728444,3.146135784190209,2.593505921613004,3.50054180342067
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0984147417027035,1.0944677195812187,1.5430963555602337,2.156281771709429,2.172301351794635,2.589039283610699,2.8848302174270386,2.851119143068033,3.8908950498759154,4.353911289586582,4.745164801824198,4.7317456119194565,4.032029285298459,5.676657364049541,5.987062377035801,6.39508308733811,6.725279341976281,2.524071606391083,3.4401432634452487,2.9434520278271243,3.8033032277453245
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.757542611711656,2.187991274225475,2.6707199872104934,3.06472278048547,2.6930943614438037,2.934979833249205,2.540581353282598,4.108758834518077,4.49382017818923,5.13154794269502,5.247122112628819,4.600467412685317,6.218227217921136,6.358054628744228,6.641414068218769,7.174227608308531,2.796341312546989,3.401290899574318,3.3839076498455225,4.071482880707344
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1528044545797,2.300472848871006,2.6490639818708326,3.457693299588938,3.9162477694759152,3.647166907990841,4.6110268704427,4.920830989221423,5.480424548136881,5.530523928080297,4.872372870096399,6.4622585241916495,6.638851505894337,7.018889469952171,7.37370288339954,2.6237739543378575,3.674964631821406,2.508306349900139,3.341956401321551
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0975249314049413,1.0958036284888821,1.537843611842252,2.2149572553612944,2.1737472507140247,2.500816494124275,2.959154399636625,3.333413013261302,3.5222894723439,3.0562258465168997,4.501559853175654,4.50779386653649,4.919096222316794,5.2632090323953475,3.929091229242059,4.853421852226892,4.298621316319975,5.222148668365191
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7590983268786868,2.144768404185758,3.0861033879750552,2.4765237504958963,2.7107490508099077,2.788024030908954,3.6644802271053263,4.140903196625083,3.8787814350926793,5.103070768801104,4.6183298726911195,4.8807380881671305,5.428586837370444,4.60754124916001,5.59167965834575,4.723275889029514,5.614782978999856
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1697481870378255,2.592334756076878,3.0758631238125362,2.740888740895379,3.3303976738176715,3.135484068786146,3.0317605676354846,2.5044624375843143,3.914940023091182,4.29443099070496,4.893439220382144,4.885652098881623,4.111679408907423,5.112249365126637,4.415349530354547,5.386811116231733
