 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,O27,H28,C29,H30,H31,H32,C33,O34,O35,H36
N1,0.0,1.6722655123686465,1.765293979417265,2.7474522944930344,0.08942673225172948,0.20663175450941407,0.020717026479897593,0.007550389148631598,0.03336165553659626,0.0008423129900216875,0.0035258017927701224,0.0010717100981658678,0.00010275010320059952,0.0003531572510090397,0.005405938281615355,0.0012043379866455428,0.00011793771948076515,0.00011927693804547612,0.2349258939758884,0.052254769287749275,0.03561297625164146,0.002426094029981507,0.006495688503790273,0.0005877804390672647,0.0014703228790292205,0.0002443552468962551,0.00013333372964301898,9.373821770852775e-05,0.00020235560937673092,1.8049495067340438e-05,2.495795377766008e-05,0.0001337990591792071,0.0005687993092102217,0.00011868765294999195,0.00018597329614225555,4.3908431065387e-05
H2,0.0,0.0,0.027078850324202985,0.10678711392687346,0.00687609780316123,0.03267634049145074,0.0011794193856695667,0.000645601804983853,0.004801992704816738,8.279057387761135e-05,0.0002312724907854724,2.894716604484593e-05,6.682007318792316e-06,6.45339636500264e-05,0.0011970876138350794,0.0002685065727003888,3.927450393859111e-05,3.0363375683961635e-05,0.008387136229755843,0.0023678366313256705,0.0006053991879987342,3.691114695802966e-05,0.00018927369713039877,1.9638466480564887e-05,5.37031198871718e-05,2.5180114995970726e-05,1.1645142976357548e-05,3.2511388956546483e-06,9.44901405420806e-05,1.1210779181203279e-05,6.292937751117833e-06,0.0001707796104746251,2.0390428493111123e-05,3.08264246506873e-06,6.8267676224254e-06,1.9322908448859977e-06
H3,0.0,0.0,0.0,0.10326868955646284,0.035803766973683926,0.00978356788169732,0.00024499640158226477,0.0053555690181879,0.0007664722548530456,5.056796302271849e-05,0.0009620102652818652,0.0004938623389600938,7.414630348145934e-06,0.0001145499126811167,8.499154904639816e-05,1.1199679768258974e-05,1.8639869197034642e-05,1.2794973294427692e-05,0.01806508747437474,0.04263034810488675,0.003132229496481731,0.0005932168449180875,0.0004875976087149736,6.999558125042604e-05,3.034226817910657e-05,1.1190631017399255e-06,1.0893790225230404e-05,8.527503772670642e-06,2.5023027951487364e-05,5.276135212284316e-06,6.938192384398079e-06,9.739789085916328e-06,6.113644050864675e-05,3.772475081653681e-05,7.170444652260244e-06,1.718288564545034e-06
C4,0.0,0.0,0.0,0.0,1.931929362242326,2.4085129260570604,0.09388859511186953,0.08604250769743182,0.14813305935043247,0.007541902395695299,0.019152185731146118,0.00818919548493513,0.0005044575807109375,0.001948470071932995,0.03182606595004017,0.004512328657738207,0.0007707451135687826,0.0009664278979222285,2.6912672285413373,0.270582267526702,0.2262128922114893,0.015547968572092952,0.035659077234501624,0.005274063827675146,0.0036299777622818274,0.0007999278258372655,0.0004210659354101226,0.00022250861789474552,0.001060870650208684,0.00012710573858409902,0.00037336529398035445,0.0003941329736174559,0.003468971513793967,0.0004821945513581172,0.001056442508006336,0.0002220874027283326
H5,0.0,0.0,0.0,0.0,0.0,0.07820937363000091,0.003929437754904397,0.034713482640684745,0.006107371413800022,6.367489428815709e-05,0.010726569694846644,0.012567593240125019,2.420141722403457e-05,0.0007520744931073242,0.0010589600593755577,8.229172535689777e-05,2.8670371747585577e-05,0.0001986160900699918,0.09224159545219002,0.02233512353019329,0.012536017528248955,0.008339327015145725,0.0019781227619561914,0.000336834783822626,5.8162800071759335e-05,1.6559230232582323e-05,1.4403445529609371e-05,1.4201560557314252e-05,7.952172664249524e-05,1.934939433612115e-05,2.8181227893053773e-05,2.5568500092276736e-05,0.00012808274067266368,0.00018024723487553018,4.50099502252721e-05,1.1724280621905336e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.093991720263838,1.9173524833992701,2.6433853692934948,0.08068836823505032,0.15652620331543204,0.0058281909345436755,0.00948983431561623,0.030386947171740397,0.1840721271891069,0.030597004998122568,0.009810169819812309,0.010429350873175647,0.18880020023599486,0.038315741554636115,0.027906691195879574,0.0008496391250883972,0.0037282192422033733,0.00028050820109004615,0.0006527594767770928,3.839247214187935e-05,0.00010337228166928947,6.965733161790055e-05,0.00027046402149320803,1.4655928813223085e-05,1.6541963252958425e-05,0.0002426092151905923,0.0009460823835353849,0.0002725616617040988,0.0002694652892030469,7.657099939484269e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326655424616364,0.08224652444557745,0.03576736633118638,0.010733573960693743,0.00013585660166626212,0.005123926946741353,0.0006025015026644986,0.007603590437834651,0.000333777430195914,0.003904726308483708,0.00016899305765782913,0.030113743745743715,0.005631440913611674,0.0033552060137316264,8.42016175699456e-05,0.000794733135820902,0.00010511140680979913,5.057509117190051e-05,1.2152368559670279e-05,1.4403257961093097e-05,2.1774543348396236e-06,1.3158654270428727e-05,8.561767979031742e-07,2.004463634630582e-06,4.574564422599181e-06,0.000221124671110573,7.202395483663082e-05,5.08384184735311e-05,1.1013527745129537e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08403356364954662,0.0029913210244123523,0.029606917779595454,0.0005073149770888907,0.00046615439162533967,0.0016529175495942905,0.014919836925820551,0.0010910907336338926,0.000252325253545127,0.0062663679588483845,0.013059916388565185,0.009549516145077375,0.0018709826295633114,0.00021528748691901356,0.00015206414390744882,3.185108906467171e-05,2.6446069983254716e-05,5.0567739762197306e-06,4.476059216385053e-06,8.042276212316679e-06,1.684276505431459e-05,7.783263135996421e-06,4.296410445192578e-06,5.151362673538884e-06,2.051530692614989e-05,1.0337048919950576e-05,2.6659965493003313e-06,5.882533902212828e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0945489021745383,2.633563561968241,0.0833424250970849,0.08004408686910613,0.08482041957569764,2.455474505476675,0.08508704401020073,0.08261883694183347,0.08382662496551041,0.016585955540317,0.0036021924227548074,0.010007367066792727,0.0024267076937024568,0.0007967238863181847,0.00010950167160306279,0.0003560603637460802,2.7763067089514593e-05,5.8447806362549315e-05,7.23375257515313e-05,8.341800606642691e-05,3.7947805076044006e-06,4.582325194624204e-06,5.8102374408397495e-05,0.0010783775794492023,0.002458894161173425,0.00025075487150377773,2.279818461015104e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08078079300419616,0.00464842902331708,0.03499159805363483,0.004274990113656285,0.08302212036549328,0.0045390457953502494,0.03443991928419132,0.004562916377331083,0.009962472844122328,0.00023576150078352676,0.010271222961132143,0.001880632836890772,0.0007692037954472042,0.000103240832028062,0.00040926912468441934,1.0976789905470241e-05,9.23973496645969e-05,3.2145496940971796e-05,8.649616549949446e-05,1.283989224942772e-06,4.330027150611926e-06,4.2815296323217567e-05,0.002556038418759732,0.006665936998593525,0.0008262890372535692,9.889576226829178e-06
