,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27O,28H,29C,30H,31H,32H,33C,34O,35O,36H
1N,0.0,1.0205220732491485,1.0216377192459816,1.4666558140395316,2.07986699100639,2.4454205761878978,2.558609142415778,2.690454071797054,3.869071330864104,4.201932808744473,4.453718532833654,4.199591688572159,4.5686527959136685,5.510285623774086,4.958197661119112,5.9282130820245245,5.084966209235983,5.05847376536607,2.4855499863702533,2.864185761059648,3.6146845281822064,3.9008761235200837,4.894181385780691,4.974347954196044,5.609084910333018,6.616834080991042,5.9873410648547445,5.279801974136971,5.235795863142932,6.10401626422106,5.341142266286758,4.329196450302901,5.954162618561861,5.997412674942289,7.135899215698766,7.8017182411088895
2H,0.0,0.0,1.6215110790388405,2.0457412732175717,2.335875166097503,3.3397855858967973,3.4917445302642354,3.6373823009359927,4.645225538883115,4.861666780540982,5.068665172304015,4.615158106337476,5.226011529092283,6.105347000288227,5.856662924496808,6.776797669116634,6.027163840728053,5.990541452566052,2.7202837669208053,3.0941426607561215,3.653701161834375,3.992420569813042,4.896465473512703,5.091441896144297,5.335127481409014,6.384202922419182,5.596560981686054,4.826985700936461,4.809005355948316,5.555823370915647,5.037476060874059,3.7981479764237163,6.0590947445178145,6.171861308599623,7.225740394720835,7.931903997072418
3H,0.0,0.0,0.0,2.0202536364917303,2.9091154362883955,2.706107685915713,2.9542491294033035,2.5204124344710945,4.173718824429145,4.403115302574256,5.042421154741615,4.911832474680409,5.224026347111719,6.0564211596185,5.08767754077709,6.096149675645899,5.272917601140039,4.964725021088077,2.5728968275884156,2.488313254599862,3.8845446251261917,4.367898592685738,4.972088245275017,4.833256589899253,5.690777474352405,6.626132349710772,6.289146889948898,5.685904679932728,5.167191018669967,6.058265489130373,5.065391353855035,4.337984035538009,6.139800512697866,6.339914999017547,7.212198182612103,7.941146620318408
4C,0.0,0.0,0.0,0.0,1.0969981334763155,1.5448761044096795,2.136151168081656,2.143839063290549,2.632841710504813,2.8348198276196754,3.2129656734319143,2.934231280161755,3.5858590254110307,4.206303956488226,3.9453246680919496,4.792420361282138,4.283615413806969,4.180076224961993,1.539779786330789,2.4167685894389876,2.4782354098280694,2.599882206338551,3.8339848485429293,4.01529722962348,4.809749504922964,5.778652121019301,5.161751978039711,4.529614502004387,4.825767836064712,5.795786303882337,5.001255307117015,4.090900707246216,4.678776080508103,4.60679313154625,5.91314804717171,6.498608635269174
5H,0.0,0.0,0.0,0.0,0.0,2.175054640794346,2.514270126469125,3.0575226162904445,2.8594114381495186,3.117538292920508,2.8725345057621685,2.2865335601894405,3.1979454470328523,3.860848178320401,4.303870291228219,5.021887044056877,4.578295664140326,4.774406166841112,2.1707662613048164,3.2710724804288893,2.551361087357877,2.307857048420105,4.0059225100600315,4.455759395696049,4.873029477300881,5.883596089081454,4.915707141246641,4.1765980114271235,5.052361585862021,5.937573369207081,5.443460633180969,4.285420972141354,4.663641669618912,4.388714083372521,5.980045731145675,6.474753619088749
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0976726087673134,1.0992069176587864,1.5428739456852458,2.1642580672691727,2.56127392943507,2.8522544869585182,2.820801718693592,3.513209032610865,2.5199790776477466,3.4861069749645233,2.7847210112177447,2.762944179419827,2.5238078928561434,3.1463500920722622,3.400471248587012,3.3609461315556146,4.568260154357613,4.556846906950573,5.829807868969508,6.673547876197531,6.287126698758489,5.766468061097753,6.014411759603156,7.052897471181006,6.0336683966141225,5.423582461309979,5.112667412526289,4.886223615541794,6.284159983606884,6.74931050938364
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7626571891108005,2.1740846970422485,3.0720809327944507,2.7744777853665044,3.14444809012879,2.5859512716380526,3.783753261231556,2.8159227278639656,3.817019250730709,2.635493795148229,3.18612807190217,3.447904641315739,4.0629498599886675,4.329835793069425,4.189052150365999,5.588169961364805,5.6307386424942,6.783706657077682,7.675512060257717,7.133149421262308,6.522075695777413,6.901120576383504,7.903002338037075,6.962507555183184,6.207591309595018,6.111543991463509,5.779441071437274,7.320152277374703,7.747017395699326
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168266643868133,2.540426331978752,3.4972725533687137,3.8759692258919762,3.7814301267697967,4.328709664979612,2.66200045018555,3.688346890909675,2.992119330143665,2.4454538076865244,2.698949177116671,2.8722263857776325,3.7903182045224906,3.994774829392346,4.749883289906373,4.481262533415127,6.020881499490785,6.789637032058507,6.698565788697352,6.266278462146514,6.064732982991093,7.128033417027927,5.885421793867271,5.542557619497338,5.41660194487533,5.3848198792426425,6.4532320103339895,6.987823243826015
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1000423685242924,1.5377119450445054,2.205687461602975,2.183605389725748,2.1831730260879465,1.5372251174640006,2.1871571032947807,2.184732666683473,2.188902525262017,3.1594070576956805,3.915865730462634,3.5015243156112503,3.169304239652333,4.449056248082803,4.515369246602936,5.887481053962186,6.596255385467745,6.265529844371494,5.87536953945956,6.43902762790308,7.487906412203602,6.509916972730284,6.03959044901775,4.517480181230108,4.04349671675349,5.640311015226745,5.91121804049311
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.146685245128591,2.513074344505194,3.0699447521376606,2.4924306099801727,2.1420407427663783,2.492195167667566,3.067571164455904,2.4911541805505073,2.783946608357925,3.4815314185049,2.8702012152653626,2.628426080393475,3.5538090214361655,3.5782441815228214,5.06180381858652,5.670487361309003,5.539262341742658,5.289847569813988,5.743077015181078,6.795997081689991,5.782918265518554,5.5044586269629265,3.522850636682006,3.1645256197577734,4.580478745728338,4.872950846755736
