 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,H29,C30,H31,H32,H33,C34,H35,H36,H37,C38,O39,O40,H41
N1,0.0,1.9719610568573394,1.8833674654227939,2.7637684631097095,0.09787151724215826,0.1865033768951779,0.01208459416872798,0.01342682286368957,0.0315040446080342,0.0007583800835034848,0.005796425072290459,0.00022909547815386233,0.0009221102129596259,0.0025017406395653197,0.00510459723680258,0.0011101459234484912,0.0001015491248446132,8.04738206154898e-05,0.1878543879407768,0.037517083005609846,0.08203665880947503,0.13455732183265234,0.010159369613795474,0.001957284632975953,0.001015070261284945,8.8851555707814e-05,0.00017286102340796639,0.00012329213983483522,8.690448944426166e-05,5.7089988186764806e-05,4.727082863809073e-06,3.396001927225001e-06,8.291867811671683e-05,2.4289610816137508e-05,3.879664518535719e-06,1.8381115796106684e-06,2.6447174389376826e-06,0.0012864208000311628,0.0009239225176003174,0.0002433500711543357,1.7656659756282167e-05
H2,0.0,0.0,0.029010742838426085,0.10243956809734134,0.0027309802820665308,0.02438719212208751,0.011471022789732332,0.0008990542777307375,0.0022688287728066525,0.0007839966903253615,0.00019945325138026604,2.3361635814289627e-05,2.0003710887506188e-05,1.2851674613401087e-05,0.00019999342520804486,5.604861024011143e-05,2.9009276770519676e-05,1.6848537558900034e-05,0.029853553130589128,0.0056721377788673255,0.005276495844049545,0.001044950546590373,0.0005126530948921237,0.0003144131762349289,0.00011817032048633269,7.484547681624321e-07,1.3643337870350436e-05,1.815919382008868e-05,3.235969577963793e-05,6.1831855067140395e-06,7.64063569080875e-07,5.734571202342664e-07,1.0939688148692284e-06,2.5688679591295838e-06,2.637747045231009e-07,3.1451287219042e-07,2.9391335143458264e-07,0.0001490708234097582,2.2184698474148057e-05,2.7320886262005573e-05,6.8132052084557415e-06
H3,0.0,0.0,0.0,0.1027885316931586,0.008314797644272787,0.030097245317259547,0.0004735870732335279,0.0013279606292599944,0.0046041926858184645,4.659828251529774e-05,0.00029278542670341245,7.873798032465018e-06,9.98323514045385e-05,2.8337482196327812e-05,0.0011281924237139807,0.00024424008573853406,2.976642885466063e-05,2.6452282429145768e-05,0.00522716698987169,0.0009146873250599485,0.0034409773202667138,0.002893911697776641,0.0002840166871886929,6.211980004167117e-06,0.00017722076851700574,1.294038816990195e-06,1.759081420416031e-05,6.6540025553951665e-06,4.95280675205656e-06,7.439432378131272e-06,4.5954124905378535e-07,1.0789242128605991e-06,3.474835507333296e-06,3.254236716876413e-06,6.971090638074884e-07,2.865457395806459e-07,7.523191634106752e-07,0.00020908846915934642,0.0007679301468994648,8.589489761356983e-05,8.52761118030898e-06
C4,0.0,0.0,0.0,0.0,1.9327149692795706,2.723121718991015,0.09285752056442043,0.08681888693575956,0.14456520709466916,0.005901383610574573,0.020065330812088042,0.0008873844562791167,0.002408822940260791,0.007823177994568109,0.03231660363708115,0.004617978926624966,0.0006366359846594616,0.001063861131243904,2.618338116970094,0.2827090340731754,0.2260034449253535,0.02084808468790611,0.03747162443022986,0.005644118140903931,0.003477052215082682,0.0001329740571900384,0.001023864383221218,0.0006289000310127912,0.0012812561569461867,0.00040924890823225424,8.441635568789962e-06,2.0271899279222794e-05,0.0007353529401998848,0.00010748256308920623,2.385181597386321e-05,1.078587793457153e-05,1.8952514120096353e-05,0.0037304737713532155,0.0004131436292798135,0.0010732947161992135,0.00022032456036358283
H5,0.0,0.0,0.0,0.0,0.0,0.08340980023305078,0.005894014433861061,0.03508137345818474,0.0047455834377947426,2.6302903343822237e-05,0.011015104761634809,0.0003451901620918907,0.0007293979554405805,0.009978201804747622,0.000918523736913035,8.978014488558728e-05,1.6593830057143322e-05,0.0002241326629484064,0.11204992584701845,0.01797076397662878,0.02378526722860408,0.005436148480202352,0.0029771813130101688,3.956116913994556e-05,0.00015208469876082376,6.04460141162555e-06,4.348033359580228e-06,8.370236630650396e-05,8.941566519982125e-05,0.00019241394458791028,8.261061392733637e-07,4.04592016445271e-06,0.00037402858105717307,6.784294029893445e-06,2.9128784517773454e-06,1.1037080418496714e-06,8.244190159434339e-07,0.0012254115891408013,5.5703715853172575e-05,0.00027413742758586324,9.356283022654566e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.996125090418609,1.9908920219454254,2.562564625629997,0.08268962547652459,0.16127275649781325,0.010830851169830513,0.03052611436187047,0.0049789605657220015,0.18912686678962426,0.030758257777640408,0.009549336471820435,0.010866539177232903,0.17523576223684217,0.03822303487446879,0.02610296440160298,0.0009232999242055895,0.0031094514328023903,0.0004238389044406432,0.0012060324499754277,1.7263321523408592e-05,0.00013716033890975865,0.00044309419031093866,0.00021748553987577246,0.003490113109917911,0.00012816500139667397,5.2977777470930576e-05,0.004400400640058644,0.00018659238965372527,1.0164204255147524e-05,4.2994008321084465e-05,1.1931631434647372e-05,0.0004934862604409895,7.16053100842523e-05,0.00010113051158404385,2.0509379925148785e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02167836550867408,0.07931240487105984,0.03603865306429621,0.00880219262969617,0.004940863676241358,0.0003223194276782415,0.00016216763648979615,0.010488413144438935,0.0006172625088720629,0.005174200406303342,0.00024062674755409574,0.0292915644130205,0.004258659275856225,0.00467786282988758,6.470789538148836e-05,0.0007511223827374458,0.00016883446071025432,0.000304047272203789,5.302274205476465e-06,5.692725927874953e-05,9.804247101796726e-05,0.00011374735636104916,0.00020608438827807163,1.5996149924646375e-06,1.093970424159707e-05,0.00012941953890033275,2.2289635798644625e-05,1.9309428849201282e-06,2.6142725437772185e-06,4.254978155149303e-06,3.5383297489754995e-05,5.120278556702829e-06,5.622706161556579e-06,1.6225949250880944e-08
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08601157380678948,0.0043681657285126185,0.029741341209807426,0.000517607322187974,0.0014832472748091963,0.00039792448127839997,0.012063080729242781,0.0008102066493649307,0.00022192597427217464,0.005697957888953331,0.008036811592916138,0.0008736926800194666,0.002937467559572915,0.000551612524917422,0.0002959159096473929,6.579605223877572e-05,8.315870343800214e-05,8.085199416196787e-06,1.1520739815917835e-05,0.00047435422844821495,7.424888069929025e-06,0.003244734040417363,0.0002273447096443615,8.903245276847827e-05,0.006660287232937545,0.00023980449454574781,7.415139482436217e-07,6.756763377713249e-05,4.277532891450164e-06,9.904227826784684e-05,8.577661762543265e-06,2.5112508853952775e-05,7.819147032517293e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9691678630676632,2.8163912419770667,0.08058647753655501,0.08780285047660485,0.08729188096768437,2.76610829536593,0.08605742853688758,0.08195544610876482,0.08310231929993517,0.01941933280302041,0.019050789551108033,0.003010547886456119,0.00011812561097701568,0.0004156709041990281,4.637629512604935e-05,8.9935589916601e-05,1.835708951269943e-05,7.983519576981735e-06,0.0002248194036948148,0.0001901208760304307,0.0013765953057710278,0.00024011313695249115,0.000225141008150187,0.0009340926230712032,3.638812430860339e-05,1.381390543153671e-05,8.57432305734207e-06,1.1862945823448712e-06,7.812141369001324e-05,1.8678742738614806e-05,1.1857778459078983e-05,2.9296146287771663e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08389544721802111,0.03405307366815502,0.003357995204609443,0.006107000460190415,0.08459703133759233,0.004829515872832202,0.03461387404474525,0.004297620222309284,0.012758719800183727,0.019568798873565996,0.001243203474609933,1.5636881662395297e-05,0.00012432872699408293,1.0596485433334024e-05,6.447410855936475e-05,3.350872094820545e-05,1.1099056582697386e-06,0.00026034325839030537,0.0004510036653833094,0.0016945316113619047,0.00017053730811222856,0.0002948350516460696,0.0006553974536391838,5.2556119703894844e-05,3.388263337100739e-05,6.893960030396329e-06,2.267453598658875e-06,2.4206545771843224e-05,5.19132596832339e-06,3.7264997130304067e-06,7.02573339506074e-07
