,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15H,16C,17C,18H,19C,20N,21H,22C,23C,24H,25C,26H,27C,28H,29C,30H,31C,32O,33O,34H
1N,0.0,1.0199529704438497,1.0204691976019913,1.4547629910829591,2.0944523795460213,2.088549695798399,2.5181535731991604,2.8221903149943386,3.7314007876236697,4.012024948309233,4.962435737155407,5.036992747508482,6.176485377710675,7.056709997058284,6.209525972699208,6.601182743831176,6.549773413225938,6.140841640415343,7.624233903248777,7.496074428673162,7.859474232750288,8.111825880180096,8.412126824568926,8.344025167895891,9.253091457897616,9.776460836674422,9.498774476495619,10.211868618556393,9.878081086600737,10.823600855767582,5.476067135230333,5.329404633759463,6.553788589078397,7.0091149914998185
2H,0.0,0.0,1.6106448247680307,2.025610507191217,2.367156789514525,2.930267624206648,2.751600228799871,2.890752811709053,3.9350317703415256,4.320980999003236,5.096529604977421,4.992461883374897,6.2530501808193595,7.116529863418807,6.122562884496612,6.826822579324774,6.971802377007794,6.67756506699629,7.788447599645936,7.9420152622980575,8.402056563713417,8.413918442482146,8.426632159426617,8.24365465022365,9.530850594392449,10.133852394914477,9.522776226849976,10.148088364370626,10.024793285908455,10.962458933030927,5.811845564448809,5.863542193862374,6.7942143203380025,7.346598169692219
3H,0.0,0.0,0.0,2.0140196830642734,2.9234278867018775,2.429407820741513,2.6182607973386856,2.530884002328085,3.95436291958008,4.393784043664843,4.996435430469884,4.98731041815137,6.363662646787892,7.139235349483507,6.5038425598403125,6.898821549024963,6.80700832734401,6.276509965205413,8.046515935233147,7.855351258543677,8.206341117464177,8.56145485446713,8.89076617329174,8.791221831105487,9.776623218026497,10.304501217221405,10.047839089985276,10.784966708064546,10.447024196421902,11.429822999120445,5.279011399873878,5.088094149166221,6.253721466979445,6.617692051628766
4C,0.0,0.0,0.0,0.0,1.097718109005228,1.099956911597639,1.5377668017232926,2.4228793884654487,2.4606867775530903,2.587791387639728,3.813772577418084,4.1228045028504186,4.914510841978755,5.852344758460555,5.026349794856029,5.196372565170627,5.11032842556473,4.753226899145233,6.216434599134528,6.045694347253532,6.437461568172572,6.667115902651104,7.076105729904254,7.091237347802223,7.828403271707887,8.357694502725344,8.159169922448218,8.92603391449717,8.49221912247634,9.454144084658179,4.398926991845707,4.253041683178209,5.598192461207,6.097047669652077
5H,0.0,0.0,0.0,0.0,0.0,1.758261473511972,2.172987770220852,3.2088911168850807,2.641083794228442,2.4853113918013556,4.077650148714982,4.44453921697821,4.8862763114879915,5.916537163295426,4.830290008929043,5.020111932544875,5.030511979125494,4.882536386338173,5.827364002876918,5.80045114866791,6.223887369635897,6.2564089912265946,6.57821921252184,6.625710839421234,7.303017525139713,7.8397854520797985,7.55953865959446,8.282632075737295,7.881820980823437,8.792729522223807,4.921697465374465,4.871176500823409,6.144627727077451,6.731079078915718
6H,0.0,0.0,0.0,0.0,0.0,0.0,2.1406255304359685,3.0268723914811533,2.807837484904746,2.702254103610676,4.096557835578525,4.610962802546427,5.170582367000976,6.089964328953226,5.472448910044374,5.214316382829185,4.836776948703929,4.323559103496814,6.262086303118879,5.69212483152772,5.9290171520906325,6.500433522041413,7.2835964243023135,7.443507694699195,7.6605199080951625,8.069750672864059,8.316315294112146,9.171216469295063,8.48191949368165,9.432232640907715,4.372276499723006,3.9317827432351717,5.650354908997145,6.007559576642395
7C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2259153926659874,1.3696142222367684,2.0647456302415037,2.44712399522105,2.6238277477077365,3.7476972594698443,4.564014558562817,3.9316973166372033,4.368288851023923,4.503293421456938,4.162925936056571,5.557220909364427,5.669996908804243,6.21972130595652,6.238623498217884,6.385936751721416,6.2657941281135185,7.516282221674298,8.171746087371695,7.61627013711865,8.363125241559297,8.110626016004284,9.141273756164669,3.103972481143319,3.2686592397093697,4.190746347830661,4.7821746976153205
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.275530455695506,3.1640116941095555,2.778930111692514,2.528981707893815,4.244838237856275,4.847067518271241,4.432014765909375,5.1437456976427525,5.363175616521901,4.950218236584343,6.4064309519614815,6.627532945852448,7.199722474676649,7.197006904149911,7.168991285545338,6.916917703114035,8.51365134076957,9.209542896128868,8.467940162571653,9.166094790860818,9.063175864564986,10.114602413470006,3.196694209656369,3.4982672168453557,3.98377965644336,4.53671542375812
9N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0127092892107374,1.4465475244679873,2.0627698195538655,2.4718609006026298,3.3929949033845395,2.746718965818404,3.005926855444584,3.280158713921046,3.142044016107945,4.203327846720571,4.470360834633386,5.132234587781053,4.944581238656685,5.066799188437548,5.0032877409479175,6.243332651389661,6.95281470691868,6.314735820207841,7.094330117235591,6.81606123609135,7.865344094480824,2.463944319482889,2.8309013802852436,3.619659873445263,4.317974872672925
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.105670990545342,2.93504298458888,2.6235009501865285,3.6555032203504307,2.917144467740527,2.6157194932615915,2.6858468518144787,2.661868600112969,3.670909534552425,3.7057663842491415,4.321661944155953,4.211269708482475,4.645494746056127,4.7790953082031375,5.466179945113189,6.1098594863603015,5.781084327823805,6.6280148086452195,6.125675978460109,7.149415784003548,2.9780986068730493,3.1055392088390974,4.2193828202095665,4.849264266434223
