 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,H15,C16,C17,H18,C19,N20,H21,C22,C23,H24,C25,H26,C27,H28,C29,H30,C31,O32,O33,H34
N1,0.0,1.8245495980759758,1.6706835215388471,3.1840806996397686,0.09018473463344567,0.1015568499137608,0.2249235467869257,0.04275727423862286,0.03499143758038649,0.002733767317769087,0.007397558001599039,0.00035864885092884435,0.001449043104809436,0.00031288945597296447,3.645072122426818e-05,9.30061805967386e-05,4.5828335514447316e-05,1.8188299619747994e-06,1.2491512493981172e-05,9.986600778999488e-06,2.5070868769905275e-07,4.430082823303483e-06,3.0181386527078358e-06,8.016301431545969e-07,6.372605487331429e-07,6.33855228304725e-08,7.960187010380704e-07,3.2928036963753016e-08,1.333386402513348e-06,1.0336631772744909e-08,0.000425546442297281,7.817599971564337e-05,0.00010457591195917049,2.258740217486732e-05
H2,0.0,0.0,0.0265727970259253,0.10343545875013938,0.006985848293883601,0.03589421457997011,0.008412647809997398,0.007278169788803468,0.0009297072000608031,0.0002351359426528976,0.00022687820192146546,1.4612456431972731e-05,1.4037062923577537e-05,1.835960194984665e-06,1.0870461391032649e-06,4.4056586002705345e-06,3.012083476527927e-06,2.92446213912001e-08,8.128937678542059e-07,3.0818845719871035e-07,9.975333892242588e-10,1.5833680433452457e-07,7.4249548953631e-08,1.3870511850200273e-08,4.00072557305009e-08,7.401272483775756e-09,4.733347647167818e-08,1.0190792654185543e-09,1.4383806257178833e-08,2.4599677850289936e-10,5.051711879855425e-05,1.9284789051776663e-05,1.1927213026230454e-05,2.6084729338737844e-06
H3,0.0,0.0,0.0,0.10733325059665833,0.03635459024079779,0.004573908041569874,0.015821109059152905,0.03546473186702659,0.0027622180391502216,0.0005984223896622343,0.00040359049798177615,3.0099998694632646e-05,6.956545163927519e-05,8.195541502997727e-06,1.508501309421817e-06,2.592184057925717e-05,1.1537390236848744e-05,1.3199512998163243e-06,4.921325696294332e-06,1.3699689256352343e-06,6.994533174875528e-09,1.866546946116543e-06,8.476601154328023e-07,6.222191406557442e-08,3.62537321052514e-07,4.8141615582864006e-08,2.42021845564544e-07,8.945157059514486e-09,5.880611578801265e-07,2.244938013262754e-09,2.892520605701776e-05,3.4470713412559917e-06,3.4776874531239343e-06,1.4305961728577898e-06
C4,0.0,0.0,0.0,0.0,1.7698371538689455,1.9219544942285216,2.6347829530559657,0.2852947869794865,0.2255525920969144,0.014212949894848115,0.036303907453350825,0.0035623883413306023,0.0044945491625794365,0.001437042186611892,9.602739781766623e-05,0.00045675171184000884,0.00018036181258540562,8.23822239581773e-06,3.853454160804293e-05,3.789963712211297e-05,1.3347303761124252e-06,1.921136906687937e-05,1.0097193544611471e-05,1.4213558046094477e-06,2.3792151501167424e-06,6.803883256800702e-08,3.0221635947680348e-06,6.258334694919654e-08,5.4782255334839824e-06,2.7631206656053564e-08,0.003756168654454606,0.0008230555542378809,0.0007968352526107336,0.00011880800875962994
H5,0.0,0.0,0.0,0.0,0.0,0.02585617395421913,0.0979468255449556,0.029532004921831057,0.01054983735003523,0.0040615340087089,0.0015731316087028713,7.350190607269269e-05,5.8334323963293855e-05,6.315775473719754e-07,8.37965851685496e-06,2.3532689973793097e-05,7.102494371746815e-06,1.7191505448099775e-06,2.692965396011715e-06,7.455029877867503e-07,3.211822252602303e-08,1.765839830136784e-06,8.62494373476963e-07,4.13292400303078e-08,2.4567277634446327e-07,4.024053490425672e-08,1.5674856101988155e-07,1.958750717179214e-09,7.909175632203613e-07,3.127889058873734e-10,0.0005973749335606016,3.515136246390327e-05,0.00011111925970430647,3.0442572862110495e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.10895572484538785,0.030233974293840005,0.014155942927138065,0.001456177521155011,0.0013397491212003843,0.0002878403236517002,9.827375379023451e-05,7.373888012418561e-06,1.0256197317204396e-05,1.6299518576623484e-05,2.0433094888971937e-05,6.765815375731066e-06,3.340480095204157e-06,2.8735734509677258e-06,6.665678964346e-08,5.113672291612303e-06,2.221959563231124e-06,5.6235764489542817e-08,7.294927324430489e-07,8.466422452002575e-09,4.7434516770028523e-07,7.721780992397953e-09,2.5783995254435865e-06,1.1112618603092983e-08,0.0007959232369465497,0.0006268699023439517,0.00014279782578252576,2.99074519687359e-05
C7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.88751006284295,3.594696277004179,0.13535441562259887,0.27533448168721253,0.018591784652815857,0.03297409756571662,0.004285708414559997,0.0006209199418718558,0.004257972281640182,0.0022563371714613423,0.00020804163143695042,0.00048753079742092087,0.0003325528624843477,4.134698326607733e-06,0.0004058098936340071,0.00021167995889170843,1.2183279364696986e-05,5.6726751894914385e-05,1.7720615062000178e-06,4.000929777583928e-05,7.156416925724329e-07,0.00017532557898039536,3.608454588466259e-07,0.041980180059341204,0.011499202816106474,0.00723389691209006,0.0010180856963105667
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5338273703637926,0.0264128791546705,0.07273950082862715,0.03127290950722161,0.008382931558672868,0.0010768663184499427,0.0005188917717907637,0.0030291126921520722,0.0016044035994706995,0.00023065794491938796,0.00046692472462069035,0.0001704223361920637,1.5548933888220873e-06,0.00024628262347677066,0.00010818126731966526,3.3018121576855464e-06,3.727798067137966e-05,2.91100981375525e-06,2.285906375382174e-05,5.791088001361189e-07,9.416158814361253e-05,1.834860670069105e-07,0.022322968853972294,0.0041730185580760165,0.0029729266522712586,0.0006801207486472061
N9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8494234611665097,2.862772096902968,0.10154444862744216,0.17821718898301425,0.024831745859229648,0.006877675246345749,0.02848075827669247,0.017128474978161,0.0020236466551686316,0.002796246959004628,0.0018947560884422093,2.1631232503982467e-05,0.002247991948463507,0.0011299400148264416,3.7420405692545344e-05,0.00029483921617307063,1.146409670105264e-05,0.00018392795454594268,2.4092967756406125e-06,0.0008915935610946946,1.4933916259174396e-06,0.19721843805181113,0.029606186219432687,0.029360006315047996,0.005095109140332954
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09822114649939817,0.026920767479742258,0.013168513373704172,0.001805807808373583,0.00026507074606341163,0.04013487582165165,0.037825936442110186,0.0026465167565838943,0.0015673252881687194,0.002804082260848051,2.8283673657369945e-05,0.003761313886906592,0.0016079007559698377,5.010648545855645e-06,0.0004038186103518804,2.051882957765372e-06,0.00022308327105990955,1.8602737446027362e-06,0.0015562210704263002,1.1203762229072822e-07,0.0048814248969933915,0.0017292717293191373,0.001138839577020656,0.000389443436018988
