 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,H3,H3,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,H5,H5,H6,H6,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,N9,N9,N9,N9,N9,N9,N9,N9,N9,N9,N9,N9,N9,N9,H10,H10,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,H12,H12,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,H14,H14,H15,H15,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,H18,H18,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,N20,N20,N20,N20,N20,N20,N20,N20,N20,N20,N20,N20,N20,N20,H21,H21,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,H24,H24,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,H26,H26,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,H28,H28,C29,C29,C29,C29,C29,C29,C29,C29,C29,C29,C29,C29,C29,C29,H30,H30,C31,C31,C31,C31,C31,C31,C31,C31,C31,C31,C31,C31,C31,C31,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,H34,H34
1N1S,N1,0.0,0.023682557691942385,7.712101537071803e-05,6.0855861877984196e-05,0.0021141193855744866,4.703779907044847e-05,6.634064186084032e-05,0.00026822450642716156,0.004000817926670841,3.100596903327091e-05,1.2912182239435688e-05,2.0419861031142905e-05,9.939792064031505e-05,2.8331067622927586e-05,0.00787043709290236,0.0013861192102274655,0.007856484609118253,0.001405413328990246,0.0011844152826345211,0.0023330699650523368,0.0024064112192514475,0.004561129123338503,0.0028484836767381783,0.0006784848557337408,0.00017313744632496686,0.0004384557003724865,0.0004429747924270533,8.049004070048715e-05,0.000122660963027571,0.0001491396606855544,9.418269715205652e-06,0.00047255096855122747,0.00018665974013010178,1.8998308863871216e-05,0.0002343317320792071,9.862416691319709e-06,1.4171680208230342e-06,4.981593761943515e-07,4.115396612380806e-06,4.173729150958039e-06,3.856216013620184e-06,4.3484288930750736e-05,3.8129350592441824e-06,6.924121945828254e-05,0.00015597990617466362,9.212395299107445e-06,1.4466336747953612e-06,4.554108533005863e-06,4.684762267559428e-07,1.5908790214652635e-05,1.8339398729083634e-06,4.571595243696436e-06,8.639191065196172e-06,1.1528838922414408e-05,8.180550084935234e-05,6.635113503072887e-08,2.151707343633902e-06,5.161601108971681e-06,8.143857842313196e-06,9.578902948614854e-10,2.9863321415746213e-07,1.3481340516152684e-07,2.685604577612466e-08,1.7900336739262723e-07,3.3123023789050077e-07,6.308356768958134e-06,4.1459218280692767e-07,3.7520098539189917e-07,1.700079838573565e-05,2.2157465338068505e-06,1.0078650252154375e-06,9.815280166414198e-07,2.261894584965063e-07,1.6463237745290016e-08,1.431906571369712e-07,5.963398345409932e-07,2.1486646351043248e-08,5.649167245103115e-11,2.1697412917465186e-06,4.275200405912116e-07,5.440062705863724e-09,3.4555767380872737e-07,3.2857738752056775e-10,2.3316088682001634e-07,1.0397894030234056e-06,6.700619812338715e-07,1.969568752535622e-08,5.515714729398269e-07,1.9705746725495743e-06,2.7639556671177345e-08,1.3633229956067083e-07,2.569466048263358e-08,7.634001264467116e-09,6.437938079861816e-08,8.142662766275066e-08,1.2451717353867409e-06,1.2012859873511417e-09,1.3156579381501388e-08,2.5025242766929523e-08,2.876241622651321e-08,8.101831028284323e-08,4.0629997144492336e-08,2.8865389634091798e-08,3.920578306448874e-09,6.667775087620953e-08,2.6584735801638004e-10,4.885376270191699e-10,1.869252974628921e-09,2.539564447623377e-09,8.154033004359462e-13,7.013347236295431e-09,3.667582237909528e-09,7.237832555517798e-11,3.397367165369758e-09,7.597844020601485e-10,2.2659651932599445e-12,2.0643466935865717e-09,4.735454695037333e-09,5.718332918291935e-09,1.4199308395745902e-11,2.0953982771132473e-08,9.844636217337666e-10,9.220436414381084e-09,1.3137979593125237e-10,1.1019946344337228e-09,1.612063788014595e-09,2.1954024709280873e-10,1.5151931653800688e-09,1.8219754316373127e-09,1.751224054657996e-09,2.6391555607574446e-11,4.288427613019508e-09,6.731504242907249e-11,6.556377663002877e-09,6.623676274131185e-09,1.6214513065548886e-08,2.985748426276302e-08,7.282245917394903e-10,3.8134875812723124e-10,7.600559071008206e-12,2.289415323986077e-10,3.716154883814937e-10,2.726969983157801e-09,2.57083998533858e-09,3.424723837852639e-10,1.890886558442162e-09,7.438011095928232e-09,4.6399883935066555e-10,3.282771832147091e-10,2.514494168437409e-10,1.4590550989623807e-11,1.1209069228357293e-09,4.2232195518465687e-10,2.2233945240479613e-10,1.0697914776258699e-10,9.227299480052409e-11,2.0727974892054135e-11,8.019418462623662e-12,1.186756665161326e-10,5.515676804179748e-11,1.0288347951359356e-10,2.896987538747453e-09,1.8547525737488968e-09,3.699329731432499e-10,8.273381979506667e-12,6.537646868309821e-09,3.4694134232182705e-09,1.23418775199724e-11,2.920297337283273e-11,2.184391556525611e-12,9.082112839564616e-11,3.6820546611693317e-13,1.2218892564419548e-11,1.7439383270811959e-12,1.3978262991543033e-12,8.962808273338396e-11,4.1688030805175913e-10,6.788052342443507e-10,1.286814876877429e-09,6.443479083628745e-11,6.916288652902836e-10,4.0030578851713017e-10,1.0541880701708806e-09,7.582565131336594e-11,1.6071749486812337e-10,1.7361112547575885e-13,1.0616332812851681e-10,3.207500931523555e-11,9.528072775211172e-12,2.8041124977562504e-11,3.9820413633151475e-10,9.889751240166333e-10,4.456415236830935e-10,4.6629367034256575e-15,1.476319066995302e-10,2.1904233982183996e-10,2.296831613790573e-10,1.5096571215345023e-10,1.2276124561338975e-11,4.682365606356598e-14,5.431859129156891e-11,8.776868121174175e-13,6.84186041155499e-12,9.230394226733551e-13,1.2897044543436209e-11,3.77473607926504e-11,1.2774181712416066e-10,3.3948843736197887e-11,4.245381823864136e-11,2.458455661269454e-10,1.5462786606690315e-10,3.901456935295755e-11,2.6520785567640814e-11,6.583281142447106e-11,4.2447129144917994e-11,3.82536780030307e-11,4.5558404271339725e-11,3.002589843426051e-11,1.5045076295905346e-11,8.881784197001252e-15,9.85173054246502e-12,5.7449822676858275e-11,1.887379141862766e-14,3.103386436720257e-10,3.796540859468678e-10,4.878009107756043e-11,2.0363932762279546e-11,3.998881226152662e-10,2.7452462525445753e-10,5.2683662987718094e-11,2.496022832865208e-11,2.5313806606419575e-11,5.308779804646946e-11,6.7582606178007154e-12,7.745359908994942e-12,1.2286616168921682e-11,3.50941498084012e-13,2.5768276401549883e-12,1.4297074635294393e-10,4.514817408818317e-10,6.19167828119771e-10,1.0046408149833042e-11,1.2010148431329526e-10,3.390177027995378e-10,3.220570476969442e-10,4.4844683522171636e-13,5.10702591327572e-15,1.581992870036686e-11,2.601327486750904e-11,5.0511261839858435e-12,4.341416115494212e-12,1.1259881915748338e-12,6.014915787666553e-10,6.169286126400664e-08,2.409776933554042e-08,3.387649827324424e-08,1.4615515464555529e-09,8.574388687954126e-08,2.691421530087723e-10,2.554154419076582e-07,1.1490753071274895e-07,1.3919451147259565e-09,3.382011920516348e-09,5.068501174321227e-12,2.612457472572771e-10,2.1163198971052566e-10,3.13995496270536e-11,5.443990147568911e-09,1.0072124245752434e-08,1.332847654467173e-08,1.6093801846750466e-09,2.473922178225507e-09,1.3618876026910698e-08,2.773636653685685e-09,2.261790754687354e-11,9.071722123499271e-10,2.2738720628634468e-10,1.9215301572117482e-09,6.409175967725389e-11,6.974598898423778e-09,3.6252077728615717e-10,2.2561164048084947e-09,7.975150539962783e-09,1.866052623533676e-08,2.7866819962696354e-11,4.94276219953349e-09,1.2107250535464686e-08,9.57297818793279e-09,1.8586250316587893e-09,9.008926660225569e-10,1.1003367106354744e-09,5.917734080540527e-10,4.098057171386671e-10,1.2079761912975329e-09,8.770895121301692e-11,1.1988865455947462e-10
2N1S,N1,0.0,0.0,0.0027305329683633417,0.0005163574491455769,0.0377337029368241,0.2645351385131467,0.0030644246947795217,0.0023469901733079723,0.0621354938412777,0.0007635535031689233,0.00018514714354500583,0.0013890754671770367,0.003766211132525177,0.0002729943602048923,0.1047399665856874,0.15825758523254452,0.10594984545225872,0.15987875719695444,0.0034161658807057016,0.0064235683211371075,0.02619634648056879,0.04620558126120855,0.025658487749908865,0.041878069465751455,0.059949254426110876,0.11652189466057417,0.09054530611261269,0.004562976384431927,0.010850401822046551,0.010475437276609156,0.0003211113785628328,0.029472542918244082,0.005165807213433293,0.00014454678674447052,0.006413336221828825,5.7920056883098425e-05,2.458772816327226e-05,0.0001374564941740708,0.00025261378790064626,0.00037856846584194415,0.00010871875001194908,0.000303738781822549,0.0002714286956204681,2.23319934544719e-07,0.0009338834778271909,1.8993439834913417e-05,9.421397509679075e-05,1.224762194773632e-06,5.803182471009194e-06,9.916438825641194e-08,1.1916428750868846e-05,1.2750354602353298e-05,7.314683343340178e-05,0.0005857525922103868,0.0025774936882734245,3.247785687454652e-05,3.6725318519614802e-06,0.0009303308241128683,0.0027661862781154234,1.0827859070472456e-05,2.0319775408284002e-05,2.1384588177131292e-05,6.035772909895876e-05,2.7168663000454174e-05,4.4789432385172745e-06,1.4222901381533148e-05,3.00799033072785e-05,8.053226064674845e-06,0.0005752147717408285,4.950957615434959e-05,1.6164991389899797e-07,5.079731790758046e-07,0.0004711694596850613,1.1104148414098347e-06,3.6026470906946884e-05,5.0354472291846974e-05,1.4109439005594027e-05,2.845107356064247e-05,8.024584325916351e-05,5.019271580852802e-05,3.3652341002721187e-06,8.69451052398773e-06,2.2845307867669362e-09,2.053202530349907e-05,9.41197377826164e-05,2.6180245362716903e-06,7.834773931847394e-07,3.339865553009247e-07,1.3080285548028314e-06,9.992157604221674e-06,1.0218016905927385e-05,7.1197589885940715e-06,2.1202292768141007e-06,1.8401161029579782e-05,5.947430578689961e-06,3.671977193331344e-05,1.2230166013260657e-07,9.331255146349804e-07,3.5019840760597276e-06,3.4203899845763885e-06,1.3389570623356661e-05,1.3174580688612991e-06,1.039412314440824e-06,1.0392443505757853e-06,6.985879014820284e-06,7.741310037445714e-08,1.226602348580741e-07,1.0912174748245462e-06,4.9538465107801244e-08,4.4507508789592976e-09,3.1175252868109737e-06,7.608151122440177e-07,8.20773671250663e-09,5.8039438144419364e-08,2.243720054195819e-08,1.5145349951950493e-07,1.4246338997381258e-07,4.5946205640134963e-07,7.515362501209211e-07,2.3454971298519922e-08,6.655730757643141e-07,1.955288597699223e-08,1.1113146536345653e-07,8.866233347504249e-08,1.8317483374552523e-07,4.2300805236372696e-07,7.945626423477847e-08,3.659695440028088e-07,3.594813668961194e-08,7.288920533810028e-08,9.25983734134661e-11,1.0099005072206069e-06,1.6364271093749494e-07,2.5087387989231047e-07,4.050260633547964e-07,5.143086228009963e-07,8.824009203323158e-07,7.050813266573641e-08,1.6637676791830813e-08,9.281457824528161e-10,7.153865833053885e-08,7.123815759513263e-09,2.1293891094842365e-09,1.3825549149970584e-08,3.112449409314877e-09,1.3511635454932502e-07,6.316503928793793e-07,3.010884030985039e-08,6.01115557330445e-08,2.9245735611027612e-08,5.5482815675134134e-08,1.7818866782093323e-07,1.4101264200760966e-07,2.710312152487404e-08,4.507760631433655e-08,1.9477408796930717e-08,3.5202951664814464e-11,8.996356992696519e-10,6.175036038058579e-10,5.83809578458272e-09,1.5218937221561646e-09,2.4335587989199325e-07,1.757422505299644e-07,1.295780371890487e-08,3.5005331966431186e-09,1.5653648777202989e-07,1.1062418092677717e-07,2.045053659749385e-08,2.4643592722028984e-08,1.4581149176962072e-08,2.9889395403159824e-09,2.3693293993432007e-09,2.6438708999876326e-09,2.7609665664840577e-09,2.0875878803394698e-10,9.604885331526702e-09,3.8731966522931316e-08,2.2093416429669333e-08,1.2144570726846382e-07,8.50101766758371e-10,2.6763919969141625e-09,3.643543600162502e-08,6.353529657943113e-08,1.8007407343034743e-08,3.311317242626899e-08,5.09760900158085e-10,3.383185265271038e-08,8.914589511022086e-09,3.97015753605956e-13,4.4077186345248265e-11,7.219761677390579e-09,5.903770716741974e-08,1.4020522964841575e-08,2.0562440639082524e-10,1.0187406473960436e-12,1.9624279978813775e-08,2.2501897678495197e-08,2.703892199029667e-08,7.853655503708978e-09,3.5183522761883523e-10,8.582445865101818e-09,3.5819991417440633e-10,3.559108563422342e-11,2.0514634435642165e-09,1.622517675770041e-10,5.350030196638045e-09,1.715667030666168e-08,1.3522907238439075e-09,1.589987697059314e-09,3.397699899210238e-09,4.085285887356349e-09,1.9575079335254486e-09,2.9594549033618023e-10,7.358662790224457e-09,1.7366443838540135e-09,8.618267433035953e-09,5.752373688494572e-09,3.067779141829874e-09,2.1386719062377324e-09,1.3350014427260248e-09,1.5047074697349672e-11,1.3271113097346188e-09,3.908899870452842e-10,2.112224217754033e-08,2.9526685096925576e-08,8.175145005395734e-10,1.7567591825695672e-09,3.007875326588305e-08,1.739531185762644e-08,5.073962139334753e-09,3.799306647067624e-09,1.370181301751927e-09,6.998400081670297e-09,1.2061600607182754e-09,1.7705255039857093e-09,1.3544729782211107e-09,8.397726958264684e-13,5.039426653752344e-10,7.600899465387556e-09,1.8064410411966492e-08,2.7135102609321393e-08,7.362901399687871e-10,4.177461931931248e-09,1.575030861289406e-08,1.9898432235265773e-08,2.235100993175365e-12,4.571965028787872e-11,1.1788625631226068e-09,4.008406939703946e-09,6.266962504497542e-10,1.531477167304729e-10,2.5011104298755527e-12,1.2235731539078643e-08,3.8514890299268245e-07,6.053385970261616e-08,3.272861794911819e-07,2.650453678754161e-08,1.2053036386738825e-06,4.1519518267918443e-07,3.4386077416570515e-06,6.244648731446034e-07,4.575273493401255e-11,4.84881228279832e-07,5.780782919018179e-08,7.106418342672782e-09,5.607864950185615e-08,1.1139200672971583e-10,1.4650024304785347e-08,6.093416802244178e-07,9.697441205602786e-08,9.697954661547215e-08,2.5758682298260283e-08,5.90359182428557e-07,2.6859403590151487e-11,2.094962603393924e-08,2.4905848494682914e-09,1.394192983283915e-09,2.5886545351738732e-08,1.0518890203314868e-09,7.84504030626465e-08,6.640023197945766e-09,5.419715876087139e-08,2.5233148903680558e-12,4.821518158060201e-07,2.3008163374527157e-08,8.198507517320763e-08,3.3349381034497583e-09,1.0686733498133094e-07,2.203134119582728e-09,1.140207801508808e-07,3.233230905230755e-08,7.997320139452313e-09,2.6828963939351524e-08,5.216324483470203e-09,1.2388802428375811e-08,1.9162553321905307e-08
3N1P+1,N1,0.0,0.0,0.0,0.0005936702024325058,0.016692646912136233,0.00166660362855664,0.2699873973947242,0.0015146486833534922,0.019871857288088268,0.040844850057355275,0.013723677773120002,0.013473639173967822,0.0008722986775511199,0.0018375371934382656,0.006763066345776725,0.003207526509274583,0.3039117716593136,0.20594608737141495,0.0035936808321923586,0.026266918572156683,0.0223113279702023,0.06414822516337182,0.04739036427727861,0.012526005289378084,8.638157744655928e-08,0.04321259891581031,0.03245778598231297,0.027008315542030203,0.0005010124901119184,0.0005239692375258453,0.00013340411962703413,0.018815322317691896,0.011243357229379747,0.0013965465750733763,0.0005834823623551699,2.0092074226596424e-08,5.511665913893182e-06,0.0013438659183853119,1.982779713172178e-05,2.2118604633636352e-05,0.0015966593660636796,0.0005519667455393673,0.00018121956328354116,9.918175476908431e-05,0.00010848429202692245,7.848478600092079e-05,4.358620813382785e-06,0.0013385223759232456,0.00019947440095968716,0.00034877584855430577,3.06834732914929e-05,0.0005752828432870061,0.0010604602394979068,0.0003840870367164406,0.002743526689887421,0.0002531966007386366,0.00014321677846407255,3.4522111924673027e-06,0.00021372883688464128,6.281985286027414e-05,5.6662518417294194e-06,0.0002097464503396651,9.123607264571731e-05,0.00028393783095537195,1.7524600175677918e-05,0.0004013359045065279,1.603400444993852e-05,2.1959651786307433e-05,0.0004493699683063568,0.00014827746009471454,2.3925641932986963e-05,1.2798270913716436e-05,1.6338084840583633e-05,2.3701161903977308e-05,1.3761066850248582e-05,9.53897760946898e-05,4.70496036730772e-06,4.0068415543270675e-06,1.4529912024219271e-05,0.000504736739876499,1.3479233862412343e-07,9.874123918507394e-07,3.062703798706323e-05,1.3805963168245228e-06,9.390187031810271e-05,1.8235897236706933e-09,1.550956559270844e-05,1.4245496546827496e-06,2.339590496802657e-05,1.0887851509266966e-08,2.065633571968206e-06,9.163621222274543e-06,3.1907196884617406e-09,8.953123108224048e-06,2.764322713622036e-05,2.206160398809942e-06,2.4345614413334715e-09,2.0204745392327084e-06,2.8053488141388527e-06,2.1091609925250054e-07,1.7604869562148906e-08,6.101798448732154e-07,1.2766610124614886e-07,1.6481566351700394e-06,3.236100276637899e-10,3.0018893057981444e-06,2.1743719655908933e-06,1.5290247956656344e-08,6.42041674492333e-07,5.291972637877507e-09,1.6765413239916427e-06,1.0399394589910571e-07,4.234363917277051e-07,7.656652201148972e-09,6.159910359571086e-08,9.95573872231148e-07,8.348591782336712e-07,2.483245616691221e-06,1.4281445226416167e-07,5.831194944683205e-07,2.9125899470017202e-08,1.1270951949526875e-06,2.9146364965981775e-07,2.0562711755545138e-07,3.495824807409065e-08,1.3429544809540062e-07,1.1627226559340897e-07,9.134588152548417e-08,5.636827005162104e-09,1.9093339398423836e-07,1.8475467822298697e-08,5.247613805714479e-07,8.969122058388734e-07,3.500969869563164e-08,8.062700729283279e-09,1.6565185845252017e-07,6.659498996697266e-08,1.7251977624255233e-09,1.2605481103378224e-09,1.9787512073321523e-08,6.948972131048947e-08,6.500463345382457e-08,1.3603539894546657e-07,1.57568694092447e-07,5.299387817458978e-09,1.076086597606718e-07,3.9397600204438277e-07,1.9482136348614176e-08,8.164180442804536e-11,4.378388318571069e-09,7.741443930342484e-09,1.908405877770747e-09,1.767407686870115e-08,2.017116473851388e-09,2.795074207639914e-07,6.792533202570894e-10,1.4956349492223353e-09,2.4734949644056314e-09,1.3546097576977445e-10,6.29575724886422e-09,2.369171525629099e-10,3.4208191834750323e-12,1.6281326065126223e-08,1.0106812720067637e-08,1.68620277740672e-08,2.9913387322721974e-09,2.7658364487592735e-10,1.8114639344091188e-08,1.4986225149726806e-08,1.1804443422747113e-07,4.703024414354218e-09,2.298830770186555e-08,6.3422889162723095e-09,2.0621175877977294e-09,1.8016714786739385e-09,5.763038579686963e-08,1.263068605261708e-07,9.312154602980627e-09,2.253562767506878e-07,3.210055776747822e-09,1.4491519095827243e-11,3.7705758071382434e-08,7.502173682283342e-08,3.8361751775184416e-08,2.2448736203273256e-08,5.016977500105213e-09,1.350852762982413e-10,3.667778081251072e-09,1.1510969954997563e-10,4.7982506856669715e-09,2.182348080026486e-09,4.5428961037430327e-08,6.412066211325396e-08,1.8064305606912967e-10,1.3156475020537073e-08,3.04986267352092e-08,4.48309851464046e-08,1.2827776174617611e-08,2.318977232462771e-09,6.650137773789311e-09,2.427089862422349e-09,9.944316259336006e-09,3.989136132531712e-09,9.857143989933093e-09,4.0060621486759374e-10,1.4032004891362249e-08,2.7035254035467915e-08,7.32543803394492e-10,3.236078072177406e-11,1.4285190808038806e-09,3.7747449610492367e-10,1.5700152289355174e-10,3.9038221544274165e-09,1.1171912284169139e-08,8.014346963847174e-10,2.1899695390459328e-08,1.3141647769998599e-08,5.528126623133289e-09,8.795622896684563e-09,9.357895347505973e-09,3.179057017632658e-11,4.999942682104574e-10,1.1686269729693777e-09,3.950422211573823e-10,1.0302558806074558e-10,3.292566219670334e-11,1.397495452692965e-10,1.7628010162695773e-09,5.943023850818463e-11,5.430312421950134e-09,3.5708178636184584e-09,4.111173179666139e-09,7.64919594331559e-09,2.4004893628415402e-09,4.264353314908931e-10,5.678653103302622e-10,9.833467373709937e-12,1.2733734067182922e-09,1.8692036363177067e-08,6.663014540109202e-08,6.413370945423935e-08,6.800071616908099e-10,9.303918524494748e-09,5.539853553671037e-08,5.793421697930512e-08,5.24913446042774e-13,1.9879653478938053e-11,8.768761272648362e-10,6.54558629520352e-11,8.92310891842385e-10,1.1500933538854952e-10,6.917133532624575e-11,9.47476519463919e-09,1.0295459915710126e-06,1.6616825204707197e-07,9.473974937890262e-07,1.0728530686066051e-07,1.0781966208739391e-07,3.478427945680096e-07,6.373043404117595e-07,2.6427849824095517e-06,7.366839378519785e-07,8.371012771846154e-10,8.742779675774415e-07,1.55300390325408e-08,3.4842926626144077e-06,3.55067308888124e-10,2.2066020122224472e-09,4.628751604229819e-09,7.266861348220743e-07,6.224778781316331e-08,1.2406753091553924e-07,5.3203921712707825e-08,1.0499317948386988e-06,1.3005205712346424e-07,1.3866665149464552e-08,5.8744794806386835e-08,5.070581732269375e-10,9.592984251405312e-08,3.945561144469423e-08,2.4422546873736906e-08,8.056110125664873e-07,6.965261589719773e-07,4.590658631009603e-07,3.90159016205871e-11,8.69433769423722e-09,9.144354162771151e-09,4.446686308057224e-07,8.908970805521221e-08,2.8458869705261236e-08,1.157433903831162e-06,1.0435992603419209e-07,1.903072783804305e-07,8.292707187607107e-08,8.073175452594228e-07,6.086734152255246e-07
