,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31C,32H,33H,34C,35H,36H,37N,38H,39C,40N,41H,42H,43N,44H,45H,46C,47O,48O,49H
1N,0.0,1.01893539662949,1.0209124062765702,1.4602808126586864,2.0797348261948434,2.4373078535306028,2.4913025182691726,2.7590045971691937,3.8268719270593397,4.2495048121442744,4.056142439072982,4.959681550326828,4.959723305881927,5.157743092178975,6.288588514163931,6.6369852409887615,6.468068445302701,7.463258949953084,7.482301627846617,7.619274278105234,8.349324486489,2.490201777333103,2.8585786718140707,3.6355641527901286,3.9056151245489463,4.909065610149015,4.93096732241257,5.6886891510913715,5.975674759770304,6.672406046907607,5.323603917710888,5.176534078410001,4.543718662317352,6.67075330932366,7.061172950229895,7.469867731114574,6.9172525974434995,7.120928071235004,7.226986650925044,7.074959743379825,6.500517271163362,7.743942324104687,8.027301887520842,8.56469617030506,8.298962893339347,5.946826524301784,5.9302058788214795,7.154290349902726,7.814755643589494
2H,0.0,0.0,1.629660422335269,2.049267965095454,2.320691953930055,3.3329714049133057,3.413112168583033,3.715597003444488,4.593530611664883,4.921811492361619,4.677954589585115,5.841270315528296,5.865451891073098,6.097586672300019,7.093287267795688,7.396640102901387,7.188079383728326,8.336834711806008,8.37092790759851,8.539451431666137,9.186673386337919,2.7784771642285,3.1508208334490093,3.7359500178979603,4.025870816941645,4.990051040654096,5.127176440384256,5.506524211821069,5.695145093960439,6.540274814464616,4.980483022079616,4.963691073940071,4.066492672446566,6.199064394024813,6.5037166154120625,7.091775042640313,6.354765686494148,6.645660572753244,6.514877903268931,6.260426769596912,5.699931448985268,6.865899229406539,7.304508494510569,7.917393611123234,7.504834581404802,6.145540850819306,6.226957201624953,7.317065376549778,8.0309972820908
3H,0.0,0.0,0.0,2.027587479753457,2.914771493879154,2.740412486862671,2.9083977581196017,2.6424817305393553,4.21362387627972,4.533550179070647,4.664770193608768,5.219167374293052,5.274766986906068,5.201865933086018,6.621212671282301,6.910050426914698,6.9517763184772,7.7173229805223835,7.773302594230338,7.738646998938324,8.64102633376857,2.5743911416398357,2.4770135112566622,3.8928736818194203,4.371387981948758,4.970475583678772,4.772801595758399,5.7441421623101485,6.201848877493018,6.649425285338029,5.236861442245333,4.887359469418739,4.563885520264507,6.570166069970772,7.104163484889494,7.307842331756402,6.697147087540521,6.75850780817975,7.078919476293835,7.113036805077579,6.6451200531565675,7.8254021713449555,7.779396794722422,8.217615633506561,8.090991979984324,6.103688726129315,6.221811277218586,7.219742350955777,7.930127724690188
4C,0.0,0.0,0.0,0.0,1.0985624953905202,1.5480982409429118,2.1276540961344566,2.161828163527406,2.6045449283888233,2.8756833854697077,2.8368113768261605,3.955150171634127,4.197117716356269,4.251851490165516,5.135248446246588,5.364166420192523,5.302790371072731,6.442246443515157,6.601049234397852,6.648568342041852,7.25785059390699,1.5425553253085493,2.4182436912024765,2.4842514884517914,2.6034430486467004,3.834244577032043,3.9774904266920177,4.849863038681268,5.101123439015785,5.80112214349308,4.86878768575156,4.811568050713196,4.243342640705205,6.334312926972666,6.683619430326632,7.027806544635339,6.883622287967446,7.14112601616504,7.378655789759531,7.208694848372946,6.504641669782402,7.964945691700445,8.349984569591697,8.86750676532232,8.749127214114244,4.658121657426289,4.518623791055224,5.924940623600963,6.506192385543976
5H,0.0,0.0,0.0,0.0,0.0,2.167331049510541,2.5362243503471213,3.0601828823576205,2.756503511226945,3.0669205207297145,2.5452109588023193,4.1983996036715885,4.39424010344664,4.736131329685773,5.173051500713414,5.431445730601542,5.113743570579982,6.5596937379141895,6.692930302428591,6.924206509746515,7.2907408825204305,2.17650652527601,3.2727213648702413,2.571211033813776,2.3130196017631737,4.023560730650624,4.43978612515421,4.9259671167600025,4.93657659173279,5.930587908402179,5.0869883577430395,5.258594440464259,4.378977882385372,6.482496487707719,6.654010410940128,7.228529395873919,7.128815745964393,7.52680982882743,7.528216598949915,7.168508053262948,6.370743468423701,7.860739370269967,8.577020861192906,9.185372478254145,8.929334690342348,4.693534009916041,4.407854962813487,6.00770120243547,6.522743933442581
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.095924585855168,1.0986588463430724,1.5369572993800618,2.1884376501718905,2.164819930815,2.5418771836788583,2.740102862705787,2.791875798018214,3.8964079305723667,4.271247137445578,4.224275113740682,5.058300010227277,5.1724258920833215,5.20855189256209,5.945047592243672,2.532251369364068,3.173825834012979,3.3836448145632643,3.359111802629508,4.5418481138990625,4.514005479193535,5.835437909303615,6.16656564784775,6.654388676832712,6.051816827935317,5.856707009457721,5.589616121477215,7.5713378317832225,7.988929581520354,8.141287454858292,8.178262229572887,8.33798286138136,8.78198868324049,8.695356836297504,7.997893130170751,9.480539074328576,9.731166304701604,10.175338981366771,10.171119505528255,5.015762481485636,4.6376005657318,6.267384784263706,6.69502264875826
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7640555800595572,2.1696223414768316,3.0884487957927655,2.505253764713509,2.773955449950671,2.5170075512924823,3.1366857193868216,4.172259316550115,4.780470578903935,4.38663663163797,5.161209496267126,5.054915371877309,5.3762790337599915,6.085924275560423,3.4380622693991163,4.039209871281065,4.3326285967117455,4.225695072823111,5.5756120601938886,5.578587926382659,6.804120817595546,7.071630176382109,7.671101830462223,6.927809905248871,6.7515705339180885,6.355778609969498,8.419693381949905,8.801706275385692,9.059143701358053,8.935608985936064,9.110125882838673,9.42868587831657,9.276259246833924,8.591897213902582,9.996097561309892,10.325432829048776,10.811554061581885,10.681081734874628,6.058571923943162,5.609618034828301,7.33152589195936,7.735974581795856
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17621370371872,2.555179632790732,3.0782290916844492,2.7789393689947937,3.06170455100148,2.577733429130175,4.2113740869586165,4.488000954766317,4.774447561891969,5.2027067724338085,5.369634848371889,5.134003704229572,6.137883184386607,2.6760471956488474,2.885240039270765,3.7115323085089615,3.933027376540573,4.637950063255508,4.345583961329786,5.961228496548584,6.471273315988979,6.684530462329152,6.080199035315409,5.6906544423694285,5.734610519047968,7.5994071976032584,8.153815783298436,8.089932277697825,8.125507034962085,8.15111769491929,8.814784852396388,8.893131760327162,8.27952097547787,9.722977639181627,9.685090934203526,10.031196285517671,10.170721884258636,5.185184023552192,4.964220777523969,6.322225514458845,6.789974771935447
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0974726901003593,1.0995320055872837,1.541629389243673,2.1680198622268056,2.171394193023235,2.5329488030127805,2.83575409364184,2.81709718890644,3.8928331283455275,4.1765718060930626,4.189921234251467,4.664227287852618,3.207946918511683,4.030518840041324,3.495387639907872,3.1485855751663707,4.475723234660723,4.595541768581392,5.904167094802283,6.129591298920574,6.613255433269085,6.491250242462469,6.409968144288478,6.172730363489182,8.005847783074083,8.338214132029496,8.465044505010953,8.839258907882893,9.056376222517354,9.537998864039004,9.399397804314882,8.612362246930484,10.209942819549834,10.599779987738565,11.042069777804246,11.106557700665839,4.459777884160935,3.7653773982669083,5.697237035517931,5.918667495327737
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7605208631429148,2.170000727736422,3.0732794397039886,2.510875258751231,2.7704208652447186,2.628928228938457,3.1550669224898114,4.195695862645042,4.706488806577364,4.398203515301162,4.848477306604696,2.9190091301637184,3.7044186175222693,2.9078995978309123,2.6147452106955575,3.6256890062730625,3.7442264351695016,5.1165378079736215,5.392842799130377,5.721852156029726,5.865700367434176,5.789230472807761,5.707787555492349,7.359951979240716,7.710563720900947,7.715000961517475,8.29999957742661,8.504736072500693,9.1053639758322,9.029988756079506,8.240171192524057,9.890406265254972,10.208828711654222,10.602438697682567,10.793936935714544,3.4415207883418604,2.7697196346075814,4.63581012261089,4.844267103335244
