 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,H32,H33,C34,H35,H36,N37,H38,C39,N40,H41,H42,N43,H44,H45,C46,O47,O48,H49
N1,0.0,1.9844245228193425,1.9254203466073603,2.963100627073658,0.08521293451670364,0.21664855435825997,0.027804200969480664,0.004878831150418206,0.033217995704651226,0.0007575452112300596,0.0010780337756387537,0.005431733456544935,0.00015407392640887085,0.00014763313801213762,0.0017586204472363615,4.356767828983532e-05,2.020767523713829e-05,0.0005797128043641825,9.058864994915261e-06,1.3643691562981175e-05,8.363939798505804e-05,0.22879326807062297,0.04995139317567612,0.035496965104095946,0.00255707994437393,0.00648817790826739,0.0005962515300608207,0.0015164538686565504,3.622856284291043e-05,0.0002847936746661617,0.00017373016486216253,6.269893718502395e-05,6.723012738685252e-05,4.497541043614606e-05,1.6422955618766721e-06,7.128813273138412e-06,6.74181542152652e-06,7.619792552482352e-08,1.0908644942075885e-06,1.58731317451144e-07,1.2039659913476441e-07,6.51398579520901e-09,5.362861445618039e-07,1.4218425326006923e-08,5.964570759520171e-08,0.0004412086539132831,0.00012856273856952372,0.00016156233433594486,4.513014209683863e-05
H2,0.0,0.0,0.02772825604229867,0.10936950116664146,0.007682106491277985,0.03231829894690963,0.0015143922491833717,0.0003855669903483072,0.004487487330101736,7.134052649249156e-05,2.207386499897268e-05,0.0011456733353988335,4.299303920363151e-05,3.847968019710102e-05,0.0004347071102671629,6.492430025817342e-06,4.358076065358318e-06,0.00013599216477888643,1.624082438533847e-06,1.7756805243962503e-06,1.930973328234664e-05,0.006731618433836184,0.0017691330600025923,0.0004509700393612315,3.4751224584184115e-05,0.00015585202155032896,1.4217252640724709e-05,3.179240985495824e-05,1.0364530427242613e-06,1.1662223262653981e-05,3.498941252144672e-05,1.7419094175963323e-06,6.713326198992675e-05,6.041300925518911e-06,1.696932041550525e-07,2.024266428257704e-06,4.5034738882510084e-07,3.972167261778736e-09,2.0135584100078319e-07,4.85671988181835e-08,3.3635156881928197e-08,6.4437881697188004e-09,1.1259252497008987e-07,1.3651646479928559e-09,3.5094154249293297e-09,1.5488988490464095e-05,3.1737199854831033e-06,5.106644046071196e-06,1.1529928491960106e-06
H3,0.0,0.0,0.0,0.10588555488241191,0.03543432815273628,0.007590784878243606,0.00029942195775256586,0.0030977293870844136,0.000986315182592623,4.3483819142764446e-05,0.00038386984174487715,0.00017536130424988805,1.8186160374300542e-05,1.4482199084842051e-05,2.3285511910220436e-05,5.567439282927467e-07,3.2451172786718274e-06,7.54074089370782e-06,4.474004833276979e-08,8.267767261926906e-07,5.640995894840017e-07,0.01896616942037377,0.043998253594826786,0.00326779945675737,0.0007279461397160514,0.0005066146919951997,7.677165401709374e-05,3.1407669216387823e-05,8.458731746596726e-06,1.830514096079483e-06,3.328747075659333e-05,1.4734749709477413e-05,4.077437661065275e-06,6.640776078259414e-06,1.487815219247679e-06,9.617745999612737e-08,5.848231360294776e-07,1.1323801873963646e-07,5.906045108527991e-08,2.2276100630769236e-08,5.653236101466064e-09,3.4671978621503285e-09,3.4202142451533746e-08,6.747187253353104e-10,2.371461471639691e-09,6.539884557055231e-05,3.0341933272004518e-05,8.697466089113703e-06,1.6846128161329688e-06
C4,0.0,0.0,0.0,0.0,1.8686476316486393,2.7669565299843826,0.09426596365563333,0.07987227706611222,0.1597528405177897,0.00581920346157716,0.008838438370576629,0.032360150314977354,0.0009353402238243547,0.0008515721632280648,0.006340993265740891,6.57331386761939e-05,7.263715214145261e-05,0.0017519039780096723,3.6486295940219016e-05,5.01936631601696e-05,0.00029253577468524306,2.303806256376342,0.27025531652690493,0.2217945772482419,0.016257789318392946,0.03573063090853179,0.005948945100234582,0.003788966181575898,0.00017159156702928335,0.0009289319057144141,0.0011407622508331772,0.0008740902826278596,0.00023517565110808825,0.00021416836234045,1.0812960839379215e-05,2.3075687198947925e-05,2.32018151627017e-05,7.4252509740802e-07,3.1668416409780242e-06,5.804989977181707e-07,4.720715663930619e-07,4.020464905440946e-08,1.738058275163601e-06,1.9470158485468403e-08,9.080251628379443e-08,0.0031675190972124956,0.0004938841629560792,0.0009749411906965072,0.00020379892706179348
H5,0.0,0.0,0.0,0.0,0.0,0.0766778716647476,0.00294514524200018,0.03361240197170501,0.01133226614237448,0.00013875338752544764,0.00520708661285485,0.0011083034334837816,3.934392283211352e-05,0.00034271006734432063,0.0001405559823643987,1.1080581063804829e-05,1.7911394740055542e-05,5.049358293718331e-05,7.522772482726481e-07,8.170737562762653e-06,5.40986904873364e-06,0.09222445295476667,0.022605416799562628,0.011568802795710487,0.00917209060098445,0.0019123659248792002,0.000341817442770731,6.346807668133891e-05,1.710770678298168e-05,1.2600888478209171e-05,9.946336586663662e-05,6.483951603364346e-05,1.672979249844886e-05,2.090985986236138e-05,3.3267734289577078e-06,8.522737848792872e-07,1.409730784218688e-06,2.2617301564942238e-07,2.720609322270917e-07,9.328561900723287e-08,1.0337850242514435e-07,1.3571119783506447e-08,1.1253063625371595e-07,4.128138053616226e-09,8.332770029539915e-10,0.00011675555283274797,7.21626993043234e-05,4.566064722144603e-05,9.609667200205507e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7341441527897696,1.9297188324982837,2.6160139923844814,0.08355242946688923,0.08196061871160243,0.18405404001865736,0.011604915524942694,0.008867622264796537,0.03606995926251047,0.0008574123124743815,0.0008488228252677699,0.007220069135377871,0.0001359253040570385,0.00015429783059994762,0.0009072359571873356,0.18429409300597105,0.0386471292283551,0.027416439796742964,0.0008416350987537902,0.003565700834741836,0.00025450967323104035,0.0005940944502824536,2.905707968037241e-05,3.859890419199985e-05,0.00024471658310119826,4.312845539589105e-05,0.0001522424437303549,3.140396291788361e-05,1.683061520596496e-06,5.5634262803305745e-06,3.98322385518346e-06,1.244140788170256e-07,4.666906856243269e-07,1.6776258984774195e-07,3.996484554402713e-07,1.8451158489973807e-08,1.8216867324338804e-07,5.148245274533281e-09,2.642620944293128e-08,0.0010795701976320793,0.0007177622163292707,0.0003013204676634573,7.217287153093999e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024265247840833393,0.08989268498084946,0.033504575778585455,0.00495384568798829,0.010579980055553273,0.005143860100800923,0.00020476724287132875,0.001003202125509528,0.00033968892706282006,3.619396408227615e-05,0.00010153292218662013,2.260269165099693e-05,1.9130551969670506e-05,2.6592308329131953e-05,0.028590095767148327,0.005345145962696862,0.0034833019780828867,7.528519145272305e-05,0.0007678366295995609,0.00010398439351333444,4.077943384084293e-05,5.91038930952692e-06,9.506440125983673e-06,9.491645228898449e-06,2.851955700711173e-06,4.088434920168638e-06,1.5367247698794273e-06,5.144436077131331e-08,1.071928811713363e-06,6.274223385283051e-08,2.4942068410638285e-09,2.2232400809230057e-08,2.6350192361412894e-08,8.243703697452531e-08,2.346155048016385e-09,3.446404939211334e-09,2.42834641284162e-10,6.651577066918435e-10,0.00023545204501340677,0.00021758528483983852,6.26584651564066e-05,9.70882516915239e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08341628242590549,0.00429547932239549,0.03387012122979738,0.009381198467963703,0.00021540955204168988,0.003982533606890604,0.0010558732024541495,3.0123469045406637e-05,0.00035068162489393373,0.00010363900862220277,1.548199161538477e-05,2.044175018167671e-05,2.042513573630167e-05,0.014654772440743757,0.009791713674437985,0.002001953345652674,0.0003280584446150314,0.00015410618317468483,3.4491390640045694e-05,2.1573916187733744e-05,1.966791810747992e-06,5.023931145098359e-06,1.8740076130896455e-05,9.705694475670157e-06,2.7488348868232038e-06,6.56873059379226e-06,9.600993076119835e-07,3.560873231833739e-07,3.438792668397639e-07,4.522625163261296e-08,1.1198050109406665e-07,2.5594853902966008e-08,1.9206770174307053e-08,5.288357973753932e-09,4.4727946457712164e-08,7.26990245780712e-10,2.694341638687092e-09,3.603830304865774e-05,1.83830642643823e-05,5.6639068478636645e-06,9.734668844352257e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.766706476962758,1.9522318315493878,2.8383258376828917,0.08019642748058131,0.0785855230012571,0.19548293781716952,0.007381975809576002,0.008542578817305135,0.03932591687514925,0.001508396113641064,0.0015125079947682085,0.0036281827155935087,0.012548026031888065,0.003433246166284515,0.010116012516000403,0.0032856407237297214,0.0008693942672768074,7.043537804474198e-05,0.0004495147804229327,1.0064173245671881e-05,4.73505423639331e-05,5.213841420551035e-05,4.508099541444821e-06,2.1189110614328044e-05,1.3490166875157472e-05,1.8774602894566783e-07,3.8039265473077677e-06,2.7745416201901962e-06,1.6875630670654118e-08,4.2705400449261077e-07,4.153606192325299e-08,3.714604490667739e-08,1.7199127677614001e-09,1.6626327536961583e-07,6.28815233216784e-09,4.9283138237044e-08,0.002083010210667008,0.008098722256703508,0.0007795532113043513,6.274995367439029e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326216667774439,0.08453774890651022,0.032434569916804934,0.004982473192249426,0.008292001478070965,0.0031767436451990427,0.00015519744639780342,0.000772908065172051,0.0006368701119217057,2.5534409390681745e-05,6.441883727936748e-05,0.004686062575138594,0.00021963668493807376,0.01018304706629658,0.0026506606118017473,0.0008622071067223569,8.976106903846315e-05,0.0005667557811648294,6.580823897595067e-06,1.2369660449040865e-05,4.768980256608657e-05,1.489711062507837e-06,1.0491028825221349e-05,1.2072689982822737e-05,1.5271273046124634e-07,4.539514573353998e-06,2.226045369480012e-06,3.700925410576872e-08,3.842544784582458e-07,4.0298292036666794e-08,2.677039701026729e-08,6.735351609776785e-09,1.3523019892769383e-07,7.47305684001276e-09,4.5309650031910564e-08,0.005067417901690741,0.02546179882342725,0.0019704513229231724,4.005138373242012e-05
