 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,C30,C31,H32,C33,N34,H35,C36,C37,H38,C39,H40,C41,H42,C43,H44,C45,O46,O47,H48
N1,0.0,2.0101882216268265,1.8733519581154197,2.91070120717485,0.09712674980673097,0.18962912343862495,0.02806708064723029,0.0057730807474338786,0.029778003006684886,0.004735476301848285,0.000885408478971561,0.005903635637132351,0.0001973800492648392,0.0007288220860178912,3.213256128564712e-05,0.0013814276591071206,0.00013255178262361333,0.0009400617132886702,0.00026302636091969644,1.5340276389719243e-05,0.21514848952792812,0.05891880033677828,0.03381122044020596,0.0017800672502366055,0.007225222969152234,0.0003267530362353055,0.0005222428875573948,0.00023412064687622358,2.354930950210221e-05,9.57619012500327e-05,3.488186491616696e-05,6.54699411128945e-07,1.5963913492997306e-05,1.0268854006761918e-05,5.060810837065333e-07,2.9591740114964793e-06,1.7530005426286133e-06,4.01796440785418e-07,6.106943846451163e-07,7.544810975979033e-08,1.1680670301966734e-06,1.4333873865624014e-08,3.605490755675955e-07,6.214436298890291e-09,0.0014557563834519116,0.0002048252904460618,0.00039950410461903063,0.00011570024106388743
H2,0.0,0.0,0.02766220525107932,0.1082555507245948,0.004074133137320635,0.03354469945103822,0.0018761224625365447,0.00022523938798246768,0.004588153548833684,0.00037991301591755455,5.0419565472470396e-05,0.0011655811392921045,5.615228153543761e-05,5.332657073964242e-05,1.0303559390578698e-05,0.00023733832239991592,4.723554523322626e-05,0.0001050231289350112,2.5073260280006338e-05,5.327126074039512e-06,0.024351015436666068,0.07157725355540634,0.004242946209740528,0.00012953723135478157,0.0005202999730615776,4.549232802819603e-05,3.4043627457736036e-05,2.3939828409202946e-05,7.436577325048432e-07,5.304301735065131e-06,7.077335821836783e-07,1.6123869839290705e-07,1.7764880726467425e-06,1.7315057254663202e-07,1.1039474889784628e-08,2.980258386742207e-07,1.6389526713567193e-07,1.9156808583886686e-08,7.714774830080984e-08,2.746486882365673e-08,3.0593294009229055e-08,3.770668444147418e-09,2.5643383971818423e-08,5.478755227272813e-10,8.32046794770891e-05,5.12128989599292e-05,1.2438410632698016e-05,3.3146288069829666e-06
H3,0.0,0.0,0.0,0.10156713497385816,0.03659283375273037,0.015769635890084954,0.00143928054254161,0.004841197301450606,0.0012772028645018363,0.0009630991812820122,0.00020971455251928006,0.00017541861646375168,2.294083387632817e-05,0.00019530108342014074,2.518272946372413e-05,5.181509559970543e-05,5.885483531864466e-06,3.1443088282290255e-05,7.676510820786575e-06,1.1243009847561325e-06,0.007514120859068885,0.004257728060636734,0.000612738647795319,4.127254264085778e-05,0.00015539009002230042,1.0700416958275838e-05,5.060769747944338e-05,4.2254489103221715e-06,2.020951592962561e-06,8.472976152695821e-06,3.911828048708266e-06,5.841686778751409e-08,2.1130314913353487e-06,1.2069600607844677e-06,5.025645699596737e-08,4.648472893276079e-07,1.5541283082676216e-07,3.3228976015209355e-08,1.1474419425727689e-07,2.573092605651084e-08,1.363003642174121e-07,2.444500157849916e-09,5.693496440972723e-08,2.6226820715180565e-10,6.763661970499157e-06,1.6706632737228944e-06,2.266722396226939e-06,2.3033812945882914e-07
C4,0.0,0.0,0.0,0.0,1.9332589750618894,2.7531634748186837,0.09922845070636366,0.07904790299307463,0.1639399853733305,0.03439064051129394,0.004959172187416483,0.03366160681947472,0.0008690167902116741,0.004307397445814154,0.00011261552418684317,0.005601660101230421,0.0003482130208329881,0.008716810138930331,0.002216249707885379,4.7791819146825176e-05,2.3594092999080885,0.283433686310747,0.20724076450829249,0.008351525663497061,0.03601516397394747,0.00409357344343253,0.002981636412327987,0.0006136625237619375,8.888357193947982e-05,0.0008004951245448033,0.00020852478376728878,4.318671141589903e-06,0.0001209877859925379,6.943566798081613e-05,3.185970447239228e-06,3.0483502193506817e-05,1.069600435757434e-05,1.7826265021891885e-06,6.91370383537615e-06,1.2546807137692184e-06,7.453187771691572e-06,2.881996752357452e-08,3.5022870588097277e-06,2.2405875821362997e-08,0.004552561649502157,0.0004991798265841646,0.0012444039012165647,0.000241653274611342
H5,0.0,0.0,0.0,0.0,0.0,0.07739775412812389,0.0032230604371554783,0.03249886085963394,0.011541816969754537,0.010981909056872019,0.008384624014163622,0.0011886009619815896,0.00027686268028559446,0.0011002281867826813,3.814674639768256e-05,0.0006407458836539259,3.895089718852773e-05,0.0004969375856904712,8.59351657537255e-05,2.3728533392830542e-05,0.10692324187140656,0.024692452328243686,0.016319022282328732,0.0001650974497582336,0.0014585988684772122,0.00019076790470728966,0.0008400284754126464,6.145754913311485e-05,1.000926047489692e-05,0.00015704630687318755,5.867547280080654e-05,9.181301714455969e-07,2.740830406633421e-05,1.875634349801647e-05,7.836971411823157e-07,8.361159607783719e-06,2.0217897762631054e-06,4.3846852126883107e-07,1.8595431443557686e-06,4.899972991800894e-07,1.8270904399431132e-06,1.7858425849226478e-09,7.242497022108552e-07,1.5371184325374543e-09,0.00011926800433359475,1.2060893089138602e-05,1.811346065960784e-05,3.827916567278322e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.6647868574727958,1.9832431833106954,2.498453348011514,0.22618118427505052,0.012134310947240712,0.24551811854087524,0.015252808743098534,0.03616653325578513,0.002421549429564962,0.0353825977928936,0.002297964580905587,0.020208603072832537,0.005359253787855275,0.00027532047763645373,0.15475983863470844,0.036079142977250345,0.02176203788341767,0.0076901707304203315,0.0027173386688102985,0.0003585220572739356,0.0008429988820146395,4.9523490944003434e-05,9.222594798297123e-06,0.00016922958118120723,6.955150345169803e-05,1.391751696333543e-06,2.8714744144869853e-05,2.2929636953925026e-05,4.3481059164296454e-07,1.0851235556552652e-05,3.7182536728325166e-06,5.096267523541087e-07,2.3524146202380525e-06,3.438622020457416e-07,2.163963966364535e-06,1.9491106506563938e-09,2.0396890681173563e-06,5.049110907151544e-09,0.0002901821305157093,0.0002173261732005688,7.992358718265924e-05,1.2002055159499037e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024584982113161402,0.09671900389044419,0.01884604920815791,0.001311254333757672,0.030970154422911067,0.00026516113270225183,0.0020970998895515347,3.221173159473345e-05,0.0029652460642652922,0.0002688978857334767,0.007726896141591277,0.001952534977384457,3.0456341094442507e-05,0.02784675421456395,0.004155981749003446,0.00282918394428322,0.0010203277101024089,0.00026996379959864925,0.00011819777759991545,0.0001298799803755024,6.507115835496791e-06,3.191275286251738e-07,2.0996734329870037e-05,1.0704093861946262e-05,3.412321378792882e-07,3.7150272746977464e-06,3.7542479216501334e-06,2.783646046999877e-08,1.642902269116675e-06,7.317707653164973e-07,8.600430945193693e-08,3.593696582537831e-07,4.603124525992541e-08,3.088830693442901e-07,2.875164550886211e-10,3.817260236793629e-07,2.171445911969272e-09,8.327960740683871e-05,0.00010295475991339842,1.5878406551594892e-05,3.955477596129242e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09739513244581666,0.02271685401940271,0.0009259256892719669,0.019259140979356548,0.008872962704125076,0.002740243050932012,0.0008410590196745726,0.0015140971301979,6.517195726174485e-05,0.0005283350061895398,0.00010252209643724086,1.2239114838275e-05,0.010475098382548786,0.0014942054133049165,0.004666454767503936,0.0004927611114216024,0.0002797518472195115,2.7557252895160644e-05,0.00020125072765497798,7.499902175300832e-06,1.2672605866903552e-06,3.823049499573905e-05,1.2925130366658877e-05,2.390282900499585e-07,6.691066140485091e-06,4.307250746293789e-06,1.6044202655329798e-07,2.261466066189044e-06,5.947401766626115e-07,1.2493706913474512e-07,4.913877875711847e-07,1.1441116054555778e-07,4.0965193082165285e-07,1.5389778340590965e-10,2.2911768016165013e-07,8.582412558411079e-10,4.391466110620357e-05,1.58916868793213e-05,9.166878896293973e-06,2.438994261666494e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7293268763755134,0.1225009679472786,3.8056365072504144,0.12353719758730963,0.3262860684833112,0.02652142927173018,0.3244905865025478,0.025286205076003432,0.2609557673211712,0.05435050280111409,0.0013576977731654116,0.007926665180253062,0.0024327202330315795,0.02241584947820756,0.057163294532018294,0.0029263480718660917,0.0006712277263651867,0.00013368575573585728,5.419360516789595e-06,2.8337312428794448e-05,5.664068608088324e-05,1.9405123062643526e-05,5.86857050732803e-07,7.3705364009302166e-06,4.719328658531197e-06,1.4134223569328697e-07,3.7923482662793884e-06,2.3648965244427167e-06,2.765780156011033e-07,8.134812345961251e-07,6.451037637411616e-08,1.175169456024694e-06,2.745317972951966e-09,1.5226865831829972e-06,2.5847475271234543e-09,0.0007286665596705766,0.00223754558080283,0.00025578453666072476,1.7536559803521534e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0971265006206345,0.3356125278174243,0.029694544887167718,3.6303409525022805,0.12981951069128173,0.2979165595062788,0.00395853809111868,0.3394264521899438,0.040966626678041476,0.003840907891122902,0.002268557684652339,0.0009823815013063203,0.0052490907796013675,0.00454388055273891,0.0009234772174585015,0.00023704495628285027,6.038725015941604e-05,2.653491009474429e-06,8.44688850820674e-06,1.875307942589277e-05,6.769023667405061e-06,9.722335425621509e-08,3.1117586452855672e-06,1.965317208016404e-06,2.5162705807879604e-08,1.423629621549738e-06,1.1747533645856123e-06,6.184342127291131e-07,3.550591830964178e-07,3.0871042389080117e-08,3.376196735654924e-07,2.786990860315086e-09,6.172492137551666e-07,2.021333767032729e-09,0.0001306858750654838,0.0002706228448980247,2.812960936561526e-05,7.324295714372653e-06
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02866344880917082,0.0017940915491545528,0.1316648252807664,0.008750047796043825,0.0034826840259569725,0.0004082019625282207,0.02650776180252934,0.003030039906481985,0.0012905620655085936,0.00047911655761989635,0.0002471800835397442,0.00013093192670865506,9.955470464673155e-05,2.4883997364000265e-05,2.616568550273257e-06,1.0413333924264023e-05,8.025719930859765e-07,8.278769381142581e-08,2.8510819469751425e-06,1.1351802979842063e-06,1.4042298879246573e-08,5.097099646800274e-07,4.316973991613793e-07,9.599979255980884e-09,1.82799725578775e-07,6.460041634959168e-08,1.8897335474221677e-08,4.948595999643146e-08,8.443761245757742e-09,5.412259562742605e-08,4.650035911879513e-11,3.3065618909589034e-08,3.415867588785204e-11,3.5640258277958026e-06,5.408792040584309e-06,6.193014366884242e-07,2.2583805270315338e-08
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.068061750601804,0.29742540139820406,0.003922451254542603,3.5060522342826315,0.1259537371478836,0.34308465717329395,0.04478408820669444,0.0026991813815285814,0.003192095528167793,0.00111876132594943,0.019447925817527398,0.05720612470634434,0.002287602521491683,0.00039887675570260406,0.00026064853887289297,2.9526957702197265e-06,2.497711107340983e-05,4.466356442037189e-05,2.1246565145002783e-05,3.736676814636297e-07,5.6944789745272395e-06,5.13014230418829e-06,7.064066109840894e-08,3.1417467071803706e-06,3.802179909945247e-06,1.9041045262735423e-06,1.2828684881338592e-06,5.978937211992275e-08,1.8834080193902425e-06,1.1671500876886398e-08,1.5911721703842918e-06,1.1523501708410322e-08,0.0014637690175469675,0.007302204274731897,0.0004946526605447421,3.324356310463461e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003507697031798429,0.0004173653573722458,0.1296662782073299,0.008559315096054121,0.0261699318977322,0.003248631094850518,0.00020303698839385653,0.00022182769064782448,0.00012032630662284216,0.0018357989153281462,0.0037527026357542237,0.00022753309330791893,1.7110799213959638e-05,0.00010400111698527503,3.618215336231856e-07,3.3093876905532227e-06,1.1913762071324996e-05,7.517091856312774e-06,7.459435868995001e-08,1.3258771656143864e-06,1.5582618257958814e-06,2.977402480119906e-08,7.14371222398924e-07,2.473442004324866e-06,7.14975224802572e-07,7.008035927125178e-07,1.609832045446069e-08,1.1856831195755646e-06,6.229776916555352e-09,6.584651670582531e-07,1.9779853976942263e-08,0.0008527820489505622,0.003941976872170794,0.0003180742868318376,7.1194312747380195e-06
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0699655520827953,0.33002429145392403,0.027959468501080442,3.675893025556487,0.2950943738399639,0.03435651527390515,0.0007509943416816878,0.00038152888746412206,0.0029859385753244483,0.004765616668696904,0.0003761575592877153,7.076700962838078e-05,4.136857176098574e-05,6.765433911981589e-07,2.1024428620952662e-05,8.784268873823775e-06,6.1232328721211315e-06,1.9058508149427666e-07,2.0851582779313205e-06,1.4227441658271056e-06,1.2725559384030305e-08,1.1848618654275445e-06,8.470330273013804e-07,2.4596372139029654e-07,4.1218214846816537e-07,1.9898271030882597e-08,7.606868752396689e-07,1.6397454505323594e-09,6.19846656266243e-07,5.690570237248949e-10,0.0001784842017277244,0.00041525951001196437,5.69197230534807e-05,9.447515753824298e-06
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02804705952593689,0.0019331622743585797,0.13266509666694426,0.01244849195771891,0.0012605074522127335,5.178416554896259e-06,1.03862136546784e-06,4.152569321846933e-06,1.6333631677412086e-05,1.6353071763397509e-06,7.731656648246599e-09,1.7417668329855474e-07,5.442814421385833e-09,2.304988866441704e-09,6.59655163826045e-08,2.9994433381475005e-08,1.2235723545472865e-10,1.2404395510756672e-08,1.0666987515506321e-08,2.1229085156448946e-10,3.4115157365732784e-09,2.734890092170872e-09,1.2311343056126134e-09,7.483413888564883e-10,1.4599388364899824e-10,1.008048866601996e-09,2.1749269052406817e-12,9.911487186542445e-10,5.303757433239298e-12,3.613551797787551e-07,5.391544530830572e-07,3.492488276357619e-08,3.6619214327515692e-09
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0849652286000455,3.785338692742334,0.3226530550460367,0.030881494893889472,0.0006804927426452279,0.0002912805696761167,0.0034875166650183698,0.0041354308423892094,0.000406227274772214,7.673774301586445e-05,6.945809616407117e-05,1.2381739743494435e-06,1.135906914051521e-05,1.0638355169928504e-05,7.011479561655487e-06,8.065374579313556e-08,2.178259835866614e-06,1.9239892782296764e-06,3.939653059337189e-08,1.1945372979660362e-06,1.8579878625218926e-06,4.5144906657412776e-06,5.06686723855676e-07,2.236181262382786e-08,9.862147695993695e-07,1.8305870375101563e-08,5.675481850875297e-07,5.0707540388827965e-09,0.0005024088948391847,0.002078850137377644,0.00015330905724587895,2.3715955020375823e-05
