 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,C30,H31,H32,C33,H34,H35,H36,C37,H38,H39,H40,C41,O42,O43,H44
N1,0.0,1.9544019920088598,2.008453973641963,3.0520720195981617,0.0826899084115289,0.2041840155856312,0.028713350934939763,0.0074225753333966304,0.038516142257721694,0.0017155830545183548,0.036811978274666424,0.002603438277611017,0.0001376736765363873,0.00029930834706737297,0.0016588649662434563,0.0004984903139899632,5.06631272989555e-05,0.0003270093182814182,1.084511269466848e-05,2.3293094104204215e-05,1.7795138519849374e-05,0.215595921835861,0.051436774568649535,0.03526792823351044,0.0024764600910230916,0.0072959927397804325,0.00018683664002328015,0.0010373154503838383,5.849188950568518e-05,0.00039175082273813777,7.781416707430822e-05,6.271221263842719e-06,7.117728677948076e-05,2.7464913446850758e-05,3.152377120674288e-06,8.341244700726946e-06,3.370287735812716e-05,8.072554095628348e-06,4.346622479722839e-07,1.6126863319199103e-06,0.0009973597861953898,0.00020857917815311766,0.00014327307794356758,2.0474460088903967e-05
H2,0.0,0.0,0.02887478846859448,0.11166268773125898,0.012027903262524342,0.026548768295694303,0.0010634461383720595,0.00011566876798463355,0.0031512529751713814,3.069982249415126e-05,0.0007344209336943575,0.0001699377587547346,7.702477852200573e-06,4.55158658316801e-05,0.0001490277504698767,4.747698651241805e-05,7.37673870454536e-06,4.217398092809521e-05,1.6356284109342312e-06,2.520633551217344e-06,1.1925936111989444e-06,0.00533353363693978,0.0011105487080940168,0.0005179757728905887,5.650673066037726e-05,0.00016488285381865975,4.369729121433963e-06,1.5849956498392714e-05,1.0063268542914727e-06,5.245579504986608e-06,1.1462551934293685e-06,1.560463749328278e-07,3.709610975177746e-06,5.0611063004968315e-06,4.763180383449139e-08,7.823137040396944e-07,6.059813771885914e-07,2.692852609786911e-07,8.419231312117859e-09,5.830171034837406e-08,3.482949316213624e-05,1.1930189741438113e-05,4.5272446028699065e-06,5.691514233241435e-07
H3,0.0,0.0,0.0,0.1038548210418554,0.027957533015569247,0.005746295508644139,0.000250081568465621,8.180843485350309e-05,0.002921629420380767,0.00012655284820595192,0.0030147667995461536,0.0004511436265050017,4.750369832207113e-05,0.0007863154077456525,9.10372981455243e-05,1.095363874425992e-05,4.56769729024753e-05,4.933992194366965e-06,1.612635030623366e-06,1.434689689272517e-07,1.7926391686629017e-06,0.02959826277166311,0.06700047848079771,0.004888669548396951,0.0006841363292029445,0.00053230548036165,2.5704124513081794e-05,0.00011586978112665403,1.4390805644470817e-05,2.2480432573135367e-05,4.567446071357395e-06,1.5679333238427517e-06,1.4318464126583663e-05,6.428035051797565e-06,8.940013398461844e-07,3.803049108519474e-06,2.3451111744732245e-06,5.71964247741974e-07,1.388555197490149e-07,2.725440488848818e-07,0.00021940218939930922,0.00013068095032020555,4.2698850436950764e-05,4.528601820208422e-07
C4,0.0,0.0,0.0,0.0,1.8006762916194081,2.7145642471641227,0.08139268946563494,0.09572110035184256,0.1429060426933903,0.028156709097711285,0.01149464293851632,0.008616833585967598,0.0006682066544356768,0.0015519349819377304,0.001315741699257078,0.0007547848969352566,0.000170718191309982,0.00021910925978983753,2.1456715644241342e-05,1.1995102394246615e-05,5.4530688047393916e-05,2.396080695114187,0.2676490514832809,0.2168296555305767,0.014185501081306895,0.035337038750840266,0.0018087893511282704,0.0037217989497519144,0.00017655992164811174,0.001432894817970154,0.00018234091269619945,3.230865154835172e-05,0.0003559648206497984,0.0001129332353724255,1.9354054759057604e-05,2.2714224755082668e-05,0.00010406247612718134,2.9138665602390645e-05,2.3834036704251105e-06,9.539121178736565e-06,0.00831347130037599,0.0017550220631273594,0.0014142013144155946,6.765043319423292e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08888737079253883,0.002464418131801649,0.009775786377851148,0.02449262679303421,0.0005378347165501118,0.0008628406300670299,0.001067207004306736,0.0001427313662323293,0.00022436477006837485,8.76512527101525e-05,2.949662764573091e-05,4.032974589174287e-06,1.3459103568758124e-05,1.6611921671572105e-06,4.1876430922904717e-07,1.612338390977186e-05,0.10594000955488703,0.026604369922630933,0.011792654514116596,0.007414982203006737,0.0013619595061393763,0.00014082884362665027,0.00010980328897791658,1.1795904176326033e-05,1.685740962964477e-05,7.523093276784465e-06,2.075020773428804e-06,2.5977032597102045e-05,3.6893675405824666e-06,1.7062703616677055e-06,6.55469243771023e-07,5.643478365291443e-06,2.327485392861206e-06,6.562912191476755e-08,2.293345919390788e-06,0.0005949337189559145,4.936527187981987e-05,8.687811150376312e-05,2.1347955472039715e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.045751095243757,1.8534881947860042,2.5022631543261,0.09251076911586109,0.0887820590284365,0.14885812634231643,0.02697247201534103,0.007279360558535286,0.01993812964719055,0.011131848597384475,0.00037929215320176013,0.0030112870499736516,9.249985422365992e-05,0.00021919200097364477,0.0011221904400950944,0.17778281200691523,0.03539180247545211,0.029281346698203578,0.0020737828817236625,0.003320043720913657,0.0010595248665444812,0.0003100466557547088,2.621530270241479e-05,5.949798177240506e-05,1.1302333616569626e-05,5.730015584015646e-06,0.00019128179934287115,0.0001525151915788836,4.228517952009625e-06,7.534987766177892e-06,3.186800059640227e-05,1.3658519992576501e-05,4.4007505417553716e-07,8.736887059379583e-06,0.000952574479507029,0.0004614105157184911,0.00015219118308068547,8.101212986000306e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024554795088351122,0.07908785263304319,0.002611594638616266,0.03330991774791481,0.007289562537245109,0.0004574919409010558,5.5823980743996415e-05,0.006942741969030886,0.012495056952005035,0.00012578948259522882,0.0007604617276479875,2.688817929019649e-05,6.6748532600025e-05,0.00022530644436558056,0.01014774114480943,0.0020098780618842405,0.007900711999809573,0.0016655215963186087,0.0005950427943988146,0.0004269807928296565,4.2529701030247224e-05,2.9237044520957767e-06,1.0923462516299054e-05,1.5476759718247024e-07,2.8610630531389347e-07,0.00010009701740032462,0.0003085177241974879,7.495996079187606e-06,1.2944367899780929e-05,1.5098396516366464e-05,3.1751742852748066e-06,7.192142148504388e-08,5.123782043314762e-06,8.092011540572486e-05,4.2781400785285584e-05,1.6717306546398802e-05,5.949265602378517e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09962331985006867,0.007825933213500003,0.0037819858708674214,0.02863277191895508,0.0007681900854041857,0.0006247862510915247,0.0016846048613543552,0.0008529019047121,2.9244098162850563e-05,0.0003950549928171121,1.145967651905444e-05,6.981660858240701e-05,0.00015567641772151752,0.026456488158992153,0.004504085931756885,0.0031168764375730795,0.0003045977562285973,0.00038211975013946464,0.00013427425258383252,6.073030927988832e-05,2.925745632653687e-06,1.625484039158298e-05,1.9790642031836114e-06,1.7141418611199555e-06,8.075928556339207e-06,3.144018965839379e-06,1.2990199496076826e-06,1.593732135152237e-07,3.2085163151895912e-06,1.4528689957771235e-06,2.5898854616457356e-08,1.4328374253747e-06,0.00025163880769607516,8.005409721123513e-05,4.9167801575378256e-05,7.081757731342009e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.088176190846868,1.9790267196942666,2.7027810258619263,0.0868574505084736,0.08059066414692939,0.1867909873851137,0.008157690467535228,0.005754750569182954,0.03897157375811529,0.0007060134792139516,0.0038754503253286554,0.0020942093954854357,0.010201843997693832,0.002561792215765246,0.0024259667595602774,0.00019292259358349995,0.00038167561854102194,8.76129037159501e-05,2.7920370712142262e-05,1.703708114586533e-06,5.736218210802835e-06,9.723139959838534e-07,4.7517446399858443e-07,1.911737011399406e-05,2.282815922716175e-05,9.340909135069353e-07,9.897352699628215e-07,3.6653088954924362e-06,1.6203625996524806e-06,4.8583548295511036e-08,8.131994539972709e-07,0.00015414766111679357,0.0002491529827506056,3.368739967060663e-05,1.4593547146279917e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024511324975306836,0.08344222926582345,0.0034602145369939663,0.031344346993149586,0.011916348458045123,0.00020363123372613146,0.0031191411164688265,0.0011104961146743975,0.00032545097875136264,9.627351139140927e-05,0.00017118280837102873,0.0017477495778417396,0.0008616844847275651,0.00027823583784414296,3.2694323643944756e-06,4.4885889141976776e-05,7.21022612837352e-06,2.7681509842114593e-06,8.054791793554728e-07,4.6637621298195597e-07,6.01460459215275e-08,7.770429166775727e-08,1.7402064009797158e-06,9.310069624124395e-07,1.2764369250461982e-07,1.1671187283290863e-07,3.980436226180828e-07,2.6555550647344717e-07,5.554548154762529e-09,6.882365366500665e-08,4.3606649499539074e-05,3.9523850106748526e-05,1.1815345927090881e-05,2.5430641414914135e-07
