,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30C,31H,32H,33C,34H,35H,36H,37C,38H,39H,40H,41C,42O,43O,44H
1N,0.0,1.017741069122596,1.0202952758471204,1.4587297462281434,2.0831370226167154,2.48223447669357,3.421786984193508,2.771900308422987,2.9610019460566983,3.8840390601932246,2.529305735550058,3.755658513492045,4.3611279661487,3.38303918898374,4.943785938201322,4.8672377180076545,5.6559508118269415,5.892436657919805,5.668373724101539,6.807806130986183,6.13368237837497,2.4864130915282656,2.8064930873740823,3.6986675651560095,3.9675621326680197,4.886479376515362,4.936441638948793,6.142935280584002,6.042388734876546,7.406907636886566,8.226725353334238,7.754811305708652,6.651658355347202,6.039347102292283,7.07473132358087,7.552369441322446,7.57125885158647,7.079030354862275,7.42361579099803,8.639959620564024,5.349399957906745,5.464291698836334,6.151333978619125,6.663008198591558
2H,0.0,0.0,1.625828797379722,2.0479821080621843,2.228926028544313,3.3134189466162893,4.167150220779314,3.4629734503725227,3.9644933652488286,4.857072753551616,3.5128398778352374,4.740341104685077,5.347489175526526,4.2756009545738625,5.889538591155255,5.735957499029401,6.6363093881615045,6.778341356858835,6.460788233695934,7.690721545747747,7.035366356673204,2.9089928696521774,3.224489851476258,3.9951351893327516,4.191319451399744,5.099334214067864,4.962988371229865,6.308487316425755,6.071380064009427,7.500197892961655,8.31188526454168,7.9485328460466596,6.993756957727435,6.4551168643756665,7.514373725242622,7.838160457425311,7.481737806425864,6.981003200882315,7.216778638019482,8.536803392634194,5.752607287937903,6.0559902052714865,6.447810064433424,7.050931397578062
3H,0.0,0.0,0.0,2.0294791521168216,2.8743153945372457,2.9707687117010737,3.859280054006675,3.4947416974144803,3.045954700651465,4.067290365764769,2.529358916884097,3.4547856376771615,3.9250661766956365,2.890290651633282,4.7646960986684075,4.849242684259094,5.545926263990384,5.513326888343741,5.254381390109212,6.488300695037558,5.622135284180486,2.4776007383434977,2.320723615415747,3.8259321255820065,4.328935077943317,4.809279654996811,4.791376857840034,6.214641822331076,6.26386994033502,7.365175692967153,8.269889641791094,7.593295921062321,6.784565558198831,6.271520130637246,7.077268990877169,7.759353867008058,7.484139521517884,6.872605026884732,7.457085988638467,8.517715817621344,5.02701428704623,5.135575532911733,5.688504498177897,6.109409202041711
4C,0.0,0.0,0.0,0.0,1.0977386913646883,1.5592358292262125,2.187187158326172,2.1375051927337956,2.629853343164566,3.5316380077600398,2.7776745671243424,3.3523583049217076,4.247020233580061,3.032770700834702,4.161895153134879,3.812485943444184,4.9267426569781705,5.155386833784186,4.871788248608596,5.965319339870099,5.619236161123943,1.5427583567643224,2.4353687796835595,2.4821109802344417,2.6214552117336547,3.840918784978938,4.132803391897048,4.938448644327103,4.844670371424428,6.317499835861396,7.054861618852606,6.695485593170193,5.293771685238804,4.617285051418122,5.767164573973945,6.166785154913418,6.6899291399646446,6.354328376301748,6.5615094227755195,7.778472371287608,4.433455129466942,4.499325047747066,5.439828628187921,6.007094761443022
5H,0.0,0.0,0.0,0.0,0.0,2.139360978684424,2.5176376680317647,2.312972238950398,3.504135350953574,4.2475688566441985,3.6807225091438607,4.355456917381467,5.285897804271758,4.085069559321307,4.9925300956288865,4.4683461904543424,5.7066895667881905,6.017267015189178,5.691052136370318,6.747311147082175,6.574637883441468,2.1455488098694704,3.21490926887102,2.6108657206203536,2.3652576173111037,3.9995544005722627,4.243444551762212,4.846856151119842,4.513996795651731,6.256307258434628,6.88665994342903,6.7987703982705385,5.245318162779991,4.552952470072021,5.903212348610425,5.980377881234429,6.577410318466953,6.369796646563178,6.281027141004976,7.671161431701812,4.910355686988119,5.111922140836741,5.92553326506671,6.604951710544299
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0994937817684038,1.0953583601319523,1.539932745586494,2.154806285696996,2.143038071389205,2.6297281549869274,3.53886651201438,2.8507243171930576,3.228812893778739,2.9088978186249435,3.7449523465113534,4.534036825110544,4.545890599605192,5.238610988914659,5.0476454009803025,2.576410976650231,3.3949685715811557,3.221999442527054,3.2187890560938874,4.595048500651744,5.171606531313411,5.511536444780564,5.535288374081111,6.980544541857469,7.619612269855534,7.2524027182636095,5.429877484194164,4.54941576367183,5.7845151994442405,6.273416468656387,7.6324463636324875,7.3938375368644245,7.593559512265726,8.704916988197919,4.931651302796711,4.608845410166371,6.101927837723188,6.51785281593441
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7554094906239806,2.198361303342322,2.574982945665785,3.074364623769061,2.8837958970778232,3.9047757352809476,3.1454284612740264,2.930393259021584,2.2799631797925812,3.434528881356068,4.202160760545552,4.1869321068559096,4.7469903103608235,4.9025314601395955,2.733840570407947,3.680414219290194,2.904440086247646,2.7530483478054237,4.211509356876891,4.970335494581349,4.887977125039511,4.957053599030712,6.389732328064832,6.928491626314884,6.651291724793751,4.57059186915484,3.6128795776187883,4.924936683891498,5.361030360948874,7.218224099323075,7.109941108997443,7.2169461930271614,8.26505333735211,4.562746671986484,4.152218027879307,5.835149239974859,6.252629613221147
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1310716082723986,2.350416115441502,2.4787924088977378,3.5168770436492696,4.288366642118942,3.860071891983452,4.103595368664113,3.7859097644779127,4.418130206095861,5.5035909584190525,5.594681923549468,6.152817986754774,6.000341637694254,3.464591618942634,4.34261705398246,4.046704179357553,3.834222582455507,5.479709700437166,6.014269349403591,6.278767682882481,6.153918306015172,7.785626826326212,8.354377980458533,8.14686401075194,6.164024474781714,5.21568155385677,6.617919196252376,6.903783081270005,8.40925364887635,8.224182978313484,8.260373792450572,9.492794868774183,5.959818611317751,5.670403927997772,7.135426330148366,7.589259214466479
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0983801833428277,1.09489928288259,1.543101680891384,2.1619007755774833,2.17460694230428,2.5501719305401997,2.7896881077870543,2.90586333036042,3.8806956678647864,4.1553465262520515,4.661064309938174,4.138697633752721,3.3386308799059505,3.680768542952535,4.209507769118507,4.467674175713732,5.387236089538968,5.959046480535434,6.463598703614991,6.685823441771648,7.837104733145144,8.555198598523255,7.919951716526378,6.314504886522152,5.4915140143172545,6.430684569428318,7.242646147921138,8.516125653265386,8.15474226144058,8.62609602595979,9.554847179486064,5.306699273701042,4.7473064266281195,6.378402083963329,6.585446771718589
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7518862673402535,2.1657985155417805,2.5165216472487657,3.072794253268736,2.746778779045888,3.0346666162465974,2.6711711752411933,4.1979331907087065,4.683738468039741,4.816469905164144,4.454633665543786,4.336026848864576,4.7518898789871775,5.05826341062399,5.187459805122678,6.2524165373312295,6.911274407554698,7.191242871045608,7.405616622037142,8.600423683516853,9.241535744289301,8.669975128025012,6.845960569655998,5.9376515802026395,6.935270408038144,7.703714057031765,9.387583099809902,9.09413927148897,9.494760132293182,10.419646520152572,6.150743015238834,5.46294586113376,7.274689161906387,7.432631066971232
