 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,C29,H30,H31,C32,H33,H34,C35,H36,H37,N38,H39,H40,H41,C42,O43,O44,H45
N1,0.0,1.9646853868885144,1.9242826070460202,2.9802848264261543,0.09259532770120293,0.19236760196293315,0.027638582533748735,0.008774944212981528,0.019978883061535876,0.019504185632046533,0.006267451946439184,0.0032702793369909083,0.0001408081739886491,0.00338999453467094,4.169917426621872e-05,0.0024511285514355746,6.879488381184018e-06,0.001862386222097251,2.5559050136125805e-05,0.1957046063089053,0.03816422612977399,0.0851750000590036,0.13043881640625432,0.01037856174070044,0.0015098993392244076,0.0011432565095735037,0.00015137582362245716,0.00026215919461614057,0.000555734521557813,0.000837129928860425,1.1304691594160587e-05,5.7816387227238586e-05,1.2344015523635399e-05,3.361848322880334e-05,1.5083214815581059e-05,4.051393574622253e-06,1.1986182525403066e-06,7.805301539336174e-05,0.00012597293452765168,3.824655187445458e-06,2.5866979413979863e-06,0.0015272989706553997,0.0010766432508500373,0.0002724177854765836,1.6336151955398392e-05
H2,0.0,0.0,0.028981694988295503,0.09997722621997074,0.03267531271201052,0.010931370814214691,0.0006265213673550818,0.00030577156451983,0.013484441735972297,0.0252081246146465,0.004560316810474863,0.0009769137557648078,1.56120832257578e-05,0.002847671451847278,4.132156297353973e-06,0.002026156639118093,2.698132468781367e-06,0.0018712049463971425,4.485647727259234e-06,0.005541226196014604,0.0011608912083350686,0.0032827531091758066,0.0017118110051463908,0.00028320201671294676,0.00017043694000129506,0.0001750938960400905,5.323696704007119e-05,1.242667551948351e-05,0.00047029222996242126,0.0010509035644623577,3.803913419475613e-05,8.866510284444296e-05,2.3065200347893722e-05,6.668882711835522e-06,1.5008970656316123e-05,1.448268933401664e-05,5.599128578559487e-07,8.551165918690984e-05,0.00012595451971453286,3.5365736772430267e-06,2.04213013454968e-06,1.316899214809375e-05,8.019817263726914e-06,1.028337164798998e-05,7.842186717788024e-07
H3,0.0,0.0,0.0,0.10846077338466509,0.009950032197925118,0.005431732752965157,0.00029534382596385633,0.002100686910564198,0.0004625112552451016,0.00042737040682683247,0.00023785271765164318,0.0002038522863732073,1.3183461158305931e-06,9.92221677879046e-05,6.087206737781514e-06,5.0947959525315945e-05,3.502679772005024e-06,6.0623829217232306e-05,3.950087674287062e-06,0.02779196606443246,0.005085922831742917,0.004743574421877561,0.0007890043684795067,0.0004402915169610111,0.00037333670928618723,7.42692262465372e-05,8.50100986626856e-06,6.486865593902102e-05,3.553366534259084e-05,6.126418645080456e-05,1.0361599820374323e-06,1.1297402047194538e-06,7.852560084398164e-07,1.3973425549984597e-07,9.296741181330503e-07,1.5409838831637046e-06,3.143820404005737e-08,2.916282987985852e-06,5.5796438462873965e-06,4.089163274656471e-08,2.875728144502432e-08,4.6090110260910144e-05,2.668754334123058e-05,7.157474615882009e-06,5.639299938131614e-07
C4,0.0,0.0,0.0,0.0,1.8927713253338863,2.6400793839154413,0.09776422205245905,0.09239351237032012,0.1661564436556548,0.034718073058403756,0.0009997149050828824,0.033779570620464466,0.0006143052416733852,0.003916257054228628,0.00018299070952965124,0.004343286593507009,0.0001713627739499124,0.012346894599070929,4.9989548866813394e-05,2.664328735107803,0.2826870971176811,0.2287616097404159,0.020517939201721735,0.0365561273499683,0.0017391717139485507,0.00356795685892497,0.0006384681797648728,0.0020073067123749233,0.0004698515229086264,0.0005313217833120554,1.9739544913077722e-05,0.00010444302382611736,9.95483106969175e-06,5.4102180696569135e-05,5.048219058731429e-05,3.6152444762294067e-06,7.931988081910646e-06,0.0004720429609833543,0.0007602356691196466,2.351474357054073e-05,2.3128947528094912e-05,0.004803030394128854,0.0003780095194249322,0.0014354722904200007,0.00028453649629078814
H5,0.0,0.0,0.0,0.0,0.0,0.09443595802504601,0.005132263676874915,0.006044867989496661,0.02387629900579402,0.0035344846370680694,0.000222288293599604,0.0034078197525321263,0.00014327785256518233,0.0005168272571890453,3.5158816713121155e-05,0.0005883874256420452,3.0185859283271554e-05,0.0009325314392465422,1.3786454859276986e-05,0.10465469895494395,0.023815898001852798,0.018970956563952313,0.00038051592990462346,0.0015235654712708602,0.0004027200554301835,0.0008722878629117137,9.783648144545687e-05,0.0001349100258682956,0.00020753442313670156,0.0004093886501808086,2.0137570164724394e-06,2.8394146328714065e-05,3.558417766447164e-06,1.133266231367891e-05,9.613407816022601e-06,2.7827602888663705e-07,3.1473716188834544e-07,3.001660435930642e-05,3.876438208272326e-05,1.0586672705148459e-06,2.699868145716877e-06,0.0001394317850054172,1.0618799848427507e-05,5.413271457654911e-05,1.6006816514035904e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.043392236999956,2.0001181486087933,2.8200904762427177,0.23245824795062336,0.014408581298375522,0.2391855889822641,0.01393655999128518,0.03518287076071937,0.002543954779561708,0.035938796440468435,0.002547360443344915,0.019026682161801478,0.0005387057719552502,0.17116448352847397,0.046222869541971794,0.029535297838409885,0.005213141118958431,0.004639400033042945,0.00038262343067907434,0.0007345707603131496,0.0001435072987848729,0.00010110323529288756,0.00010612506973353697,0.00015760293407041104,5.443028808005401e-06,4.236040513597161e-05,2.9096376751303055e-06,6.019221227826499e-05,7.181370113396035e-05,3.392107353450413e-06,9.030020628686408e-06,0.0005315696082913435,0.0010836402360490105,2.6821357200557117e-05,2.6259379064641486e-05,0.0008689091389890435,9.131362845661573e-05,0.0002622334460884862,5.3328113181372316e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025430984675613333,0.10405499133873453,0.026472640297592553,0.0006544556754888298,0.01726263805347672,0.005306689265643705,0.0029406342109226102,0.0006513428174061975,0.0019083468967224793,5.4947844545294444e-05,0.002930651632442882,2.1419755121598882e-05,0.009715901199654153,0.019316058819145554,0.0018525110013142276,7.359324670175305e-05,0.0001748111988933987,1.773528643456146e-05,4.426302998150611e-05,4.387310195141936e-06,1.6857768179612265e-05,5.567347749591001e-06,6.062208626200771e-07,2.410478744163669e-06,5.5943022346793825e-06,3.576051805787017e-07,9.169854277013556e-06,8.610613281945234e-06,3.7664949115168156e-07,1.7124528619572033e-06,0.00010217406562518239,0.0001872353131842086,3.7793038132338808e-06,5.181384413077694e-06,2.2105033455899203e-05,1.2626660949921487e-05,4.870582751892449e-06,1.4196837918589722e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10125031697283471,0.01737625027233569,0.005391643177686367,0.027613891171568206,0.000646389304207684,0.001806180878156205,4.090201818240935e-05,0.0031049066378713297,0.0006991415561015124,0.003349028298225143,2.6412881188431214e-05,0.02611982144388625,0.004391038598682284,0.0038237525770299374,0.00019764709902880817,0.0010500799126014204,1.578736334573172e-05,3.399603924447714e-05,1.5500053463179952e-05,9.367125134884802e-06,1.0101238927084921e-05,1.6774076011971673e-05,6.365119076257031e-08,8.808537048210496e-06,5.202735378073697e-07,1.1826267796388734e-05,8.592260072326496e-06,7.180075622947868e-07,1.6246574789935408e-06,0.00010994204957726073,0.0001909629411112057,5.84385308410873e-06,1.5427402317857997e-06,0.000164982239230671,8.876789589939982e-06,5.5405965679766744e-05,1.788267991642556e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6105466789338587,0.12477049088483882,3.7668631722669215,0.1292392303214318,0.32476157916435566,0.025952039013511508,0.33669311614992936,0.026643195035881417,0.2850643650418395,0.004326818380330444,0.016972754051975902,0.006687041186682105,0.0022541534810703034,0.00024445446204324206,0.0003457478135353298,4.025244484695545e-05,0.00017616474152098993,2.0429567086477363e-05,8.006157417383974e-05,0.000382504675639328,0.0007939193088297714,2.5440703309786983e-05,0.0006325489942963503,3.269062195654371e-05,0.0006960380686311662,0.000646721219010632,4.387693420426775e-05,0.00011933267729147268,0.00862236402562605,0.01544860377696522,0.000366553845883244,0.0003236928728190813,5.1761320267046385e-05,7.800008305969275e-06,1.8605197785917515e-05,3.448705559128129e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1272932492437078,0.32929402253819945,0.027314565139035185,3.9167381834947115,0.12967620734507512,0.29676270335868427,0.003556344632818398,0.33133952978734466,0.026955822957132725,0.0023814643370238253,0.001115496608877331,0.0005480484249551498,0.00012698435260105612,8.904036330543985e-05,9.363669151385423e-06,2.905205771285002e-05,1.7217534686864155e-06,1.6929827930445285e-05,0.00021214070088289294,0.0003248841853258355,6.211827092161837e-05,0.000932184210258119,5.759463683463473e-05,0.001330646444568595,0.0003662711591778528,0.00017922670948833375,0.0001160437543470394,0.003644704195453763,0.007254815081735977,0.0001383272126387336,0.00020115473327242395,1.7807017797549785e-05,2.5761703740939668e-06,4.182579245864959e-06,1.0432592968401266e-06
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028616248251869036,0.0014324634938251979,0.130371787866445,0.008357152259681033,0.0037664839084390334,0.0005338673942085759,0.02744276548552449,0.0012322857451927405,0.00039311716761814,8.572056331479505e-05,9.650462354793277e-05,4.55239307770583e-05,1.0519403882414124e-05,1.7811684165369712e-06,3.566464106041778e-06,5.18002738481016e-07,1.0172807489716718e-06,6.732656532282277e-07,1.4986896446078646e-06,6.133166974287008e-08,3.7452488665934425e-07,1.4188521690883249e-08,4.113355471790925e-07,3.8441573095848725e-06,2.1605388589307495e-08,1.617936686848509e-07,9.257721988786827e-06,1.8640020866600437e-05,1.92065902138161e-06,1.5178059071807581e-06,3.2111392234135394e-06,5.199784273157704e-07,5.667742608572723e-07,8.573331111705329e-08
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7958077434459006,0.31058280991385784,0.003504514367504319,3.916929812799811,0.1295109649639361,0.32255381376231107,0.026968331778147947,0.01161242464225215,0.027292988362826218,0.0024967285243087667,9.598621661432993e-05,0.0002477698842557885,6.765705717537429e-05,0.0002853546451685868,1.508078880596564e-05,0.0004922965895592935,0.0005822625549245231,0.0005871801786925257,3.6487139163599025e-05,0.00403429283897877,0.0001508408662276306,0.00872539538998085,0.0005344099210388698,8.416838971381235e-05,0.00010902030346315872,0.002640519603124558,0.004064696047992422,0.00025914009520222603,0.00011943256040747308,2.7824375105622856e-05,1.6256454653973407e-05,7.046959932005548e-06,2.0023413270786605e-06
