,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29C,30H,31H,32C,33H,34H,35C,36H,37H,38N,39H,40H,41H,42C,43O,44O,45H
1N,0.0,1.0189650053157853,1.0174685677969573,1.4656623488534708,2.0675591350326536,2.5693975407041734,3.460751483287567,2.805939096153961,3.191059747254311,3.4667731989392503,3.203225187185674,4.257929637409376,4.570767930036651,4.665141421277509,5.239430680805176,5.289143196583537,6.213530839368611,5.468977147884534,6.499883118239521,2.477337782806103,3.61334524999328,2.662531484579498,2.1814955439524577,4.083753414618667,4.715596354366392,4.794850550810123,5.845527452847829,4.839769735038223,4.597226983005348,3.5908326151755015,5.13199643776402,5.522977362889107,6.518607133180422,5.33031462598362,5.845830051734257,5.136185094738252,6.7632608378737835,6.406712269013311,5.7976288419155635,6.918461536077921,7.17264613786045,4.655305737142854,4.304521029058156,5.985134124818438,6.454779768798159
2H,0.0,0.0,1.6383113502888818,2.061173034016238,2.9171272346562134,2.7001358312066013,3.7140426711591847,2.966329223006765,2.8072359907873623,2.7696726874488222,2.547061281073918,3.875970539455101,4.398429003766654,3.8284677838752006,4.336991391165744,4.70256789022169,5.673103479221834,4.693466082953049,5.677794381126381,2.888012432846276,3.9256640722994733,3.0393053938528873,2.607257258727537,4.344958859112181,5.116494031317864,4.7514539053748575,5.821097234467289,4.801300675115942,4.254293001232067,3.1766216787898593,4.793162205249239,4.995321403649683,6.049282715986189,4.824020759579155,5.105422512474228,4.332332314768062,6.031015961111424,5.578691489102123,4.968383424637908,6.013992783508593,6.402856420658201,4.920782671758919,4.561071994409434,6.238542349252511,6.702872780391731
3H,0.0,0.0,0.0,2.0621517622031877,2.269404343276902,2.9214197114116263,3.8232642941669983,2.76576915158929,3.7027020468696223,3.7924830297745618,3.2484477542305936,4.931003033524345,5.2918060283327515,5.052742797306129,5.498577365045379,5.963085145285489,6.940774086048109,6.023852331716032,7.043011591275782,3.3421065900214195,4.430574258231046,3.5786464852776976,3.0088851271241173,5.0058945927919485,5.579016500050906,5.799696174689169,6.840253311352084,5.839317505142904,5.58760406648395,4.561209218148823,6.071054457405576,6.494727664183934,7.508067837927165,6.291607341671818,6.716166468935685,5.93842980002509,7.622908432465953,7.20744177618341,6.559612959512575,7.639849959000616,8.011764663721072,5.471121844074867,4.996293229087757,6.805316762355506,7.208231449595797
4C,0.0,0.0,0.0,0.0,1.09809892045232,1.5552335082594624,2.1534831672046093,2.1534783650488123,2.6049454898293884,3.4437026293448505,3.477221712506107,3.4860601629844585,3.525171223707592,4.712506770984161,5.508667326898478,4.747655546190697,5.567517578873562,5.26151678905149,6.34540738204522,1.544192454618317,2.431390250261688,2.4382027709902747,2.518687628992125,3.8212378771340645,4.181197131474724,4.491568500599743,5.536407264633258,4.241594670346598,4.6649629438676765,3.8263983294660644,5.4220955872175765,5.468929635820602,6.385414660454273,5.040091768915564,6.08225392406987,5.596859092193767,7.078588653636098,6.510818183990318,5.804816680664471,7.171187979145681,7.119617102856823,4.794087603775575,4.797024036160483,6.0174480972895115,6.659470356483339
5H,0.0,0.0,0.0,0.0,0.0,2.1394666628101255,2.4059674334006584,2.4174857314642924,3.4963799469410395,4.350593398373154,4.24867566799095,4.366786114845759,4.255899461557128,5.680097971562596,6.448534228431326,5.694911884175455,6.475689837576246,6.258087411093052,7.347658239416874,2.1177163694162062,2.854784137962029,2.9350618355370552,2.9699708318439564,4.262877456362243,4.4142459848757465,5.1780502571326465,6.154505159961881,4.934253267427155,5.548168391710656,4.766866349539941,6.253727982254586,6.449870524844199,7.315256151093107,6.025583866527255,7.137094915598017,6.652061098722737,8.114693545805704,7.599083186282284,6.891228436563189,8.268812656751715,8.18593438184373,5.152062057295978,5.138253457469542,6.329967139642831,6.943461145449021
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0934892500997733,1.0968836720603337,1.5160509400890105,2.546192844915111,2.7479733872452057,2.539626289963362,2.7254952404452837,3.8345831898644422,4.697590452283307,3.8265259202545634,4.686321639000416,4.342016379245668,5.423126624624186,2.549103599013869,2.849007487448056,3.713484694394392,3.941054245671585,4.953530468745068,5.2633465132453665,5.258309801898079,6.309178497121459,4.746966527291233,5.325172563288949,4.515717203770918,6.228441155859958,5.733431173611122,6.664622787024766,5.0631854561190375,6.239272607283974,5.844243237831787,7.311679666568674,6.29653513849593,5.419943759207733,6.9232042725676,6.840027543826874,6.104037535079706,6.198395072105722,7.272620989664679,7.983559634895795
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7648891885292295,2.140000866815926,3.382932550532792,3.7200859616528366,2.6506764652554162,2.4383770384705192,4.537659697833098,5.47590312877188,4.0127969248019655,4.687773820414261,4.7928376644260835,5.839600024407357,2.7273642611745514,2.5833379217389107,4.0531520336834435,4.482987260740727,5.13540917552421,5.228685189112522,5.424936734357381,6.4002122894476665,4.750523712982041,5.748349014647503,5.090235639523167,6.71854466121954,6.099686831399664,6.923840860720977,5.320660628818075,6.793147588964635,6.542548242165557,7.867106019174744,6.803971897338427,5.921249703926833,7.514664063177529,7.213644380714646,6.424324657274894,6.686915971855114,7.484765014395023,8.268401829199199
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1435641503025717,2.686272722809337,2.5032015811577377,3.3625624205949713,3.677480903574264,4.042484570477441,4.732675387469225,4.515640480458308,5.439820968941364,4.79462405611663,5.837740390225731,3.4743951378543314,3.881337531400352,4.540724729646935,4.586281613629662,5.873044028851831,6.197540302578526,6.276080600281161,7.340867812440451,5.821287173388115,6.254310552660388,5.361673906793914,7.09786473818436,6.674213694651514,7.647471149269677,6.035110580657049,7.029155800765984,6.530208816996598,8.095510934634506,7.0172150272452,6.105036363707737,7.53778096103297,7.623105139043432,6.909584772373037,6.8631659325593475,8.13237304985862,8.785124265163091
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4066006475541177,2.1600488293269415,1.406554711861746,2.151105977677267,2.443673149395114,3.4227212891056107,2.4384633609445365,3.4169680261079924,2.8278811429703246,3.912169740696566,3.153470363096995,3.317748018178621,4.141502494621363,4.40641890351273,5.200809879983308,5.678984551186918,5.074238620835306,6.115318420601044,4.524561495126378,4.824301254741621,4.0515791512952255,5.771800934610683,4.867462979574563,5.827586882413958,4.121866746215833,5.168270423907474,4.842803041351686,6.257910859216501,4.9799221089724535,4.035354015136679,5.561445509909266,5.518343078726969,6.368281718749989,6.4948635985260275,7.494787182162673,8.215687729913233
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0876705464357423,2.413655961502478,3.39520334835987,1.39673146697891,2.154090218935405,2.788148913791719,3.875350427626375,2.42330216649665,3.406693367475338,4.204594103358163,4.59124444162006,4.944284508358273,4.971427123410506,6.045493001038032,6.6901519279008435,5.864343875714391,6.911499439559459,5.480801266077428,5.265165918491868,4.384618078069678,6.076727025533937,5.203758990072187,6.235884199826146,4.6085255316421065,5.084140235772334,4.580345377853462,6.1235500535203995,4.748501907732348,3.799476770265742,5.085677264629681,5.443381005573868,7.014544568283044,6.946217227788892,8.199678779263614,8.822633696103935
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4016237342077296,4.296069074016645,2.1480702774479594,2.4663061406240665,3.874963516142685,4.961362653329459,3.4029782960903137,4.295244411502603,4.5455876290884385,5.130255732086147,5.207678500245362,5.042840836999866,6.446892802558267,7.117350995431867,6.477234897650242,7.553190484049271,6.202157135281032,5.856952807842828,4.87014004279226,6.566649560065824,5.985619848645315,7.054698818293114,5.5040955172767,5.785141624203263,5.120972169071638,6.781645453888438,5.569276787471817,4.68579115884118,5.804235206637684,6.349217776792625,7.276657806845952,7.043916214215888,8.536698578862005,9.08543747907435
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0853089723387608,2.7974337244165284,3.884126894869091,1.3973459866857836,2.1518712410333865,2.4308778492169667,3.417323423410922,3.4401786976126565,3.156758362466118,4.419552344367788,4.93310327294038,5.146637605022081,5.531250748064796,4.671186181545152,5.596050351907932,3.919858107869877,4.5318291958916745,4.041492059006755,5.580213160157853,4.248581248191465,5.059646711606614,3.300227006800276,4.7377411170778885,4.717742800778543,5.8132867417492715,4.393185794613725,3.4603329764182886,5.119137409782276,4.6991755433137765,6.460111202069775,6.813935128496858,7.415904566441891,8.221186676280253
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.882728437765996,4.969363001960174,2.159141908302643,2.4801252495502824,3.415921184191816,4.316827544017369,3.164546764904803,2.51733685706017,4.2450916347695475,4.936580275296006,4.820042848719229,5.002748158316039,4.380933012652782,5.227186246655224,3.470205923582774,4.597195734665129,4.269170338272984,5.688145762791526,4.409980158940291,5.07729054234079,3.4132161791540296,5.20708171564597,5.30931761402117,6.248518420954782,5.005170256197343,4.177248321538507,5.841359266882389,5.1684566033061525,6.253972716626174,6.7684454885104985,7.104783484991526,7.975839431049909
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0871050693100446,2.422995762954493,3.4123131261053725,1.4021352692654754,2.1629386215902664,5.227129187373363,5.489430637551169,5.850460396878122,5.918352816450937,6.760715683083082,7.467788003184349,6.282671639524806,7.246198405794012,5.90038709081219,5.4673057192212955,4.724482068333415,6.236946094388581,5.0381933853679906,6.008599534100396,4.457154090614909,4.621717534588943,4.228690288194654,5.588605654468762,3.9292396094157995,2.966687982523351,4.095636705494272,4.597724293127157,7.7011250853619435,7.669301549710448,8.802263815086132,9.416089728306247
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4116920138026154,4.316347708160436,2.163569921155673,2.4935543956900488,6.135633703592439,6.5004801185876,6.658046879947836,6.601642932764016,7.59252130216828,8.366680915639973,7.129701665006764,8.081048861427067,6.842053039164965,6.168485170637176,5.396174381379521,6.81969478309748,5.7229551022834135,6.689967002713598,5.27283642158879,5.047118792300481,4.549346614460037,5.902940253921042,4.2908866473731715,3.4597643320751588,4.194562651381376,5.025750384390115,8.407574049372437,8.257416273665696,9.530903333136811,10.0758354858836
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0885624992251268,1.4051664466842497,2.1714170067653464,4.640561623290641,4.3622696749695695,5.425717215557059,5.899591523235482,5.983098280304505,6.459795162964802,5.199807615519711,6.017587560292725,4.4967687051728635,4.7825629344978315,4.425581139366283,5.773559208287717,4.060327439480168,4.79134500599483,3.0975295883586473,4.256279987624473,4.397217490664119,5.265733751130164,3.505767318128173,2.529699083685433,4.151192016847337,3.6971393284681886,7.215527606575814,7.567009406298333,8.092836043142759,8.872112869996165
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1675622807394985,2.505704234853522,5.237224262536329,4.748390783840925,5.9953992780906935,6.583868796693347,6.338677933193621,6.720899044802392,5.3725914914223205,6.040298032126806,4.57804501466927,5.0730412376920455,4.940950312263177,6.068316285634022,4.131338878010205,4.639259418607049,3.1028878410207197,4.456696950695749,4.842983486012199,5.36700894725641,3.594685566393667,2.7883671547734536,4.304818409893497,3.4735102847068413,7.617434722566133,8.103101673358417,8.352560968777865,9.17136134953933
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.090277635344204,5.422537305380252,5.406597666758333,6.076876399722843,6.348100214915839,6.74983063121828,7.381173137882113,5.999040615042708,6.851338417545737,5.482395746876502,5.25856560371726,4.762250752600859,6.109659977671344,4.4968715248086815,5.317808139275194,3.7604588064403206,4.197605802900887,4.147512824309158,5.147085135006874,3.220664768541798,2.196563425585938,3.5375220981869493,3.6333987850587857,7.811950617497683,7.976999249471345,8.770814348001942,9.458150587434384
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.455259166487079,6.394820200536249,7.047962472682934,7.317704277708326,7.6215339396079065,8.269195956748105,6.733654235798491,7.498776932922066,6.23664858206883,5.89987564168212,5.513729868958943,6.680249126483636,4.922852420695238,5.620765825152431,4.255570439128459,4.416427854254248,4.490401491439252,5.2199065471977395,3.1455684021582297,2.2895502680908772,3.2443693436241587,3.409489809193389,8.641175056259186,8.815288811631403,9.535873068140333,10.205383989056884
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2318836667938582,1.354635033482318,2.039329954043765,2.4622142318774323,2.7378354916956,3.1056716281217467,4.09697043953087,2.8222031963384353,3.6320974892895,3.069993984681685,4.445229427068489,4.53318552448137,5.300722249786551,4.144761213598242,5.466185270950465,5.19060656884855,6.404557699549396,6.072640684039923,5.509828889404694,6.877394200856218,6.543499130255011,3.6975366106362055,4.041117516816418,4.78345753147784,5.544109407327468
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2818993528282614,3.1661307721217695,2.8304588280534984,2.7645311599984996,3.1233771897839206,3.9817487761427706,2.45419505486891,3.936716381757953,3.6393125776098803,4.876629842569978,4.565381967547262,5.180455416880917,3.976245561931912,5.692905203044488,5.639907550327959,6.638227472611085,6.148163865720343,5.561776266797785,7.044354112027059,6.4396436138017386,4.28944576288482,4.895523789660513,5.14131015998588,6.015567710745125
22N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01746466699906,1.4498837813598011,2.095397238810646,2.4880663317645957,3.4191849991243077,2.713594257461648,2.9786515400779874,2.488717378706449,3.535791084882207,4.239086637242786,4.950672691147268,4.186796107969603,5.160343308353144,4.824177683605649,5.9567916550267475,6.076949976082346,5.716068095455615,6.8495902223885095,6.598098587883796,2.4005099943404455,2.6930017910200212,3.5918438066601834,4.274348150730675
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1411265505802133,2.89167180660672,3.2038216405773894,4.1025081856584,3.602168317777329,3.3347727935490403,2.6473810949038383,3.6766734320547756,4.674122138672344,5.463362326085203,4.753033171899669,5.3503037381429674,4.821942205988171,6.103121563765632,6.3283218319258,5.989885815709847,6.989971050172181,6.97079031831697,2.483252147892164,2.282982624075481,3.811285593847678,4.2960250909804545
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0965198809624306,1.554355461154437,2.177852026430128,2.1246897374973286,2.5719656982806254,2.652080222892413,2.9681241069125828,3.910679678099231,4.333556428199969,4.042884870050915,5.074602956827692,4.969791967471981,5.699743100040547,6.162967921253245,6.001134394448164,7.005342530334623,6.530728195418933,1.5227568176097963,2.4261286651625715,2.372158056107659,3.2134869857144097
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1515837827501563,2.466291995787484,2.385854599120477,3.4888405187022777,3.662810444504864,3.926472188534453,4.666947831535379,4.9514029790546505,4.663570235115724,5.96440734256368,5.958695383065114,6.590289667861583,6.968319486723888,6.765916710929694,7.866000129275201,7.233559905430519,2.144248239135054,3.1688152802786558,2.5641252407363018,3.47565122982666
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0953461819289,1.0946811148369264,1.5347069000531932,2.150485729960735,2.18516181039283,2.552350473230531,2.825943221004521,2.7370029062839025,3.9112036644364774,4.090301892115195,4.495344472902702,4.967359701342495,4.931555185067524,5.872879911606655,5.190128444840393,2.5407627421219208,3.4326074535212707,2.995109695437342,3.8489504544350663
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.769154075461017,2.1883195344423862,3.0621395998403567,2.4712742017299436,2.9615047739668228,2.8217906568676447,3.2996274363694273,4.35864205487962,4.703495884370219,4.7272477211598325,5.472185484785387,5.593646416582757,6.3762443080130575,5.549234384852137,2.7760905724677603,3.8182658188675584,2.7030755522581322,3.550484319027573
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.166751042115355,2.593025510318327,3.075983489958886,2.669654515566646,2.9622453674512514,2.4039583534888735,4.116021071639984,4.396530063065563,4.839627621385235,4.872095105694171,4.676765224883591,5.848559523149471,4.990890034672595,3.443760686930656,4.332174074138321,3.9174203915192023,4.8284866671043645
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0974691633534002,1.0984880791757112,1.5368272683460926,2.1849886924842457,2.147050064782898,2.5387393618122127,2.600005029235645,3.1338766722981055,3.7808141006488794,3.8767171833827394,4.578520568109626,4.189146517356431,3.0995775432078125,3.546712255117347,3.7481846541569284,4.3659519610131055
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7605141468659529,2.142577169871725,3.066943793961504,2.4677217701175302,2.720710916980276,2.3768098858887097,3.5055154083710374,3.8098542051982784,3.691987585609419,4.519475673376623,4.425166684053061,3.21776455249619,3.378051562103919,4.1859253805668795,4.754111707466374
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1786002021892457,2.55323714328763,3.066994491901702,2.7867982121340598,2.7555568482007446,3.036136431045566,4.243828542745335,4.538752156814178,4.8968746108084185,4.682456139441383,2.9346647465911007,3.221489215698798,3.42051763138951,3.831742497933317
