 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,S26,C27,H28,H29,H30,C31,O32,O33,H34
N1,0.0,1.800109526201281,2.809723906084547,0.09757316896401202,0.1975847076359193,0.015936447014260224,0.0038293589216935597,0.22708210327459888,0.00459255129706948,0.028985226681398135,2.8625940990704093,0.08464127283638923,0.10084290019019226,0.1875962424866098,0.06305488319216847,0.026455856541896902,0.002941506535957372,0.005849554821774544,0.0003982950219606485,0.000625931698581092,0.00010435668136743459,9.644884609860682e-06,0.0001599634632034469,2.9645801519206927e-06,1.7021809797235221e-06,7.123796379193692e-05,2.6693316093479025e-06,9.087216112924068e-08,1.2525692947296108e-06,1.0491490810560222e-06,0.0008572900529100203,0.00012467800486375136,0.0002551222158895805,6.520552518884948e-05
H2,0.0,0.0,0.10237089834582658,0.016490426728175578,0.011581402836758459,0.00024058701955831374,0.00013447174618841373,0.00620170630476935,0.0008121738026607428,0.00015699127834678528,0.09815409505910322,0.011177322607396567,0.024169293031652606,0.0471760584914358,0.10316304614558325,0.0077321194337667265,0.0006273817958850625,0.0007479912522624366,6.366035988980556e-05,8.997700443336143e-05,1.5091065671546389e-05,2.551166501385538e-06,1.964215706817818e-05,1.0160412993176493e-06,8.196902474555401e-07,6.5235883409675566e-06,2.3990911146576366e-07,2.8010447072901457e-08,1.214211040601043e-07,5.309156314581287e-08,0.00014614756071318347,6.571702202773366e-05,2.2301121092027643e-05,5.554502360061164e-06
C3,0.0,0.0,0.0,1.7612999437930907,2.334635497032344,0.072354976395127,0.08343154652527152,0.19931992016406722,0.003810193901446768,0.027662788581803488,0.24555511052929765,0.02665548814473251,0.005134694201674339,2.769403964839969,0.27763780377515396,0.22985074429308988,0.015209619226830728,0.03551771972363488,0.0031924058572492253,0.0036922559570922164,0.0010134815541362752,8.729594310219468e-05,0.0007814594028189015,1.3940097767450865e-05,1.573669442866965e-05,0.00025408885135029535,1.4822553758675472e-05,7.915604209873806e-07,4.703367378233736e-06,3.316925078822308e-06,0.004233904416235085,0.0004652641338697139,0.001220951418972882,0.00024863315979339884
H4,0.0,0.0,0.0,0.0,0.07389599083646248,0.004089573459337359,0.012319682598259662,0.016836366591961416,0.0004837096519350048,0.00017061637893633907,0.011777222765835371,0.00022435322802816238,0.0008700908567687016,0.10558425675878058,0.027287353072106613,0.012361923712287504,0.007201478973316799,0.0016319316006154772,0.00036248679153216834,0.00023739465445249408,0.00010420952349843304,1.6489876738079445e-05,2.3202898264962357e-05,4.15646619900123e-06,8.296308296573685e-06,5.457175992540364e-06,6.443204159101157e-07,1.3741419024881907e-07,5.041211281753277e-07,4.729242109036136e-08,6.928315694265663e-05,7.922927772852084e-05,3.190960873555859e-05,1.0788590778298968e-05
C5,0.0,0.0,0.0,0.0,0.0,1.8705745727062615,1.930006695450327,2.820967406158356,0.0797326157222118,0.07933745546605953,0.221288697943136,0.027809682431475746,0.007183039330572516,0.1882919204505037,0.03925997915097168,0.031204501573545776,0.0017371666814894882,0.003035835227669398,0.0003484318922366558,0.0015253252647938753,0.0002540945498411551,2.4683454978191577e-05,0.0002071802629339814,4.344244254994578e-06,2.5149730309426133e-06,9.36499388515949e-05,3.7413623737853063e-06,3.702713269326807e-07,1.9064864649198654e-06,6.821038007753799e-07,0.00036728010723499627,5.313699063787258e-05,0.00013334051780601597,3.087217693187316e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.02581898674030092,0.07598166015656682,0.008748537066884055,0.001196809733156945,0.027711959600094094,0.001330039914465786,0.0004737718136200719,0.019987547769875658,0.0029848199692029675,0.007571407822383414,0.0010965770654063345,0.0004122933707972898,5.448714103861718e-05,0.0003167387903921792,2.6652167293139684e-05,8.312399759624611e-07,6.017790974843784e-05,1.6399655744514519e-06,2.2213735118015165e-07,2.276248361976485e-05,9.516202035264598e-07,7.460958961758024e-08,7.011980911464377e-07,2.4632625028608857e-07,5.560920331038055e-05,3.382763783132958e-05,1.1288588035451852e-05,2.457205430461684e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08062657617041324,0.030351199665953343,0.008368193953194769,0.006039321245710383,0.000256523377476503,0.0016794478662776058,0.01795276957208425,0.004530242157582798,0.0013079979275616438,0.00010154884577362466,0.00027253664075610473,2.0926202172200092e-05,3.220129895775692e-05,1.8174050051555923e-06,7.932327492632396e-07,2.159150124692033e-06,6.671166798977168e-07,4.460377933668269e-08,9.128172865358053e-07,9.021406566223078e-08,2.1142947836949588e-08,3.784764013303743e-08,3.0783660065480944e-09,5.760362808082675e-05,4.247823506942083e-06,1.9354688563399947e-05,4.563678273061811e-06
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8449845400064881,1.7793636662402867,2.8003440603973644,0.07655430996043322,0.07989289514054665,0.01360175834913524,0.004135924533293152,0.004498056490497407,0.0002998408417956844,0.0005708494550081683,5.173723952289766e-05,0.000224106610648242,2.088875224504072e-05,3.62381034979542e-06,3.4598235171448555e-05,7.540852349219307e-07,6.635140102906334e-07,1.6128664647493962e-05,6.749697854524506e-07,4.9421437386953926e-08,2.8263834506159213e-07,1.3357069950092892e-07,6.759022764099565e-05,7.733565357756489e-06,2.4447450609921262e-05,7.497486384622221e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025231435502871102,0.07924360261742924,0.00798381194782194,0.03116547197790931,0.0016203067497535528,0.0030538506566410994,0.0003857784484877502,7.568220403930681e-06,2.2671693148401673e-05,3.932071714896068e-06,1.7467459525022377e-05,4.458840736409897e-06,8.60759210574713e-07,1.7065663948656606e-06,7.021367061099681e-07,7.018964631733127e-08,5.533747352570728e-07,6.04370418155753e-08,5.5506892415735365e-09,2.809495081024238e-08,1.0485380563807212e-08,4.504510717762145e-06,1.4241081874866168e-06,8.178136507996925e-07,1.9105288284748667e-07
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779131256921004,0.0012021905437635816,0.006380576540723215,0.0021858670706667027,0.0005134154050074891,0.0006960432270421979,4.3788481655981926e-05,8.140930822353454e-05,1.2295671952156084e-05,4.435978009431629e-05,1.4338293590210327e-06,3.8208064512268436e-07,4.964532506424035e-06,1.8925131461955402e-08,5.0072390456179505e-08,2.71760674153132e-06,1.0879280831765925e-07,6.4131890908925016e-09,5.921213386272939e-08,2.3130954707184515e-08,1.2279134036230488e-05,1.2501249326835051e-06,3.6676324197681964e-06,1.0637514100686474e-06
