,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25H,26S,27C,28H,29H,30H,31C,32O,33O,34H
1N,0.0,1.0204491393219373,1.4701499170037535,2.126596672163194,2.4442610840012713,3.3297656872528276,3.0147554475234415,2.404006931293765,2.8065852908832336,3.370363433155976,1.4739782231615448,2.1166939040581574,2.1140002305724157,2.4603722252927227,2.7492685866249964,3.6719015292244626,3.9872473193913174,4.9080840479184875,5.030401005524338,5.4263127778658395,4.744735250339945,5.7760456030636265,6.73116315745811,7.496589708331551,6.713631211966676,7.719437968565612,7.065042941929367,7.1095992833110655,6.13571083203582,7.891847775790899,6.044970613629005,6.179768549483502,7.180533232050769,7.882622630229893
2H,0.0,0.0,2.010365885175197,2.808531619432674,3.0341040269598913,3.715192705282046,3.814052797597486,2.825107639005858,2.8355527938103324,3.8615222075123885,2.0486859545589486,2.26791405492824,2.9201394213991545,2.3322081851791197,2.143518781263913,3.665308473736925,4.218669814669739,4.68216849301427,4.655157464262577,5.071185914369397,4.283033100891336,5.566835172846871,6.237995110700846,7.083822601313684,6.109530628408432,7.163881051663769,6.3550719854487605,6.306317897047689,5.456910307961287,7.174686902951942,5.98028829997962,6.312737235593959,6.999201974701786,7.786343166768484
3C,0.0,0.0,0.0,1.099861955122187,1.5696635906086445,2.233613904687847,2.1926999333071375,2.438699201089847,2.867192325864903,3.402491221144249,2.377684678698854,3.287170652897823,2.8919772718891306,1.5354005590524105,2.4286284003763083,2.4493300577007644,2.5981119294762265,3.82444211707565,4.08742764812945,4.597319506704729,4.171665543087572,4.878964161671059,5.986295310278856,6.597948498003195,6.066710307408405,7.187487657168094,6.8774538130971425,6.97249822123306,6.035200535913233,7.8005379072999075,4.762978711298335,4.7792479014426625,5.965808957740776,6.588185065361835
4H,0.0,0.0,0.0,0.0,2.1982363166190204,2.8226129073385624,2.333759593643128,3.3029576473662314,3.8956088313014328,4.125228027716451,3.0918836117300104,4.060675640416102,3.2760309868703423,2.149384626031098,3.2111955764257156,2.583946136163491,2.3869585715451636,4.019529888854463,4.542957274590927,4.658150704398254,4.313050897830034,4.686540689450859,6.150306473439273,6.69886239783362,6.418837409805147,7.251719368181508,7.085156845127992,7.340458841455004,6.205673332641561,7.960279650933934,4.778935790801275,4.583494203659706,6.0779627813251,6.609639377784656
5C,0.0,0.0,0.0,0.0,0.0,1.0950361707298326,1.0965718106929616,1.5368969865289872,2.175728888663361,2.2070040456508386,2.3831622532875274,3.365985956058551,2.7872821118705104,2.5645859583443387,3.361198530365842,3.2138386559602905,3.1654744256881022,4.496516135030448,4.584292435799774,5.6209389756477055,5.378399449533198,5.964474073247631,6.918128529854414,7.390804548983491,6.891129558596466,8.332126007921495,8.132829380976913,8.110556973178902,7.379813614809845,9.114165257189942,5.133362839062407,5.012563002854904,6.269115555037315,6.777123296223674
6H,0.0,0.0,0.0,0.0,0.0,0.0,1.7665032686728763,2.214892780364035,2.451786314969677,2.7383855122492053,3.3547199689964886,4.235408064950016,3.8521869283757577,2.6241053575770414,3.4101832895535704,2.9355666070928246,2.8778224294306347,4.015620884641358,4.013075166976538,5.342211329639955,5.284923075764143,5.74622127489089,6.531020222179604,6.881631024903594,6.461231503585903,8.095554805634437,8.069521946162688,7.991348206460785,7.433129988094332,9.103547444898297,4.4544138060453,4.352978273385091,5.4958659824808365,5.954053162684099
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.176260192536276,3.063687797584363,2.4395268444937086,2.817340768537989,3.8769955367419775,2.789445622207001,3.4092210377045125,4.34295718419401,3.846723298722389,3.522388513660518,5.197049887468734,5.434217959749083,6.306420250105999,6.120919741648898,6.492930107233693,7.677243185690778,8.0871371137515,7.756163282882119,9.06473997093896,8.951667347081598,9.015561236722784,8.162243813210898,9.911090934218752,5.638885663422006,5.287537727492006,6.840626048070599,7.236128637725279
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0971932944006815,1.0958495952795042,1.5375057285298963,2.219535366887724,2.1752781555521805,3.3641071213193245,3.6917033496490546,4.360908880371367,4.542309867505944,5.520027312678961,5.373567934452367,6.557895522238517,6.144191805085144,7.049829940014309,7.743789419289672,8.328293330592828,7.543450927617523,9.094353766717518,8.626678634932262,8.467683050781396,7.859957143993512,9.575241108987361,6.345978479030544,6.392257146099318,7.369872273890193,7.960170097316378
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7767721423092053,2.17216571186714,2.4659848015650785,3.0664396309420123,3.3046725321928045,3.309084999257467,4.35144866374516,4.735106314995186,5.2901638055389535,4.934907091179322,6.335007542802523,5.91467999379572,6.978172224283647,7.362009561870905,7.965529882225685,7.018549775119091,8.744320762810139,8.217162382237984,7.930979316728557,7.536411353171968,9.182817091061247,6.201162672494055,6.436946226556546,7.080250096301871,7.735268736656492
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2192863408854655,2.7408156968688595,2.4626608644834413,4.3974608103266855,4.760943181177183,5.284763188683602,5.352060983303782,6.438711450314162,6.27525203474731,7.563465407733926,7.20339525608579,8.03398277377269,8.740892757607906,9.271473070869417,8.525684579991596,10.143742461146957,9.70964424376421,9.52922091510855,8.953540586434976,10.66482619454056,7.125687162985661,7.0742565171815865,8.128486984623283,8.646694986376966
