,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25H,26S,27C,28H,29H,30H,31C,32O,33O,34H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095018108279492,1.0998758981642678,3.521518910373965,3.746842402137147,4.708626908102178,4.938521724772648,5.95073123999749,5.928082548714188,6.6819031639713025,6.064128771562233,7.094028730407036,7.936747606740178,8.657151987322022,7.8099342040366855,9.041125108393691,8.363900779908395,8.296249295438898,7.475692673516381,9.208983711989553,6.973677705630026,7.044290930170157,8.076386728217102,8.734114112913023
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7680558527710317,4.18660475344932,4.1083530944146744,5.475377234648433,5.836172839431511,6.60058105159284,6.456096505004927,7.231847614085293,6.514062572045869,7.731553856770101,8.381622443074376,9.175439703221882,8.15338486078419,9.395522293121125,8.528836959926382,8.375063335867262,7.650994165823911,9.32192579511473,7.736297493871723,7.92432694922365,8.762917450847674,9.480489979832939
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.272898133289463,4.681667408562703,5.332757331017692,5.383547097491415,6.676074011141175,6.776027166507409,7.398346239065928,6.807091024711284,7.683602471207562,8.737528495199692,9.427591457750223,8.702513498823535,9.806838304417894,9.176673558254304,9.19453925465769,8.240263684266566,9.991166856543598,7.5927600039237575,7.508719179859355,8.771411259420576,9.363859753228622
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2309493975993289,1.3604622008743386,2.075994132897092,2.4614424458797526,2.6342073878194623,3.225644584381984,2.83601460401567,3.7226796411696466,4.52055045248046,5.163271003592078,4.538907242017763,5.81284953368083,5.57693901572944,5.6090103116222485,4.852911988436701,6.568384550510242,3.657978582236021,4.010137463697087,4.735143052795503,5.479428922465776
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2696397906249435,3.1785395214598764,2.7947474719723018,2.5743818726509553,3.2857427917204185,2.671314757147323,4.0384458974906705,4.297682550915816,5.093194703776481,4.073158813241335,5.489040663699353,4.960324728042697,4.810230839817565,4.282568106168104,5.947516720089411,4.208429942788338,4.831821080820284,5.0422677538038165,5.904268600409115
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0130911685029131,1.45301025578063,2.0832162066026823,2.4893893707279413,2.569648184704451,2.817269107812305,3.855539328808082,4.2770107048120956,4.088066751613604,5.299967952885406,5.5006537660808075,5.6475065855896665,4.9132836947542575,6.519233356779429,2.3893281753735667,2.682755992367357,3.5876485848455277,4.255270765913638
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.108933418458399,2.886874185178504,3.1211050069863457,3.348101738053724,3.135309691891749,4.514635944328307,4.774124120618011,4.885553634025917,5.9247861568070315,6.291201825195586,6.532388742714818,5.6903873896520505,7.275127059352958,2.4341119564571128,2.233847833674933,3.767162563119526,4.233317285710501
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0962300915153464,1.5577129530981249,2.124457490550285,2.1836501256634944,2.599263988208686,2.9008750591157497,2.824568927091779,4.2567086306410635,4.744179269624871,4.827271011421391,4.4225999404801035,5.800039565794814,1.5215205415361965,2.425937596513021,2.3878931475714382,3.219085712626992
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1680366786010428,2.5236205992570926,3.069144098580349,2.7335197091871617,3.0923015185674436,2.5121998187472925,4.475909159365571,4.7734504233287165,4.604408942556359,4.558485289835985,5.864678503638531,2.147268684000152,3.1803088147408007,2.5704867652591457,3.4874970673276784
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938346911359078,1.0963988965363345,1.5323245275319142,2.1822013387296337,2.176601944179517,2.8276548001890083,3.389664180459024,3.7093174621390275,3.1072073793544868,4.387709923721812,2.555312703871578,3.4208002134131177,3.07747673180026,3.9062903072615973
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.765542292369396,2.1600267776037523,3.0772343445858508,2.5239811151116487,3.021578005795193,2.956774235659611,3.2740509420415185,2.387792460580537,3.9526383472784357,3.439268100682325,4.229669349068002,4.070065838098048,4.934569387660829
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1723749298730763,2.5289372677675597,3.0845530578432436,3.0176362182380925,3.833142837250596,4.395581062036667,3.4970821875723956,4.685841171901055,2.728079291016421,3.2795323390819218,3.372971343870103,4.009589952843826
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0933072633954435,1.0972073780364635,1.8358311228525814,2.828983925688342,2.993404007347454,3.0758829745208542,3.785057989760732,3.240984729352461,4.3002032413398785,3.0975943575689895,3.928791686537937
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7616777962501082,2.3644506947351305,3.755900244561154,3.921856804037961,4.102860985112333,4.6062913727747326,2.996798040392923,4.017806077027712,2.494488979609345,3.1761871796690526
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4226439149119265,2.9084957804108234,2.6550926325122814,3.25009800471046,3.91188866762272,3.620815163028341,4.790449262691386,3.343523387969947,4.252147909083863
26S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8288890455721747,2.4450018217111977,2.459634382418403,2.3831393400746834,4.914997617490936,5.839267037304626,4.775894242332935,5.485872328187669
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0947344420184237,1.0936216678217312,1.0936311954724394,5.827792154631192,6.785925890158361,5.903586809628302,6.752187606252632
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.789043672022856,1.7789581162442625,5.966805897697832,7.026515640227229,5.932272609432383,6.830750915859932
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7760126837146164,5.646398967131038,6.503848014855229,5.970373249202986,6.83701214278426
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.837165134937153,7.7604660219150325,6.8811212734159355,7.690771212660318
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2135396602166224,1.3488936976718682,1.8772731737769095
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25211335568689,2.2880756690886632
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9771994619743439
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
