 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,C22,H23,H24,H25,C26,H27,H28,H29,C30,O31,O32,H33
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08266966511755514,0.005409194678026585,0.003722429910568925,0.03546796062302504,0.08562810547127409,0.005249710749381853,0.03454233081846447,0.004405125789287201,0.029481353913080266,0.0043841317014352565,0.0028996104091849606,0.0010934768932939765
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8729882331864784,2.0557621112881903,2.0617916510687353,0.17160813290521654,0.009328155816845207,0.009152781922743491,0.03143753922115722,0.028760729722738826,0.01201017877924232,0.0033477622708037863,0.00026714071236400017
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025716782064824306,0.02322817769336427,0.008805913475033789,0.004013580202034017,0.000149282365437875,0.0006257948063359553,0.002645244062368546,0.0008824671225655667,0.0004013575618606602,1.6223919089286554e-05
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0250595570832568,0.030449665253577507,0.0007339275877804585,0.0004063639162212862,0.0028472263310943546,0.0011438252789057746,0.0011279048609011966,0.0002680351692425642,5.394784423184973e-06
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010474443062612249,0.0002052313853218024,0.004532713818284462,0.0006446737936307567,0.012339127679052986,0.0051451151345565105,0.0004394254937005737,0.00014384963290936525
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8534963848543642,2.0527300632601486,1.8731615241734307,0.011629638237704229,0.0029962772561483164,0.018010155926441805,0.0008971521949222572
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024057564133242337,0.024217332099829347,0.001725308934384051,0.0007351211801671642,0.0013445969303056415,0.0002542393422018119
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024176864551244126,0.004680508383707815,0.0012840543444212482,0.023233361377816397,0.0007221902998162388
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006177219095588882,0.00014781215926484848,0.0004004039947289595,2.5850819862505148e-05
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.110008276616706,3.322184589864149,0.16784100139207947
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5187056189765302,0.06882093982128834
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.816172922597085
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
