,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11N,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22C,23H,24H,25H,26C,27H,28H,29H,30C,31O,32O,33H
1N,0.0,1.0226231779328538,1.0199645782364868,1.4624392005763422,2.093801351673016,2.448677091346417,2.5275126088549733,2.8063852952932824,3.815980351074407,4.2599119625335575,4.882301272923265,4.978417690769877,5.781227172474789,2.493877854766577,2.7890205458232065,3.694516420787217,3.931773902844574,4.925115729172223,5.058045741379912,6.157387487281696,6.0375872906798085,6.657150723832173,7.553496224062723,6.0380700022395235,7.090505390885461,7.417276746039931,8.254286039510745,7.795211569891033,7.404125925451503,5.322329959332403,5.148616899540953,6.360435485087113,6.7584077556074025
2H,0.0,0.0,1.6141851359358284,2.0117333994728823,2.897659501491044,2.807730741216615,3.029918284274968,2.765496005524205,4.249961014841905,4.820509663709086,5.198855544770164,5.136235253081731,6.120684884339616,2.4979939965368927,2.3307914387681934,3.844546646940402,4.28601386336819,4.859693361391276,4.867118475450798,6.246080639859635,6.253944929265225,6.8478189100749995,7.812559874978065,6.342344621541036,7.168591408117792,7.378307767694765,8.3000541779696,7.653589201512077,7.298454117235302,5.072000775188473,4.931575161967388,5.963216074834949,6.298917127979866
3H,0.0,0.0,0.0,2.0319606462868363,2.2897900500510664,3.321395355328754,3.4181055320392524,3.763607339623,4.543522588002879,4.766299004642559,5.715745454728033,5.905393629073881,6.560384320874783,2.802656843622744,3.0473750294168886,3.8993160985557433,4.196520352117812,5.1199845118439065,5.105429333292796,6.275806068099986,6.00170396849617,6.9321343745310795,7.759605097410758,6.371507028276523,7.4790750363499665,7.484299913327857,8.28285418398865,7.974088127633813,7.358274181462719,5.756457052319952,5.768651962550139,6.737350389299609,7.244842390594795
4C,0.0,0.0,0.0,0.0,1.0948294486704082,1.5444762999297983,2.142438088870535,2.179724421252109,2.582831942480852,2.8817878191194453,3.8021234428402946,4.0923223976480925,4.597190024291639,1.544878654819976,2.4214003173646224,2.4643057095439413,2.526974840524691,3.8044456553782524,4.182814260823715,4.912335359505847,4.839387046907851,5.258965538613888,6.148513124649958,4.590127305932856,5.711533379864224,6.273852358389952,7.058351364294143,6.656010798940218,6.415615284667691,4.250408843664864,4.040529832442317,5.437404428708603,5.872303258668773
5H,0.0,0.0,0.0,0.0,0.0,2.1468140558595166,2.543523567931484,3.0557185541449647,2.6945794995206493,2.5724879043915263,4.023282479978515,4.53337975931095,4.689440025773047,2.17490601994262,3.232786743915253,2.613076982050328,2.377004755055427,4.062336416173675,4.499836914587853,4.882261143109754,4.600592407692598,5.155662300318299,5.906039697638428,4.401962014661642,5.778522913134307,6.321114827722789,6.974185276581993,6.8452264337727,6.4973312054825305,4.777681875401327,4.643356699227578,6.015490818905252,6.5381833241407925
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0973666869658156,1.0980169487769018,1.5269445536315376,2.4335915354018134,2.439256113064215,2.6003088994621466,3.3601467050182388,2.5182902665274653,3.2948440015815814,3.1719469191770853,2.964508070954261,4.336864219002834,4.958950242670318,5.376545086749915,5.52489769554397,5.331192801463619,6.2582283759945865,4.531604002551879,5.568470827751591,6.769512153407221,7.538688728001387,6.971434404698225,7.110397023037267,4.3225165682739215,3.6854809971580913,5.571298063321906,5.7821393499226685
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7628256402724907,2.142102556826008,3.045047634546872,2.7739088033221697,2.839733936061207,3.731960133865728,3.4408751691239643,4.14253480229735,4.178495099396179,3.9075150556573988,5.408443333488189,5.994584330246137,6.414869139994408,6.488119551037688,6.317569774100991,7.193878743239179,5.446659030827837,6.576620409542851,7.835070088144278,8.577306460580228,8.061392296557253,8.16553596769791,5.412443206000652,4.729464011676324,6.6453587203839435,6.817945839127932
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1609467692297395,3.2115222649911312,2.641646370905716,2.416281135261098,3.582714043763648,2.673865899907908,3.087010365631456,3.4592117172984387,3.4796495206051756,4.356599886202658,4.915161625347955,5.559458805114747,5.887301691873548,5.562611144298855,6.5746747889825885,4.895887067304691,5.610552484842561,6.81974036251953,7.679152109583638,6.865339369230635,7.138701494108015,3.9984778262000713,3.2425532093350116,5.1201757590468615,5.185852428349598
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2327304356449935,1.3620099122208487,2.0690569664469876,2.031944119852298,3.188567222105677,4.180383914415031,3.1910413331317304,2.5777792760777665,4.219097296900719,5.09623668924382,4.875620529951246,5.072174924560753,4.427217671396975,5.253532565075509,3.4836755768736047,4.646486123466227,6.324959708185398,6.944764078134405,6.514280818399871,6.87700645252208,4.188244721980301,3.4428521400803436,5.515977572462025,5.714263036884466
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2639663825079,3.1597685710785077,2.4755517855410867,3.3111056488491877,4.46931049682358,2.8845645374331967,1.9842064266660109,3.9325781464435083,4.861608795305299,4.250785287529473,4.274098175576696,3.7222469079104514,4.398593230293177,2.684739569877431,4.176742392965186,5.760844523187691,6.2397470313814125,6.105455449387699,6.35551016409389,4.257298260946755,3.7683490355736953,5.60198786817953,5.956824410555209
11N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009997894091497,1.0116575516128883,4.333681231463787,5.169472738240376,4.320952531788997,3.737851390964059,5.10468258436452,6.040967990828372,5.686416393579985,6.050061670108196,4.9771663821829435,5.769017782526424,4.067458387664581,4.939787122552676,7.036962284011409,7.628386742787485,7.053992933434961,7.7002704016987,4.71898548772483,3.718372199482241,5.950447654236357,5.93965785574358
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.726965603714369,4.592987760393387,5.230454820033602,4.7877751206443415,4.379081938580537,5.484032992769557,6.34819415671306,6.239613930397269,6.6990391764122945,5.620976691325656,6.48664274053606,4.812495969982056,5.446897606841888,7.508592440160673,8.184227680630995,7.415899477715639,8.129492933455822,4.868447615736561,3.7572425384148724,5.997460014959872,5.849835961564257
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.984007106079218,5.866961824148621,4.717045455994882,4.026513728633065,5.345499712952655,6.363763763620354,5.670585113973011,6.071258480860364,4.714544704572353,5.382910648328676,3.806140196058441,4.609759465605395,6.970582819921547,7.4475656675194815,6.955477311440957,7.746607881352299,4.944916310719275,3.961301001183493,6.134197064683167,6.103521250679627
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2292592462347405,1.3640600198136363,2.0216982734579707,2.435038626111131,2.67708775113636,3.753978528695769,3.8204924012233716,4.406316140198998,5.362958481080605,4.02488281522978,4.807323466469302,4.958985843757554,5.8421009743803,5.301398373636272,5.010903648163725,2.976888691170351,3.1184740972506773,4.051741091454001,4.6037379080294345
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2815176314073313,3.1384098584730102,2.7799076507035325,2.621516037462828,4.285885416762528,4.472478776960819,5.141705012200148,6.134429471617858,4.947537484572513,5.399666819914946,5.209409767940814,6.202371900961527,5.426671723298744,5.076961665184933,3.047577699511745,3.3375893295064643,3.7919069468197266,4.296734865085656
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0183700567101193,1.4515807008207662,2.073459258069649,2.469369743800671,2.530756179122304,3.1122040888009037,4.024744814664583,2.8119539412395507,3.6534808827035934,3.8128065991278817,4.604689109527245,4.260343987943894,4.025513211792808,2.442366006998306,2.8026144289762494,3.602331123292865,4.286476841683961
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1308774803188917,2.959252433044355,2.632831202619648,2.5963129406420724,2.798786543454056,3.630104405591102,2.1829733908329247,3.4465335935790677,4.139470231772191,4.7613743582028,4.6189942686735534,4.546967960702277,2.9690053188834193,3.0528185946767583,4.234665796281873,4.840064057479999
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0940829983786529,1.5573737866895068,2.1144339329833026,2.5827142304666806,3.5212611850140987,2.8129998963392984,2.9182158289095503,2.567167583933237,3.5132314700487366,2.8798556238182185,2.7933205287719383,1.534674966347365,2.4478900366084226,2.3939060390133875,3.2254998077233132
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.175396939083948,2.511359828426743,3.506583553659795,4.327877513699598,3.849312714921909,3.8363962280812736,2.680085984881666,3.6924233058316247,3.0402555544827563,2.4569167161892254,2.1300249085961904,3.2031891362599088,2.488949684049603,3.415333683109899
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0989556631495065,1.5392860446139829,2.1717933480078275,2.208235198428107,2.188960688676722,1.5358355311734972,2.1708280109273455,2.190901593644997,2.188739743389306,2.569734152077104,3.386873136809328,3.1603836068695195,3.9781297472988832
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1514048647351895,2.464257189324316,2.5414915417405464,3.074802288043198,2.142990357225403,2.477112144765002,3.0715657911991556,2.4887686096460424,3.454151306046885,4.227198478372156,4.1181528960489455,4.983424897601772
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0960301032123125,1.0954545260802302,1.0970966323518014,2.5373304638606005,2.7623338607511068,2.8219278197817275,3.4988337254751545,3.0117858993071716,3.3447683463772533,3.7775053194885824,4.332555938387799
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.770163477365914,1.7692828915216487,2.7832725458940835,2.5570581415673703,3.179268735148798,3.7784830490318053,4.059662222723287,4.421399248738175,4.684524289839217,5.244950978589022
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7684486891952345,3.508312337142879,3.783085216204241,3.8295959359845035,4.364921115351718,3.240950506622674,3.2631939125600726,4.290546440492694,4.778623471733186
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.786358845939319,3.096261680138847,2.62621259294634,3.809399987688506,2.7710655903359194,2.9562342863269913,3.3542148172147868,3.7067971411115344
