 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,H30,C31,O32,O33,H34
N1,0.0,1.8556782157384197,1.738818898839762,2.676620954697249,0.0875193700772211,0.19227078509920326,0.008846612514419872,0.02668001978841783,0.04767405883923881,0.0007836275190800102,0.05478742778959467,0.005878270447789907,0.0002713654268585719,0.001032320886321103,0.000911202572628847,0.0003846568346578261,0.00010831119195306438,6.371837126008251e-05,7.430755495030361e-05,7.125993602308256e-06,3.214152157830774e-05,1.089704427248428e-06,8.868849459719996e-06,0.22045794569931584,0.0538297194959211,0.03457803573587441,0.0029211026535168605,0.0070012426140790285,0.0004969217293537831,0.0012130604688497248,0.00037805296818262113,0.00020778046300736625,9.455096413861497e-05,2.575164196305657e-05
H2,0.0,0.0,0.02853139863597276,0.10850378649502046,0.009182556642018058,0.030925637934562045,0.0009883787949944711,0.0019533046233075613,0.0016542925454773316,5.1889789292047794e-05,0.00045035195558718044,0.0002856933802563022,1.0760254482988785e-05,7.901217754713308e-05,6.221120504790179e-05,2.621601347563285e-06,1.0769261546084152e-05,9.45333654911451e-07,1.315680025815169e-06,3.810933835168839e-08,3.8360718151997375e-06,1.4159611372299707e-07,1.0536213039813447e-06,0.005308558395284435,0.0015050591346232878,0.0003663093175112486,3.8156570559388925e-05,0.00014416123019167504,3.864192676505951e-06,1.4396324070853339e-05,2.2121499655081145e-05,1.984829616430428e-05,5.83976889212412e-06,1.0308475375531145e-06
H3,0.0,0.0,0.0,0.10619688783187164,0.03348079881513333,0.006830432857479196,0.0036660279122278094,0.00012925703646815556,0.0006823964045875597,8.962259363420877e-05,0.00031752436222065583,0.00010396407299728683,1.1784417915050582e-05,3.7795581519839416e-05,6.974565677553279e-06,3.4445137122585123e-06,2.1962093907923474e-06,1.0103366056002372e-06,5.165234879811464e-07,1.4442576468098878e-07,6.741891890316154e-07,9.553304591847223e-09,2.5511620149742953e-08,0.027547263711222403,0.06687272941373557,0.004717690045087708,0.0007213666772671878,0.0006855271949750552,0.00010230201826266772,5.357035386821529e-05,2.9589569062959953e-05,1.3468229779434182e-05,7.54435708516521e-06,3.1436328185030504e-07
C4,0.0,0.0,0.0,0.0,2.0029038032089774,2.587333689917919,0.08200586917383057,0.08456948646285611,0.16581544953480412,0.006456322269578596,0.014892976779576239,0.033149088182928915,0.0009567802119094804,0.0006707107054653161,0.006472355930093737,0.0001651447558507213,0.0013337673177744591,0.0001374619578624059,6.926403037044171e-05,5.601352636719348e-06,0.00035277151968476916,1.2783984388864411e-05,8.60814652728914e-05,2.622103216461963,0.28119883266734236,0.22572895051541322,0.017991693109618456,0.03711703299540517,0.005806644643334247,0.00242129592763618,0.002377849423578854,0.0009760633853853062,0.0007606605346146961,0.00019030494199268055
H5,0.0,0.0,0.0,0.0,0.0,0.07664912712650573,0.03491270811020497,0.0033643341452198605,0.009778305566586987,0.0032561633143333157,0.00026895336054200136,0.0009478532239357573,0.00038104351775736234,4.245244226974698e-05,0.00012244430572438958,2.8037552127768706e-05,3.5562993669024934e-05,1.1895492292302023e-05,7.740174167381042e-06,5.061207848378046e-07,8.181291185072048e-06,4.5724580433059714e-07,1.4259118286119588e-07,0.08714078161381922,0.02337939497974506,0.01107104690591909,0.008575458113737833,0.0020003739957139555,0.00027168582447001377,8.192664359807367e-06,0.00021025137643748693,3.907581589801534e-05,7.116335354317993e-05,1.766214987086734e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.035811562486068,1.6647300316253653,2.7806580884157275,0.07970132371855554,0.08927448891247824,0.18422444467566407,0.010439060691071922,0.0070130102487186985,0.03507722471971077,0.002457525885161571,0.006080136892809396,0.0005322401376529201,0.0002113763948897729,4.124560382767761e-05,0.0014077791531592332,5.986255966050624e-05,0.00025746051297692585,0.1994021232270673,0.042015817526019045,0.029461804321756838,0.0015290141285271286,0.0034836802851129223,0.0003068137646586866,0.00036745879014232763,0.0024139915828427505,0.006514473345840155,0.0008208415429055843,0.0001423960968754967
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024025350602298268,0.08129397634351676,0.0333928315717642,0.0035992136705522704,0.01339722135748378,0.0061030227948521976,0.0002222124080399901,0.0012861400550123747,0.000530657710698268,0.00028612650269366213,8.115391528495941e-05,2.6751527325785673e-05,6.518829434920548e-06,8.726159436034386e-05,2.5822309313028313e-06,9.161792049239281e-06,0.01215420207839113,0.00777143892874077,0.0014991820547426427,4.550909169553918e-05,0.00012409375760058516,1.1343225832183279e-05,9.21033461231957e-06,2.848451230064164e-05,8.463271565872788e-05,6.727865177524883e-06,6.606406750542249e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08576218449372086,0.006018150784862231,0.03222363385844984,0.00594755555503701,0.00017190074557116297,0.002516622300927418,0.0007126649135671403,0.0006876302439065007,0.0001916485140416313,7.808907369666329e-05,1.7108776928287384e-05,3.712541651434975e-06,5.457798832586569e-05,1.8256030807073387e-06,7.764749687666495e-07,0.011414137629712773,0.0020209691149999376,0.005161321386590201,0.0014386822253169562,0.0006697280602983025,6.051384775052071e-05,0.00020875668202258169,0.003093979430708327,0.019552788495336926,0.0013262858644870201,6.547174620186169e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0515839390286885,1.639436647894255,2.597766489959407,0.08187900517742619,0.08548998601049163,0.19044170364707735,0.027240813612566472,0.027704994246537218,0.006685827116704207,0.004053855587999422,0.0004415013949807811,0.004525670328974302,0.00015627099322257365,0.0007131779734711463,0.028981632892812692,0.009276282718927248,0.004607405179897939,0.00029803249814652766,0.0007480072583670172,0.00010190078001359737,3.8467067777103736e-05,0.0004008863355040859,0.0006182968684077667,0.00013431729149364358,3.337384315549308e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02417755328897675,0.08703938295824898,0.034681929806673395,0.00623406580108643,0.007401601147932535,0.003242427656600988,0.0005449413978266815,0.0005633206844539718,0.0007104328273366267,5.834996458009556e-05,0.00016853250127524255,7.798733104413813e-06,1.7165536686514216e-05,0.0008355161514068676,0.0005162231168885922,0.00011681319004219759,9.36290466402312e-06,1.5177205492156176e-05,7.059106292617301e-06,1.8963692658413578e-06,1.3726952515336066e-05,1.666688963053442e-05,4.221281354910289e-06,9.769469302423062e-07
