,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30H,31C,32O,33O,34H
1N,0.0,1.019369532435065,1.0228548356181815,1.4620293539641922,2.0897511807916103,2.4600979245600083,2.676411190804565,3.4075543794042567,2.9587126906178733,3.444130845136405,2.4951507150221355,4.288777180781575,4.3508163873482655,4.970822508452332,5.153396369000488,4.916114958512081,6.432990572264389,7.043892150066605,6.658447619990557,8.05022369569028,7.328173007999326,7.206237233226695,8.27161012259949,2.4956065821611797,2.8228379172592746,3.66516492064634,3.9057962502881503,4.924896560389541,4.941169921873786,5.672916309602384,5.700596378663102,5.533521319511541,6.927329257426202,7.4815556985585285
2H,0.0,0.0,1.6242277423582365,2.0442077828339005,2.284868876164516,3.337003245758217,3.656157329068036,4.182634362090188,3.777264736462309,4.059893947369546,3.2640940847761724,5.18939392507021,5.328586097032787,5.859085275754566,5.9501182548105795,5.593056418351616,7.252062893323199,7.9491146519748614,7.61209714791784,8.954589932265987,8.059460549547357,7.838762418442807,9.023914865501009,2.8448845519836135,3.190776627340419,3.849045384609966,4.090245354786157,5.125066017256342,5.1319169025138285,5.717956716714547,6.111592093557762,6.086812105227549,7.306014429868641,7.949764994027757
3H,0.0,0.0,0.0,2.0126549496031503,2.894825565979609,2.813080476757358,2.628022630331775,3.7395211201762177,3.538857720147865,4.216229721383557,3.0932724900987476,4.663213987323894,4.4870773356870215,5.346728679584932,5.627719184357715,5.501873971551862,6.836063628855154,7.312608742222667,6.839305456396815,8.30405249552234,7.797200177110728,7.7635885873007515,8.692940843956004,2.4961927174599885,2.3484216779796947,3.8273889817124225,4.293645678882253,4.883596403833126,4.682819330573993,5.70654528161546,5.6581644495537,5.5875602615850495,6.788978967898428,7.354726153175782
4C,0.0,0.0,0.0,0.0,1.0984469197213538,1.5487744343486423,2.1474069635338755,2.180673201113722,2.5526041871686687,2.8690249365658795,2.674023742699101,3.908292319577047,4.139413984984937,4.292288936681574,5.005399306976221,4.939401165459135,6.2820021620018585,6.765668723585882,6.285434202958616,7.768861507000958,7.297726963039392,7.265346021728737,8.243757498519392,1.5407299473680613,2.40562032282334,2.4693100644803287,2.5570967559966262,3.8006634110424176,4.057508045214553,4.571228221922941,4.431041467793849,4.181171703616166,5.721214122569428,6.232113092991143
5H,0.0,0.0,0.0,0.0,0.0,2.1723869528021207,3.056871607124107,2.538406780160763,2.779438608537506,2.6561220393240252,2.9649112835759706,4.242612736522383,4.717095622081788,4.542649026772145,5.173946229238515,4.985319661308991,6.477334917902194,7.083722800022998,6.701120895731062,8.075249296273912,7.389878963111976,7.25177507129945,8.3691203859426,2.1798572624048407,3.2577810072240365,2.580200066783152,2.3013942131827347,4.020126515856187,4.490310878118523,4.58790301924945,4.703604656133395,4.442562665510812,6.015346676183571,6.538616459697536
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0988506214333311,1.097576593062547,1.5326188102373215,2.172194364460152,2.1382677269137447,2.5362444587638255,2.755130769524279,2.819573071490784,3.8319647632571634,4.025787475538219,5.014510729355568,5.33793944068106,4.789923279019926,6.327663605150216,6.154243879953619,6.286733963362376,7.046807787277659,2.4820529627757266,3.1507855678304844,3.2490963752402378,3.179501518871812,4.3503528879491595,4.671394954093276,5.25986115336085,4.455283796499819,3.8259109095443296,5.746339185184076,6.027644077126603
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7615547392766313,2.167069379342925,3.0763480332697917,2.534259249626068,2.7133457413414623,2.4735505494929027,3.0757662769136815,4.0797329798397675,4.4013059546495,5.139174087312915,5.283682612076151,4.6220272663984,6.2514143427434385,6.347674814147376,6.591134136830985,7.169636905606699,2.680244709765983,2.9096298220314245,3.664318065826409,3.850122080835946,4.545046286757849,4.639389706366671,5.562067978161451,4.574117496326595,4.001718153903457,5.757424697497202,6.005991445822933
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18593550319787,2.497427878274368,3.0635834623617297,2.8581235056736607,3.1914358543917265,2.703126278328208,4.217454657865064,4.54993404401173,5.287340528859181,5.452783640819415,4.8295026628423745,6.390720075781338,6.47626912694522,6.683623620875552,7.329676849572101,2.657568597310888,3.4539293815109975,2.980389557961622,2.7430362839426046,3.904156455068332,4.405265049768243,4.786025782135794,3.719664565390325,2.91534839120862,5.0073941171705725,5.192002271116067
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0990459393075065,1.097139778123647,1.529338450431549,2.165021618243177,2.1738298721064386,2.463404778276571,2.514543631656493,3.7478882303094223,4.3533594464913445,4.056583591037611,5.355443465167924,4.762963909202251,4.801046490009635,5.704852302895304,3.8704805809290854,4.551828881347229,4.594360813826884,4.327922189455163,5.792736919251926,6.1752797045374646,6.630708956579106,5.8596633899470065,5.101006515475047,7.161919164207034,7.370722534627718
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7754184669242818,2.1561621435190554,3.067726509741581,2.491883770179019,2.710891691972152,2.572041823437244,3.9717592009691316,4.7168293688755885,4.554285827736571,5.670730365394612,4.825178877692569,4.726306653253826,5.800428870388497,4.227388130222567,5.116792277463307,4.693286362878727,4.207015284964543,5.956873243521317,6.497813429266588,6.664909340067926,6.043795263027024,5.265474787590875,7.369497591190267,7.5814998270899245
