,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21C,22H,23C,24H,25C,26H,27C,28H,29C,30H,31C,32O,33O,34H
1N,0.0,1.0207147965496157,1.0188922995152123,1.474142481989784,2.0794548405894666,2.4833236017353535,3.426318123715382,2.813039377382744,3.167242937601846,2.6564985551773637,2.4948458599564343,3.2657796014534735,3.1697714128491485,3.0581158128833237,4.393839178712559,4.749483509661477,5.609779180081936,5.647922110928404,6.482582195969331,6.042689406157149,6.8071310037238835,7.084105475262382,6.101086267548979,5.8263348777521236,7.5237193029239835,8.269173525245302,6.892535413889788,7.222680670127184,7.563047137849954,8.328833458952685,4.580252111556701,4.030433448081806,5.86839732835076,6.16448696135384
2H,0.0,0.0,1.623446370172173,2.054693363443906,2.908724270526569,2.902364698484203,3.792359433480847,3.4465369210697174,3.0408193185896804,2.5101778272143704,2.5884593388937644,3.4689925602658955,2.836480547952827,2.5774577990549523,3.923445086011211,4.453083994299995,5.10348100737098,5.01978915559739,5.934147947897251,5.747570166292937,6.642390857829657,6.891828227457958,5.862713124113834,5.48781362549364,7.5000900600421305,8.305824836488137,6.820041449126793,7.185441283821826,7.580664335139502,8.431524095690616,3.8770638157517037,3.1783565139809973,5.183526671287583,5.403561871315602
3H,0.0,0.0,0.0,2.0439370821071674,2.2515749216671437,3.334778822613306,4.187529428329377,3.585854273214009,4.180136667491089,3.638492087036502,2.7695331160607997,3.174396706757616,3.6492578133578752,3.7563750269167584,4.693000767854644,4.874048224119025,6.06510612425739,6.21888443741484,6.838026183983705,6.568521090919261,7.20189250876165,7.343924079463357,6.793956185495426,6.616087645906137,7.955671221184262,8.612874846611561,7.589998128137856,8.003588531750438,8.134675023875507,8.90174785935409,4.735711462334177,4.178075721872854,5.92079144093687,6.152200518515648
4C,0.0,0.0,0.0,0.0,1.0950489347925307,1.542431514755973,2.1838033089268234,2.158831609769376,2.886431052459801,3.0155970409750164,1.5402147331619311,2.4129646507637106,2.4672603888858156,2.5699673046189386,3.818315638464712,4.03787799666949,4.911465023865473,5.117214289155071,5.847655079206842,5.027960948674244,5.658563391760945,6.02015203699786,5.042604511346558,4.950253061561527,6.224754297573773,6.939968872215668,5.671948859900656,6.037389092859499,6.230969639872391,6.94575906410104,4.488632825669626,4.319915699264009,5.744786094090505,6.2582983093151086
5H,0.0,0.0,0.0,0.0,0.0,2.1252885394629923,2.560935435415393,2.3366607791086054,3.787443756889034,3.8728930839529827,2.097283896671389,2.4659163795180934,3.308815270221678,3.586894588908829,4.545889879856453,4.5324860749322555,5.680937860225377,6.020415683147872,6.56980773412215,5.650103756002902,6.061227079842727,6.371932103769729,5.701909557204792,5.752536033138788,6.480850243878296,7.0661385915046475,6.1479005230967925,6.515355352126533,6.520957665284306,7.127128317204326,5.275986646634942,5.178874572043684,6.447834120186823,6.9814607593835625
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.094971351684833,1.0927988842817835,1.8482915621056617,2.394527504429446,2.615751083983392,3.6375050225876486,3.0112121596773522,2.7205637496083233,4.440710500627454,4.84077433391042,5.1238996978878815,5.1448318835246,6.179163401232316,4.959532636145724,5.726832699991467,6.338963652222013,4.544741400801125,4.30587836446101,6.080782735917213,6.89780326608804,4.9833360654197065,5.093746505195381,5.743502609479716,6.357715942347941,5.299259216120793,5.164110281104252,6.584906718469916,7.154349194255586
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.772450632018344,2.382228604143142,3.301323599608612,2.759251672689818,3.6585580324837648,3.048045320657682,2.9062437894846327,4.355492562369857,4.6593465475661375,4.815898887298893,4.9443854846977064,5.8712104978483834,4.346945062863145,4.992722265930833,5.700688391152177,3.828678863067435,3.7679933743599427,5.168995319054072,5.971921306945491,4.055805144335079,4.167781118095716,4.740246536733661,5.296129336777139,5.473750070932104,5.571272687938893,6.666883496326533,7.351985123967148
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.409882027657665,2.609505364838919,3.5049736813961787,4.390474664179477,4.070992629026583,3.777701943368969,5.505367835835804,5.852837144165437,6.214400439869284,6.220176780684288,7.269630932011457,5.991079801286391,6.695030764730779,7.3221839713054075,5.491175752301629,5.241007734752052,6.924168652268094,7.6899380557464285,5.768080488637346,5.744054803470322,6.492331041110401,6.982103349080163,6.310303999936615,6.0860073208667504,7.609255006247377,8.141958727808726
9S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3503748044194233,3.6110462572828967,4.820581054742748,3.3084084856471088,2.48536977878323,4.586720234209449,5.3365980824278045,4.952776155796684,4.577287860862469,6.019347449489214,5.009319478060853,6.118532320118405,6.810676592620256,4.380416631251459,3.719755369003281,6.615742346067672,7.588649706460324,5.050142602604338,5.003497959713248,6.148707298819129,6.849737295976691,5.200109836930527,4.894424302110738,6.500976552447521,6.965857692940187
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.016619528000389,5.176387811203867,3.920140758206233,3.133142956622898,5.203166342176384,5.9475462551102405,5.820749105073247,5.4204864071792205,6.8319940184013825,6.108348922305299,7.210236863896151,7.7933014965519245,5.633054531351078,4.960584130104322,7.803113319442564,8.74592240604327,6.3732201685476335,6.353117318506418,7.430340710861885,8.143370127794409,5.499444368723744,4.911306799167829,6.83946711649727,7.147849730653032
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2266714740239317,1.369295198908522,2.054233269982953,2.453844601778235,2.511326286531035,3.686821925858152,4.122125151727048,4.514348216260531,3.921499243417094,4.441212058487188,4.642337502645188,4.3098318161541105,4.417735590120369,5.207017029700823,5.886063186233368,5.0976480808100435,5.71337012825441,5.500671808849208,6.340561891797618,3.299055222493048,3.474095887506855,4.436097084882808,5.065111725777173
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.283083654350056,3.165624237611723,2.8052102894300046,2.3587912660837995,4.1289723556555495,4.796221615677734,4.749969711189106,4.326877264625863,4.490382484206964,4.45161484842138,4.968818263224319,5.283153718306919,5.235632623044598,5.715705729082227,5.654482546223593,6.388081291463891,5.773249739077448,6.570275078516034,3.5903131407930235,3.9427731106972335,4.469801912344885,5.117275622735091
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0155117363900383,1.4428111441381117,2.0461793147451544,2.4852736380027625,2.774786144226898,3.4011113478696275,2.973969854806626,3.8227429722691286,4.102899529658227,3.3969127130318637,3.3696271397351394,4.788394059352894,5.618304878320125,4.45744405626478,5.109891369347942,5.057730019595152,6.021285413229193,2.4367747166408082,2.758138664037531,3.6283391947676686,4.309837212205808
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12014275108536,2.9617155827353545,2.770861836430287,2.6551841609086813,3.770503673120937,3.2791388972771833,4.371569732646935,4.801398858865707,3.3554875537123863,3.0080296255040126,5.2747063583676495,6.203415900856755,4.469380771445852,4.9490587703415,5.31780495716405,6.265816314034207,2.812612707289452,2.8390166857790287,4.08155307657973,4.654884838678623
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0943537486252788,1.5536954654020196,2.1726102856132847,2.15710255934944,2.550617832928029,3.2750994056457152,3.26132089122521,3.4866151749323344,3.631280181082061,4.520403385197666,5.2761287350482835,4.67816735797451,5.51539753115769,5.104050625859263,6.149978148888908,1.5314066743882064,2.443051629495721,2.386251632668214,3.2209033875715143
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.178787266536094,3.074552179367208,2.488190611265221,2.8074254632776334,3.039878494925155,2.761220223269394,3.9322161989637743,4.327501436142948,4.246378495461287,4.8173193294544205,4.927949680898518,5.860924731987644,5.058532688255861,6.053687407257877,2.1336925092965937,3.1266926216973636,2.607678039650582,3.4968242038080715
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0980769850799506,1.095332448833115,1.5137325363092258,2.5337754105053336,2.734499103213826,2.5348203390509094,2.734314386742334,3.8200787537813707,4.685527456479842,3.822250139118506,4.687796746095855,4.3277494118224595,5.414338874915609,2.5409672081469687,3.4855301516007,2.9449858478530304,3.8122404352102044
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7614796400157113,2.1506867625645376,3.412622286061037,3.7587875205520658,2.638532549288642,2.3991511229523215,4.57108470046787,5.523221853211559,4.0263819209201115,4.706083604572658,4.8189920908351,5.885984849044742,2.7529685464767764,3.411949078320838,3.2827049554182373,3.972712228776042
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161466002217392,2.7504749447106795,2.598595735237787,3.3467241055731507,3.6363701909837163,4.108728024044346,4.822648768792846,4.531458557399459,5.4549796286283065,4.8392226890000645,5.907837009742664,2.730076384024768,3.8179048860820695,2.5900204289656608,3.4574156030641547
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4017369924940697,2.1578320514360785,1.4010304090163432,2.1556614034001873,2.432102057888435,3.4131866618001943,2.4333214958452714,3.4141774806477057,2.8144588431009945,3.901140614090098,3.896492059290705,4.800676639477112,4.341094453202193,5.258554934401816
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0884050959889149,2.4092081138397736,3.396817886919752,1.3954887718505733,2.1529064371540896,2.7874898149245975,3.8746579150400358,2.4200938752203864,3.4058440531761294,4.648631952692144,5.687196689865945,4.861497694402971,5.831919762909137
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3977744156282106,4.2990348646662015,2.1524783939346306,2.472896847097635,3.8758757833059767,4.963048468665431,3.403503833352782,4.301105571314073,4.458597114630675,5.596703513199598,4.4179168362867856,5.383834835568103
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088157334632515,2.7857267567934585,3.8727893770647612,1.3965450615993305,2.154079304073863,2.4190218283352367,3.4046536018831532,4.797238895776281,5.4795003728570855,5.452599380869851,6.305132003751207
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8738662594440694,4.960929800264251,2.1537368056094195,2.4748758561821567,3.4026416698027417,4.300235751398927,4.730413792700765,5.213399763106306,5.512040447311717,6.262353687628554
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087082543354456,2.4142063298465866,3.4020805151755455,1.3971512380892526,2.159177111020417,5.96587244032803,6.948383193969441,6.246014327577021,7.218294162716195
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.401329398337275,4.303576657089016,2.15817401305472,2.489755719553841,6.682391374701953,7.717418943051842,6.8389475100273565,7.813318788981153
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872001758715326,1.3959991344037899,2.1572274026581715,6.084368406141161,6.780936657055737,6.718722367964649,7.607926952382174
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.157971706721109,2.4883957172890825,6.869511706726449,7.446543304005847,7.594864851360508,8.44564248483419
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086690851282547,6.583950840403089,7.426351766767124,7.059078922556433,8.006946927168332
