 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,C21,H22,C23,H24,C25,H26,C27,H28,C29,H30,C31,O32,O33,H34
N1,0.0,2.0004246661369667,1.8934826109095124,2.6530492727601227,0.08801533214724522,0.19027028716546168,0.027691958173929665,0.0058136484253557,0.05304068203642109,0.02248626428391054,0.24026465338377406,0.05355173459551517,0.03433049274268762,0.0021863369643653208,0.00436998740854487,0.0005034021500877062,0.0007466277906244961,9.50418139689102e-06,6.839048330153918e-05,0.00014011786016490668,2.0439466574054266e-05,2.071933939751247e-06,8.183519606226597e-05,3.57248198786797e-05,1.0404514149880972e-05,5.851831041958633e-08,2.819523599701529e-05,2.011073415686404e-06,1.2804500201440971e-05,8.735536383142062e-08,0.0019979937214739674,0.0022792354912798407,0.0005715416443593767,0.0001582820091551307
H2,0.0,0.0,0.0277133935796825,0.09872938996611758,0.031193714569628828,0.005904934639034853,5.481050967892642e-05,6.904470575741506e-05,0.016619748747496277,0.0028951236109906464,0.016624605112897095,0.001325552679421138,0.013166693205343472,0.002338601543405705,0.0013407424840450322,0.00014097577107796688,0.0005402908751057645,4.851355603685548e-06,3.829592301207718e-05,5.186715543592513e-05,6.057132663106479e-06,4.87595273712671e-07,1.4860121787640956e-05,3.882496057983076e-07,5.272325199756622e-06,2.2880364269894926e-08,5.649883522140797e-06,5.630555477420529e-07,1.6384296371851903e-06,3.868317133282062e-08,0.0024756022529823785,0.011164382551435703,0.0010676559270433872,8.808768574364301e-05
H3,0.0,0.0,0.0,0.10607615599884435,0.010074924652478945,0.030860393728220137,0.0013205295186855537,0.0001500679653778647,0.004179353775422889,0.000525308326426055,0.006539420172947952,0.004266032522944108,0.0005203640913264973,0.00010021147525374197,6.273329467465505e-05,4.188750005962305e-06,6.763493180517166e-06,2.179197198470817e-06,3.380449187240231e-07,4.707589968511172e-06,6.3442687758819e-07,3.498223732911754e-08,6.0729698801997856e-06,1.5936650761272375e-06,1.0522911118027167e-06,1.5959961796596644e-08,2.8416184738588868e-06,2.085969423859524e-07,4.998181504234367e-07,1.3591019643044433e-08,2.8376524181861207e-05,4.796904927661938e-05,7.42120321972628e-06,5.173758108600879e-07
C4,0.0,0.0,0.0,0.0,1.882894036949237,2.755902080644996,0.08585426263525253,0.0957867582206815,0.17564698302378887,0.006151806670400273,2.600783341733958,0.2920731460729953,0.21418575104276932,0.010956022984293878,0.03495808193990044,0.0057541857384347805,0.004306351210114495,0.00012805146335503892,0.0012665334246924065,0.00030854792834356104,4.5201326120763996e-05,2.5165629129464406e-06,0.00017453370929437773,2.3754924862950944e-05,2.0898685155867902e-05,2.634041684768107e-07,4.301280563823173e-05,1.2340331543292393e-06,2.150824989180511e-05,1.883774825017781e-07,0.0022583535800673737,0.0006787456415427162,0.0006514580419267196,0.000149708616508204
H5,0.0,0.0,0.0,0.0,0.0,0.09669232653523419,0.0019593763101384276,0.008520220746592422,0.039435759577207796,0.00010482334943739957,0.10905647153894749,0.022429235099270306,0.020479564284144658,0.0016312855221909395,0.003038114532099234,0.00013412070431040313,0.0008299009473170527,1.6494952145729158e-05,0.00014490127599220415,3.771483641989981e-05,4.5025544708199305e-06,2.9093081743702953e-07,1.4753474310458259e-05,6.121544836146242e-06,1.4051573669071615e-06,4.685408350191267e-08,1.2699576390495793e-06,2.2530507681750578e-08,3.733618236800851e-06,3.056286512759243e-08,0.00014572970452753076,7.921606534966319e-05,3.377661992187697e-05,1.4245852492322797e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8132303318681382,1.9764368961736198,2.7754904809461753,0.049372848460104146,0.15311752255085956,0.037944733817376064,0.021936782881682076,0.007275302375335246,0.0028749940837663607,0.0005219255447991289,0.00043015423921868856,2.7657882263554256e-05,6.163205981513098e-05,0.0002246764524100886,7.122588878398506e-05,1.6690531555729748e-06,0.0007337649985209305,0.00020482302843849443,0.00010602566006069625,1.472111617051297e-07,0.0004353719405355977,7.579740912810884e-06,5.760653211400735e-05,8.842423734334304e-07,0.0007488937872075496,0.0001071931009313104,0.00013849838079153798,3.753655093341468e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02679856599510888,0.08288141803741511,0.024917242277256113,0.009638764679096301,0.0014103429780768506,0.003082833224831605,0.00020650980796399487,0.0002292394919511942,1.4937537985204585e-05,7.871376899126759e-05,3.6118570827525787e-06,2.0822421671118363e-05,0.00026843482786653716,0.00013140898629004916,3.5991995384065945e-08,0.0017461565649438127,3.212966684928986e-05,0.00019419453593438885,2.090601403104131e-08,0.0012070343658606708,1.3530267129802098e-05,9.46527208993686e-05,7.852246119988138e-08,0.00014072974328516175,2.7861978909027307e-05,2.0160676845737413e-05,8.362405750306223e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09227480961981871,0.005012026682526649,0.025335747839929423,0.0036554975104607923,0.0039277128117241045,0.0014225436197785601,0.00042311751703638656,0.00010913941132906224,0.00015863129889159833,1.4725899457168623e-05,3.70962206062142e-05,1.531353298345195e-05,3.0206776869823315e-06,1.7135233454368404e-07,3.290986722637168e-05,6.30806815506979e-05,8.756349465510738e-07,1.5902684724622418e-08,1.234783800641015e-05,1.010076298824103e-06,1.0195724037265208e-06,1.1275365907614798e-07,0.00016747496236568793,1.9907696505061523e-05,2.1915339575517834e-05,6.099475791554454e-06
S9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9343257848093263,0.01369020427719625,0.004963397207598398,0.060986350160134845,0.14929232665564796,0.00610350496115003,0.0016484646590614327,0.0004694538371540907,0.0001739944810048577,4.719169082223473e-05,0.0007708491857665312,0.00024575786431509095,2.3226516228658234e-05,0.0038712832531540287,0.0031634662721808926,0.00038126801773133434,3.072569528250746e-06,0.0008600362223535815,1.655509651143916e-05,0.00014091797466310452,1.3264442253912989e-05,0.00043245333475566694,0.00037335427275268784,0.00014286037398487245,3.2806233973059484e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000857936340800558,0.0005825850571368196,0.0010699520379799932,0.0008730430745482742,0.000104891744599378,1.6465990057668023e-05,3.6058860714449636e-05,6.806305308471039e-06,2.966748136490338e-06,0.00011819939931290158,3.661204818183883e-05,3.5045211006501376e-06,0.0005539762385511349,0.00011712250981887884,7.831417880233005e-05,4.555344153001073e-07,0.00013974985766784798,1.8467881313100065e-06,2.324295919042818e-05,2.73549378548843e-06,1.9074758425441374e-05,4.303035193942151e-06,6.531526316466696e-06,2.507006702900938e-06
