 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,C21,H22,C23,H24,C25,H26,C27,H28,C29,H30,C31,O32,O33,H34
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.100514253683636,3.3247090607865264,0.1315422944958038,0.2689246475639493,0.025314876739710446,0.0342894442621961,0.0009084857997483375,0.0038158509222432357,0.0032792185414189934,0.0008083454874985851,2.493710139961358e-05,0.0015355090341550859,0.0001429177509388868,0.0002861415962192859,1.7574481141480192e-06,0.00032271406713110795,6.060878490865562e-06,0.0002615290505921797,1.7369978169146094e-06,0.034822428562737096,0.00625330245939508,0.006268361410203344,0.0012294189895183383
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5433102226856193,0.024205991943139105,0.0726358547214761,0.053952728768276614,0.00882995801478137,0.001281074649776226,0.0012173683592262563,0.0014165988812874925,0.0005257276606494415,3.607470548239178e-05,0.0009816542614469875,0.00013254704618215207,0.0002892970623895319,7.819242980877661e-07,0.0003600034547753539,1.1654365191793303e-06,0.00010617833703566171,5.981663343535004e-07,0.012223120443869612,0.0021390726410329824,0.0022044144684680925,0.0005611548280506362
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9054261659461988,2.759527691485035,0.1007266212935054,0.17523313878765007,0.006308482330192655,0.025325773385237782,0.024337157675135543,0.00409636620530697,0.000187634507494705,0.011408994165932052,0.0010484973836974998,0.00117810664337481,5.602512238578328e-06,0.0016906048655556533,2.5407276258659905e-05,0.0011597100177797165,9.141413655822106e-06,0.2039040243998094,0.03750785349301135,0.029323363260465883,0.00513736525668973
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0964463343897084,0.030708981466693874,0.007966153864003234,0.0034327677728083206,0.00016266766909001085,0.0010088493913144037,0.000203890449977151,5.806262152763253e-05,0.0016940688633855228,0.0008993990337511359,0.000233003299463741,6.575393100005655e-06,0.00020150012554220886,8.431100848582673e-07,0.0001588349091274921,7.943151531630832e-06,0.0063893516003969975,0.009273977203859252,0.0011212993893603418,9.557974427432114e-05
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0687234704552218,2.547281385310505,0.08396072572100577,0.0935535022942584,0.1750668900067916,0.03496489183486162,0.0016272517966120503,0.036488861150543866,0.0007292842904365049,0.004196180427499502,0.00011963865084019254,0.004908392873124445,0.00024578052067991685,0.012742851544299716,4.916262677290284e-05,2.5736809654312545,0.2692618802483058,0.21193323047497764,0.05385711755342604
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08194257325439624,0.03132996429251489,0.005221547056109221,0.008341048611747892,0.0047892847386237225,0.0021734019002461746,0.0008897074842052488,0.00019330754703972275,0.0006660373748631487,2.759377280203701e-05,0.0005151535608056701,1.9362531467059796e-05,0.0003784802680530941,1.61299522831726e-05,0.10853762141840506,0.02990646603343783,0.010162212284835936,0.0003752791715008197
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.133960136146965,1.8023787428465685,2.6872041015797876,0.22920869528193424,0.013579046291107622,0.24013165685648089,0.015604254876689039,0.03642928881663102,0.0026299470963278004,0.034062807743136955,0.0026214058980125188,0.021180434514308566,0.0005270105119110635,0.1860860402377641,0.04081777053754845,0.032157625318921176,0.0021528208520904535
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024854674118306663,0.09740221825396156,0.023727299748094843,0.0007932234055259002,0.01863485600923509,0.008139505346790754,0.002773727964336503,0.000778581737769457,0.001586838117761058,6.38633874348038e-05,0.0014708931755480492,4.723659029659544e-05,0.010342183520439363,0.0015845024051086565,0.0008735115249202119,0.00020227137907791182
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09358507344965661,0.016308506211032858,0.0033461716021714327,0.027436408986654337,0.0004907721575404533,0.001770820997493594,4.2967641127766854e-05,0.002865928647577065,0.0004889656620794547,0.0051010464478732365,1.8275507498222154e-05,0.00832767216889252,0.0014651495999677966,0.015294836329373451,0.0003771969066610481
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.777696021085688,0.12674060978666013,3.617255359452065,0.12303439539997707,0.3367444124592013,0.02621392567321168,0.3296041042436627,0.026081019555551865,0.30063376672535475,0.003991994509299213,0.028482235167524794,0.007145171743911716,0.005244292647292176,0.00038361679143139593
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8484024317098524,0.3302840394655679,0.028419426623085275,3.721512790419955,0.12914776316515653,0.3141387302274792,0.0035877544015316953,0.33170351646995205,0.02706612437854683,0.005000627933919616,0.0020511039804503445,0.0006441596554669499,0.0001673842848649576
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028367175664957722,0.001542435541763254,0.12857070719105357,0.008309249487475912,0.0038729566560702366,0.0005252407318940833,0.026830563251655004,0.0012158985047112658,0.0003461389961396666,0.00020046319270528024,5.791144727429476e-05,2.6583425751791623e-06
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0275499898910487,0.31493027390988515,0.0035561953792155876,3.7087618873316246,0.13146235307763954,0.33781671010839825,0.027125220771747838,0.006416951204512633,0.001947054248711319,0.0011803485952002757,0.00023354267542585738
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038336401177361257,0.0005110099371810062,0.12598256942106478,0.00822848663084419,0.026798696662202914,0.0012242932103037063,0.00018712783036023417,6.758568984499558e-05,4.453381528179978e-05,1.5769015972999512e-06
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0318548711406565,0.3367772319429755,0.02733103236803558,3.691242094631803,0.12293509037167949,0.0010319126129812173,0.0004016968005010474,0.00014694619468580417,3.059045762721091e-05
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027425417633090365,0.0013526078113201834,0.12399042059981658,0.008005372380658349,7.457388344400684e-05,2.3425072268157265e-05,1.0985719333334032e-05,8.229502066470218e-07
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.856848797791098,3.8863038016954503,0.12515778581717796,0.0011882363315998679,0.00031454440031304653,0.00024044905426286178,3.513866564164303e-05
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1272962856445834,0.00805077560578793,0.00010175685911018029,3.383481219654261e-05,3.383112009758271e-05,6.79951349669139e-07
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9428523724510536,0.0018749814178163071,0.0008589443045698836,0.00016476354095110168,0.00011058883969550237
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.068695708772438e-05,3.986242520848116e-06,1.7551235517165864e-06,5.043767359325102e-08
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.013742009509984,3.313170349577285,0.16150452177473396
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5154614286654216,0.0665436763191547
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6500372575556461
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
