,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32O,33H,34C,35H,36H,37H,38C,39O,40O,41H
1N,0.0,1.0212066405005045,1.0283486107719007,1.4820638988847323,2.106450679030083,2.5086988121281415,2.7171730836642265,3.4212003533861135,3.17758010016986,4.221059192730924,3.2195001408467334,3.491536033561054,3.991498141243535,4.406501789664156,2.771286128399627,1.7301495617611369,3.727950160257343,4.982726947223612,5.308340576556112,5.782316149401535,3.863165785810669,3.236790733745412,4.72993159453781,2.458001836998561,2.7175224863489693,3.651466062864739,3.9853192285035033,4.8953029670403065,5.046343332399181,6.075206279164361,6.987029540978958,6.151216475041029,6.2821099977833414,6.394043447077513,7.330842855838701,6.703732456772872,5.700501941098302,5.40771968008947,5.463017320748386,6.293065092565077,6.814324951247555
2H,0.0,0.0,1.6252455291191674,2.0528967296034124,2.2607109660584546,3.3581637693732453,3.698607840323749,4.169857309071066,3.9345463176894415,4.982299124715021,3.7281138953784714,4.293490777394135,4.9102931153209,5.098749195688196,3.4382547490952917,2.3948351939768195,4.239257395066806,5.561076517396363,5.997181243977745,6.262588152686457,4.1013582961632515,3.293677942956858,4.947847305261917,2.8256058994123467,3.1010299835783575,3.8663695055974467,4.198422729272893,5.108518635268371,5.1368923619754305,6.1883356674972125,7.144619621546473,6.355512231606664,6.633120044156592,6.261073204445023,7.187783403991931,6.50169902734181,5.467812616155985,5.865760844766192,6.06933014873387,6.720802698401189,7.3465457399641
3H,0.0,0.0,0.0,2.007204409772545,2.8714535073465006,2.8990202106934477,2.746898571978731,3.74346875146273,3.8290887677966325,4.811705710706476,4.079354327458928,4.016400476626757,4.27363005495799,5.022084032082191,3.276406604695465,2.3013634022193448,4.095790745361713,5.3032598585409945,5.643413621079696,6.094223446955298,4.151107763308507,3.5268890277986285,4.880712383191654,2.368305224879643,2.1376524138234005,3.70045346479322,4.2599353991406534,4.725768671245804,4.727099215410175,6.073637786840722,6.883727721482535,6.333474489194169,6.406888527818806,6.478602726312307,7.485584208545983,6.658545008000152,5.908919078209644,5.109390280074057,5.274056618564147,5.8177820721483435,6.3161896510499975
4C,0.0,0.0,0.0,0.0,1.0964746271169872,1.5473608718999312,2.1635856799955318,2.1474372108940787,2.6197524424703085,3.4652340423516073,2.6966557507672206,3.5465481220562687,4.0104112493026856,4.45395702322241,3.4313096254600546,2.607436820008865,4.643200215796566,5.752012748875802,5.844472364748167,6.651293320616918,5.077917908347038,4.577310133482785,5.996181448337236,1.543916235370478,2.403485138062417,2.4653661260074355,2.6140204567815917,3.8221262653207075,4.238167439974804,4.865087843924534,5.801908821439407,4.76452127345836,4.860849440419462,5.330905541786624,6.2032027900342515,5.81037871205504,4.697225227407177,4.325832788151371,4.263640765178864,5.399606352534439,5.916232887755969
5H,0.0,0.0,0.0,0.0,0.0,2.1679112770927556,3.0646852814052936,2.532133386745571,2.800879250236351,3.572850650131028,2.454995243897275,3.91963505384941,4.588104159065543,4.6393462975682835,3.85500521515563,3.0879645571186125,5.058729287981793,6.175261050999297,6.274531916403943,7.031115889926273,5.452751825841915,4.916167594606272,6.424859074711688,2.184626136284715,3.2388955299577677,2.618782832315212,2.434024220406553,4.070810745625291,4.551257393505657,4.810463952771772,5.843181441743552,4.559003526952949,4.813083026245997,5.053188574882864,5.818400502547819,5.639261516036839,4.267636724365521,4.815624937488497,4.7603613558330045,5.9761585137589295,6.557869901072389
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.098751690032088,1.0958559804467614,1.5478460594699708,2.1638563683239767,2.188069617559192,2.616211492005929,2.8597949733213115,3.536830029094225,3.1072497334124427,2.7137503678254866,4.4055566935305075,5.236298371130815,5.072459820584923,6.2186930835368175,5.21775424794791,5.005408456955911,6.112068230153219,2.5057323443771504,3.227793125357874,3.2076994385178925,3.1436811168474224,4.3886003741525546,5.026772200268033,5.3724239754708085,6.200099880937263,4.985568301691872,4.801677452350424,6.1519540738556895,6.931500639770038,6.755415352734677,5.662846517794638,4.409709388896689,3.9287099116379576,5.542510485272438,5.824354957727994
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7439502815946855,2.192854011270203,2.717797322305821,3.064513764584821,2.701353669852518,2.5465647106138403,3.740702101705523,3.114293024360334,2.7960233626093802,4.28409664280348,5.027458394668742,4.846487053284747,6.021250258499171,5.114685011382194,4.977078351592893,5.900600794302972,2.7426209811675277,3.0527668670300683,3.644608275646684,3.818520218661111,4.60705189395705,5.140845317788627,5.783852757790702,6.491829623035744,5.552079396035124,5.253297533640743,6.690706120605458,7.536535978265574,7.186301209497689,6.311188356703512,4.3536824750966066,3.8634167313330816,5.312703158544322,5.479504631479304
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1642745237601746,2.2930783937608923,2.719226307529704,3.4516843078355657,3.5895183999106695,4.247000753200435,4.154202312730152,3.802035810129083,5.455856743833572,6.205792284953747,5.938303469808166,7.198866684986153,6.307057006257912,6.09072553274625,7.202707506049577,2.61782060325033,3.4801819965368246,2.860815911689526,2.6062400460593373,3.8886956646485316,4.706987771178403,4.686275323604564,5.459219392534304,4.130766813287005,3.838954378812888,5.614501366405099,6.305048858591453,6.314153484945166,5.248505893877955,3.7848662835223474,3.13420989005069,5.013393320398591,5.250407893546803
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095824049567865,1.0978425360012087,1.534845374696336,2.166165021632705,2.157478437607601,2.4804250371228638,2.559775407390429,3.737230114889103,4.365765896350173,4.084247174454065,5.319912303452528,4.759100592555165,4.7627934244464045,5.678067155353118,3.930110662102644,4.678427052107016,4.557585242426866,4.27746029554082,5.81906289740939,6.497319529070526,6.634182025190941,7.507142030486325,6.0346311479415355,5.863878874635007,7.314518439886184,7.99339882494599,8.007778760118399,6.714691430182983,5.8723640851896475,5.265351390882951,7.04295310001219,7.274394496093405
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7530258208251555,2.1147452583756494,2.4501684818912652,2.3993481813267072,3.385758526425068,3.6178237664875144,4.544950466164419,4.931660394568277,4.445627341913746,5.87486003325803,5.681220574911799,5.781225121022933,6.559930767278279,4.591548421550034,5.388640638810437,5.004515786799318,4.587618787150384,6.152950078293734,6.954435481703993,6.819416131588134,7.62639790114762,6.0360433919425995,5.746087934742737,7.617009462840282,8.19792897853973,8.3973831360997,7.100828797579483,6.042524880662636,5.25028218169321,7.243552026375986,7.371713939655359
