 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,O32,H33,C34,H35,H36,H37,C38,O39,O40,H41
N1,0.0,2.019746052170394,1.5678135348811408,2.7777909027871828,0.08302018180763615,0.17247389408775557,0.009077500577504005,0.030047714848455476,0.012292112254777457,0.0014362500693093638,0.0008971246554870804,0.011547138224104261,0.000571361115677238,0.001554636525348596,0.178248587000355,0.42738731694722065,0.02056310233023617,0.005952690472051388,0.0001585604066174362,0.0009721700512199671,0.0032491364163861614,0.0066509188066015135,5.2374673246036174e-05,0.19991592002233882,0.07695022273996155,0.02985846120330378,0.0025248578793113374,0.006245208974773125,0.00027808995758493715,0.0011064316783389594,0.00024324062410319147,0.0002226494343117863,6.786647057110962e-06,8.204002452133485e-05,7.789640505073692e-06,2.843963215704015e-06,1.8092026077720647e-05,0.0006158161848971999,0.00016557128012997802,7.10323814714503e-05,6.8764641892871126e-06
H2,0.0,0.0,0.03007855194044562,0.10158942926470405,0.010274563847533003,0.027288859780407182,0.0011741438286396733,0.0019292332830007641,0.0007562627127825072,0.00016449639943938443,0.00012241661475775878,0.0002957598435671116,8.177341829007645e-06,4.211167559975415e-05,0.0022444519235990112,0.004767898793962777,0.0005110454589619673,0.00017200880109258243,4.191625832872248e-06,2.1670377827076592e-05,0.00014493454130015682,0.0001954919232909358,1.7044811641442337e-05,0.0053550094788280544,0.002038973027351454,0.0003605722476247575,3.509781227428732e-05,0.00014348550030196527,7.136643325189596e-07,1.6348589937598135e-05,4.053419910610145e-06,4.580729763836722e-06,1.5296237194650786e-06,1.9762400513823053e-06,5.10430972155973e-07,1.0536398198368602e-08,5.832919416359772e-07,3.039241058455655e-05,1.5572559285970122e-05,4.576610052930974e-06,1.0742131386631826e-06
H3,0.0,0.0,0.0,0.10244185153492125,0.028081075800548305,0.0059961245857567125,0.0026551203846467697,0.00011252133125649877,0.000495312477198695,0.00011763163225264606,8.228096406859287e-05,0.00026834809348208477,1.1130001823067559e-05,1.6587249984656438e-05,0.0012897453905905687,0.007243898355657974,0.0002995046513138977,0.00010814339989650978,3.4944585345364487e-06,2.2219466529138643e-05,6.473996518663316e-05,6.191009666745018e-05,6.407817494835655e-06,0.04236178636802779,0.1199801856555398,0.007182655688356077,0.0005185373316085595,0.0006983030450214978,4.336392470771777e-05,0.00014046703716419362,1.735916033029916e-05,7.722258925380032e-05,9.343819224794103e-06,1.607833560546279e-05,1.7768775024684658e-06,1.3186086289529442e-06,5.78200320733302e-06,8.027918125952382e-05,2.096830500220026e-05,1.4604307890131452e-05,1.70909157493071e-07
C4,0.0,0.0,0.0,0.0,1.7747481282281585,2.7317056319940596,0.08539398954281174,0.09818127023039724,0.15927989393629607,0.01938728828321068,0.018792387263273813,0.011224760861592992,0.0005261708176065305,0.0014114042141741834,0.010834400399885813,0.02419551719102042,0.0018548216864943678,0.0005816684333740385,9.85987094308527e-05,7.280688601241092e-05,0.0005288548985693253,0.001217063462850998,1.9118237447934838e-05,2.6733218961808576,0.29155039563574214,0.22371322019872314,0.012832814601329567,0.03646201496294191,0.002110053918781718,0.004201076748846316,0.001421982123289034,0.0007662693118677816,5.40536650479595e-05,0.00027812790490544526,2.2895872485939606e-05,9.720469860363679e-06,0.00010372572655081846,0.003917368024383749,0.0014834314717605684,0.0006960902515176087,8.550722030631341e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08048035234392092,0.034126318383045806,0.003201480618824526,0.011802063741433555,0.0003769484899664999,0.006984231057052037,0.0005863629949345306,0.0003763125940667855,6.531275793308922e-06,0.00019561788385569212,0.0004325064975236881,3.781937401292623e-05,9.846822362158392e-06,6.541361886824859e-06,2.816622108881006e-07,1.0522734628537478e-05,2.7276849422497307e-05,9.156087747985708e-07,0.08799478861526522,0.023659082038119728,0.009882671984645208,0.004632179464915787,0.0015313491725035266,7.262538729824186e-05,5.684988755882969e-05,9.83944394805647e-06,5.2618563295303566e-05,7.016539518289733e-07,1.6647752732690257e-05,2.3700155500350206e-06,1.9515748972409597e-07,1.3304858232032757e-05,0.0004472962174177919,3.782149889819397e-05,9.055560794124506e-05,2.7083189273913177e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8254281334627018,1.8239430807302996,2.7959728054092765,0.09155381268785501,0.07697102199886663,0.15866416780599507,0.009323542316700406,0.02749438695904638,0.014145347732863467,0.005546303982504219,0.0018121412296364936,0.00127442748988129,0.0010172220460366033,9.057762461683883e-05,0.0005077563359075776,5.309450439594521e-05,2.4020432950133674e-05,0.19119524548864383,0.03882810345009807,0.032336647692174564,0.002724725266122663,0.003401081402638645,0.0006600640616709619,0.0002911812823063603,5.64935625615437e-05,9.131237837314149e-05,2.5947031521922348e-05,7.824702750412749e-05,2.465597873313463e-06,4.466734257468907e-06,2.80624471092894e-05,0.0020397881253657046,0.003577080779581132,0.0005913457266126729,6.969836734871393e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026494225303210994,0.0782594853434444,0.0013899636132839177,0.02652020143017042,0.017450045675465375,0.004728046953573317,0.0011249301620777086,0.0011905635955106186,0.0006639915906245797,0.0001970337253172083,0.00010606847401251063,4.4115055462201624e-05,3.902829738056113e-06,3.137876494874181e-05,5.053178555147753e-06,4.71816033353889e-07,0.008978774496886555,0.004427574850687677,0.0011000539645595886,5.5857089472644006e-05,9.656364174004395e-05,7.1633196270237676e-06,9.18236753921775e-06,2.8737611987850187e-06,4.628130040318368e-06,4.168689466954589e-06,2.198556324772838e-06,2.1680260675616125e-07,3.9674988183691084e-08,1.060269383623691e-06,6.979634183923444e-05,0.00015347216852479306,1.707507433790223e-05,6.479545293647249e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09163970289919277,0.013055031484203061,0.0014367784921374138,0.01986404407094744,0.0002674170306835588,0.0006285851008802634,0.0014138853243240712,0.00015316740947701746,0.0003786436855293118,0.00026404377718858285,0.00012850676560427488,9.718825836557698e-06,0.00010446015515452878,2.916584909917752e-05,7.90772390679706e-07,0.014180968717896869,0.0030128624760948908,0.008388947399261992,0.002708358394704957,0.0008638330358835544,0.00036586120650849985,8.67390352452535e-05,3.6021292280086215e-06,5.4510626275705576e-05,8.678364345104939e-05,1.8954543527183176e-05,2.2452688928087383e-06,4.673936588650562e-06,5.36186253752291e-06,0.0018270467975098903,0.009546776835356874,0.0007971472806276303,3.965643803738317e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9202996086755386,2.013173569103449,2.876878632675143,0.08153154350530611,0.09166907583754647,0.18145864945638135,0.014135346946136718,0.02982543812784405,0.006038297333622142,0.0032756863810143866,0.00024339627497782512,0.005083075598793757,0.00017327250700005514,0.0005140626967707895,0.03129907364575915,0.00882405631062659,0.004969953095519841,0.00034929843772679714,0.0007391623398335656,0.00010928683870292666,6.15321081067488e-05,2.4543665871901155e-05,1.249936322292311e-05,3.0186780839436267e-06,1.4014998769004694e-05,4.2423909563105155e-07,6.052472230066996e-07,3.729990369016889e-06,0.00040764176835153543,0.000342878446656647,0.00012405005803564628,1.42316179835289e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025795219768906863,0.11505418433998305,0.004559650189552178,0.005001486986945913,0.029078227771106913,0.0006981572782762679,0.004280520933652943,0.000269963833497866,5.7978231770672295e-05,3.308641093524578e-05,0.0011309346502840212,4.525439637470541e-05,0.00011519196881581983,0.0021145089246075166,0.0007900768958570836,0.0003734475827648076,1.5566541714751025e-05,6.20901597850887e-05,1.2832174922650097e-06,8.138940506885461e-06,2.9718394671807147e-06,1.6406826801595997e-06,2.276489968089379e-06,5.290732506546547e-07,1.0024973273736748e-07,1.0767190250504655e-08,1.1008490541364324e-07,2.683591481655867e-05,4.1805282712914504e-05,4.12422598417006e-06,7.478112349357247e-07
