,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25H,26C,27H,28H,29N,30H,31C,32N,33H,34H,35N,36H,37H,38C,39O,40O,41H
1N,0.0,1.0175926323845428,1.019621140537746,1.4734301721563445,2.074868407770549,2.439588075172825,2.726258695688585,2.72603571770308,2.1213754099651005,3.8181396067362123,4.089005843051006,4.583051386374572,4.227505156069003,2.507419106975764,3.3250754323097276,3.1782159434921926,3.048749790255168,4.388398183579937,4.455060832819163,5.646952477032285,5.862342294945206,6.508786413779279,5.911780311988509,6.00303817869165,5.267635619468696,7.347180918367744,8.077247092219645,7.747040244419028,7.69818831211866,7.514069420917203,8.496035117081046,8.828450093234808,8.341586276738266,9.709015092634264,9.23511008497499,9.4075768464511,9.756731153759201,4.897662978847128,4.623381562677382,6.101445287054945,6.53917988075282
2H,0.0,0.0,1.6422756409999382,2.070089338756033,2.2993236967268773,3.327642598121646,3.7077586555329867,3.560529421884841,2.8985792758134155,4.578823912228823,4.679997989883649,5.426423172801654,4.938732690938503,2.806738084199622,3.2840246045900647,3.660034299100648,3.7242252985840936,4.6761171586975365,4.499140708669085,5.988678871739881,6.368211820183879,6.7765198076660855,6.156438115919035,6.065176689962277,5.566956818136402,7.6318576316405675,8.327155110235816,7.952808875265909,8.150831315615335,8.002105249744185,9.027922046669511,9.32947560442063,8.777712429137134,10.23816404860319,9.851764164245616,10.023069864881375,10.425732131252648,5.236134152409075,5.10003741150611,6.3170785331967565,6.7809331495904095
3H,0.0,0.0,0.0,2.0801097781912454,2.9376604124397154,2.8080514388781843,2.678696865822382,3.2514095228827338,2.6732830760773694,4.235948269328073,4.714996351263417,4.92887171439216,4.500303866963627,2.6858708576799644,3.629340325034028,2.910316902850309,2.56475411785709,3.999232875129029,4.156492114141277,5.370617359141169,5.544697132907509,6.149638240628679,5.895814156832736,6.032718686839295,5.393719637045706,7.3533202618996105,7.9865885969217185,7.879737337827652,7.6943777863723835,7.619144545163807,8.371028388840609,8.564494925045206,8.027951773584965,9.396056949909568,9.142513825000341,9.418067967534547,9.587025738269931,4.21514887917112,3.790293349601462,5.4192175391626005,5.750598381254947
4C,0.0,0.0,0.0,0.0,1.0939367831032383,1.5484677426989817,2.172916007115006,2.4023243480677277,2.347194079540343,2.5664738601068047,2.790219521593176,3.502739603012264,2.873405253545733,1.534070966073934,2.423322018846594,2.4763317180100244,2.6149300777568767,3.8233196516300176,4.000027273485674,4.785765332630413,4.9548203874254995,5.766669442758492,4.80814967413398,5.0066200850932905,4.018131213644628,6.150906980911054,6.980382460642188,6.48814529865351,6.425144395955768,6.153276643014253,7.299336841769124,7.776854328192217,7.380637391242101,8.692718325566448,7.996567240948417,8.0909844259389,8.586595580614405,4.700948099203007,4.645502657884678,5.92755794493661,6.523093786681895
5H,0.0,0.0,0.0,0.0,0.0,2.1485858936334186,3.0605474482281383,2.6461757127927568,2.6339778897328343,2.7614797404000466,2.535816510314621,3.734393525496484,3.188334156818848,2.1088877836662734,2.5003263198781522,3.331637703259165,3.6422920914180725,4.56778064856228,4.581734416305424,5.39723035751792,5.650034821218989,6.383159503604047,5.123428641176767,5.204412885333582,4.236903317486374,6.393311855700465,7.289345337959735,6.549997738644732,6.725006051121193,6.353123172335458,7.727302971433247,8.319911394746503,7.959755441463032,9.27143288526688,8.40217138692503,8.38589381853552,9.074799189539386,5.609742831767172,5.6695877346848205,6.767303541697061,7.427359838936291
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.109826324855756,1.409007520882482,1.9138696620060183,1.5253028222951948,2.1653484391034614,2.153629738849414,2.17697136405237,2.6112110805802224,3.6427563542998125,3.0071438510539785,2.7770064739970177,4.452253978829992,4.949480105478213,5.16902943550574,5.002404429310512,6.219160959865671,5.280119815684263,5.75897908748333,4.4136805203769125,6.423752858684811,7.307962439218325,6.833566099883244,6.337647220233109,5.940271077302735,7.055503884164372,7.6407929708092315,7.411411635411067,8.485627927164789,7.520265492721549,7.5579778000362206,8.013268214025693,5.176097837301634,4.9042866816321435,6.4899557035690565,7.008098701437932
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.067351000347227,2.413154539926435,2.155360888709434,3.0716762438215355,2.5056262423730717,2.475326416493107,2.860512934006535,4.045022533168818,2.73175491683638,2.1613939011068943,4.113466118529109,4.7861334090682845,4.870458668285779,4.56343436928986,5.864095390573839,5.289343978668463,5.867736328824867,4.575693401528405,6.429554749919817,7.216242742945477,7.001048920875051,6.265729117939132,5.986527948533014,6.804343917090382,7.251003128737781,7.003249455834251,8.029486992556988,7.264689333501811,7.425084331535502,7.642597708976794,4.556833532724246,4.10532002494142,5.89676042030001,6.309835974762717
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9784312411757383,2.375315515130177,2.671016073068115,2.583649361112076,3.3360912112794954,3.8053011563730874,4.744791833137915,4.32552264075014,3.9978144815284455,5.776642666360175,6.206863586214863,6.57121444136542,6.393856573407282,7.612366934989149,6.654799996689641,7.08426421377491,5.749730942259454,7.78004794240286,8.691192459407798,8.127025433602924,7.650113040407608,7.1726532456183065,8.359374642761349,8.990960517061325,8.796864831678697,9.81334607000558,8.722052147394795,8.6869677911487,9.184496035593236,6.3921159871023026,5.9779105580980625,7.722710990760522,8.168908306274025
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1859584887085437,3.4364029089082244,3.524267009496495,4.045271298505456,3.834163872767278,4.759947765226443,4.404948569865322,4.048026593674246,5.8230273754620825,6.148312748721627,6.81291286921224,6.738555415806947,7.803611251738769,6.982525314977766,7.304150971459977,6.141152958726605,8.22581790069041,9.08883685431046,8.59089920952007,8.232840014411172,7.83279242219092,8.959915094118763,9.496251980120968,9.210489471496192,10.330290454826208,9.420640167290644,9.4467471821856,9.882478220146188,6.3332247411803655,5.8666900136304765,7.647372228205465,8.043951488369558
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0955182529589664,1.0944259090710038,1.0969372234978692,3.1451096690622626,3.914343785156224,3.521860694232548,3.5258798931979594,4.815833189752751,5.374957679959454,5.082429276174333,4.800716780544878,6.179802421329523,4.887785048388915,5.504419306648591,3.8992914909417546,5.747976142154012,6.731807613993684,6.047656370246877,5.4477676295132245,4.868084566163543,6.2084122671467705,7.012280155198198,6.953214538502924,7.857429563953126,6.516486152855377,6.399018890241151,7.074978178299535,5.766499787880939,5.68568916892691,7.001740825758114,7.621264644777748
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7724293432329645,1.7860967998828885,3.4419910957670368,3.9321865216379086,4.150161385967052,4.334614664439184,5.399472143834558,5.788849843148111,5.634229742816549,5.495180443484042,6.72817895541079,5.166342010936478,5.647742632531553,4.095701818875581,5.976707540600707,7.019651618369252,6.082332457198285,5.778255221037559,5.103630023533885,6.690217429841127,7.590232558960507,7.541117347177401,8.475100170940923,7.000279343518919,6.763437252086814,7.655098252574122,6.506565837584573,6.5348691928460605,7.698629426892592,8.383806609570488
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.779289797990076,4.164142768064313,4.991572119566006,4.352060040332983,4.176969641300625,5.621788199809928,6.29149162458831,5.794198354141911,5.335309550861295,6.873735256046904,5.684589512808884,6.4065473808534215,4.7364226765845086,6.389715361756329,7.3610648129805085,6.722783107655302,5.857397602737656,5.2125850861848155,6.456626454639678,7.309977398712256,7.3706953548827405,8.072181429446989,6.552336246349513,6.379543495636294,7.008324192893676,6.427782468742591,6.217681759942889,7.676087124055114,8.226487793128292
