 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,C26,H27,H28,N29,H30,C31,N32,H33,H34,N35,H36,H37,C38,O39,O40,H41
N1,0.0,2.0334349981505673,1.945609083746681,3.0193466326404548,0.09481830617739273,0.19881757468513064,0.00798999571594039,0.08418266992691521,0.17738385827089276,0.03186153581781359,0.0008995953690464908,0.0040530472820214936,0.0009108591622468687,0.24260044164702232,0.05356871648489331,0.0337533147795077,0.004708360967343839,0.0041329085225300655,0.0003183787125364823,0.001050482581040027,3.8330158260713176e-05,8.126913048589479e-05,0.0003293758265535962,3.216338527201046e-05,0.000514551872971114,3.9353070928227485e-05,9.301958222018847e-06,4.349096506262029e-06,5.007952849966912e-06,6.365123483842439e-07,1.7264381783343996e-06,2.685176785074961e-06,5.722593361290329e-06,1.4721820185137346e-07,3.991331472552595e-07,1.699263019183661e-08,4.9966103254917016e-08,0.0009495853612619953,0.00024671536629622404,0.0003066071744592669,7.914171201728326e-05
H2,0.0,0.0,0.02823328559093241,0.1019749620305862,0.008303479319025753,0.029743758430615608,0.00048129312628897303,0.003134299223291448,0.001062200114753109,0.003534888983454887,1.771264939787187e-05,0.001027072340241686,0.00010226399298973732,0.006113430165369804,0.0026373148981259087,0.00041428611720861763,0.0002443582613855799,6.601484260149171e-05,6.177229154857855e-06,1.7824404937805127e-05,6.854041765258501e-07,2.136676618968991e-06,2.9864378500721322e-05,9.315480433702561e-07,1.3094741241115315e-05,5.590559279400331e-06,1.8876183602856145e-06,2.2459949788888878e-07,3.189192773200844e-07,8.531159001456956e-08,1.082180588474202e-07,7.486983488735888e-08,1.4607817511169685e-07,3.4326219644498224e-09,5.6364817258014455e-08,6.874922853228327e-10,2.865974790822179e-09,7.179859697892255e-06,4.827958293152079e-06,1.4881264649435622e-06,2.300644124098028e-07
H3,0.0,0.0,0.0,0.09933424253018186,0.03418135213549833,0.006955466073746086,0.0034967520967299492,0.001517466215982033,0.0010926078165138797,0.0007210211048400694,0.00044900654955148944,0.00011186934346940625,1.475854266019816e-05,0.011799839728910744,0.0009833429199134214,0.011721231510981034,0.0032506788275299403,0.000990125272562592,4.84663944522179e-05,0.0006162892680744436,9.298515983191535e-06,6.110567749995077e-05,5.062335893568637e-05,4.489294412879374e-06,4.775540027202041e-06,1.0598344173051721e-05,4.057925788281125e-06,1.6070487052211035e-06,8.013850787413901e-07,1.0262418115303262e-07,2.1836591168611363e-07,1.437891855138318e-06,4.281000500538923e-06,1.0849652221089912e-07,4.7331872976563716e-08,1.0219903590069634e-08,1.2478455824194157e-08,0.00031109541510765393,0.0008315129748516226,0.00010311318471001307,1.087516647713116e-05
C4,0.0,0.0,0.0,0.0,1.8939093223517438,2.6703122071981986,0.0878489756411649,0.22285352389179872,0.03361896909596285,0.16444608408922703,0.011465543811864487,0.0306211943675625,0.004364521020083778,2.721988977664128,0.2817850046437056,0.21460081860965327,0.009563419471820267,0.03473093786112419,0.00396421342986486,0.003103349845572062,0.00015830216656564922,0.0007574256594826689,0.0018800621992625666,0.0004524280444109241,0.0008138930923351495,0.0002756414497360471,3.146765038586352e-05,1.7687702384083792e-05,2.208981474929872e-05,3.2408065019362553e-06,8.111127468735102e-06,1.5623458368724252e-05,4.92931947340125e-05,5.931463863406705e-07,3.3157968757635548e-06,7.134259139007781e-08,3.934200663024967e-07,0.003455669112194998,0.000337124698115962,0.001061828330158332,0.0002162154026912333
H5,0.0,0.0,0.0,0.0,0.0,0.08507265367170924,0.03645395245969918,0.01119872170170877,0.0012553588807411309,0.01038151472350457,0.005568174630116385,0.0004650938798789195,5.5821384791432394e-05,0.11312628143272985,0.019269285973498862,0.020422461710916995,0.0025052340655777883,0.0030305418520384375,0.00011968092491176918,0.00046598763766070306,8.14666088810867e-06,9.499588418360183e-05,6.1010994963028864e-05,4.865332956072166e-06,1.0704699704655596e-05,1.3011305738053203e-05,2.0759783894153117e-06,4.713828538616127e-07,9.476868018110096e-07,1.6935873858869854e-07,3.0784452786924987e-07,2.689538369460287e-06,9.108777293098669e-06,1.5659817198532267e-07,1.0384890869463703e-07,1.9982036914001355e-08,2.0966308467151862e-08,0.0004721509770211352,7.231006482444347e-05,0.00013113925853691644,3.9974533656783606e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9177696374684132,3.049104982899636,0.11763712312306429,2.9303166959666047,0.08833817832520308,0.09937693649883239,0.09557763315201417,0.16464564336072726,0.03439091739727229,0.028980243334648575,0.01828290058075177,0.0038703548103191376,0.001402512283101176,0.0003904237714342784,5.609334421707857e-05,4.041444007807371e-05,0.00044864663622085077,7.576278306586914e-05,0.00038089912337024856,7.221487549124994e-05,1.5775090183911544e-05,5.453284083190013e-06,1.2603107627046084e-05,3.3924971427956585e-05,3.83981466614558e-06,1.7898340481381503e-06,3.649461350896388e-06,5.934169211574414e-08,1.36233272066133e-06,5.829789673228447e-08,1.1992010651162843e-07,0.00040419372082392546,0.0002503985279763976,9.459006733396336e-05,1.6889901873429203e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11221104810863869,0.006431019087915102,0.08308290997987178,0.03609493853587131,0.004965470664748839,0.004242044812235113,0.006018542443807506,0.0009162921050562822,0.009556754157271863,0.023513640805288283,0.0012153837598385397,0.00033249893845188616,6.209245679067443e-05,1.5623342799919726e-05,2.1007310329723694e-05,1.7041640782533563e-05,1.9171258602845853e-06,3.142428856017787e-06,3.3230345035661912e-06,1.415867727505571e-07,1.0325489663287613e-07,7.382861992866196e-07,3.27952658363273e-08,2.450835900891235e-07,1.3369747176028568e-07,1.814661136911866e-07,3.224595923612128e-09,7.181186489901847e-08,3.3296596591014804e-09,9.341426299158684e-09,0.00015541281133857332,0.00015179284806943194,3.855570493804805e-05,6.78302751966342e-07
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7583670357132513,0.2078093741615809,0.008509349056041726,0.011086295293907256,0.0299175829072309,0.038071593421548616,0.009081673680166179,0.008542540200517978,0.008090882376337927,0.001112697374955715,0.00024119458118787573,0.00021751890186955114,1.8369650170768637e-05,2.7238501585036268e-05,0.00021878033093268578,3.303769142415369e-05,0.00026291013942336683,2.7406785889694252e-05,5.480876510310928e-06,2.7905775539238675e-06,6.3265752015678745e-06,2.251609930703502e-05,2.1872769771502654e-06,1.5489810828023254e-06,3.5008604812869493e-06,5.2079492274259565e-08,7.031864669992949e-07,2.6288136112384564e-08,4.163676470270161e-08,8.393926076866176e-05,7.856614091600322e-05,1.6153466275786732e-05,3.843423595495388e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03327346443826751,0.0006273400542764485,0.0007539711980117936,0.002560231809840108,0.0054072927384234415,0.0011571176094301583,0.0006049624825852362,1.020903820969643e-05,8.404899375646924e-05,1.673872449825531e-05,1.5854676598259232e-05,1.3280822277472737e-06,5.16476110101749e-07,1.96820388727037e-05,2.3631325820616667e-06,3.0485795051049536e-05,2.773083583207381e-06,7.506736714457674e-07,1.2569911356230534e-07,1.0231305916930111e-06,5.763978348172216e-06,1.6021790905096367e-07,8.853576627387838e-08,1.4346480159410646e-07,1.5520815743741423e-09,2.7350007036908153e-08,6.508219296819107e-09,5.166498562303445e-09,9.379479318116779e-06,1.8295228301212774e-06,2.715750744619605e-06,4.804709810013463e-07
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9192409557809367,1.9830244471997984,1.9470974641425225,0.015703737766607717,0.0018405857193726505,0.00919361605632947,0.0017477066292098664,0.0009450704637074536,0.00019301312537767235,0.00042588715799218857,3.971327661189683e-05,4.185133643486161e-05,0.0010723015126678226,3.129047151251285e-05,0.0017017178936691302,9.21547525674915e-05,4.101997847449912e-05,2.6176507988973086e-06,8.112858773615117e-05,0.0002092953513351814,1.7476579361186406e-05,1.0769849991182356e-05,1.0011624179351308e-05,2.0782601117819155e-07,4.061510843728078e-06,4.7415140658202404e-07,6.473867963929791e-08,0.00014725682310634536,3.518488047883628e-05,3.5453580236030624e-05,9.06359975338944e-06
