 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,H15,O16,H17,C18,O19,O20,H21
N1,0.0,1.934012297415042,1.7367819892723153,3.125092422709464,0.09192149038494968,0.09835968030798636,0.22048649672044082,0.04039894167374966,0.0340780534604951,0.0029480117119855542,0.0073177260672353805,0.0004970742632741665,0.0011130654587961641,2.7660733525669556e-05,0.0002670280346356302,0.0001031489165525673,7.029649882372979e-05,0.0006510969621014162,9.910628867620952e-05,0.00022410458095036,6.064694714158492e-05
H2,0.0,0.0,0.026579779732561315,0.10466705407708732,0.006554318182709906,0.036116259878536505,0.0087826535389538,0.008932491908908324,0.0010492570838378512,0.0004120978122135188,0.00028625554096939343,1.3921609960387826e-05,1.4917872204756044e-05,3.8668184325629795e-06,1.3050884704046695e-06,6.329372212565687e-06,9.56779104410721e-06,5.8527242091321874e-05,9.236626541508919e-06,1.3744828037287604e-05,3.423042856054437e-06
H3,0.0,0.0,0.0,0.11078283907219322,0.036578132967815424,0.004868795770437417,0.01380192901753563,0.027548320662674097,0.0024961077483437455,0.0004723693947970009,0.00035289664301163537,3.670848933445825e-05,5.140245551005229e-05,6.230928964123805e-06,6.22854916820792e-06,1.6061489495844405e-05,4.961653106594355e-06,2.476709419285683e-05,1.8773148757089686e-05,3.2211168159435033e-06,1.7286580300535093e-07
C4,0.0,0.0,0.0,0.0,1.7444402576809748,1.9519652958051288,2.5723983412219082,0.29099395258956867,0.2196848873695913,0.016151600592660742,0.036443699751923686,0.006583430458333428,0.004331191564150044,0.00014613387863415817,0.0011487318850135209,0.0005177281648297699,0.0008583875207380798,0.00295232132734205,0.00042479889159052764,0.0009489199115375047,0.000199051584813148
H5,0.0,0.0,0.0,0.0,0.0,0.026049152598636827,0.10222958341823718,0.03181014388201142,0.010810366364293778,0.002955854849112427,0.0017627073504908886,0.00023382502595969967,0.00016016884819025634,1.7336437122095205e-05,2.631134596642326e-06,7.28543702663842e-05,0.00013360013849417207,0.00024176846450063572,2.8137750771151104e-05,6.805795633690881e-05,2.192044990345643e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.1054390495966604,0.03192666928018595,0.012662779295023352,0.002920409615798869,0.0014077663908653726,3.68333190743364e-05,0.0004542335324031477,1.3553737405302968e-05,2.413649442845056e-05,9.543854419502562e-05,0.0002708535726241301,0.00046232756137842834,0.00018450614803577903,0.00010979228990015688,3.120870433459544e-05
C7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.948998301499941,3.5100999228119174,0.13458949760588557,0.26197579949185734,0.02832433041509952,0.031954774304171596,0.0010036110153284206,0.0035093136318544715,0.007723794572021964,0.011872555895300452,0.02845776171785469,0.004769317782904875,0.005669057469040978,0.0012508410412168658
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5219536067635182,0.027136004915886303,0.06693237471979441,0.052509862989829736,0.008358332205373561,0.0011551710714770014,0.0012126273763569673,0.0020289822856674328,0.0013772048081313049,0.010665252529140717,0.003275251272521554,0.0017030189021183112,0.00037876607299291987
N9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.761454061566225,2.65964392903952,0.09407157063702876,0.1919606990033084,0.00843191590782788,0.026302778721527753,0.03913801742908553,0.05626404128532403,0.19298817830141127,0.047659516976859134,0.02855594532341882,0.005148089918949661
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0987139525616435,0.029064375559895606,0.004891423552040419,0.0017623041278183038,9.214496050180543e-05,0.0005375279653846432,0.0002828247185777677,0.025217477450898418,0.05973793067214406,0.004043911113242538,0.00014632458024133044
