 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,H15,O16,H17,C18,O19,O20,H21
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9354774551921197,2.710644884310179,0.08954386894835009,0.09348606266912984,0.21726434629937041,0.015678938672501808,2.637988715622094,0.2745986720165259,0.2180589993578663,0.05297214374920334
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0813381698218899,0.03220447360122258,0.0054207451815031504,0.011258667839358472,0.0012643557559270935,0.10981074318274597,0.028217515699255902,0.010255675040915957,0.0006716243479767403
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.050859476885851,1.812944738917969,3.0747479155917325,0.12007055394828547,0.1935425830660885,0.04294383320244603,0.03086695712890121,0.001759530386644781
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025133864640666692,0.11505684910403735,0.007560659186290897,0.010617408031011522,0.001773035801368783,0.0008087657070126042,0.00011743257469287727
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10572900307502908,0.038143767495352865,0.006729041076880549,0.0011238840536059724,0.010314070441864498,0.00026613665108254914
O16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5406097522577298,0.04074875973268011,0.010416746319507918,0.005249096284874535,0.0005922419416667379
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016441627414350846,0.0008696099119784861,0.00040899956397855153,0.00012617679276494265
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.945681847340494,3.4380408050246025,0.16900914193913275
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5172923745606053,0.06566635181893155
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6619450469759602
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
