 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,H3,H3,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,H5,H5,H6,H6,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,N9,N9,N9,N9,N9,N9,N9,N9,N9,N9,N9,N9,N9,N9,H10,H10,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,H12,H12,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,H14,H14,H15,H15,O16,O16,O16,O16,O16,O16,O16,O16,O16,O16,O16,O16,O16,O16,H17,H17,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,O19,O19,O19,O19,O19,O19,O19,O19,O19,O19,O19,O19,O19,O19,O20,O20,O20,O20,O20,O20,O20,O20,O20,O20,O20,O20,O20,O20,H21,H21
1N1S,N1,0.0,0.023733731516608625,6.096014970591312e-07,0.0021469541873910813,7.06766810110171e-05,5.352770811306584e-05,4.015784247357601e-07,0.004199903323053755,2.876846814814371e-05,8.826672711656491e-05,3.4397796680463166e-08,8.268745096517982e-06,8.846899714251566e-05,7.901193744969115e-06,0.007908048340258267,0.0013960041881194707,0.007899307948424195,0.0014092528330317267,0.0011937673352875322,0.0023612760004734223,0.0007940698111097433,0.0045141122245810905,0.004448060902500606,0.0006742036771274496,6.314893569703273e-05,0.0006343956443641829,0.00034333906827610505,0.00015358970908715963,8.364564676575925e-05,3.562396089051845e-05,0.00012022401609851352,0.00042148763817692614,0.0001944305992402917,1.7632656709176686e-05,0.0002262701961921465,1.1132680754255553e-05,1.5173802757617594e-06,3.653286988480886e-07,1.7615518612679182e-06,5.627526479035083e-06,5.438657361800381e-06,4.396120762861777e-05,2.512380303243411e-06,0.0002025055886282212,2.340942062029061e-05,9.050336362281808e-07,1.1607591504092518e-06,2.52165896585943e-06,1.2951091675095228e-05,1.2405648777025213e-05,1.6661277230101135e-06,4.4827473952846475e-06,2.2016068288444046e-06,9.561854950201898e-05,1.308484919082531e-06,2.3888509392833157e-08,8.715928043745436e-07,8.37543279552655e-06,3.2363431257120823e-06,6.277489311701245e-08,6.319076024940973e-08,1.2689383199759874e-07,2.1355069046435915e-08,3.2498976464123697e-07,4.287750619835773e-07,6.794505117646565e-06,3.260106999913859e-07,1.5062966475465345e-05,2.3108859212861432e-06,2.6634936771685602e-06,1.253468069117858e-06,4.3931192017510057e-10,1.3398939957554035e-08,7.030236046090543e-09,4.973202893943096e-07,3.20999121727894e-08,1.0786232965132037e-07,2.8303059942946796e-07,2.3357559491010704e-06,7.764139950960924e-07,2.996181774905793e-09,3.544180953163334e-07,3.224569899984431e-08,1.4009669533354696e-06,9.132998735061904e-08,4.5463239017884405e-07,7.241057531359729e-09,2.1043849274260396e-06,1.534674995973262e-07,4.3825916229423e-09,1.0891041679617075e-07,4.250335083888501e-08,2.680942004507081e-08,3.725212641136899e-08,1.815477035371771e-08,1.5341887158459855e-06,1.2124490578191427e-08,2.199212945086515e-08,9.607852535786776e-08,1.4240857848513144e-07,6.09681150010033e-09,3.193998376893603e-08,2.8822308539844244e-08,8.116614402808864e-08,2.6384204154794588e-08,4.496328809278083e-09,6.286608456029796e-10,3.196594267063091e-09,1.0855933096909354e-09,3.898465605889356e-09,8.658179950771228e-09,3.044298146903657e-10,1.560669926625735e-08,2.0254814492304263e-09,2.914335439641036e-16,1.0946799022804043e-13,1.8627750675292987e-08,2.3524737713387367e-11,3.868364073511543e-09,3.5282443633377625e-10,1.5101480066448403e-09,2.0045254345291141e-10,1.9775481252537475e-09,6.620010511992902e-10,1.0966602626005795e-11,1.941917834868967e-09,4.723059998656964e-10,4.856609558956393e-11,8.383478355966645e-10,4.690173693866484e-09,2.327113890476795e-09,7.357831233179013e-09,1.97408978053204e-10,1.4947549864530174e-09,9.95259497038603e-09,2.9290679548488185e-08,2.010752686576467e-08,1.8814758417917687e-08,6.234808835881012e-08,2.626644207692763e-09,1.1775309061157202e-09,3.1984856985189936e-09,1.8494291653681216e-09,3.362888745250814e-09,8.697254028078305e-11,1.4994956387681668e-09,1.2737940258134017e-08,9.634757436316477e-10,1.1459535542712729e-09,4.907185768843192e-14,2.1740656830360194e-08,2.2784437447853634e-08,2.0412249668311233e-10,2.2164367563526355e-11,6.240784278244149e-11,1.2295164886211296e-12,4.135219944245705e-12,3.7347791526087804e-11,1.4637914491633097e-09,5.888362020201043e-09,1.268152249878085e-10,7.561864467930945e-10,2.0104480302762795e-09,2.4237689633110904e-09,3.616256183391897e-10,1.0614176204626347e-11,3.590496788774544e-10,1.5402487618665361e-10,1.0104064529503631e-09,3.568128570385909e-10,5.697301797003007e-10,5.190868984650265e-10,1.0536171934916183e-10,1.4946796023096454e-09
2N1S,N1,0.0,0.0,8.417217707545888e-05,0.037548716007350436,0.003060373478176448,0.26504722739670905,3.9552018642918796e-05,0.06337163381784361,0.002699956604956366,0.0023576188858083214,2.610555937443415e-05,0.0001503486599530035,0.002627011281478353,0.0010162526221999535,0.1058169021537334,0.15899956993016318,0.10668760347453565,0.16012823558349032,0.0034536963778202256,0.006582977507192833,0.008429014236466248,0.042719280053941766,0.04757457717054425,0.042090562110633556,0.020809970503679942,0.13320350413103466,0.10839328602452536,0.011043997436244402,0.006614847022639481,0.00344457679663579,0.005733865048140885,0.029212990109338532,0.005362180624243873,0.0001341789028113105,0.0061990362018482514,7.348702652576478e-05,2.350145982288332e-05,0.00016635759445060572,8.3228580670891e-05,0.00019967080916583058,0.0004412637539634723,0.00033175031961851786,3.923204713185413e-05,0.000941127005517739,0.000214506887773247,1.709196097388066e-05,1.0068239608251872e-05,7.959508686306016e-05,1.221062478395929e-05,1.872404316038967e-07,1.1073871217570641e-05,9.86764336508017e-06,1.0106943550081127e-05,0.002963850534704715,2.1534822995938896e-06,2.497042022042706e-05,9.753698153591728e-06,0.003249761332028811,0.00014838638633296597,1.0005106136246056e-05,8.199169354128344e-06,1.2849346557874952e-06,9.22069848483531e-05,8.58110290935521e-06,4.911667301321643e-06,1.8046594363774204e-05,3.091204573202333e-06,0.000534722875381366,9.244817604603384e-05,5.3826277598201244e-05,1.5844894837080403e-05,0.0004453012315437377,2.1740361026534316e-05,1.9949191317092385e-05,6.34397452294877e-05,1.9592719578076512e-05,6.114018728187176e-06,4.254256528457567e-05,9.034705801314047e-05,4.7679531542499376e-05,3.4771922672316435e-06,8.652923208618546e-06,3.4058434232875356e-06,0.00012411677449364333,6.964766570138892e-06,1.3261506679462798e-06,1.6496411761046659e-06,4.806535747192697e-08,7.85918299328614e-08,5.718537192889173e-06,1.2440986774775453e-05,1.1470038436822705e-06,1.7910679513954975e-05,3.736844917723303e-06,8.904924486685672e-07,3.677051170036805e-05,2.2710844604922897e-07,1.9558093309335334e-06,7.984662575122314e-06,1.780703616516277e-05,3.6691481897221934e-07,6.88649357538651e-07,1.958520402745023e-06,5.919170113166672e-06,5.68854209515024e-07,4.7563556249130556e-07,5.017140853880164e-07,8.01168524633411e-07,1.3603602488920785e-07,5.280410730890139e-07,7.101240617757298e-07,1.0267735373048481e-07,3.545934373683224e-06,9.444276316550315e-07,3.3714919744909366e-09,2.3744927801772064e-08,7.243519335453641e-07,1.396106652507001e-08,7.053154242875337e-07,3.3465659132758674e-08,8.411535157293315e-08,5.187820839580581e-09,3.4248802993630534e-07,2.4462122327761904e-07,1.2405154015127096e-08,3.5651062746389073e-07,1.797709623385657e-07,2.0572798375972923e-07,1.0058877908392105e-07,4.577907430913797e-08,7.527563905540546e-09,1.586765030481274e-08,2.728909818117131e-07,1.8933825707279084e-07,1.960823543534218e-07,2.525724651647465e-07,4.6165747669135726e-07,7.971702498110744e-08,7.791799858658521e-07,5.900325836805109e-07,2.331793425014439e-09,1.073936391815522e-06,4.823247756746696e-08,8.051536615205634e-08,1.3907150764325138e-08,3.8304336591465926e-08,1.9930281816016304e-06,1.2567724638756772e-12,6.8995396063087355e-09,4.2946328715487425e-08,1.439809237613332e-06,3.347676704734681e-07,9.675871170955475e-08,1.156204021413032e-10,1.0486291834865824e-09,3.1323275972994225e-08,9.267888256836443e-08,2.0257129307310606e-12,7.830352810600516e-09,3.191414776892998e-08,4.020213970612474e-07,5.266061897657437e-08,9.595874850276687e-08,6.507529404231605e-08,3.8015731718132884e-07,1.8119195033250435e-10,8.361068193352139e-08,7.129639101322027e-10,2.7341749087028688e-08,3.869845555115603e-09,8.428313824637712e-09,3.095708134281949e-10,3.06723433318723e-08,7.416328440257303e-09
3N1P+1,N1,0.0,0.0,0.0,0.0019646128828569864,4.1184208483535656e-05,1.2039238981742528e-05,0.26971773968607593,0.0024317710466768006,3.4306125553662525e-06,0.03253473703097565,0.018585630064156478,0.030674360438535553,0.003907977770739812,0.001959293129414119,0.16690550604497645,0.08900267269110484,0.30192465458910656,0.20414069533324453,0.0012025252069369774,0.00850657280393552,0.0010672125961637136,0.024568263106672372,0.020351952776079596,0.003651422949412453,0.009430913174978794,0.014148286630146334,0.012967303602090752,0.015447858862008834,0.0072201818546242524,0.012504202061826009,9.386157627000458e-05,0.006390358750181457,0.00911798088648963,0.0014319905328665783,0.0011528985035194061,0.0005275568161220434,3.0272568896094754e-07,0.00010691224343561956,0.000797031886909938,7.154675729026394e-05,0.0002978251792193909,0.00010964963527149152,4.490125591871674e-05,4.11607879291509e-05,4.9204152015036584e-05,4.139844259398728e-06,0.00027161583137624845,2.216903685159366e-05,6.311667325009651e-06,0.0006163464386386153,8.663533848984883e-06,0.0001543502423593246,0.0011266612692510947,0.0009414964268787962,1.4571304729038559e-05,5.5582621965033496e-05,0.00024672524557889375,6.363124670505371e-05,1.137103122772487e-06,2.1470305254789324e-05,6.264030711533586e-05,9.4187056844941e-06,0.00015039298519292643,1.3853267211150211e-05,1.0049529518108002e-05,0.0002593806332442661,4.6508411164047914e-05,0.00021748871385440793,3.413046487033e-05,7.161404081257317e-05,1.7741910595336918e-05,1.0675623015377056e-05,3.5785287888501216e-07,7.683742029529483e-05,8.95209382241191e-05,1.8587747347975636e-06,4.3816982195910015e-06,9.489797128559019e-06,5.2037794078252375e-06,0.00011398322747524503,4.695622262129717e-07,1.3249393838066226e-05,9.28274188183309e-06,9.50340181780085e-05,1.0560758087141409e-05,1.476442087255947e-06,5.919675416521386e-09,1.2397833234700784e-05,4.727461400122479e-08,8.111666320864686e-07,7.767211332554425e-06,6.586427452326404e-07,1.5178902668111505e-07,1.0057069810276431e-06,1.9110751883211208e-06,2.173783284931119e-06,1.6785224321580472e-09,4.945782476895033e-07,1.62305369144633e-09,6.147297288983111e-07,2.471716342711261e-08,1.7095082238682835e-08,1.0201874900417351e-09,2.638926533293784e-06,2.4171369350511895e-08,2.130119271415154e-06,3.414019023040282e-08,1.814193477667203e-07,1.7180963962637463e-07,1.906508211302338e-07,4.100356947311923e-07,1.0495887692307804e-06,1.6489193703783656e-06,1.807098914952121e-09,2.4099833240143198e-11,1.6414390291430436e-08,5.347311771153329e-07,4.332623015912418e-08,3.52353045407483e-07,9.590446037321954e-08,6.36720418611958e-08,1.7423104736735695e-08,3.849763619001578e-09,4.7909131994927634e-08,1.1380595354992806e-08,1.4669628844998783e-08,6.292323107004449e-09,2.2311372771532945e-07,6.780873418321676e-08,1.2978533625584987e-07,6.637162686118359e-08,1.1307575085162114e-06,1.5028624744672925e-07,5.5362381345958056e-11,1.2580296151476489e-06,1.3129628806396454e-07,1.7295101950587366e-06,1.7842937647394308e-06,1.2170599070771004e-06,2.9561334713434917e-08,2.2301648061606727e-06,7.373746724326224e-07,1.8850060206077046e-06,2.717439337773797e-06,5.4398190396653945e-09,1.8109667410115549e-07,1.236238186486105e-06,2.8383988093239054e-07,1.1131409221043498e-06,4.2583505166504665e-08,3.604390719225137e-07,1.2884190248030336e-07,9.346356355521834e-08,2.523315711933094e-08,2.8339786450892746e-07,4.43622867329907e-08,2.486497474585292e-08,1.7659610662690284e-08,4.2966376234687687e-08,1.428106117806749e-06,2.6880262415929224e-07,6.544503965422166e-07,6.408614403596857e-07,2.424509375487105e-07,4.9972710414181165e-09,7.133902357736588e-10,6.910125094350406e-08,6.963113996505399e-08,4.840174938625097e-07,4.74590776455841e-07,8.149387831224431e-10,9.429653569092977e-07,9.292775478009219e-07,6.136222463482e-07
4N1P-1,N1,0.0,0.0,0.0,0.0,0.021540927997525383,0.04070018396983732,0.0020370478708420237,0.14416888616036072,0.023218988303577603,0.00414656376213407,0.000564176188740273,0.0014607570365212652,0.002934271779060138,0.0025048706962127465,0.0075730807204434925,7.242352077918568e-05,0.018776578917456543,0.0013810845169484054,0.009975003314246722,0.05251303485932235,0.025162462821121778,0.08590140553857717,0.13055151897133754,0.013586033111342655,0.010646091416694592,1.7588559469761123e-05,0.0629915861584065,0.0005948579994363712,0.0024018929008753354,0.009004968356756127,0.04978151643986517,0.010549405792019018,0.00012075126003230352,9.651019901379954e-05,0.0007806385772024527,0.00047457145950913215,0.0008725475792514814,0.018017523358068832,0.000587010711178948,0.03242409359937515,0.0015400408110579633,0.0022432587307053,0.0025816074699704927,0.003677542179837623,0.011544167075075773,0.0016075033233216018,0.0010414530197071503,1.1974022617877722e-06,0.005718373217105777,0.004605159953449123,7.802019247171721e-05,0.0013802859274774093,0.00023134917098488472,0.004922428075429863,0.0001026977072751123,0.0008133878532845529,0.000333779748628249,0.0002861271889780248,8.929552215475312e-05,9.348929177366294e-05,0.0007006782365062136,1.7350968715135195e-06,0.00018250012604204002,0.0019979096422957365,0.0001036529688303034,0.0033965014649304237,0.0010032589552810833,0.0037538612462921783,0.0006760216993755286,0.00042664594012942203,0.00022240520964489363,0.0005226080685063472,1.6433007667515653e-05,0.0008090263085960281,2.2526650742760168e-05,0.00022805116156687788,0.003888879103604026,0.0004575526465444568,0.0009537185193679854,5.5811129765270806e-05,3.2108146714726615e-05,0.0008172027423767325,7.144048652829582e-05,0.002413711502187166,2.3472964092441373e-06,4.510119302958415e-05,9.662461803872091e-05,1.5234867169144906e-05,6.0129351008963994e-05,0.00010218908312786823,0.00014197478073740832,3.918893985055405e-05,0.00012423594075827715,0.00016160215872762507,0.00012563766240791807,4.3192534557867646e-06,1.718777606241062e-06,7.265740786621677e-05,0.00012139201045702208,9.357587727176764e-05,3.469830914593075e-05,1.949156556602105e-06,5.789902884956177e-05,2.3738521677252322e-06,2.4952981980241873e-05,6.083360919739711e-05,1.9412799648010903e-05,1.9095013442660402e-05,9.843723442481966e-05,9.59969239122671e-06,6.547460841055397e-06,1.2630930776857952e-06,9.381692250842733e-05,7.480655368796718e-05,2.3341484967076553e-07,7.271777301198767e-06,9.122287667473472e-07,1.1703652975647572e-06,1.5994945613329037e-05,6.278681707438949e-06,9.915102436863776e-07,1.446899089430076e-07,5.760490983330868e-06,2.971983990018856e-06,3.436372426612877e-07,3.609722032393847e-08,3.8742952430670385e-06,4.740612608244987e-06,4.139193379160133e-06,1.0562317412698974e-05,2.1765073301427407e-06,3.556681276695173e-05,5.150107404849891e-05,4.389682664918126e-06,3.7323968849811706e-05,8.04401293752477e-06,2.5910117371630292e-06,5.861576455012951e-05,1.0281172713177966e-07,6.174368275768671e-06,6.705723499456084e-05,4.4380681964995006e-06,2.5092107898139204e-05,4.881199409179082e-05,8.814390994871246e-09,1.2260812720654712e-07,1.1378765021774484e-05,6.813762447599458e-07,5.788648968163557e-06,3.8321951567610313e-07,9.144278608985701e-06,3.73452393986895e-06,4.445644722572695e-06,1.3827583300596302e-08,1.793117819337553e-06,5.530178694979071e-07,6.46662545733534e-09,2.151939790806523e-07,1.1093201439660305e-06,2.804984587267967e-05,3.910842934340408e-05,1.1417483033682174e-05,5.310834287897137e-07,4.382157230864436e-06,2.303430129746431e-06,2.0724984306497163e-07,1.6211768891771783e-06,3.8142718006284326e-07,1.434024792956734e-05,1.2208163594484844e-05,9.627594721450805e-09,8.248741311556174e-06,1.4758004653447898e-05,2.1041738482274752e-05
5N1P0,N1,0.0,0.0,0.0,0.0,0.0,0.0014565087028777235,3.6205341578110506e-06,0.028182714162782396,0.27789319891832687,0.003346804306854745,0.0020765044551596112,0.01674939902577699,0.015238834052895056,0.032361297161719316,0.27417748626976657,0.17131870418067408,0.04366821259849951,0.022499161029444714,0.0069317887315547555,0.05101322780630335,0.019641767125714527,0.11993068720974831,0.09299237725208487,0.02336120283784293,0.012186106831054477,0.08096530198357099,0.016516947950421468,0.002559774568026363,0.007590794284877855,0.0015870548356002878,0.02971685016006509,0.007597425498472754,0.002420443257263649,8.742902424430099e-05,0.01103191356276767,0.001315655120442738,1.2114020897513456e-09,0.0008250585109181863,0.000458320416377056,0.0004157037257130902,1.2777325641089021e-05,0.00043073061464937723,5.587046517874228e-05,0.00037741037014793477,8.729367926285647e-07,7.342561862966335e-07,0.00043006378630461306,5.9844071634618246e-05,0.00027901790440743035,0.0019082596404047525,9.189047839752718e-06,0.0002065312466688063,8.892317946740391e-05,0.0004390486038854391,0.000899114555131586,0.00012878127309923215,6.828407306258555e-06,4.318099454447832e-06,1.9135298472416906e-05,4.699379843886575e-05,1.1155818230523806e-05,4.774812326524547e-05,5.536379971071703e-05,0.0001255581683057283,2.2582180023933418e-05,0.0005693361037217848,0.00014522574793840448,0.0010690339155359219,6.97938622629124e-05,0.00020170543058162238,3.375669507033052e-05,2.378373970834957e-05,3.794524494615814e-07,1.0188366386110204e-06,1.9574226790552984e-06,1.7715921998284756e-05,1.875716131971572e-05,5.275298602236411e-05,0.00012677182203146842,0.000516617098975658,7.5844491420618e-07,1.306766428266215e-05,2.4322282219380043e-05,0.00016705520078375002,8.988602761217379e-06,6.919928736692782e-07,4.138735366421287e-06,4.3496250365926414e-06,7.005476918120479e-06,2.848016267265052e-09,1.9379748936732e-05,7.295192037126697e-07,4.881558204328229e-07,2.1580243463104054e-05,7.5157713124163195e-06,8.518662308887315e-08,2.6685211662602626e-07,7.024207633321566e-06,7.580213079005915e-06,1.735424765625382e-05,2.201351638309035e-06,9.477859208573136e-07,5.41792007791031e-06,1.884523102013702e-07,4.663355346323783e-08,6.857784229152841e-06,4.090363936448682e-08,3.4163803208642207e-07,4.170882723864011e-06,8.625322172051142e-07,2.605245569053949e-06,8.063725456253223e-07,1.0111868875117835e-05,4.395263621059797e-06,1.7133558127824244e-08,6.906509639748037e-07,1.0339832101635693e-08,1.7580084374912985e-06,1.2299506746416e-07,2.7345283193369596e-07,6.194676815951539e-08,1.3111083241312826e-07,7.8675733039546e-08,4.556970367719515e-07,2.0098303243898386e-08,1.7309839184243003e-07,9.967391687570881e-07,1.0652352755435857e-07,1.0936398942007486e-07,8.415778629977666e-06,2.720619773910471e-08,3.1068980010928726e-06,9.511579643906032e-07,1.519288646001371e-07,1.453565110942634e-06,2.202233364556605e-07,1.8386442146578474e-08,1.4030911543727598e-06,8.205062278499042e-07,1.2163786737851012e-06,1.982977182457546e-08,3.826445205135087e-08,1.6194477447939448e-07,1.1576033578375444e-06,1.243314384780092e-08,1.1703907265570024e-07,8.841834704398366e-07,4.954326464634562e-07,8.908519308903351e-07,7.019814862729845e-08,1.0289555834042119e-06,7.74976534945182e-07,8.739251255995839e-07,1.6746510844711793e-09,5.095674060484612e-08,6.144759812087841e-09,6.746977732063897e-08,3.350699380177957e-07,1.0226575142269212e-09,1.3385310637659131e-09,1.396269322384569e-09,7.293277093367578e-12,7.95733258396325e-07,2.1195390775829992e-08,8.0589055428959e-09,2.4368269180286006e-08,2.4451786817536458e-08,3.9720124078712615e-08,5.59491588614236e-08,2.995796943849882e-10,2.5676099491001025e-07,7.3309927017817245e-09,1.310305921542465e-07,2.5070400422322336e-08
6N1S,N1,0.0,0.0,0.0,0.0,0.0,0.0,9.62545470195586e-05,0.05564375629052121,0.0032751694838348833,0.0021559830087181098,4.719931362262564e-05,7.827857035658248e-05,0.0030504062136689214,0.0012667071655361184,0.09639094345967303,0.15145487606992702,0.0967511088610733,0.15251267416267433,0.00023256306472241306,0.026216359626438646,0.003756798330565747,0.026014827741361657,0.022046027700562743,0.07254519743588261,0.013469194750376445,0.10610883528026704,0.07362169370740013,0.008744077016428431,0.005201052696622188,0.002507396234690651,0.005186344168473189,0.023105201813441,6.748264348477306e-05,0.006127671023192338,0.00019783993874966654,0.0056202052653775425,5.8307868755491654e-05,0.0012201980351185249,0.00022286878589206083,0.0011897364917818898,0.000557672279864807,0.002798761413854489,0.00032077707910049824,0.007002999768460416,0.0009033252728021246,5.700782421458328e-06,6.694250173344685e-05,4.654850517415987e-05,3.5985746592359646e-05,0.0001089969977485783,4.3623053169739023e-08,1.3023593764316388e-05,6.255258542253728e-07,0.0005646471197922054,7.99084033338282e-05,3.4407141999537316e-05,5.9207703621666496e-05,0.00080596745181305,4.233796787556088e-05,1.0475561708078729e-05,9.425880276303644e-06,3.369452250545635e-08,3.0089732202309705e-05,2.7757646855475215e-05,6.607853997309121e-07,2.3072653054789782e-06,6.357797310840851e-08,1.7187684663078073e-05,0.00011939092844359678,0.00012212632494801312,2.2977408160151924e-05,0.00046441632510818565,4.497769704681076e-06,7.292445867146391e-05,2.2618576918098654e-05,3.833536059705267e-07,0.00014023856654454825,3.635921548261756e-05,2.0404704050402955e-05,0.00014908460218743258,9.796540978435075e-07,3.145109514557376e-05,2.8175905577576543e-06,1.4970603990249742e-05,1.5686300169903689e-07,4.539811743553557e-05,2.5834427201942844e-06,4.851564910390849e-05,1.7736433912673988e-06,2.924887739119697e-06,1.287542814587539e-07,6.8297272055595215e-06,5.393269125297806e-06,1.0776413656321537e-05,2.0471926838183663e-05,6.124851461963843e-05,3.506967027888663e-08,1.962379370112899e-08,2.1101074088036853e-07,8.590766604754663e-07,2.106777330368459e-08,1.323529097430054e-06,1.0963089343007937e-06,6.46341009735707e-06,1.1428946677938256e-10,3.3769752327827973e-07,1.8220926887302369e-06,7.459134954146407e-08,2.06824519000115e-06,8.458430638125236e-07,4.251263541199535e-07,6.011210063050498e-08,2.2867829319039856e-07,1.1439091394116474e-06,8.731333434042199e-10,2.274946124813937e-07,2.8642272908996347e-07,1.1551145817634279e-08,1.43237589345091e-07,1.0976932429684894e-07,6.261480667291153e-09,8.126028738786317e-10,3.267447112875743e-08,5.66752422770378e-09,2.6925870422189746e-09,8.211534452406966e-08,9.171098991345161e-09,2.607405114041228e-08,3.157487160621031e-09,6.878094827023062e-07,2.030248857920469e-08,7.255419300911115e-07,1.4449105751879188e-06,2.8350655156827997e-12,3.2848334119428557e-06,3.902265177657682e-07,2.480293490592089e-07,2.468907374542084e-06,2.5444506430716274e-06,8.20865284634209e-08,1.0414299163041818e-06,4.091623144741874e-07,3.204965182135311e-10,1.6260408592927433e-06,1.7353539716324917e-08,1.0920152027082963e-07,2.12598992943569e-06,6.005073410086936e-06,7.554883896254694e-07,2.3208903066063158e-07,1.8490764950307437e-06,7.579170812732627e-06,2.49187916967486e-07,1.4116222857296634e-08,7.768858489853869e-08,3.691735894761905e-08,2.2925958242936417e-08,1.1859952619985847e-07,4.7283248427731905e-09,3.2783797632163214e-07,8.509872109208061e-07,4.069146619656294e-08,2.1543899109133235e-08,4.0463637329679614e-08,1.0878616363285687e-07,2.806912036135145e-09,1.1502380203864959e-07,1.7934856488821538e-08,3.7558158783035367e-07,5.750757374745064e-07,2.540321286659264e-10,6.758088579861266e-07,4.729874478748286e-07,2.7473308494840865e-07
7N1P+1,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016187834988139471,1.9994357898234227e-06,0.027620720209937666,0.020126107724181885,0.02430464250328379,0.0033897261674544765,0.0017773399002098955,0.1384802159684928,0.07724922156656788,0.27581392792809645,0.1762506973683471,3.2862545626954898e-06,0.019082009044519843,0.006134595008406851,0.017063615648690078,0.01590943003988654,0.011364070351112865,0.032103435271555014,0.010438195405884532,0.010546343544954873,0.008677088449182246,0.007411830627805482,0.008502038397655287,0.0001443895365109693,0.005135064759802299,0.0004048102943325915,0.003577201975405675,5.219484076812719e-05,0.00024339778489812502,1.7232659743626755e-11,0.00025488217851332706,0.0001935087606299568,0.00017493384773858978,0.00012441757701475709,0.00046367566473426436,0.0003999261812177579,0.0005816200166735008,0.00012348129048289636,1.067533155429956e-06,6.586664075158843e-05,2.024302042524795e-05,6.044220539913603e-05,0.00017500533689052133,3.9507812399364184e-07,6.643913002868373e-05,0.0003675036270771592,3.083333352682516e-05,1.5158903737599871e-05,2.4392311184673332e-05,1.92915190617704e-05,0.00013455846972076912,6.107209018590964e-05,5.105225131751823e-06,6.802678236406123e-05,1.6387319874411332e-06,0.000129326068061264,4.743735343870625e-06,7.432545530150492e-07,1.5799851793119046e-05,9.28283134378205e-05,2.5270712038505394e-05,1.6209673424860682e-05,4.402480339393833e-06,0.00027271223669611544,3.114625179989616e-08,1.5174484718549763e-05,2.4326863421020306e-05,5.6264120559701425e-05,7.077087138540605e-09,5.245223897443196e-07,1.0448245957306312e-07,5.483341780632145e-08,4.872530189925506e-05,2.5648054791105324e-09,1.8644987789251388e-06,1.7638209768300328e-06,6.4822761545180185e-06,9.625423373904596e-07,2.2806553889864745e-07,2.886168242177689e-07,8.504950521626142e-09,1.0184116798761522e-06,1.7414043873564822e-07,2.0248410355083735e-06,3.0588733768155407e-09,3.211073498432526e-06,2.2620755015800853e-06,7.875789975742009e-07,1.9539961382264437e-07,4.414763665749888e-08,7.439192621916391e-07,4.074239794427115e-06,4.400710748697634e-06,2.026653733722128e-07,2.3108439739516484e-07,1.3179966544818456e-06,1.3405551353429246e-06,6.2149145829693e-08,4.137369724599438e-07,4.904818107220876e-09,5.33526378632132e-09,5.452813756079422e-10,2.294673895342214e-08,5.05586266186242e-08,1.5904453309900646e-08,7.461883591020069e-07,1.0792388271951836e-07,1.687538997430238e-13,1.2900812862426392e-08,5.3779082076488294e-08,1.228547865217422e-06,4.0332897022210545e-08,3.1954612289553097e-09,9.627842079140692e-09,5.471293706982294e-07,2.5668369652009915e-09,3.870489417856504e-08,8.025320186177964e-09,9.294641278856375e-08,4.787414642493104e-08,1.977220207560748e-07,1.1122398024809854e-07,3.052750839671603e-06,2.9762942777011858e-08,7.028282160703725e-07,1.6806507252553615e-07,7.328242861426304e-07,1.84823708604398e-06,1.2328131981931278e-07,7.241940158664306e-08,1.7398051443962004e-07,1.3437723822562475e-08,1.6651580114768194e-09,1.741364386020905e-09,6.031539023787502e-08,3.6186436735974326e-08,7.486305535486792e-07,1.7201018387424938e-09,1.5150605214842017e-08,2.4954857158476784e-07,2.3435910989633157e-08,3.3488367900957883e-07,2.4473800763757936e-10,1.433751424251284e-07,3.4232090584396246e-07,8.111418337009013e-08,7.9153461562953e-10,1.6849543982289106e-09,1.96598306523299e-08,1.2567547114095134e-07,4.0499914533143055e-10,1.642252556166568e-09,3.267252557392908e-08,2.3757040779059935e-09,1.7794233730938913e-07,8.233270287760774e-08,1.5096641714507086e-08,4.473234671564796e-09,1.047217423888469e-08,1.613426037216925e-07,6.0360210163423744e-09,1.3255618824814519e-11,3.847030694004161e-09,1.2647884961580758e-09,3.742889509439351e-08,6.890067094644792e-08,7.852128880436737e-08
