 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,H21,H22,C23,H24,H25,N26,H27,C28,N29,H30,H31,N32,H33,H34,C35,O36,O37,H38
N1,0.0,2.0128652348522627,2.007804696347582,3.0498875059155326,0.08942174606021225,0.19194768023164172,0.028059284950493035,0.005960302262511763,0.054084531374654514,0.002097701647129968,0.1961274433354046,0.03851242775680756,0.09094273125767596,0.15020988145713376,0.011419407205123688,0.0011717443488994395,0.0016190451617892898,0.00023369475913570525,0.0002883112782028352,0.00013438229385873135,9.993993795198719e-06,4.1460085571487504e-05,0.0004928860061245433,3.214960617126117e-05,0.0007842582465975578,3.695407551518315e-05,6.282202919871693e-06,8.89690489205841e-06,2.890399590430026e-05,1.7120080763821655e-05,5.341494294652804e-07,1.0892602309298116e-06,2.2022603174409738e-07,3.429148012212835e-07,0.001621084776378151,0.0005221753909301768,0.00023620279936520383,1.680668901504756e-05
H2,0.0,0.0,0.029340830998212608,0.09908941514107328,0.0316343943569668,0.015825241132249812,0.0010095962022016458,0.0003131700836080942,0.07402761372485145,0.001534095743035424,0.004947620547505194,0.0011293084507455475,0.0021472301657442516,0.002018956536725236,0.0002252997242737642,0.0001247325560997936,4.3093567756447015e-05,5.712970081672708e-06,2.010242829775244e-05,0.00010823977089080561,3.479562014074844e-07,2.912708835700606e-05,0.00037818550413992735,2.8922556626787e-05,0.0007721767392205869,5.506948383238175e-05,6.345693948972553e-06,8.440002455256668e-06,5.171092269773414e-05,1.27730983212615e-06,7.3295867375478e-08,4.935533867156394e-07,8.921790795035633e-08,1.3609313032070247e-07,1.0488335029146256e-05,6.470691197524303e-06,6.312857818491224e-06,8.396243216246546e-07
H3,0.0,0.0,0.0,0.1095647273804885,0.010488261164949497,0.004915413076017616,0.00020580528192382097,0.0012598451079974815,0.001057079269277117,2.343334820320564e-05,0.026492647621093823,0.004889420540662326,0.004257109831281025,0.000891953295043324,0.00047120995586902303,0.0003369878129921844,5.6277995555853444e-05,3.778136811405375e-06,5.866682294253245e-05,1.2546182906136849e-05,7.759117335304211e-07,3.62617386961972e-06,3.7374728049544004e-05,5.480594493123547e-06,5.961501051654494e-05,2.9024273684452595e-06,2.684202664582358e-07,5.517691940015723e-07,1.0624840688366888e-06,1.729419685236877e-07,1.5796404184698076e-08,9.75520463297741e-08,8.882898416828766e-09,3.7938780783619563e-08,5.678882727611079e-05,2.2315009205353675e-05,5.577472347528811e-06,7.514644946304827e-07
C4,0.0,0.0,0.0,0.0,2.028840915058225,2.697993212565034,0.09698070114073087,0.08941495342655403,0.18279801668408258,0.003717412955290378,2.6525020649044966,0.2877569523581508,0.22336721683417107,0.021794515477786436,0.03608719518189685,0.0022868070633228488,0.003548955430813988,0.0005481370271120944,0.001921366062830776,0.00030983447330512615,3.534756561185404e-05,4.365177744336535e-05,0.0004878905958573265,8.363017661672245e-05,0.0005164579509076006,7.144888766794089e-05,1.0361700173766586e-05,1.065576976572169e-05,1.1165690583847532e-05,8.102927653852454e-06,3.5499999628818557e-07,3.6740821192787765e-06,2.269407715083105e-07,2.2216242145933762e-07,0.0050783381924666415,0.00046384937709371965,0.0013561297567193237,0.0002594438954970357
H5,0.0,0.0,0.0,0.0,0.0,0.09148995961848716,0.0032162771154313763,0.006044617565448718,0.04054220458291646,0.000452559834150712,0.10706658084760923,0.023944310277483005,0.01897799406058709,0.0005008537256641077,0.0017229617494768368,0.0004064588057326457,0.000661374733490927,4.571583511459032e-05,0.00019925391621233857,4.4814167304618735e-05,3.6169687285259045e-06,2.4753561277401914e-05,0.00026799999373994243,8.33410444989191e-06,0.0003398680419530731,3.6510663093292095e-05,5.966263041168318e-06,2.0786788792470645e-06,2.460440987173129e-06,1.1211475015038275e-07,9.557589253361698e-08,5.803650962032947e-07,1.7916220418356943e-07,1.040005819241685e-07,0.00017213391382586707,1.705712008925886e-05,7.148398833967118e-05,3.6566335988252874e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0043629542415626,2.014081245830808,2.832351134882236,0.047273078569538995,0.18143088405162427,0.05146251232689962,0.029859263916373086,0.005636671319687592,0.0046567925953017175,0.0005448293347151134,0.0006560925368792464,0.00011133578460498228,9.498610529778961e-05,9.521583772975628e-05,1.7139630650531146e-05,8.889389217170418e-06,0.0004972764819578812,0.0004401892509411365,0.0001764462348217144,5.648504530728071e-05,4.11521063936604e-06,1.0464865018100511e-05,5.099066702277111e-06,1.3262156388638147e-06,1.7403020213802023e-07,3.7911735583373574e-06,1.5810229081480998e-07,2.2921004627640684e-07,0.0008948030091519565,9.80537818993793e-05,0.00020763407868056027,3.527141082915186e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028879449129934454,0.08329058348331142,0.013618051620691851,0.01601548717731438,0.03023802043782231,0.0029673171398388876,8.51000792208012e-05,0.0002571784046317971,1.0924943488310745e-05,7.06892391542091e-05,9.947514233443755e-06,1.6729451807862006e-05,1.0467768331468008e-05,3.0130877874956496e-06,3.1346344520066793e-07,2.141089907414795e-05,1.763250121489257e-05,1.75000925772828e-06,1.0728102481927237e-06,2.494263529051466e-08,3.480651569187643e-07,2.4465761694347776e-07,1.1238431396609627e-06,1.5764742844481816e-08,7.108642507969165e-08,2.0919070919944716e-09,1.1123532983603468e-08,4.1907134293417414e-05,2.0570923631058058e-05,5.494806503913985e-06,1.8289159080531192e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0777368443650992,0.010718702389816981,0.027136659089117554,0.0044268573090021635,0.0038990059861336857,0.00017269170298273018,0.001080683882529021,2.1692749504476083e-05,4.1653504892047444e-05,2.0942361081299765e-05,1.3077687332385679e-05,8.614871298995297e-06,1.9892214480066173e-06,8.410597551744559e-08,9.290347263135601e-05,0.0002132028756864912,2.1923654793809533e-05,6.301071548309167e-06,1.1097492746969806e-07,1.641586789835614e-06,7.726929805995653e-07,3.9232247228682127e-08,7.299121751458415e-09,6.835769352786514e-07,6.918890571583347e-09,3.287944960739253e-08,0.0002117682225115658,2.737689073351035e-05,5.845617939703729e-05,1.586020902810681e-05
S9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.838198365858594,0.02762061750410502,0.013658379802215403,0.003799065510597263,0.00019605718706394715,0.0005393204010624014,9.368297789136282e-05,0.000172757315445346,2.8122648605855005e-05,0.00011184004913733503,0.0007997744380831562,0.0001715011710240466,1.5271140710204634e-05,0.005986360863901724,0.006656390959782876,0.002004374167727585,0.0005503953444800647,7.136574488253444e-06,0.00012252215704265657,4.747833431271303e-05,6.135200336432334e-06,1.6163372948962973e-06,5.539823198665722e-05,3.590572970058048e-07,1.7071253327616276e-06,7.459131817308395e-05,1.4537984077279964e-05,2.237756237872396e-05,7.303120723611833e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010303587034667938,0.002188051416896819,0.00014057467439965166,1.2793982685721517e-05,1.6450508795173846e-05,1.072944043611912e-06,7.958491065496176e-06,2.3410345495467055e-06,8.444826980147369e-06,2.5593056998118868e-05,8.76252764991925e-06,1.1327327857912906e-06,0.0002007123914931075,0.00011752284125976509,2.521732364235696e-05,2.8205562240479765e-05,3.514136603932627e-08,9.466816033087966e-06,3.3929089255924083e-06,2.1960102847273788e-08,7.327131501533302e-08,4.486638486067562e-06,1.7483399394890853e-08,1.5593389335322172e-07,3.580759240673359e-06,9.099313904581408e-07,6.423080434192485e-07,2.1336944833194593e-07
