,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21H,22H,23C,24H,25H,26N,27H,28C,29N,30H,31H,32N,33H,34H,35C,36O,37O,38H
1N,0.0,1.0210580628303298,1.0178800712951557,1.4658761995182281,2.078499806065266,2.5582984648053797,3.4629102702995165,2.892214906133021,3.2790911853124047,3.3765044331546954,2.4837243582226476,3.62639835804265,2.6607516608244257,2.1473924957118444,4.104865733176866,4.6124059617229705,5.028695034117101,6.02106135183935,4.941250264357828,5.358930987043308,5.778482509079402,6.293433864074633,4.520524622123055,4.57693976866435,3.5249460044794234,5.42402533518572,6.256105390132558,5.617621690635748,5.093937584889826,4.608399889407557,5.478092666114008,6.703640959256846,7.183768971901367,7.228003847312951,4.676250255061579,4.520170599099931,5.836005557598171,6.349919318670228
2H,0.0,0.0,1.640589123618835,2.040770983993536,2.9045513393941103,2.634392717947983,3.6332532398577606,2.989747969137324,2.734580998415141,2.6802529749606805,2.9076317801972835,3.976448700445535,3.033011459411958,2.5802415294647942,4.435278765948245,5.1039519401677556,5.09813046177855,6.157904817228935,4.983561809364494,5.163925000001564,5.6267122911749095,6.031726009478025,4.081779690145152,4.053750886291315,3.136840412046231,4.820520674465245,5.593625967032949,5.031137802259006,4.686494398846408,4.380269951689809,5.086601216321301,6.023466303936546,6.415497038294595,6.595676835823802,4.998301254998182,4.701911934691967,6.254555054179443,6.737537977374962
3H,0.0,0.0,0.0,2.057930420520243,2.264056230121314,2.936396226001549,3.8825821935570604,2.8920629847031942,3.8382873936287063,3.636377818289623,3.336357676828414,4.420059516940708,3.5815841629230922,2.9836675662050878,5.002768934743549,5.424905473748472,6.015179337930143,6.983756737684992,5.925448988204713,6.360369491169026,6.735112576352074,7.3053522124677945,5.495644129200131,5.546916926366223,4.482166553579278,6.3109029553916125,7.145486369236174,6.396345931035607,5.8081964162520885,5.374313027085562,6.058821981692823,7.402442857857603,7.8894211147313325,7.857285096899762,5.477842677791665,5.269109652774541,6.576762957532584,7.037312438049841
4C,0.0,0.0,0.0,0.0,1.0995355197298535,1.540531340560689,2.1587557370881654,2.184890917207208,2.8398353482277363,3.37170933744466,1.5435959746218415,2.4269678884953825,2.4503020355997167,2.4978175020360114,3.816517599818954,4.074295137356387,4.62991345752042,5.559950622045968,4.2787172639299405,5.283127173756408,5.897958155327169,6.107231361603078,4.660913340688448,4.4970798734630355,3.8544877976495298,5.831623441098529,6.564489833656562,6.31375307860657,5.936885502366902,5.343473219578061,6.493049664690664,7.487838461782611,7.888527972878845,8.128278855246977,4.800794138667961,5.002409307844076,5.845310624705154,6.540059879864347
5H,0.0,0.0,0.0,0.0,0.0,2.1353917320327485,2.483582803763306,2.4395393224467607,3.7803716780825867,4.215216904547859,2.1084261951262127,2.7871095741107856,2.9969870020924225,3.00414028488438,4.232342259509686,4.24296717679346,5.242487908282226,6.058630827244222,4.913154194390973,6.0845700084228085,6.640010877434524,6.931489369540222,5.624132706690676,5.516772265231873,4.798272185187576,6.829876722342089,7.593571840579822,7.255780799224527,6.756818348753965,6.08615062362663,7.254725165607004,8.452683581312593,8.9062341476617,9.042539874107796,5.16526328021725,5.4740808354661725,6.046845091100644,6.747317545805403
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0914449627190466,1.0926006106492923,1.8520105618507623,2.4312004569090355,2.518576279107233,2.854973059963647,3.6634189031148914,3.8690305257945705,4.9255289006672776,5.175305066803,5.372235102578705,6.31735648592616,4.759379269109939,5.9262768706143065,6.716537076871352,6.564748245903228,5.144723500025245,4.656481274494564,4.5354904691649836,6.257221024962051,6.816084446287429,6.916898407514539,6.802149825233169,6.352224748429465,7.41007624757901,7.986910191839783,8.207941562012556,8.728751856824724,6.074411058063081,6.281259205994455,7.142036011791179,7.884342608285865
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7733516411981178,2.3963681376770607,3.2430674071036725,2.6379806048789303,2.4815816354160756,3.9603441421030503,4.393131072965083,5.015995660840947,5.083703810195999,5.338839316472657,6.174383472721586,4.570881484402582,6.081551698644905,6.951914086819639,6.614170327682979,5.507566592188667,4.931731624779408,5.042442586680532,6.737708555086638,7.2269381925237,7.5325210916286665,7.470027194533747,6.952454462375773,8.157456949407837,8.647565331978504,8.839078058703677,9.435645058109266,6.3273600974474675,6.7222789974230075,7.277562802286217,8.10245282674943
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.431749816975214,2.4493230708758573,3.4695079690648987,3.8561291613273845,4.555503130392343,4.5993654262716115,5.883440161248264,6.105212805798605,6.430676974702899,7.378638229450447,5.846437462966531,6.953744266234986,7.704168773854254,7.6157949545970425,6.089171399885461,5.6146601940049665,5.415096479368981,7.103475148652551,7.669376197538493,7.667153668753847,7.511460220507945,7.112654556655866,8.024197532054362,8.667626309600625,8.878235372274068,9.36742183495026,6.94554852245969,7.077874536017807,8.011694831606604,8.716394218641968
9S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3497451919137173,3.3394694622801326,3.6363051029354736,4.151268682263034,4.370260633397331,5.295462259570176,5.822046202548991,5.304021138199431,6.325172299580678,4.675792108063313,5.414161051393523,6.277871170353286,5.881884564657502,4.331633910897506,3.611942976408135,3.9579057622065528,5.194202415933994,5.566902394035098,5.972384945117892,6.188336153334489,5.9740992058335145,6.849913509945974,6.875633198311453,6.908912110310881,7.707524715668699,6.382295375391063,6.408142258980377,7.57880306350101,8.26576973574889
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.275745387752461,4.7828575016061246,4.969604086242465,4.934509386226915,6.248796246976083,6.8323850906195975,6.407763789770507,7.46811510983448,5.894114844778272,6.382060308733231,7.138337034048778,6.913235899885339,5.127858629219597,4.522632750227207,4.626006109574743,5.742162389092556,6.136934926992867,6.305148004128305,6.480602383939492,6.399231238504457,6.98289014870772,7.052532112682499,7.064798063453794,7.805344492031624,7.163249455824264,7.006284693499331,8.4155159494231,9.017903635474429
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2256652691165986,1.3657614567182594,2.0240892088002433,2.4543938989499074,2.6757161042955646,3.1798018956531937,4.052342400768615,2.8240025717310573,4.066859479307538,4.72706656037741,4.860619011257366,3.812072081149003,3.7251366347656933,3.187176399815403,5.177825316201721,5.886570407841398,5.810599352728712,5.476005762839832,4.746517634046764,6.18813935597234,7.091842693474082,7.518220124569791,7.77441188414597,3.6974137376901584,4.1695207480151035,4.669304169268384,5.469951511444901
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.282410170648477,3.145599065060727,2.8024204712462075,2.7124946432737973,3.1306862655751666,3.8244680417642565,2.4428406868875894,4.249864280275021,5.051412586697294,4.830848290385824,4.2453324599572575,3.9677556333371284,3.899674445257637,5.693397974868093,6.261060953174904,6.518283313358005,6.333559129651101,5.600609091802162,7.13299533058568,7.7978859455642615,8.140326073754778,8.550136290812167,4.26452586716238,4.958533938283704,5.039900779910176,5.941996481897074
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0170612208532361,1.4562214368640602,2.092853929837091,2.5289282838509983,3.420950932569515,2.6763693866703955,3.2641604981688785,3.6806452342987774,4.234725468407821,3.157731126857162,3.4662184425155105,2.423812101748069,4.446400874079721,5.275742405184596,4.89341600358531,4.378168639556332,3.541866090557513,5.074204550516366,6.219176977390391,6.777408668779529,6.810273158992181,2.411959217929341,2.803964948086901,3.5210935526642113,4.236768572018512
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.165634294045087,2.8388800090239252,3.3363131321448676,4.217866142855254,3.6219188643241806,3.7841901529864934,4.0040984800897546,4.83258978932833,3.4492660659299794,3.895330647688758,2.4930168150259564,4.513031098292861,5.436684334745973,4.696828170262816,3.9832132351359735,3.1749857059309146,4.521586059778223,5.973027417526342,6.612051190922592,6.460403627158558,2.5293014096410773,2.526109823827162,3.71019407094746,4.243404987180515
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0956792128046717,1.560589729867706,2.157570734096339,2.1374009748053466,2.641148353796119,2.902927046820892,3.5497961899911017,3.236600797053458,3.7197264507675496,2.8749985744031625,4.523285761433234,5.281602978313152,5.015476077462861,4.516586207522737,3.5766174086755402,5.2853879628577,6.361065810576317,6.954402002554321,6.923126916750089,1.5168131107704694,2.431557119594181,2.3719069355334645,3.2188765309708525
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14622528771552,2.341425007891054,2.472991613670646,3.519660099815933,3.7963444462157705,4.277743951836343,4.2488608465390065,4.607292836094326,3.925893075235567,5.577858893317754,6.289138643765924,6.105660925556206,5.585499145208165,4.621765678378494,6.320530733625128,7.449149493859288,8.034833248473033,8.002679393782046,2.139202086403226,3.2555053402686287,2.4441433289662657,3.4026935954237834
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096081315046447,1.0937094412266006,1.5387210853720388,2.1774562727571154,2.1495212841498783,2.586080982221215,2.925357527376841,2.7922632458100405,3.8846270795565516,4.409503209038897,4.690000999396376,4.589317791165576,3.828521347534947,5.5166279327612155,5.971584069780373,6.405312572940729,6.660070330992442,2.516499241817737,3.246435585189243,3.1936549928767892,3.9762505043355647
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7577754743484955,2.149475253153938,2.497624922331673,2.41105751396669,3.504500960410343,3.863196757270433,3.8157832932328257,4.6516806309409535,5.079904763401486,5.416613478058589,5.303089654194221,4.525090280287987,6.204336646829872,6.645371959575095,7.087050851869744,7.282541913583842,2.8249849935822957,3.7275384583967024,3.033560555906417,3.813857494179396
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.187415377367914,3.09169989368338,2.521508523008466,2.8448457660132203,2.7616482856475932,3.0841382157459645,4.249417305307873,4.6604795967096315,5.2357941645856405,5.282931749703375,4.597503006632265,6.233849851832734,6.488751520013663,6.799030328488442,7.270316754846862,3.429167930329373,4.1540557100146005,4.124707477614537,4.973055736133039
