,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28H,29C,30H,31H,32C,33H,34H,35N,36H,37H,38H,39C,40O,41O,42H
1N,0.0,1.0185315275271416,1.0197714402523321,1.45609834390751,2.0796964177123463,2.4434360679310463,2.6105138811277686,2.631159235124747,3.8291581178665264,4.698235820959453,4.781403699079465,4.972120769715466,5.844816729811254,6.793215273610143,5.9265864371201635,6.8394477957831805,2.5080178342433137,2.9312204478659307,3.565274832876176,3.692934672892461,4.965433781045803,5.3365207211421275,5.647922709613724,5.450333522155344,6.688868433122944,5.834705234228542,5.0304109341917504,6.6741074356759,6.501529779923235,7.577692985544845,6.452304364676201,6.3932601983971935,6.677484281795023,7.223052826176165,5.166189761057065,5.429418646842728,5.029970531008023,4.293005805876651,5.868870229813136,5.706027487045528,7.141978008780379,7.729301568692467
2H,0.0,0.0,1.6367984439569487,2.0517800829699118,2.3290341920081183,3.343718983939671,3.5022266598188225,3.612396813002916,4.620663603120669,5.456209762444171,5.4933047811132605,5.625403463198229,6.561343949433787,7.487756656404939,6.620082508703625,7.501022576605743,2.830186241441229,3.3389536619692413,3.64726787766446,3.674393449472666,5.050498522331248,5.610386816576706,5.642276041130079,5.261933184694125,6.655356320956035,5.99885834224622,5.224382152003654,6.753728908973319,6.865729802922814,7.907748877162933,6.848811551964836,6.929782718202841,7.169875156942102,7.829900222537122,5.833087808002304,6.185367261289509,5.749696649720256,4.888676404340984,5.811723286941926,5.556064887486851,7.097534798502356,7.625498142684697
3H,0.0,0.0,0.0,2.0356144846984563,2.9234143246839426,2.741214183895498,3.0681105796735326,2.5062652940757073,4.136814336046696,4.789494092443901,5.266642821424802,5.597850819710604,6.040507470525835,6.917447224392469,6.315853686721235,7.279991732306716,2.615322995043048,2.5699367898889656,3.8533629058731975,4.2209047681381735,5.1165952226916325,5.448160148371644,5.5672319528489895,5.3713910743407105,6.649682683548198,5.500711216326209,4.579089435683885,6.27206449736134,6.1742865680480445,7.23206671790779,6.280883270830622,5.912849276240614,6.058223550837509,6.774347167570878,4.699848138758477,4.858695349775187,4.754629137239553,3.7894505778755883,6.218336312512808,6.236202341179296,7.417249162033573,8.095980613448502
4C,0.0,0.0,0.0,0.0,1.0964247212744906,1.558774561208748,2.1419497286542843,2.156650774824477,2.605338982002676,3.447307432639191,3.558668154114792,3.8982760195344914,4.513678626888944,5.460222399399408,4.603775002512301,5.5181549183458705,1.5342837677137178,2.392530615326476,2.451890087003257,2.5442994349505033,3.8429679926071234,4.0794120523524215,4.79685403175684,4.8217167178118014,5.772083030070129,5.109366037464008,4.4963961277922575,6.075471901277685,5.589660338441132,6.673137151553142,5.349104961343212,5.615306170586212,6.109449522250132,6.366475362489134,4.416707074435936,4.8537927405448436,4.055218665494594,3.662357634411035,4.70866418376749,4.583001928412102,5.972835439209102,6.558427024395993
5H,0.0,0.0,0.0,0.0,0.0,2.174518363294665,2.4574209132806013,3.056931780274502,2.872562528201334,3.863182728045135,3.434402055378876,3.553820523913965,4.694565219596547,5.668121899585369,4.525732883433988,5.325498760321147,2.1758586068317944,3.286368832487512,2.5305290426213354,2.17099971597205,3.945517303750191,4.255829802496769,5.096719195308576,5.087468914461461,5.969741917318987,5.689139421361964,5.218033202881725,6.658588531001722,6.190158051399203,7.241999411366038,5.810612914566229,6.399715031882051,6.979038808260921,7.114111164458583,5.281177241819518,5.795942132424779,4.794657815588173,4.583329895843711,4.456162581665363,4.061168246688224,5.77452729098953,6.2160972814518605
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.093872798036335,1.096740087060199,1.5040924086106775,2.56021172485016,2.579302515087641,3.0268129401968618,3.623331270040944,4.631327640807811,3.6718091154249475,4.6169212128263535,2.4860570381988096,2.9688269951910082,3.4129103888054213,3.5681777526920415,4.546992760639535,4.399717333455147,5.576737738689287,5.849841601856247,6.505938502520575,5.623715073430913,5.038815833812536,6.657330262901779,5.697194754043522,6.778896528233544,5.36764769824858,5.40654076657449,5.991794534042661,5.948042652630366,4.014412409895489,4.23786620699688,3.4608295379972662,3.5549595808797596,5.487924892604079,5.464015874802776,6.642250596395161,7.259518067127384
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75757994160559,2.139217802780962,3.4041932564928215,2.7465241848150272,2.814312224312797,4.281548985350814,5.334903857329718,4.029022848563748,4.863116441086655,3.4198077022819096,3.9536854288448375,4.298078903242306,4.2719093625813755,5.516932669647183,5.403737677357725,6.599737612858833,6.809023137643335,7.5259942089505625,6.699741467451621,6.084136627752826,7.7234137083585725,6.788171163954672,7.867590853400313,6.438183892412882,6.451060840073527,7.010800441357394,6.950039273196902,5.0210753275513635,5.1274249507954845,4.4601652198163295,4.584447580550376,6.323160814750575,6.137318673671613,7.521173795983797,8.064136934671337
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.137610581972351,2.7431492563345437,3.368486177850446,3.9273510726501732,3.957720990592526,4.852541169994209,4.276952285654129,5.254182620974984,2.728298615995207,2.7211630331053343,3.8807358058100023,4.271694424909497,4.894390168343139,4.70054422851689,5.680419493891447,5.963505514525316,6.657884962591643,5.433907934798285,4.726892964899083,6.412222669827965,5.454606236425773,6.526455515787864,5.299442696841437,4.9077786259489855,5.360822636246802,5.453710329714157,3.4316884394814635,3.4505804256301413,3.083766262974226,2.987746594552206,6.0493309111338585,6.195965509784293,7.1317409158038565,7.8438934904721975
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3956174030615172,1.374031464352813,2.24142436914714,2.174775855397025,3.2285699335518,2.201688011293855,3.1822861949378853,3.000711542389858,3.5487887471377615,3.4704410812996986,3.5700844173455515,4.246045488447025,3.7880554920629566,5.45672860050189,5.9735314491233735,6.219216615901012,5.556565134196678,5.230379615580708,6.645626781131981,5.298739214450071,6.309277726364178,4.724686747678602,5.096885953608656,5.9007354561001915,5.429369027573848,3.844256180539403,4.187187732161591,2.972293233384519,3.712564958959892,5.042896960865976,5.096465602610731,6.045070493630927,6.628310119988982
10N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2517591182934633,3.314210619058273,1.3239459671918559,2.1468825308908146,2.2090849584086447,3.1788586592649475,3.210294903453562,3.4462073456845235,3.5219408988749237,3.8835501420330365,3.8299744628229972,3.087163905064776,4.8801491895920615,5.599476513395639,5.539374039906749,4.771885340735982,4.6082746102813115,5.8440167062927815,4.20427260012763,5.143696184655738,3.574854410717815,3.962123205179312,4.876216302994137,4.157711593981063,2.88705427406065,3.3391256635123607,1.865673383239372,3.0634426065420013,4.775462254119939,5.139880956606275,5.545676019231604,6.231519693397507
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0797442170633538,2.2068430222289943,3.2411414946432924,1.3781883297808972,2.1367902611751357,4.110061861227171,4.833591877545795,4.2821542293437025,4.097468261092427,4.968544723654607,4.45971834590066,6.347138013693849,6.898041253577485,6.9797090578400836,6.630276178984485,6.432557913793522,7.7261008771185775,6.285209931446598,7.22437256552764,5.544848540490642,6.197142033651962,7.08665574303324,6.397053389388357,5.0548727837343845,5.399645636727254,4.086112860416527,5.023708820541999,5.414533726068011,5.2737690805879005,6.358381916350944,6.779607932751139
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.232985738951302,4.219162393297769,2.1560154781328054,2.5507246921908893,4.733705225823243,5.57013258313659,4.893077330311837,4.524704441070194,5.718048411399052,5.330112575471904,7.150932993599633,7.609107284438665,7.78940279723125,7.544528364996646,7.308316623790775,8.63809523913022,7.30118958456353,8.253030715963073,6.561970840218672,7.23995935688868,8.102647194588915,7.467984092616617,6.055751638061202,6.363011630878321,5.1199383066299315,5.94495639005778,6.001358947681737,5.655489186991438,7.005441495149013,7.322007721718487
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0814731164776623,1.3548603835945137,2.1154848332126917,4.3110268158301075,4.670334163875643,4.310970308518377,4.49430606670301,4.3670163033192875,3.464370963113286,5.5219767692511645,6.350260372728182,5.977670438981157,5.543620513678213,5.590142496407975,6.588425426701062,4.764129103000572,5.542771219009042,3.9186879466758557,4.665133148957617,5.684540328254614,4.614498754964951,3.871154312072241,4.32029758644869,2.8126079407895106,4.227950806855144,4.9921445330488945,5.319391426541911,5.572817075932599,6.141043027315082
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1431303430443953,2.5391680308452487,5.050753512801756,5.280615301320907,4.9315179375858085,5.189005399793788,4.677751934214301,3.6441169690588,5.681497214095777,6.622561541473302,5.978508319987581,5.608879749970995,5.817963883518104,6.578839023421297,4.587786380784739,5.190418079177711,3.682402686824278,4.522349355715973,5.587300853645674,4.25693165515044,4.0406655672521055,4.501907832456189,3.052682037969918,4.5933934436026815,5.251956311553299,5.735736337001352,5.581062606528052,6.153098061204889
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0113730923949018,4.779540089969904,5.389637636335379,4.729625516026918,4.62935212911176,5.021217099933266,4.275376391072258,6.367883995960705,7.093814988437979,6.830252798712337,6.606727489749894,6.604900892390365,7.678174748214017,5.990784338866375,6.797445854385644,5.114887578225911,5.96042404377629,6.956352511779041,5.961206625211424,5.051089962523342,5.449827590804263,3.997268501946952,5.2591146900048225,5.3746936066492035,5.404645558659147,6.0686911622714,6.4742774459143515
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.718565403673743,6.37161491228922,5.548649467178158,5.35084026828891,5.741766526602547,4.975363656255502,7.116195782981955,7.8702432470794,7.474956952572394,7.425291250586621,7.505381199639306,8.477201014464818,6.741657738578238,7.466888235206391,5.7977618087337355,6.770025798509095,7.797829839478412,6.675094697982296,5.958949437120079,6.350763352161722,4.898451645036964,6.2240106604059005,5.893096502378809,5.854209054041879,6.470871148187429,6.761939187421307
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2453868963248682,1.3457425518554822,2.0245683041905926,2.542105181840562,2.8734828804572667,3.302655655333431,3.399012731188778,4.314162990575566,3.5918239908994374,3.0490452503035756,4.559520411013747,4.193274911516575,5.25532606190587,4.042521487521702,4.430734585534269,4.919581897822712,5.283093819621525,3.495440397374361,4.166461106620718,3.2895996967443883,2.6638327432424984,3.702105734674456,3.9246041495788706,4.85738543698271,5.57581015027651
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.298409561807472,3.174319394702261,3.0182436802118744,3.22325053432263,3.263791003217929,3.3893257314477743,4.334114760831353,3.01276809366351,2.204257491006265,3.908527739565092,3.6246816933451895,4.684232274145539,3.7727583348400624,3.6031452452712385,3.8992207301181754,4.548283096211872,2.684152205316799,3.2813666323260384,2.8424889203493287,1.6876604513940159,4.433134234881102,4.896172578719156,5.404832768798811,6.23725707382128
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0174396425750238,1.4676327692903006,2.083343756020688,2.5989046737067825,2.763099454766617,3.4410972123453556,3.423710944358323,3.2706541801578664,4.373800194962052,4.069065009756706,5.0259898417075854,3.7184137858555175,4.733721525459875,5.349447178672636,5.53384159740333,4.120361679398908,4.971019587186375,3.7937938006447856,3.4508778178816732,2.3772215459604973,2.6157660246968897,3.5926799470556268,4.257460140909189
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.069715010105799,2.650689123251337,3.3666325923146725,3.4451705194094737,4.048291568820186,4.376628799880904,4.278475665772037,5.295602274629699,4.973047150683337,5.892273598819498,4.494026992582589,5.669468077277039,6.336504259201819,6.404665995802643,5.001399417692226,5.81983113661756,4.543237933088239,4.373525611821093,2.304258866978254,2.0493967914467284,3.637200244299458,4.095909365074454
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0999545786909608,1.549356364251967,2.1673525033239818,2.13112593424043,2.639278464165692,2.9684383000367927,3.533068809848443,3.1676252458180927,3.9519047903555546,2.717119993185878,4.220444998144621,4.908583711538518,4.944585889688329,4.071389426656979,5.059644832467986,3.795669899234073,3.6332374725252103,1.5372151102604228,2.431290197643172,2.391256770554804,3.232774353366583
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1648432017237154,3.0561138887044526,2.567375815072771,2.763587445341167,3.178379763707909,3.7455428702797957,2.703095585068635,3.4982221536151203,1.953878269145131,3.6588531266909134,4.522981322468773,4.2035207716625855,3.532322282855662,4.524470403516026,3.0868382216517136,3.3636412422126085,2.0997430238745842,3.009329236132247,2.650169098733593,3.5086618824578975
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0957450801244604,1.0944304789458348,1.5450791769676053,2.1529308883671567,2.1393968444661553,2.6182378579462036,3.1943841672140847,2.67517039130638,3.8771315806152153,4.2980214610048355,4.723997923003628,4.153901084779919,5.133936818321618,4.254815557144877,3.6867230464701466,2.558942744722524,3.5853208883887313,2.8600146367111936,3.7739464280962483
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.758136223600909,2.166966073778289,2.4238464508897666,2.469430366732062,3.541520435798724,4.096498735753332,3.733114526755415,4.664960336735952,4.912669461389655,5.605050105984386,4.827732560260738,5.743954263188865,5.013692858091784,4.17333317932319,2.941514083662708,3.7334847198982652,3.3891637496792377,4.169563220100518
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.157340305843617,3.040008316511385,2.4044928695572474,2.9067077727910022,3.140030632741796,2.8615561899571715,4.368548592197255,4.818461808528466,5.0668277708033,4.899122699368708,5.896328424559706,4.955994344752097,4.591650163970024,2.5740638748780076,3.7100860429787588,2.3312885994812738,3.2147012939694797
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0899989997151103,1.0960387469161328,1.552930759371291,2.186865954648948,2.2112189240387394,2.5977397483554086,2.8169484144910153,3.5396746483255352,3.1581672852026146,4.055206397452221,3.5881900438610494,2.81539595331244,3.942886567028403,4.98178022980649,4.166474422367654,5.128992500975669
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7493887184030457,2.190885772834683,2.998878062176353,2.862186461188268,2.630622390906197,2.660429662262688,3.705940290788622,2.7770806605041107,3.5571070615337774,3.354510715930621,2.1518405132712832,4.41643153359627,5.29614329454474,4.906912557262863,5.850968587990601
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16825494953935,2.3092588657319215,3.0014290021984382,3.156950471403282,3.070167528002992,4.031273632604672,3.986349283865687,4.780929509921086,4.55112943871469,3.6865905801104804,4.6560237575452,5.722510599711913,4.679907449976097,5.602786042050156
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096120371085466,1.0970869349566545,1.5312249986493875,2.1806095395642067,2.1803300533358905,2.527177073376087,3.4169516109924505,2.8520495131597547,2.7419128979491765,4.410066445803221,5.508058318590939,4.453613433278775,5.4188695023019795
