 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,C29,H30,H31,C32,H33,H34,N35,H36,H37,H38,C39,O40,O41,H42
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8000365884450378,2.7523730448623303,0.0881776001076644,0.10375406835083711,0.1483510611622284,0.004594009370364471,0.026438730795980137,0.03317009329671897,0.0012163367629605126,0.017950278660758823,0.0027775123213162056,0.0007453785178375139,0.0002032897746111484,0.0010011823827671962,5.6505043894206075e-05,0.0003307547404082234,0.0007111338088010566,2.647598071834577,0.28038020442365286,0.21497706096500774,0.05338553090199327
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779997413205179,0.03008212198834226,0.0021078136836236716,0.013043556156262404,0.0001284548040967337,0.0013869597257678556,0.021958458823303273,0.0008074584581727606,0.035472642833534795,0.00185261046611096,0.0005049702197632566,1.3322125026027365e-05,0.0008259323136378116,3.047960295532448e-05,0.0010157881999193208,0.0004320386507414842,0.11847758444779921,0.03341872460080153,0.011364686584535932,0.00023835574004937854
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8138916403854324,1.7208691953406936,2.7628645259094573,0.08416286091074543,0.0986868354293422,0.15079048298777092,0.004595824593654818,0.017023355400718643,0.025378656413535594,0.0008750653954225918,0.0028924926621366476,0.001671779738339152,9.278948798685516e-05,9.294424732464446e-05,0.0011960104356802947,0.17830356255449667,0.03814320656685028,0.04137132601768206,0.0034082882482061594
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026719361545149534,0.09043408042911993,0.006506753177814684,0.00347696524843788,0.02721311486416922,3.4993046805098516e-05,0.0015733719483579378,0.0026340781088132204,3.197649059272223e-05,0.0006209892243869142,0.00014983516720257217,1.2389487705988245e-05,2.0654759387728205e-05,2.3692627101778996e-05,0.004658916310036121,0.0005187639457965298,0.0008507449654020505,0.00022688328673692304
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08377677117942728,0.028716218651222647,0.007639395844813768,0.004930014959319662,0.00036904768838641466,0.0005314220647194556,0.0008481148751624534,0.00015325798793819345,0.00011714686941632912,0.0003636063253018573,1.2247059381298442e-05,4.8099995408890095e-06,0.00047786350199907623,0.021254598605222608,0.003251256869352459,0.033954558440668414,0.000633779326835171
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7845072901159826,2.1196714674224566,2.604319750968643,0.08129431048409053,0.07066395920910273,0.1656955400327514,0.00967316664629625,0.028525390166124764,0.014250604817462306,0.0008700562490919772,0.00035768737899777303,0.01014958748309025,0.029182764228012942,0.006751161896699581,0.005215025370312279,0.0004040240495242209
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028631225197919496,0.07915914762514786,0.016543995210291484,0.0041126363484407236,0.019814686466836928,0.001671201281580048,0.0018493168882227629,0.004659154479100369,0.00020562299668513973,8.441452449203801e-05,0.013790564996822408,0.0004934163357137589,6.469869857461674e-05,0.0007559788085438335,0.0001777778132641128
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08724277711454054,0.013957103457978626,0.017460629303543085,0.005397940254105338,0.0006839868393351267,0.00012196275596476625,0.0007268619771021445,2.595204449118427e-07,0.0001062447532360622,0.0005129132495820254,0.003093609386225271,0.0011688968512738596,0.00017710347134269888,5.530044251367272e-05
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0139877402003092,2.0638000868136066,2.831152051846933,0.08196073529354586,0.08738242828273102,0.15476894448215062,0.0253148001365725,0.006366034608618398,0.006718688972310982,0.0038447072946172778,0.0016096319684394816,0.000524510139907397,5.831912839970865e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026928902340137784,0.11469853914795514,0.003444520815520047,0.005321418063761074,0.03098189851086741,0.0018651020346742708,0.00024456650501925026,0.00040322277009097185,0.00021532801813228808,0.00013732575321556695,6.001997467153242e-05,3.171144560276673e-07
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09257438477780067,0.03339051162344031,0.004200356472857214,0.008350132503262664,0.000763460615866407,0.0029983127129762366,0.0002089573006693879,0.002024592597924757,0.0009134085157584959,0.00018769085771541683,2.6333814131529465e-05
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1284549265740207,1.9237421445744667,2.7408259174430727,0.08391775203674001,0.07218107246150396,0.07783198403148539,0.00038693090677013875,0.00015441884066286216,8.587229309478528e-05,3.994161640430427e-06
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025968987238237595,0.09402553672132341,0.0057016912364380445,0.022928305301616936,0.0037422829816986525,0.00010179067930371488,4.6518236473280794e-05,1.4876989312351263e-05,5.773205378201141e-07
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09351286551314131,0.004323103100478454,0.004098463299341715,0.022706447783588768,2.8159106137071177e-05,4.649695356961914e-06,1.0600809640104458e-05,4.292036779318664e-07
N35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8323512198937184,1.6998571721636242,1.641381945711756,8.390343360969998e-05,4.390364096683308e-05,2.4871001710370655e-05,2.1827864120638196e-06
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032510380071163025,0.03297194914728685,5.680209808178738e-06,3.459728707966292e-06,1.7713929416629526e-06,2.7882317543692636e-07
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03561500219723879,3.9249742709746016e-05,3.1571581201483845e-05,1.2168718839911108e-05,1.3055846250775716e-06
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0432732873175716e-05,4.370710385226406e-05,1.2731095977325246e-05,1.0596147799191158e-06
C39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.410564044068983,3.493201616991921,0.16445990962499424
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5029992714182029,0.055925376905587965
O41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7489958758043593
H42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
