 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,H32,H33,S34,C35,H36,H37,H38,C39,O40,O41,H42
N1,0.0,2.0271101170715866,1.9191439202803333,3.033956736090227,0.09167076544102526,0.21553899160763515,0.006492474392668424,0.017771967271946187,0.034714597322195534,0.002526240114605449,0.000705139261300447,0.00416076323159463,0.0010933711071008378,0.00010729461598601997,0.0007926124774203236,7.79121926621773e-05,6.1440751780939e-05,0.00018405431594958888,1.3945472346454935e-05,5.4690176762961507e-05,7.931770391378379e-06,0.2632576110370798,0.054571196970993927,0.03747896246176956,0.00251329892414609,0.005313299415622141,0.0005779842598869767,0.0007216024424493012,2.9498100217240086e-05,2.9998082671234272e-05,0.00027096913640642373,3.3312953694464298e-06,1.9826826701652145e-05,9.240222793988756e-05,4.96467889812835e-06,1.7926510011978536e-06,1.026110815649517e-06,9.181661986268352e-08,0.0015778323717165477,0.0002298013256225792,0.00014355355203897469,5.828501689508769e-06
H2,0.0,0.0,0.028009320578900265,0.10565518379832706,0.006240248412352045,0.033483631347581144,9.699639561544515e-05,0.0018758737128139469,0.004869681426935779,0.0009284247255421096,8.05845665476923e-05,0.00026833436081086237,0.0001529852857380387,3.6803717935463e-06,0.00014362112130594795,4.624766893224219e-06,7.508484856089126e-06,3.516570473505176e-05,1.2460748930465115e-06,1.034880639849689e-06,4.915926021809014e-08,0.007474944091808267,0.0004089431522831255,0.0033246993842944716,0.00013427269615462478,0.0002755566596922554,6.758364082504187e-05,1.5627165792397868e-05,6.38790682083723e-06,8.219092548777951e-07,5.119472093806365e-06,1.417557971006289e-07,7.995823656514744e-07,1.6424896674971379e-06,1.6123406509915839e-07,4.166074663025654e-08,2.323719572316918e-08,5.499698030320133e-09,0.00015058405262668995,4.0007891292992426e-05,1.792453398452576e-05,4.799939068655945e-06
H3,0.0,0.0,0.0,0.10248263426929627,0.0363512048228658,0.012186328417959857,0.00016431819619078247,0.008546088575463129,0.0005410262643135155,4.781163115508136e-05,5.206370431687368e-05,0.0008422156931882085,0.0004827218843390657,2.371186196326036e-05,0.00012300286299138374,3.5269186342556935e-06,2.9925907529815277e-06,2.3261603874669134e-05,3.0491153060197007e-06,5.1702996211044905e-06,1.8472934444346834e-06,0.011345882704059895,0.009928686709752554,0.0012241836710398246,0.00018232983033183991,0.00017375582462875183,1.1633750766515405e-05,1.6782361403233637e-05,1.9595722631216006e-06,4.981017136529431e-07,3.2080720183680356e-06,4.552234385002407e-07,6.479978065243586e-08,1.1610174092124836e-06,4.34261213655418e-08,1.1550043810260036e-08,2.0262931332837297e-08,2.4435802270517115e-09,5.310416904613646e-05,4.543509730192685e-05,8.40619813913257e-06,8.067493006969073e-07
C4,0.0,0.0,0.0,0.0,1.9383949444334534,2.7833153418242924,0.09754883288003069,0.08507134079218526,0.1485625680980791,0.026198311585011957,0.005061842580496911,0.022342321683616467,0.009829872869663747,0.0006044295132381361,0.0028526396294443757,0.0005062891876648212,0.00021783428343402633,0.0003463750055368586,6.764377358070561e-05,5.972961640787755e-05,5.048182369582488e-05,2.6810042134804206,0.2568178492978884,0.225731382545236,0.017320363850618414,0.03463938909550404,0.0021551211623191957,0.004255261766726637,0.00018530275913830607,0.00010290734157236692,0.0014192030440751957,2.5584065461270455e-05,1.9921371599007642e-05,0.000404244931123815,1.609235911653739e-05,5.261225664243696e-06,5.4488759597681735e-06,3.20218367155789e-07,0.007443911379891144,0.001637059792588741,0.001329859609625228,7.516551713671049e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07824680794306138,0.008904124736320851,0.028129646532617292,0.003473253901074669,6.224932597631572e-05,5.134509999771275e-05,0.0038512720390180277,0.003960225355565727,7.548156188530442e-05,0.0005986580313208645,8.778631383066227e-05,6.769702856579407e-05,6.400618985180628e-05,9.346439064694678e-06,2.2790371924541475e-05,1.4023173489974283e-05,0.09961102556195156,0.02172942066042216,0.013927163102801399,0.011875549272599706,0.002124323982913401,0.00023640224339005478,0.0001424563785521471,1.1085433064605965e-05,8.395584345954887e-06,3.207659426918141e-05,2.6817263032441474e-06,1.984446466041234e-06,2.4026887410322217e-05,9.007019368123537e-07,2.0120670840562127e-07,5.905162754338278e-07,3.338917209383396e-08,0.00029254494482233717,9.036644761872825e-05,7.791074849561319e-05,2.1530428638616428e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.103179865472223,2.1134849462948466,2.8916454805487075,0.09567384631168396,0.08759149435555424,0.1620070936173265,0.01042254679701271,0.004524576496266031,0.03425984548376665,0.0006673568233411808,0.002340667948893649,0.005425591730441284,0.0007446463853832963,0.00011070755159536816,0.00020969159289707662,0.16868435005699536,0.030382563244567416,0.026525478017860482,0.0016863359899653707,0.0046819706620469526,0.00029107811036976905,0.0007688463561554421,5.222359444434499e-05,1.2266476781208624e-05,0.00019948364487580583,4.592082061050107e-06,1.090872014608557e-06,8.346892850718407e-05,3.4118781758185612e-06,5.471484038066521e-07,1.385616249516275e-06,2.8559973497266355e-08,0.0008325034699270817,0.00029870746485596844,0.00016562548681846312,2.8920030925805307e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024491244365012044,0.0846985802198662,0.006310230046081777,0.030675488954303054,0.004335418623791165,7.478694913642947e-05,0.001623659635406005,0.0006539172361227363,5.788573897080873e-05,0.0005969428550538503,8.020563404709247e-05,5.960362536860941e-06,1.4189209876613873e-05,1.2450674913733195e-05,0.025455309707860474,0.00377701518417517,0.002696020411860456,4.988701361763326e-05,0.0006322076795806097,6.0878093109950626e-05,0.00014038148917849824,4.0341481728489725e-06,2.5826412337615068e-06,4.218817923140605e-05,5.93309782415119e-07,3.51092894756988e-07,1.9041303965572354e-05,6.319044565383791e-07,1.243257130578712e-07,3.73092150285359e-07,1.3524287023614079e-08,9.54597796800627e-05,5.12141697163182e-05,1.2223400860156275e-05,6.118038480273924e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10011898735594937,0.003205589741091641,0.007722742472059396,0.028254403184824972,0.0010181019880690645,0.00017913459639729012,0.0034249368912430134,9.962142971042809e-05,0.00014217989010911758,0.001004747400569217,0.00016807677565577883,1.0384930998030839e-05,5.7314307852829316e-05,0.003709639548125976,0.0030543692020337243,0.0010216913830435326,0.0007839263158762044,0.00016890247952283666,2.0324739051780227e-06,1.8728858461769526e-05,3.142822532664624e-06,6.42927558747175e-07,1.264428614256019e-06,1.3881265137349885e-07,9.943334755568856e-08,9.001928185092822e-07,4.316480228805375e-08,6.830181309425143e-09,2.2215780548506814e-08,4.391119245994446e-09,2.9581083960117383e-05,6.853712423704472e-06,7.441420892706496e-06,1.893346361470094e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06342600097876,1.9783868767429227,2.828661924029873,0.08206146610731824,0.07931440331877604,0.189228914722408,0.004034156623989316,0.02569051149360846,0.029720838203945263,0.00330276856012901,0.0007402078368842213,0.0018204129509811207,0.027279404506751592,0.02368520890838141,0.0037700497497813873,0.00015756518968246258,0.0005482405935176293,0.00010096617478871917,6.846057287460128e-05,4.888112855039317e-06,9.222647438411613e-06,1.521705879484192e-05,5.525784201321216e-07,1.059198892150448e-06,4.48964538686536e-06,3.733276123102369e-07,4.4561022760625235e-08,1.6818161774345697e-07,1.3840318002777963e-08,0.00020858121070049807,0.0004233771978083903,4.460128177931344e-05,4.832154660849852e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024633428368319388,0.08767266730136913,0.03177590085551296,0.007020303009008355,0.005251203597768539,0.0002856210433996864,0.00029612349006624683,0.0010626056710705267,0.0003001978941952199,0.00023056849145519642,0.0003242379543415552,0.0023013193540040167,0.0014533700167360664,0.0008302846911785178,1.398736984903337e-06,0.00011099600749142624,3.0398016467536593e-05,5.792301113638487e-06,2.017347114691148e-06,6.590115337878899e-07,1.616700765927348e-06,2.3369505908199528e-07,2.6795832330783753e-07,3.4604389520520584e-07,4.577985657228112e-08,1.2113190450691036e-09,8.463600043029373e-09,2.093271112002526e-09,3.3267303179762564e-05,2.7765972579696374e-05,8.78584821673023e-06,2.2884824759650257e-06
