 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,C34,H35,C36,N37,H38,C39,C40,H41,C42,H43,C44,H45,C46,H47,C48,O49,O50,H51
N1,0.0,1.8613359567213439,1.951735499658727,2.897975622066212,0.09650448833299796,0.19321120782990348,0.019969983295434535,0.00626109263572272,0.03359757524088798,0.008796201296020212,6.820994897316357e-05,0.0035210449895470286,0.00267185652452491,0.00014414202863310965,0.0008247876775141355,0.0006606435857906962,0.00013757842398953724,0.0001925667553911714,2.0253434898309663e-05,0.00024465447881749647,3.004158208419483e-06,0.0001535727361436784,1.5028611234368938e-06,0.24959531680593075,0.05667166542328962,0.03559435522347318,0.002665376657883689,0.004417412286378861,0.0003069567700982878,0.0014255525857505419,0.00014577857653608195,0.00015104587205549969,8.595744995748555e-05,1.3307640378629193e-05,1.5407807616441005e-06,2.5802796196794375e-05,2.8482394926199195e-06,2.2626672913084178e-07,6.569448760374019e-06,3.630674335702855e-06,6.680304643902346e-07,2.5713382491854286e-06,3.3349183270470206e-07,4.1355564836670355e-06,9.167043446556278e-08,5.305366532620814e-06,4.797876496098752e-08,0.0010164959760721737,7.931383809986481e-05,0.00030159370348171316,8.930595953127174e-05
H2,0.0,0.0,0.026393667228597373,0.10433746036358027,0.006413786537726951,0.03220926809188163,0.001045551451037241,0.0003800611082078742,0.0041405577060579235,0.001219445830548893,2.0423303648264834e-05,0.00044074725199050313,0.0003226553331534543,4.142665681405866e-05,0.00012429514684852982,4.412822581512099e-05,1.400401148066166e-05,2.905646837270126e-05,5.797294807097231e-06,3.7080087390783945e-05,1.372066429361496e-07,1.8893534989294913e-05,1.7023623266609889e-07,0.01135455490779591,0.007033225182392799,0.0007850701389571224,5.875548368172723e-05,5.7133138220311075e-05,6.152281910365431e-06,2.535791503455176e-05,2.2016043115247186e-06,1.051212906078014e-05,3.4007127882595967e-06,9.943485119734419e-07,1.044818453976859e-09,5.887349268096642e-07,3.9847079547072894e-07,3.3745507943550024e-08,3.5596754899280825e-07,1.9009932150648723e-07,3.660370317959405e-08,3.6061284636179636e-07,4.095290551120456e-09,7.438898378397951e-07,9.978576409608308e-09,1.388390065804046e-06,5.477065911918544e-09,4.130870678631382e-06,4.195238826998349e-06,1.1466857255948426e-06,2.2582178815788723e-07
H3,0.0,0.0,0.0,0.10089642354822381,0.03636091003136732,0.008998627588112096,0.00027920194261543685,0.0043068029943014174,0.0009903398954601572,0.00012538794285665844,5.714267846679277e-06,0.0004126331579313858,2.745571692097659e-05,2.093354038112949e-06,0.00011855660572346327,0.00013740878043644322,4.1292027372907825e-05,2.802738834395413e-05,4.045669946828312e-06,3.3475523789183725e-05,1.7922380135537708e-07,3.17311629970396e-05,5.98994665423902e-07,0.010379410397988509,0.0008935589067591287,0.012188244777296298,0.0015668002424253924,0.00091766678819305,5.377957692109803e-05,0.0006515290409778718,9.488535247803576e-05,7.983636278297013e-06,2.720161929481435e-05,6.413011543027203e-06,3.96265712909738e-07,4.402739283593249e-06,6.109215519023437e-07,1.760189327626449e-08,8.635343815566188e-07,5.029925681521163e-07,1.6246847489576055e-07,2.0828163183050918e-07,3.197764497642197e-08,9.329887429299077e-08,1.8417471547849118e-08,8.518340000041036e-08,3.2705982366820763e-09,0.00011477996895881137,0.0001083383678528449,2.2416471973318863e-05,6.403495947937543e-06
C4,0.0,0.0,0.0,0.0,1.9748588413509256,2.6048279943233683,0.09577239456468933,0.08171236199689402,0.18157436263830853,0.05040410383642949,0.0002505767745044629,0.019982181129793414,0.013553837695205878,0.00034796278545268233,0.004198770658342371,0.0033467982065423507,0.0010585841675621044,0.0007769929819819443,4.003518703421527e-05,0.0017509320232074188,4.914149461354711e-06,0.0010193170217529662,1.1889099577055973e-05,2.67021222136321,0.28178395885956586,0.21019776610138446,0.008865281017712334,0.03439413804277622,0.003778104341640498,0.0029833693998526645,0.0007170604500885691,0.0010241560764046032,0.0002985215470637792,7.994002255820587e-05,1.7785165300487904e-06,5.282086929978003e-05,2.2531175858514496e-05,5.378940935996113e-07,1.8884093277216074e-05,1.3330887196794095e-05,2.769024042503787e-06,3.926657234781805e-06,2.6029477728783945e-07,1.845028734265286e-05,2.386294866152383e-07,1.7023418909689614e-05,5.578311479403908e-08,0.004241641596380574,0.0002854500221943085,0.0012050841731537087,0.00024311210709659914
H5,0.0,0.0,0.0,0.0,0.0,0.08468152592478195,0.004523807343783437,0.03446875944178318,0.008884842111941516,0.0009532397468576814,7.094681386665691e-05,0.0034638635933074147,0.0004252977529893842,1.1778241826965186e-05,0.00023528440968911823,0.0035190879722312163,0.0013470086700597683,0.0003024322405198454,2.569473058322558e-06,0.00026864833129780497,7.225745140004847e-07,0.00034459104920270267,1.2664705395737386e-05,0.1114100647495655,0.02021735565708782,0.020861700860680177,0.0021618268844911803,0.0029848263411198506,0.00012128297030655766,0.0004542489905027258,9.24148241683298e-05,3.964980310633415e-05,1.6202336784010285e-05,1.2838006434812144e-05,9.209595197567921e-08,1.7557071294582727e-06,1.6549533790044535e-06,2.1818883810809098e-08,6.108883281452648e-07,6.967501493537753e-07,3.477825627484776e-08,1.356509212735446e-07,2.2436625890520645e-09,7.22994849655656e-07,4.693711197489847e-09,1.4949983884182672e-07,1.4868208886298362e-09,0.0005573207792777257,4.530571909877601e-05,0.00014004033090075918,4.06191137594103e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0721272366400987,1.9966400171859888,2.73344735907304,0.25971823374712194,0.006217827771956674,0.190881029919702,0.04938609262595349,0.0024048370533102936,0.034079346785187925,0.014886495953400344,0.002997888037592933,0.005310890730454945,0.0010812408793863248,0.0040356172547572206,0.00014680756637464043,0.002612684848697047,6.423745548911342e-05,0.15318259533077747,0.03592242574234582,0.0265700304465121,0.0217129508747681,0.0037367517288885987,0.0010813811685006502,0.0004685780935218542,6.840005604358268e-05,0.00017208060926510171,0.00013243790374992126,7.079549280028519e-05,2.1914466536987476e-06,7.61111298759054e-05,3.8042935941673406e-05,1.0069902701692612e-06,6.119983076394164e-05,2.0862058044135434e-05,3.9027009912651067e-07,2.6396845303977567e-05,1.8436409443545188e-07,4.0245732218474606e-05,3.0635282843860523e-07,4.8519230333471386e-05,4.6710307488595504e-07,0.0004068236582477902,0.00023439198832200803,0.00010269925030564897,2.046247059606099e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023624706978818244,0.10481174900345347,0.034565992734814976,0.0001803631123600269,0.010929063659257832,0.006106467086468559,0.00039573410110782525,0.0018905630008489993,0.0036205120366451515,0.0028323520568385163,0.0005319739684923608,4.522162462339274e-05,0.0009435929524487241,3.726187178987317e-05,0.0007775303657764354,2.3001818208356895e-05,0.029958289831669704,0.0043436055547212415,0.00400467402505944,0.0011470926173884344,0.00034337444002674467,0.0003799065385070577,9.154950535528172e-05,1.1560388698761415e-05,6.204024913403217e-05,3.423724079465451e-05,1.3355729289621365e-05,2.727666901236603e-07,9.511673187523328e-06,8.92958759934892e-06,3.515183297775337e-07,7.705272461633328e-06,1.5496262197878252e-06,8.252444438916484e-08,1.5405868982742987e-06,1.0751643131357014e-08,1.2883477422676037e-06,1.5071415226941554e-09,1.7102889340314675e-06,6.395728191499472e-08,3.9655057880949585e-05,1.9636001983847073e-05,6.351915851188217e-06,7.633701537557158e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09850279571469334,0.014707091185987675,0.0022347230162191867,0.022962459926963108,0.001834315436556988,0.0001101795005973294,0.002930791297368174,0.0013243657816461862,0.00010212987600066725,0.0006664103394433685,0.00010418771993081499,0.0004463965891150501,1.841879824815429e-05,0.00019032821597053662,3.4376314472783775e-06,0.008467754996885901,0.0007254341165572331,0.008269087031638644,0.021702062389058474,0.0012024660016416444,0.00030962895138952895,0.00010710321946283408,4.70637388443329e-05,3.2652843504621387e-06,3.268055517025026e-05,1.4430278488131165e-05,9.260707856117989e-07,1.875748152824208e-05,3.5492798386993485e-06,1.544064784919641e-07,8.416949424328024e-06,1.96874024882554e-06,9.558095870332295e-09,2.769362226429095e-06,1.7433604559968785e-08,6.799092894693715e-06,5.0240698712400444e-08,3.9330805625681364e-06,4.770924832975254e-08,0.00013178237577715635,8.330488818319992e-05,3.448559087138037e-05,7.682346931936479e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.871136184221024,0.11668810878774871,3.2491565845916326,0.48429240326128825,0.025151363843681995,0.3413434853077487,0.2295199873790638,0.007988126988383915,0.04077908920236331,0.003691845779193681,0.07199732705034315,0.0028608828091218896,0.027419912361765816,0.00036219749498789255,0.01700094646434322,0.0024241209443031375,0.005237468532779677,0.0016377704584218389,0.0005492646519114908,0.0001020425791469215,0.0002937158737576079,1.8715307177563645e-05,6.251274154112085e-05,0.0009776227710101837,0.000875973715189049,8.937659200958237e-06,0.0011018515893061187,0.000651869902694599,1.1251848237692208e-05,0.0008541283666037569,0.0002901648457838968,1.5049935078170762e-06,0.00015798817355383576,8.392441690485697e-07,0.0004246749444200282,2.8346388265543254e-06,0.0004765952429494902,2.101446520574868e-06,7.321460646361744e-05,2.7404523982990647e-05,1.752727367149154e-05,4.012810744025153e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0342111181547966,0.3988943435729227,3.2360572482032683,0.11238143400926037,0.45713469576427596,0.11137785965807794,0.000806807033599366,0.07802010081534055,0.0006924367448633006,0.03234744701282244,0.000908838379269028,0.07786538208364079,0.0009018835218002064,0.00786340070284855,0.0014125803699829437,0.008247044097431822,0.0013731905823259893,0.0007629381424721637,0.0002656794288127262,0.0007024194106988596,0.00023992753605961425,0.00011947678498935854,0.007315125735531336,0.005356380428964136,5.918048586628366e-05,0.01053658656651274,0.0028342985151103423,4.583347798103876e-05,0.006009392987614687,0.0023053799759327476,2.3780490074454264e-05,0.0010841662889638781,8.765623067175099e-06,0.001315916885500562,4.926798919724362e-06,0.0016209553445652447,1.0008308351405759e-05,9.231949124652306e-05,2.2852480381085893e-05,3.5696426856232644e-05,6.543328622377054e-06
