,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34C,35H,36C,37N,38H,39C,40C,41H,42C,43H,44C,45H,46C,47H,48C,49O,50O,51H
1N,0.0,1.019736534434486,1.0206068605538887,1.4741323771480406,2.0776629814086287,2.468193339659581,2.5688727662455118,2.764985737485242,3.8209144793799865,4.831554905845964,5.050814919783775,4.666932401339821,5.9692519010814005,6.832997231708444,5.913156122104389,4.87493060111809,4.25948582961907,7.06877379410929,8.015691691953545,6.19966856468487,6.652486027411228,7.169353768612314,8.185362317267474,2.487549758447844,3.2455772909813807,3.1790835151077674,3.1902997678752847,4.42372543895662,4.460844239531656,5.608854550014587,6.4768601865977375,5.515697564080667,6.159723581264973,6.490673993505288,6.403150492650005,6.93565019660243,7.367155971705988,7.919361744495377,7.629672641816274,7.3985711935317795,7.17649911166988,8.635967150815961,9.297935601847835,8.412582767298277,8.951669507298867,8.977365480139175,9.87065287469501,5.069746936947431,4.976627230775929,6.197398071812112,6.713980672921632
2H,0.0,0.0,1.632077472138156,2.0503621730562616,2.3392662582098387,3.3554794979525133,3.5005572073740243,3.7089296330657087,4.576769192493693,5.55411232868105,5.772949534637359,5.309348433146714,6.62859494077141,7.460414021195243,6.526594157628693,5.415953883519753,4.772989998493643,7.613778859848184,8.55480281959133,6.661207053456711,7.038722074669811,7.650848456326219,8.625109336798571,2.656226210458303,3.0505604447008094,3.4980507155166993,3.740795689623612,4.5295470399791915,4.3154442395632255,5.753736044336577,6.52205989097734,5.576801085181874,6.524418597576284,6.99239218090522,6.913967761184722,7.340601353606663,7.965091089964815,8.586851980263349,8.175894198787116,7.708718283114221,7.349798286542988,9.217925065361637,9.95074185049813,8.785671879872982,9.258516409331513,9.478232548856816,10.391172903914104,5.240358912202849,5.321528266924007,6.218968018614073,6.783827183802128
3H,0.0,0.0,0.0,2.0594553825719197,2.932915018728233,2.7441486486229714,2.950498134295944,2.619665071795068,4.17060113080781,4.998224304449032,5.00907679022722,5.2332716654384575,6.258314284760984,7.065144008060143,6.400622183214813,5.620146200661417,5.071836887042723,7.647899918393512,8.546401091590788,6.983035911249935,7.503739306012597,7.8787816018393935,8.925286478137968,2.6950183648550787,3.604938391688169,2.9297659290719484,2.7346313601209133,4.0968676515078615,4.22739608389095,5.4250846520476586,6.238645407632558,5.530952527050376,5.94430198215676,6.106611858563777,5.862810225819287,6.876105366345224,7.052447991398947,7.538077314432787,7.491342213071014,7.515810020206083,7.367352121095559,8.585854288655081,9.197364550003748,8.58774671884888,9.22491835577506,9.070799164532145,10.006036039284965,4.455766737664,4.2046207638488236,5.5962215645302775,6.003019462567441
4C,0.0,0.0,0.0,0.0,1.0940072851863059,1.5439055697728195,2.1282450082672497,2.1825128719333455,2.554458570092555,3.5225360620474024,3.856815728855274,3.415548818113312,4.583831696523525,5.431624657257331,4.554797939684153,3.857325566965745,3.517456807402392,5.735887647644225,6.637852776723503,5.170030833481957,5.785397990460143,5.969967222210105,7.007270215401128,1.5411718889758137,2.421675595632543,2.4841123514641406,2.652271994682195,3.8360341659316557,4.02857531258893,4.701724735481529,5.679377584099437,4.47303190309453,5.114004252220044,5.586014478078308,5.718173273591337,5.693931063258036,6.343716970401211,6.973313599087023,6.420191237169014,6.048384489710938,5.8536081833148765,7.344644686071913,8.053961656584853,6.99949075255932,7.5120103693709055,7.588482063774048,8.45965528741628,4.7907327836545655,4.847388607261599,5.97092338260669,6.607466580050671
5H,0.0,0.0,0.0,0.0,0.0,2.155702690932424,2.4883807558533655,3.0713050436983025,2.744361604138054,3.838278456965467,4.398519277683795,3.1291716268614667,4.634656325495138,5.509666545417528,4.313197275653576,3.2613859625614956,2.876235547930147,5.311497070887176,6.261286773789301,4.467168537481954,4.985431499873615,5.352009961724445,6.332142383416688,2.1002238409870913,2.4871214349225883,3.321819404858478,3.6525204794791066,4.549248904652309,4.597586456647482,5.231933111761923,6.196357500260121,4.784200345353738,5.6926290772804276,6.32764831855478,6.586942328671795,6.0810477826139335,7.0057140118846615,7.6880186619949775,6.889050606710379,6.192155261449831,5.8891222092326005,7.690460673543279,8.448577953221434,7.050378662235424,7.415047866089437,7.746086479821252,8.55067029337699,5.6736655696169835,5.853537906373818,6.778784977793997,7.487073150653267
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0969596377547648,1.1006692937195701,1.502547237071757,2.5742087237267306,2.9858750373875904,2.6351398447819587,3.718324624393023,4.62978407609393,3.77028617427819,3.3282586278065005,3.1523697173869567,5.050621285205253,5.941054325058644,4.698158396987473,5.433318135504983,5.405063615321601,6.48460137757519,2.610662687769839,3.6630211341210805,3.007067632760283,2.7216306076758943,4.436798183970254,4.952377935733092,5.103897643380879,6.167404984377756,5.017230780452121,5.06027425284361,5.254430791321684,5.405032086887112,5.471856165688242,5.740587931573616,6.216592155337802,5.874556629334703,5.960332343811979,6.034513234543324,6.665859055437389,7.220327574159992,6.72112421336708,7.326793431048903,7.041023254614816,7.840332168404248,5.199950919629163,4.989860681034645,6.502472124451437,7.034120590522294
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7480583293003171,2.1512803341998437,3.3764624074931726,3.893796130444153,2.8612616620224034,4.362340119988528,5.331436848106014,4.160116325611915,3.151542996626535,2.7080472232349595,5.304075746695753,6.273659383975629,4.522727159845747,5.105463361323525,5.428482174642877,6.4717608503318464,3.505083721592832,4.483866374200775,4.000413845716461,3.6557791332699416,5.446490362664059,5.898750705601553,6.189686409230521,7.244873533719372,6.085257510236008,6.143789852543398,6.269312138365755,6.362961894785696,6.517101006460675,6.688146317927926,7.080496004052738,6.840314874109772,6.967403280847973,7.04475446730294,7.543554696601171,8.024942274243609,7.641382096252149,8.201684235841995,7.906910163882852,8.63659359043484,6.128665162951788,5.815852855634555,7.438926368816784,7.92091121690984
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1460060869928372,2.7478400314887024,2.770217515205158,3.4850184653158043,4.0637704396183505,4.863813948330069,4.422730048279288,4.326063419924284,4.186554484594685,5.774435581513599,6.5730973865302795,5.6732781950109805,6.444298914217228,6.279181079401815,7.364234552719663,2.88533879286903,4.082934201146664,2.7701016709814237,2.138857982359311,4.145423528054099,4.814051242477473,4.913367892453614,5.937685241190608,5.06569710492884,4.752893677200248,4.687519231001592,4.6661959334255165,5.339980475872827,5.2149893011603865,5.58561028689814,5.595155634977467,6.072765517951063,6.259661365142912,6.49277060211051,6.9620259992747275,6.889016264572762,7.623215864403279,7.075633425490754,7.920893100443732,4.6141588317055335,4.197231369686493,5.957097028573034,6.37101611923022
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3731947991500624,2.221930134634205,1.4446154279405865,2.26069640090282,3.221051293891204,2.3084307615153885,2.6250909382044547,2.9653161334186278,3.64918211218024,4.47744541758717,3.822208292786486,4.748444296025162,4.217413554457498,5.302668888561136,3.16659158542816,3.9936276493469043,3.546694947075145,3.4058538141922594,4.797013386074553,5.402613526761826,5.001254053009061,6.099493930428509,4.77514742714778,4.6802394904329025,4.981574611180926,5.407075902542315,4.693868011761834,5.175515315027602,5.691314883744377,5.015511086522439,4.995300728843939,5.182266391135762,5.577999103858942,6.1451828851198655,5.537149024890883,6.090549095381039,5.805184094820732,6.518588104017413,5.735626488199619,5.6585639137383055,6.986054302558525,7.5879600953379365
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0803968831679185,2.2536507464064903,1.3805986181642211,2.121845893683587,2.2479612234723603,3.6466439507322064,4.212367724750213,3.621676813457786,4.162296455223317,4.593651036533135,5.627334943320071,4.583257058253587,5.611599820808884,3.607325528485848,4.380015597371173,3.5892487638367196,3.425652744784623,4.562374316268958,5.338085409992323,4.410764719208046,5.478190291991848,4.290642775933816,3.7400681969813165,3.9683860677579696,4.555720998635272,3.54237428403868,3.943465291862297,4.473236451215756,3.6904946974064243,3.956889043576851,4.371757403884948,4.215597206719015,4.7825475558554,4.4239831797328755,5.113329195600701,4.539720341089446,5.292806999645078,5.437172866206191,5.39755252250442,6.618790026431381,7.203164438360623
