,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34C,35H,36C,37N,38H,39C,40C,41H,42C,43H,44C,45H,46C,47H,48C,49O,50O,51H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.316399435143668,2.1389275559432894,2.500101286712604,3.26298428785766,4.6926614458671025,5.175597936398956,4.591635437454193,5.000190048009922,5.673351201516572,6.702741536211722,5.631712176433787,6.6398663543579115,3.657963776600245,4.505243866125171,3.231982196964916,2.9418318170695574,4.01962407348093,4.9369069221490065,3.823926892623215,4.846735552819444,3.9539801669346053,2.9527209863787545,2.951863785506546,3.509265517557759,2.9496726651361302,2.9608914721318245,3.4877675737896725,2.9631077747407932,3.7233339266437255,4.257455254726377,3.7344544966517175,4.2744108241578225,4.33481788823263,5.1920691581999625,4.338744528645674,5.201039319655952,4.694687719755964,4.5968684084557605,5.853050600509755,6.368903388540984
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2582686700875336,3.2335689382029407,1.4242194014922465,1.4065306342049557,2.1715543305433984,2.4722260697359286,3.4595759878271255,2.41150531205146,3.3985295922709513,2.8032665997543154,3.890140793574094,4.129551169248674,4.67107193368899,4.779568140511254,4.784058950679646,5.9650743410130875,6.452384312987907,6.004445974130959,7.080710143034058,5.570312287026868,5.697141728154937,6.142755011142931,6.694543269748171,5.420987624837977,6.177369744917344,6.70466139247462,5.754255213717303,5.381469849305679,5.505724214240582,6.036075163342886,6.601943632991097,5.660550804537036,5.989883599353811,5.9773433111469085,6.513460185842125,7.045584215818966,7.060519193884276,8.245082193800677,8.907533547151235
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0106800390133714,1.3801915924621866,3.579274978748631,4.429719107446682,2.5244682400737495,2.8623067630262558,4.128831584703343,5.214789156815723,3.722031543774443,4.645470588444255,4.647098059698705,5.1840434260200885,4.775554443417516,4.741596471854856,5.5996342203171015,6.31503409892746,5.145931798087372,6.148279343017276,4.852648039435219,4.36556814172606,4.720008304904535,5.488879105904038,3.695064817617196,4.389675084706181,4.909105952495972,3.7384261384517137,3.711520426574713,4.208215779143026,3.811719857181283,4.371566481530547,3.756507892057355,4.285315055373767,3.804280104707482,4.364526143816595,6.578301616290308,6.64165796149029,7.666741450526044,8.296374954718637
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1350662286211146,4.50091280082725,5.399573921297704,2.8951201565861417,2.850512335174355,4.884825039374653,5.9674702434564795,4.239501640909152,5.026498894710337,5.287540460240963,5.738434338414019,5.2731205772375125,5.270102890832744,5.884449418333723,6.635913410960851,5.180792502237906,6.0881458372652695,4.9163714098779785,4.222252725197324,4.568182165988273,5.450774242952384,3.270630153567894,4.017475361356484,4.530761040863378,3.1416350093432697,3.1895328818494866,3.8674109308534748,2.948712782063935,3.524457438734075,2.9650085322486266,3.5412847460412715,2.836865530560635,3.3582197323874436,6.822431642476933,6.94258083718076,7.80893353590783,8.429925702044015
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4364324008399145,3.430785932981352,1.3993970023340592,2.172157037279074,2.7697068728258287,3.856571405479802,2.3867854616293855,3.376921193367146,4.919318639537895,5.344431125986024,5.390157798652379,5.4319745508342185,6.364450542960309,6.930432520525356,6.053332503676377,7.078152726180968,5.5882798989830285,5.508662344182671,5.98122088180147,6.705821238943427,4.884051665532326,5.753256315331951,6.275814483353758,5.080247950044957,4.6611985364649495,4.93606531074225,5.077651854066502,5.623765650951934,4.634709321440357,4.89812546553232,4.844991333227509,5.249670030011486,7.466394705029073,7.552684419336801,8.58716860911909,9.265505312934364
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0876970540391526,2.8481253824687305,3.935489250457915,1.3901210067022096,2.1469274637015374,2.438537114881647,3.4141376655799447,4.837259788340806,5.238884136481948,5.724862237994909,5.78046160347038,6.966892299970905,7.30710633895426,7.1320505901201825,8.192247459033977,6.604744926709827,6.9875861491575,7.48907348690988,7.998592129577397,6.7408556815058205,7.578107605866494,8.102237283458788,7.141398034517475,6.579909010754525,6.573721086829253,7.379022149634819,7.93783785222206,6.818964727595589,7.0005070263336,7.2114601927180395,7.665898464565551,8.089318933626094,8.11171291327941,9.285612940398458,9.966887194812829
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9357528195573663,5.023111362365256,2.154621858554766,2.477112576397209,3.42416162910298,4.309288152773305,4.737083554552268,5.175217820157683,5.710498101860468,5.739967215399081,7.03066054271003,7.291029933747982,7.420632958156499,8.476369965631267,6.932555009790156,7.421740037082122,7.890972766746353,8.282128161673176,7.365639161768072,8.121089851023717,8.635929071939978,7.821543113943095,7.303945893945838,7.230057797714572,8.19383069627479,8.75822482885327,7.684180032565416,7.907059719354311,8.115387457802466,8.635881469999083,8.093984986001926,8.065484811993036,9.307867753542714,9.961634070800827
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087364205861839,2.440542151134103,3.4146983641535553,1.3909973094188088,2.1449410952597634,6.1191755307528695,6.379490932269326,6.695501217056215,6.8027233861757015,7.609676123594913,8.106125114467941,7.181227489664374,8.15326706159528,6.605593488814968,6.643978953927372,7.186870383273989,7.980890994213837,5.830538128168875,6.843303488664763,7.348986629557289,6.0003348804645915,5.341869325838575,5.571070617018831,5.729395620925765,6.225751554436041,5.015209824357704,5.0075631158253895,5.220990563100541,5.371386614217954,8.77762400267526,8.92058043327822,9.850087139015008,10.56217394684942
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.431098195360073,4.31654432793901,2.164092272354999,2.487486614406418,6.8621058544892515,7.074016563212455,7.32890922403096,7.447586256792373,8.109634966724593,8.642621084865558,7.491414895246156,8.397387790595802,6.92258218250881,6.828941673349624,7.364475646531977,8.237920083388477,5.822921770650744,6.860120908602773,7.337465485153505,5.87849916217801,5.213729348246194,5.538251650912606,5.370985844147304,5.811817644262302,4.613525903186197,4.496937895117518,4.7000233656441,4.659389644696568,9.260627057826483,9.440041519996473,10.267894488227128,10.977500100311456
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087039484022584,1.410650545807682,2.1630467757568828,6.028572406232347,6.268263989652508,6.945452153689837,7.0614929836825935,8.101041281850051,8.411741357814622,8.093731048923049,9.121445749128497,7.467119539668756,7.896145129420712,8.46604612478598,9.077122438208132,7.438700710947899,8.419499456078636,8.943823840316762,7.807059927360683,7.062716641866788,7.047221189210465,7.827739614505312,8.362024673907722,7.0691254662988205,7.064861501453499,7.456104343341075,7.738329523093074,9.295198335901356,9.380015141585046,10.448238083733086,11.166540207097936
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161339712622779,2.4764519554931295,6.74529477787606,6.919558225985611,7.757070527052244,7.891006575393181,8.938428083685297,9.170904009397791,9.010262135903812,10.027431876368087,8.349038833058472,8.900448776046659,9.491527476385889,10.072435655829377,8.481240887210898,9.486480635209633,10.010212997432408,8.88620501055842,8.070289611827514,7.987692202950267,8.908610995728633,9.439300798267537,8.080274793884017,8.011660208298872,8.503953258319925,8.754242271979171,10.1433165909502,10.227509405194487,11.293510053768776,12.018250096628114
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087056441171859,6.578640166522385,6.769491663828483,7.36141409806124,7.498102120339015,8.380989134036318,8.764973020718935,8.113485830232186,9.10228090678293,7.465423616554276,7.746484509826764,8.334411928810628,9.068655882867443,7.046026379172925,8.101229085498675,8.615284340994501,7.315102752139858,6.522871157718697,6.603236201142672,7.110162346301684,7.609844981075934,6.275314539583425,6.167302840922745,6.582072968124317,6.712286721171476,9.59825207441273,9.736050962417185,10.699747050152697,11.433080037468933
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.593060715962674,7.702687882342567,8.402275650072177,8.567859833871003,9.379166390102442,9.732817770766905,9.03987350440782,9.995210566611767,8.344809251993723,8.665086535822338,9.283484897405483,10.057797747439613,7.869229546385031,8.985663997073694,9.48987092728875,8.11697523077541,7.227273183351219,7.289789965250003,7.7800815509869565,8.245958058921289,6.832048821092031,6.581780694084828,7.1247406228272725,7.112998244572584,10.6258644802218,10.794583413013042,11.69810868027692,12.448961822742973
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2289334582157247,1.3705286536121806,2.0870376884350774,2.452953982337165,2.5696747738051164,3.2886712810533663,4.206609812400399,3.045349197578314,3.9788632747835924,4.664616458998935,4.851084319368347,4.713571344304036,5.609342932767131,6.369685983439953,5.65749675805307,5.080795204470762,4.769557956260788,6.723347935291581,7.542823678055274,6.219338989023241,6.75997022105859,6.9484698907545726,7.910858428855067,3.652655469783277,4.035013926472724,4.7079825069896,5.460449773747944
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26634716650093,3.1774549244672867,2.7607705875567152,2.450844744782958,3.3440378876351793,4.0961570886012675,2.7872505952213333,4.327183648463958,5.2751213880311045,5.568612743233967,4.955580133908796,6.243210327937453,7.100084878136061,6.107219903005581,5.0464980700416255,4.485163719543107,7.129435294918476,8.049592742142853,6.216560649618246,6.603160069679631,7.155868968182629,8.104085815772333,4.146505655520647,4.801272576951791,4.939309511799095,5.802167570269583
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0105991224544801,1.4479091781298188,2.065144202853472,2.5204973425452257,3.4284002432430825,2.7521611636990673,3.092349249222849,3.543346919761935,3.567678593112044,4.128417152674773,4.635173324410033,5.346052361581203,4.945397927919656,4.841706587592517,4.716270931590571,6.1664357977527615,6.919547372474428,6.057132393845823,6.772651730951284,6.6265996395698865,7.652811592391833,2.4104703203449818,2.727971722400667,3.599207617826652,4.277558205542412
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1094114787304403,2.8963485050723015,3.131239531778594,4.029023607316245,3.5494373282855034,3.3178073558248102,3.3731599342528242,3.2143580246955183,4.363567220799449,4.382167870491217,4.939245847819329,4.9061747320350335,5.263385550897415,5.3246730324093985,6.120296443798165,6.743385839702549,6.386447504315916,7.190541448057257,6.75405358113568,7.759210948334129,2.5007920752943495,2.340001126122212,3.832242802431096,4.320038812851629
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0959677303289026,1.55740325144576,2.160216585502492,2.1232182606825925,2.610833935464574,3.2149786427882363,3.20682741635263,3.881264682888736,4.508041594442417,5.290935284486287,4.845150256328859,4.633253156975467,4.419351228920083,6.169651984460917,6.977362678879375,5.976430422812645,6.7021341474052605,6.628955207356504,7.704133672184358,1.5185750264781512,2.4329160978006743,2.3761196020713204,3.210470776173153
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.135783753080455,2.426193619813434,2.343004718988143,3.4901818780086162,4.248043106155994,4.249108154289656,4.653499022983083,5.5342036645729955,6.349570938647183,5.759187569018738,5.180102304222286,4.747351576700724,7.045124996290314,7.913185953957622,6.552336542584273,7.155866560927939,7.3642557988902855,8.42819436526661,2.128981488107143,3.1593097894503925,2.5548765322758364,3.464113831514783
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986421128132,1.0946538755718311,1.506764129016873,2.606443531593328,3.0492524241327863,2.6141136059940036,3.7359833837614387,4.660940047645465,3.7683906962917093,3.28087559571179,3.0901024330695352,5.0415921187027,5.940619361761144,4.653886523334208,5.379701764753149,5.377841595684095,6.455822299883285,2.55538808214886,3.473815141462007,3.0042286089719004,3.8572044445070417
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.757378832187253,2.1629733595370424,3.1041055670944275,3.4329023844602995,3.1859488103050784,4.2341596480322155,5.12037743850105,4.300505253247361,3.769679296310827,3.503441140094543,5.551736031055902,6.437272266914102,5.118585900604102,5.796334357165106,5.868188689174239,6.9301056143869895,2.755589603825491,3.8216955938294213,2.6728188017348318,3.5236566664719637
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1307627533519327,3.428029094408589,4.020009646687515,2.718365482511268,4.35488598105503,5.334016248276347,4.066603381429163,2.9042250064626876,2.40842935882565,5.17001890463009,6.163744513019162,4.277711086768633,4.832472213677321,5.230986022043729,6.265717105613526,3.4459550386609714,4.372524155778879,3.8994386218314707,4.813799347779658
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.376129581927229,2.2324315109620465,1.4454657008139804,2.2624898978823276,3.227728461963436,2.314316016590178,2.622651325778969,2.9600056730686153,3.6559250395722405,4.485982965290738,3.821594868971701,4.745961168183708,4.2213835455725945,5.306610839457052,3.2082604710203997,3.7252417705928664,3.8242070221630944,4.458018518534476
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0806129088231713,2.254380130813139,1.3849069372919862,2.1298755731232206,2.2551816691032003,3.646957872250196,4.210256878557744,3.629801205784152,4.172800070910368,4.5963643681398105,5.628789381400238,4.589861903732987,5.618640137924314,3.2282215310831375,3.325573102998457,3.9184626497784882,4.276935187226931
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.319708897512656,2.1370232894760446,2.500556835394407,3.2658668110598232,4.696281601155592,5.179581967572699,4.593721869007262,5.002427671545188,5.676336042406777,6.705193175511792,5.634932265153758,6.642684233926602,2.7306585615003303,2.549291106481182,3.429653273968458,3.5824636102615903
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2521615206012884,3.229129695629858,1.4233003473448074,1.4068445441574375,2.1713335399585354,2.4745499302692915,3.462176528367341,2.4118943185296833,3.3983263884906423,2.8052505175236435,3.89198434745283,4.64375020033731,5.112360740481383,5.231467121979451,5.871363524224045
37N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008256210905099,1.3786896146116276,3.5741251093440463,4.42344260363212,2.525038323538216,2.866876328896676,4.125628626650567,5.211051247433845,3.7217099410407664,4.6460683853229385,4.599166446960659,4.570730292027457,5.276999760653803,5.576607077128711
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.129888739816462,4.496305337897795,5.395057647056386,2.8877955505729793,2.8448324846872977,4.879645766741318,5.961981425068132,4.234023132412759,5.021147206293248,5.178440315610998,4.947910518938428,5.854138071634188,6.009486687896689
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4352625978086015,3.4289757937038097,1.400512367661905,2.174886864098256,2.768849417134357,3.855271220800946,2.3871655812167343,3.377451209470642,5.312096019785138,5.506105680370278,5.957620790674885,6.425111208027159
40C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0867247434372278,2.8506433590538576,3.937925749147752,1.3899380135156063,2.146187178010033,2.440329272648805,3.415888435090009,5.658097294187257,6.268611209575643,6.17168883095105,6.917603748045194
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.937267279723253,5.024543124508786,2.153069342482814,2.4750191711990137,3.4246964672906506,4.30984249834302,5.613582041037941,6.381168472632484,6.041667507256732,6.87954903424853
