 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,C19,C20,H21,C22,H23,C24,H25,C26,H27,C28,O29,H30,C31,O32,O33,H34
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5441807147699349,0.02588826856830806,0.07205696163373536,0.05288963670647173,0.011209583759293346,0.0011354683680139255,0.003351856104731432,0.0017498954475154704,0.0003685220488836294,8.712402081001436e-06,0.0016430956878926567,0.0004360516292150063,0.00021760797544061183,2.2175994078832417e-06,0.0003796105813724526,2.2863800878125673e-06,0.00012119466226187536,2.742784815117083e-05,5.471923669730927e-07,0.011251211738757372,0.004025276419191315,0.0016485657337165643,0.00029841204511427133
N12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8284183140777168,2.8020334754560015,0.09852769447411769,0.17606984023957883,0.026078271825766608,0.007736958670358174,0.016784103293488062,0.0024816764599097513,0.00014243658440071805,0.01713300170418036,0.006611597074885678,0.0015963455316029412,4.7445047453020806e-06,0.0022701536214237983,4.428910126064167e-05,0.0010833782345787135,0.0002810130985110293,5.062565964442101e-06,0.19544031721211214,0.04995505202018012,0.02772287979885528,0.005036332708305502
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09710266299545744,0.026191345487148965,0.005186258505950447,0.0002840036816711411,8.972323508094071e-05,0.003059617505092427,0.0002539128516702016,4.273449669245366e-06,0.0036166851300829528,0.0002501653790416558,0.00045746702271798334,1.9307991472317099e-07,0.00034435313518077493,2.257005075501084e-06,0.00024699779064940586,4.892504145626031e-05,2.3687396222271673e-07,0.02651197167965369,0.057570032391932924,0.004118636286255417,0.00013988367871431429
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9613233236430885,2.510406873055503,0.0915364578400375,0.0987169364107896,0.16706868402154942,0.035981877057421036,0.0005515508359732468,0.037448987343947734,0.0008725460061465018,0.004360160533060181,0.00018209183954054353,0.00444974725205291,0.0001704870127818836,0.011958404328134248,0.003056170540432196,2.648501871671538e-05,2.644161304182452,0.2768331687008672,0.2129519109295439,0.053199414892425856
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0887512872127727,0.004882423148316883,0.006392433328135327,0.02272305503314065,0.0032651177726228386,6.935591199686009e-05,0.003923773336954595,0.00014075914914246646,0.00048708945037601037,3.1892043987680196e-05,0.0007247051160574891,2.9610956856718218e-05,0.0010515227707719177,0.00028173005916187766,7.907054358602394e-06,0.1114885382395221,0.030688072052169058,0.010340679298218136,0.0005110002368613475
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9764474591325962,1.8749909934233107,2.8361114320634373,0.23881897864086055,0.014054409178080984,0.23523144964260806,0.014165578561104564,0.036318134500276905,0.0024981223912421413,0.03652244705644464,0.002363824328802888,0.02048468941882159,0.005269699624091462,0.0002769052010308526,0.18416503434098802,0.045244201364371586,0.02948091240861861,0.0021930501958754567
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025993822563385338,0.09547727670890316,0.016600138729706893,0.005413191265553952,0.025899916155772473,0.0006554910256029167,0.0016342400156271752,5.802362615892065e-05,0.0028422671635125463,0.0006292171949204839,0.002551685643853663,0.0006100183984676377,6.534896362175857e-05,0.006746130831441821,0.0010573318259372577,0.01154756688127423,0.0003318080329366424
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09735275739946947,0.026907887935059382,0.0006488116656260257,0.016896081315604716,0.005227850488619179,0.002985237557321052,0.0006367141397611853,0.001703605370779071,4.806654270672617e-05,0.002860388998500385,0.0006978565390861613,1.2356576498673277e-05,0.026661985348708894,0.004447493555527093,0.0038924076489478265,0.0003020308841936714
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7252731377873394,0.12267847914441243,3.4381321545701997,0.12269612224710369,0.3339312066058717,0.026541159697364147,0.32536525821474477,0.025446703458058106,0.2636021022129248,0.054922786230428816,0.001354190097480501,0.021734532632011555,0.0037876297522685815,0.0037576218782189585,0.0004152603900375862
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7455157872397316,0.3307392113846504,0.029051716126556437,3.9362983442604214,0.1306877981984642,0.2956619317145722,0.00397489779586202,0.3396172251022367,0.04237940799338083,0.0038340332529357424,0.01108182198438612,0.0019033115365113124,0.007094101887786905,0.0006419818842543501
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028458508810474736,0.0016894644276235216,0.13059760288700684,0.008581442085567659,0.0034864569057744266,0.00041108408489565207,0.026244615242280167,0.0029177794069792373,0.001293278042956203,0.002861678003050594,0.000836742595208384,0.01081404876193226,0.00047550450875744055
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0262591373386623,0.3032478759656333,0.0039551952050824735,3.881952395237986,0.12653387279219475,0.3484121060895544,0.04468938285015912,0.0027318478171066696,0.003173474483644828,0.0004922517344970317,0.0005638906593371795,7.258377209196087e-05
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003545681181277738,0.00042171624634934624,0.13179042169527588,0.00852850063158117,0.02692882094098481,0.003265214393874505,0.00020621856507596625,0.00035466748587831276,4.746916097997378e-05,7.40282023894423e-05,8.08356766279772e-06
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.017349261349394,0.324809902880026,0.02754596116673924,3.3859912600592774,0.2957700943079047,0.03395704223402751,0.0011954141402969465,0.0006507321743330907,0.00110790743658859,0.00012610776159938109
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028094422287472165,0.0019167380994842276,0.1333959458851084,0.0125136077867124,0.0012756756000478209,7.407756355126693e-05,2.448366939977742e-05,2.627464963966819e-05,3.6891236829816876e-06
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.739563633600364,3.7422922836154893,0.31328718733925864,0.030528660859521772,0.00174920551062277,0.0004377781795660146,0.00033505999534098885,5.273567672947621e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12995106760495156,0.012588590583357151,0.01695262488518634,6.748686112167945e-06,2.0686394521796103e-06,7.241955692904867e-06,4.37166673528111e-06
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3604562511325655,0.1358159326613787,0.0012051999015554038,0.00021452612119803038,0.00022716403174566357,4.241268609106452e-05
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6116785148818293,0.0002861025970126163,4.600853735999e-05,4.9570315440478074e-05,8.52884388014008e-06
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.551495789237528e-06,6.589319728744769e-07,1.0710970777094708e-05,2.2732182678453228e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.180638006063607,3.4217625783961436,0.17065266027583192
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5104449838286581,0.06767059067034675
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6841824418108613
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
