 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,C19,C20,H21,C22,H23,C24,H25,C26,H27,C28,O29,H30,C31,O32,O33,H34
N1,0.0,1.963344914863509,1.9372625839978217,2.995378587704975,0.09026413085411833,0.1924646960223035,0.007742206476940794,0.030742270618466683,0.013167708314234305,0.2284648282909317,0.04825360229021548,0.03556136370752741,0.0025930812449198593,0.007003153883907889,0.0005483682648262933,0.0011472520446030587,0.0002542388219879399,5.862973802273075e-05,6.072897810749378e-05,1.6204213457174377e-05,9.011794718238875e-07,4.767706166267094e-05,1.5611554700201147e-05,1.1044170333804337e-05,2.7858248041745526e-08,1.2603454689091853e-05,1.4436282036456305e-07,7.584050855269364e-06,1.8169255807387596e-06,1.4639182088771463e-08,0.0006349244662405273,0.00011034276560650813,0.00020869154090707998,5.7337820709935094e-05
H2,0.0,0.0,0.027030601797258136,0.10717850038337118,0.007148112715256838,0.03388339949906749,0.0008296397259393018,0.0028588033456553585,0.0007235262321887426,0.007923810040805557,0.00404501333258922,0.0005587485326209451,3.2502624770280875e-05,0.00019692749708544177,8.931081312946176e-06,1.0442544697508716e-05,1.9421175061484774e-06,1.0121580844568712e-06,4.389844204921722e-06,1.903094513533432e-06,1.983624922097249e-07,7.023754480250943e-06,5.917078924611019e-06,4.809743444633696e-07,3.9156102804582815e-09,1.1535669873774523e-06,2.101200693438443e-07,1.3915295921096416e-06,4.116756959771095e-07,9.508980047812088e-09,2.762053523097663e-05,5.231426710494702e-06,7.530998684779355e-06,1.7736964481596118e-06
H3,0.0,0.0,0.0,0.1090497212330388,0.03706013883049297,0.009278404593681788,0.004753686421123504,0.0002806692934609334,0.0001661237818033623,0.018832070568208792,0.047823389795172644,0.003301297445356899,0.0007386325850564646,0.0004926884823989175,7.625732898186577e-05,3.314051396152706e-05,3.325439169143962e-06,1.0965439718457759e-05,7.5022584623551936e-06,3.191315062434086e-06,1.9949864649149163e-08,3.2785986928685062e-06,3.5954188959408384e-08,4.581224192223843e-07,1.5835248667883661e-09,5.206193437468087e-07,2.685760258636094e-08,1.0936265067984507e-06,3.2049463993821803e-07,2.214744165840443e-09,5.486059791415254e-05,3.420050571245614e-05,8.120219633811487e-06,1.1282400942391746e-06
C4,0.0,0.0,0.0,0.0,2.04288323448891,2.797209447508279,0.08366794089771945,0.0867563834865357,0.09193559226121639,2.6538297169301104,0.2786515095760824,0.22610030935005257,0.015042104194972095,0.03551950149294103,0.005997499561320452,0.0036368445099557167,0.0008991842757408719,0.00034779979330457067,0.0002905983539145951,6.96237847536002e-05,5.906109896258727e-06,0.00017147182447548037,3.2035852095768647e-05,2.4046707644165277e-05,2.754803021254304e-07,3.194882018758838e-05,8.778076507898191e-07,2.1691140664192865e-05,5.524200725373629e-06,1.0032800934478558e-07,0.0034244353454815635,0.0004103165739007125,0.0010268647307618423,0.00021981466352205548
H5,0.0,0.0,0.0,0.0,0.0,0.08235999592771082,0.03515624595571598,0.00409939523700853,0.005253284601299368,0.09600768129113146,0.024878118556806994,0.011719354854021757,0.006698835541797177,0.001830252020640799,0.0003444333893085627,9.940163050048412e-05,5.527539238103785e-06,3.152856028632023e-05,2.8553746420412196e-05,7.774627264645062e-06,1.2414148806705327e-06,9.387019043838318e-05,6.241860019473577e-05,7.591686726482472e-06,1.320739511090352e-07,1.3857598778033164e-05,1.0287346601245417e-06,2.9882446281881414e-06,4.811133356152908e-07,2.9758760566878095e-08,0.00015329495489546652,6.267634008993994e-05,5.464327458049034e-05,1.5077424188048028e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.1073695407140454,1.943769398870458,2.047781695243375,0.19806597201030637,0.04037127601874313,0.031000592388146092,0.0026219406118678235,0.0034453968126383905,0.00026714153073836844,0.0009856557954318335,9.114031730017569e-05,8.68131951188289e-05,6.599429799231116e-05,1.847163277059194e-05,1.5255490877219557e-06,6.802113025819456e-05,2.0677164460192188e-05,5.651670390571795e-06,1.536772438193168e-07,1.330569906657364e-05,2.429753660493361e-07,7.66763074346033e-06,2.0749246029128088e-06,6.487193682236381e-08,0.0009076269434057649,0.0005104491931651745,0.0002608466477006105,6.730027898160795e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023872454702808632,0.024565488277259018,0.010695036983746409,0.004294857326255785,0.0010079449490552062,3.03361960727333e-05,0.00011367833393949311,1.1044256559733512e-05,2.5718902328941695e-05,5.516746825584562e-06,1.6938255862353202e-06,2.9562443466524257e-06,4.498697838695165e-07,3.938002413050867e-08,4.200160714118439e-06,7.170256489441584e-06,6.975512145679374e-08,1.1684515577314869e-08,4.4997006010127905e-07,5.476035624951692e-09,2.446799765021268e-07,6.553869469350104e-08,5.328242291824381e-10,5.613388165182087e-06,7.648003158333694e-06,1.000268432860274e-06,1.6748626019413848e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025535010741910336,0.008067043361060122,0.0016244941968324156,0.005430319072402545,0.002059422195663574,0.00041940930238415497,2.954569429558518e-06,0.00029320704127444586,3.348231723210304e-05,1.968195266988104e-06,1.1557562585862158e-05,1.860140448783909e-06,2.423494027681272e-07,1.3248091601525402e-05,3.2764227113624145e-06,6.307368189961693e-07,3.888466881818431e-09,1.6328347265393006e-06,5.641194888994505e-08,1.0947401536398615e-06,2.723055296804944e-07,4.493046601439232e-09,0.00039790524586758025,0.00142783072306929,0.00016029250870852607,1.106800919514761e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031607888898218306,0.006194927842684161,0.004395281676418561,0.0003414427005117293,0.0006848565707679999,7.44086789066234e-05,8.670795377141438e-05,1.3276616193103052e-06,3.1006042131576095e-06,1.093560921527903e-05,3.5448219133371595e-06,1.5174498657621882e-07,8.888672577533896e-06,3.977830574708463e-06,1.0380711303881185e-06,3.687925942408299e-08,2.820044096685237e-06,1.433175467191461e-08,9.457286049840974e-07,2.5231657807545105e-07,1.3380556662667686e-08,0.00019527209222713893,1.0997726416661635e-05,5.947903115921527e-05,1.82455438884066e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.937856436743927,3.523164550150627,0.1342950501689747,0.26921931509370806,0.029457340933678022,0.030696570064422057,0.002789862094217277,0.0021856908933000074,0.0025997745822816942,0.0005281417386928111,2.471908016188351e-05,0.002047045452673535,0.0010622983844468248,0.0003411471831034907,3.575278016532124e-06,0.0005022258219080089,8.678150461349787e-06,0.00018030802425056391,4.23157798969398e-05,1.4756120515491133e-06,0.02997904265258372,0.00537836476684353,0.005768968551927572,0.0012560596996609164
