,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30H,31C,32O,33O,34H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.322591544016287,2.142059727989858,2.508828704077335,3.2703054904159012,4.698899670133617,5.1813608812270715,4.597941178568598,5.006586109003079,5.679420559595767,6.708631194024162,5.637930111601937,6.645889849302251,3.77256363346908,4.715768981649641,3.222053560085608,2.532975845183048,3.8517782990001117,4.835533824718744,4.249204272448734,3.420041170258229,2.579985732005298,4.586254023856318,4.6604079516574215
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2541152132314917,3.230107949586805,1.422665178839154,1.4067505697849543,2.1717413112033017,2.4724072954196945,3.4600364602515903,2.411237129546459,3.3981573995816805,2.803139434839188,3.8898768855546524,4.139864672013433,4.785034342495542,4.6941398228730185,4.425440926296431,5.755989272735722,6.721804593043526,5.756093536371327,6.067247090275458,5.629629837663652,7.2486370226897865,7.574340100261793
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0078734848398043,1.3803357347670515,3.575985871299222,4.425832827472989,2.5252244735557956,2.8655066352702856,4.12643015845192,5.2122024625748224,3.7213404097411993,4.645327061534333,4.721975626064968,5.396487070470425,4.717873849807217,4.295747216369608,5.363022599217755,6.4392736304738625,5.38212120934284,5.125445451869492,4.488878791687936,6.13527970672574,6.217454708414648
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1303097195363287,4.496818955967099,5.3964201468712965,2.886734307217457,2.841971204151408,4.878521585463173,5.96104804371245,4.231822258893114,5.0183182099624934,5.4513746192230785,6.072253378405086,5.292620874163728,4.858828966428892,5.72501685704892,6.809211155183673,5.7148922708833565,5.254729897429956,4.568514185283129,6.110978620912742,6.057801608252523
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.434682107906014,3.4289907660465215,1.3992892400413386,2.1733472065463793,2.76757481519377,3.854284065197588,2.385336306334095,3.3755942536032006,4.970054532329448,5.530980421224491,5.320770732017442,5.016338247831811,6.13299163335273,7.187669850323049,6.044959008452961,6.169813636563199,5.6537066547765376,7.2201563499759756,7.411994114474477
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087513031722271,2.848470770800213,3.9359055884907703,1.3898765692417314,2.1464734518716293,2.4385871707570947,3.4140121485494257,4.806982371589481,5.290131496859765,5.628135351441505,5.474360812398042,6.766265981738448,7.660398637998873,6.69552726822081,7.271808118902908,6.925458087244619,8.455324037770495,8.854927663585729
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.935910641250443,5.0233377194857844,2.1543194812489785,2.4766474272170824,3.4240362744343353,4.308993435214533,4.670703434262044,5.155533272315899,5.60799235210747,5.50256990745319,6.855187622575171,7.643281218987332,6.843056863720465,7.523498673358427,7.240214901446042,8.749560911421748,9.221902471148898
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874352346180822,2.440477541488489,3.414377555265565,1.3908097307019414,2.144520685467097,6.167713636065427,6.5735721887352,6.626226639281194,6.386937522472737,7.37076721469063,8.435029966309166,7.161294229053917,7.40875924228054,6.9296990873812,8.371022406327866,8.538216019532554
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4309471613306335,4.316033894233916,2.163744483819516,2.4866842441319985,6.930358984085994,7.3017165069399725,7.270788824913948,7.015093075632732,7.866480828497963,8.955546694803749,7.618414130703552,7.742560180570765,7.2339896232655265,8.592142753860395,8.665440699930446
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868817198814942,1.4106750823686294,2.1630233673667254,6.010538921575349,6.347252970475546,6.851926533343777,6.728911557580096,7.885208970035235,8.821974479436259,7.698378003679648,8.330452732135054,7.982534240898332,9.440990522007867,9.801992143533031
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1611212778754063,2.4762671560151794,6.707925245929811,6.962262797869084,7.659010489206347,7.5870390639202725,8.72978283235646,9.619414783125094,8.517470278606721,9.276731354360223,8.974025551649195,10.393098496279986,10.796782188367786
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086916814455177,6.596263771507879,6.914731401515482,7.279782036423524,7.11552012070723,8.148303389841976,9.164415707173784,7.902230245100476,8.389267011111706,7.983791128365113,9.402912570667409,9.661115539953341
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.612103830257152,7.853022184483131,8.32204152594761,8.181759233953647,9.142905779000897,10.16470252228117,8.83798010542766,9.368080231143777,8.97477830791505,10.331052209231597,10.570246404285168
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.226865030057167,1.3746266267756453,2.070376021979082,2.4456208212635957,3.04166953378057,2.542779146053028,3.6336064146889586,3.969385264253456,4.729305958667087,5.470758332027862
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2716215054399425,3.157970183671592,2.760481222092645,3.2081530077822196,2.3999569614513576,4.1217387293784435,4.715932241497197,4.97174594733416,5.814276457392474
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0111310108044211,1.4442398534865295,2.124215543945607,2.0843618641460173,2.4272194540514884,2.7410182254720135,3.617484620251009,4.3008586651786285
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0894750353866742,2.7793623957135973,2.8750022735435827,2.4705527259113143,2.313040419223399,3.795626822008658,4.286132475568045
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099759656246128,1.0967775212112127,1.5138391275814747,2.4280739783321694,2.3660401272649296,3.2023411995300757
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7557035694708678,2.1310643296300293,3.128266937789233,2.5862946462790064,3.478174580207959
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.153993410640126,3.131606764782426,2.654824287149646,3.5406431664430023
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2148214053853528,1.3468310919838116,1.8774256885370384
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2539552288913254,2.2942152200330415
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764031676126175
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
