,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30H,31C,32O,33O,34H
1N,0.0,1.0199133258990831,1.0207966550167318,1.4741893940710649,2.076888544080018,2.4667068724891545,2.563677551794843,2.762691604350073,3.824090282115668,4.861958573508168,5.108083273300395,4.648396074638684,5.987639270758868,6.894958917300017,5.913790872274656,4.823723860414654,4.182187618221357,7.063181142151269,8.02097954221943,6.150755803926114,6.588229791803473,7.141939922606366,8.156075087513488,2.476944435342457,3.1630584159039707,3.2352446645733255,3.4116851954285408,4.543716236680686,4.801100720793391,4.903164455353205,5.640455390054166,5.720528446690862,6.827512909611773,7.511148341672306
2H,0.0,0.0,1.6307658995295147,2.045885851011513,2.332479723516772,3.351506371610974,3.4941877079802968,3.7058365644246116,4.57785472811488,5.589645468347339,5.839507718783666,5.284933413721779,6.650805169427356,7.5438094999570975,6.526891315153763,5.350674102768135,4.6747274272838615,7.607294894532619,8.562764550925218,6.598503434605927,6.955227598553001,7.616514476774251,8.588704443728256,2.6369424324863284,2.9262556407319846,3.5680725798377915,3.9894464191841004,4.690262389719739,4.81523768848721,4.905090005588554,5.965780628605493,6.235044278507965,7.0426703199032,7.814160619296367
3H,0.0,0.0,0.0,2.0549100980924475,2.9289536714181663,2.742943889482137,2.950067523220524,2.6177784076047503,4.173517732595449,5.026515392112854,5.063960362761005,5.219070766839792,6.278091867350592,7.123559511785372,6.404141093376884,5.578972510755518,5.009982719124093,7.646193310602251,8.554915370577604,6.943453208682874,7.45091148611947,7.857706023723511,8.902568262538573,2.672598992426445,3.4960330158859847,2.9974739725682817,3.0709421342769483,4.2539240634861315,4.367872159739987,4.81384943850532,5.270498884267438,5.332491130002057,6.442573582000549,7.097746902073505
4C,0.0,0.0,0.0,0.0,1.0943671778061659,1.5434670909090689,2.126115188714511,2.182896273031301,2.5615304871006344,3.560798857093133,3.9192825292781506,3.4019202289640833,4.609364607105303,5.509123528080572,4.564532485810274,3.812290973876299,3.4459109070318235,5.741562908411201,6.654870316857467,5.1324912924670905,5.735163708838924,5.955040650220916,6.992197150862001,1.5398350533890746,2.4159364297631862,2.4840212100337244,2.650041585445904,3.833654126996817,4.402242988187473,4.053669362268774,4.816440856658612,4.838463787114351,6.040568139549356,6.680905007990831
5H,0.0,0.0,0.0,0.0,0.0,2.156465094659763,2.4876266603769763,3.07243256568227,2.750679510979919,3.8748285368213016,4.456959892394411,3.1096760134105117,4.6561224543513005,5.5906381200783075,4.318588569236133,3.201518482717691,2.7819321996929265,5.312294931856862,6.274252322899314,4.417043270981445,4.920208093987481,5.329273249324356,6.309345436438223,2.1018939781240915,2.511534416726724,3.309299543727296,3.5834367815991666,4.516108725655145,5.135315771489291,4.494124637686466,5.5433761041062635,5.616684247427211,6.705308844113705,7.3672631343080734
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0968885411867828,1.100445497282065,1.503822333262724,2.583156956391344,3.00752324216623,2.628607864700256,3.721054749851118,4.642357682989612,3.7693051135204967,3.313376455019653,3.1326701624586373,5.04765817973351,5.941110530410622,4.684161587383728,5.416529917588763,5.396127368572229,6.4751308493141595,2.61675583098851,3.6985254802542626,2.9653165129167007,2.5725788514390016,4.356159024088048,5.070679091533192,4.753512147456326,4.899999966019208,4.53466613615116,6.226147707984884,6.6720200844938535
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7447207058220866,2.1460835002228533,3.36676116024774,3.894385813092661,2.8486284607955703,4.345332909087273,5.3036618263951425,4.141606894286508,3.1388826367609144,2.7039340417174,5.282294026910043,6.250906317570948,4.504300567639896,5.088351307130612,5.406068088651389,6.447617972755094,3.5066968032936017,4.501692023980825,3.9738360881992154,3.5793093802471097,5.3955345675331685,6.038168584430338,5.79727941249198,5.965147557454598,5.555045817356463,7.29803619399723,7.731512662353503
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1506974483194883,2.758733915898067,2.7925465312447044,3.4866015708798908,4.074691166045244,4.874266379207156,4.429820476351393,4.320606222488719,4.176180317596007,5.779526669561711,6.581065540640844,5.668134787305214,6.436111494580843,6.278669801143028,7.363064309978793,2.892200101823147,4.100923914183406,2.742214406159838,2.0627115029872742,4.094155643446434,4.719100508224437,4.7241129412408425,4.454973712075503,3.9659741834309648,5.799748372127666,6.176001790658592
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3744128560935154,2.2288505126462486,1.4451241162185002,2.2581055318834498,3.223608919544102,2.309860437039849,2.6247241507652683,2.9641748856662757,3.650991687476375,4.4799969291076795,3.8219843491388374,4.747786892792498,4.218179441954979,5.3033299465867465,3.1947960762490264,4.107070563878777,3.472683282743357,3.0552525807000652,4.616169578554904,5.5458305526103855,4.826273552320201,4.882865788596242,4.391965453839775,6.145086692008495,6.475037827219923
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082369946395229,2.2568534422797923,1.3829313056609753,2.1285879098480915,2.2547686762704733,3.649632730970086,4.21390162566544,3.6280991722099785,4.169612063680364,4.597553263418652,5.630768234045836,4.588628817652273,5.6170654922421495,3.6899330919688094,4.572038373042319,3.5411107923603886,2.9977727105468404,4.362170193263323,5.383264906827618,4.589526552674056,4.218468495423658,3.549567755427165,5.394158014044854,5.561675790192544
