 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,H30,C31,O32,O33,H34
N1,0.0,1.8242135248295823,2.0507543514383686,2.647189948713672,0.09614918588587784,0.19230998068611815,0.020220640246554678,0.006388474379477094,0.03239529467797206,0.00810299674033163,6.416833281508438e-05,0.0034079368476124805,0.0024280434048150057,0.00011904705294774054,0.0007610769603862699,0.0007002979938936782,0.00016468714221473668,0.00015568514408315082,1.7876287038198768e-05,0.00024047279079217332,3.3516567248259577e-06,0.00013118691671309968,1.7496545698936217e-06,0.2590806970010586,0.058653747653127725,0.03454184392838555,0.0006973216760968182,0.0044626135076176465,0.0014488459205892479,0.0008137174036209061,0.0004778963715593443,5.8424322840505694e-05,0.0001424522066031525,2.328023157149861e-05
H2,0.0,0.0,0.026403833163701096,0.10596472562044568,0.006550588616949904,0.03228685453091784,0.0010544521535427176,0.0003830815026504286,0.004066041638905005,0.00121011361827994,1.7377299568188675e-05,0.00042862465404425176,0.0003221962838151349,3.539600186330816e-05,0.00012025933285197965,4.333984432169924e-05,1.5185818367235981e-05,2.6987722496318867e-05,5.149876939558595e-06,3.7897367509587276e-05,1.690645166085858e-07,1.739054448923749e-05,1.893316274870216e-07,0.0123879160367657,0.010712963611483994,0.0010502010744896095,8.928548913544887e-06,0.0001150163165721807,2.8511171308309713e-06,1.795689359052055e-05,1.4779952028254328e-05,6.603768668456134e-06,1.354839751166459e-06,1.6795249146994706e-07
H3,0.0,0.0,0.0,0.0999361135403134,0.03618291766877113,0.008890987402783268,0.0002960557250923923,0.0043559363545715435,0.0009540021012334199,0.00012666140217765243,6.801509631948477e-06,0.000419091512418146,2.6793604955166472e-05,2.4766080104487997e-06,0.00011677938121290588,0.00015952420274012447,5.1494746400315705e-05,2.9630523278867393e-05,4.062479053601464e-06,3.977604187455075e-05,1.9950474694496734e-07,3.076166790672019e-05,7.046813650379846e-07,0.011323407160241161,0.0007186990030506601,0.010467666080773763,0.0002807733671055246,0.0008482029752630016,0.0002619450277681068,0.00028740658538972674,0.00020094239925794177,9.989825644596273e-06,5.2435206051471006e-05,1.3461314334106689e-05
C4,0.0,0.0,0.0,0.0,2.0602286288903073,2.6624924520621835,0.0979138249253162,0.08080334140003331,0.17791125086999687,0.04865797262122523,0.0002557100375912835,0.019675243677360843,0.013199969144890189,0.00023687310905184944,0.00407977568797363,0.003813036001579284,0.0014390024582184857,0.0007485786308596143,3.81960493593958e-05,0.0018094018604697115,6.390083899132648e-06,0.0009301874788547604,1.5696125346353895e-05,2.5145286062218632,0.28084490428004305,0.2101593825363533,0.00913657607522611,0.03735420162947273,0.0009856258631528725,0.005226167531757753,0.004309137375782035,0.0003438829099322027,0.0013298174674162277,0.00030429189452085836
H5,0.0,0.0,0.0,0.0,0.0,0.0828692692092583,0.004455566325566318,0.034533702703751334,0.008752207438389559,0.0009222491763414276,6.514158889348032e-05,0.0035534910513630447,0.0004152847287131056,9.927055865777135e-06,0.0002391758100444008,0.004346764951385196,0.0019619349857105117,0.00033691819958148184,2.0956009623152028e-06,0.00034890432147427486,8.7870894383002e-07,0.0003829511640009997,1.653048909644461e-05,0.10980331073113003,0.018604624973387884,0.021952349676600647,0.001682474109703458,0.0031612102951441567,3.756048860004135e-05,9.528023791927076e-05,0.0008613481954087288,3.539564672472295e-05,0.00022681096025900516,8.583517784499506e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.890748960388403,2.06695581422351,2.5610753042944445,0.2592906802423977,0.006012733863360209,0.18842719529425095,0.04862857864076145,0.002516700324972976,0.0339387206127478,0.015098561562730622,0.002943113634904293,0.005113369668129697,0.0010819613735741918,0.003848737718941647,0.00014563501782149935,0.0024262288592440118,6.406242654644068e-05,0.1525971216851101,0.03512339289208985,0.029154829886973252,0.028612602559943023,0.004454275146709374,0.0004666553473717805,0.0007382277735686893,0.0004997676763781322,0.00043247338224097764,0.00012472990204207002,1.630205723757161e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023967606374726946,0.1024175851958582,0.03594569942527048,0.00017100055559904348,0.011291056153517331,0.006608474527788566,0.0005478140003252197,0.0018414462780549368,0.0037652813250630413,0.0026846991586289004,0.0005228855870531568,4.185209006268842e-05,0.0009260437817647516,3.50652838387866e-05,0.0007514040607594641,2.151908427427962e-05,0.02952470388994466,0.004497679168685154,0.004013682104582306,0.0011675639098043256,0.0004105350827643406,0.0001086234076832504,0.00022951225726974833,0.00016105036775293513,3.8736764400026935e-05,2.2112117303296763e-05,2.6464659965697024e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10033540267183616,0.013939676795627465,0.0018563836963247926,0.02308767491906294,0.0015821653710799133,8.388528565550502e-05,0.0030084168083948093,0.0013355694892425163,8.73498560112207e-05,0.0007149725307995514,0.0001151184590129084,0.00044014327822994304,1.7838392581515095e-05,0.00018096114417054388,3.323980710900898e-06,0.008449830627864197,0.0007138440409326652,0.009789164200743938,0.025438801757708074,0.0013968611150330101,3.273544930681993e-05,0.00033007082041303093,0.00022078430028105167,0.00013080299897905157,5.616484555170942e-05,2.648706559860159e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2122784331569205,0.11983243023868795,3.2459782998199165,0.49291974196022503,0.02564478383270863,0.3405718208058617,0.23067579245921024,0.008067339355218861,0.039640815580813615,0.003775109881107852,0.07118244240231292,0.0029560677563091886,0.025788320873635667,0.0003630085240589054,0.015030468482278764,0.002288103949563733,0.0063173817716443564,0.003256069982659593,0.0005417484646308146,0.0001583112272756093,7.758448662786854e-05,0.00046079161207993047,0.0014603243238678343,0.00013768577728807962,1.3258051701048323e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.030283218242791,0.39560439433994954,3.266837438322379,0.11029855690116519,0.45515818834376576,0.1110320585044226,0.0007837630670979312,0.07377024215666453,0.0006674304651885787,0.030584333848947765,0.0009628667647081368,0.07716677268069755,0.0008995290649087551,0.00599425128042072,0.0013576845511457103,0.00892198696692112,0.006016003427755323,0.0009256985182610755,0.0004508785692902695,6.766148006187578e-05,0.0028770042520198102,0.012674407623740933,0.0010299197170495489,6.456341471361426e-05
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030390833176968002,0.10132453636525351,0.0049256513026347815,0.027224500112502437,0.003022371888240283,6.316124061611639e-05,0.0026908911745324726,4.578358360274315e-05,0.0009718432436212066,0.0001110379587498933,0.0009062607939247513,0.0001021618478742603,0.00028997736568769916,0.00025986494590557463,0.0029197713003973336,0.0050716088920066404,0.0003649097617293151,0.0002774654776476204,3.438935797972498e-05,0.005298028105020558,0.03488229341101112,0.0019687893876565443,3.512771131486403e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3901006351920107,0.031205513472033264,3.2554595906323027,3.5091079372593414,0.12971662143906326,0.28668400475178923,0.026727966691562965,0.3387055834565585,0.027927026720373282,0.23380776813082296,0.003965899934484707,0.0012188289503397287,0.00020677741305248631,0.0008722197575094931,0.0005241563985342035,0.00011723421507628395,2.3702262657243622e-05,1.3288640932307416e-05,0.0001040218475473198,0.00027267608703451796,2.7437757361636894e-05,3.187553820782618e-06
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9303505233919993,3.2264298132043168,0.04741256146673903,0.0041587215222529395,0.25166779595584277,0.00720841947622719,0.05024824030788472,0.00045159599152633234,0.06592962072129807,0.003013879824170118,0.0010603729040203624,0.00027079116461804775,0.0007231858216989184,0.0006463367432292255,0.00010210867893231668,3.0989996382846385e-05,4.84045750659412e-06,0.0002845719421353532,0.0012098153304037768,9.561393958072706e-05,8.644573310290227e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1171765669256788,0.0035537591385728096,0.0014244972218737662,0.007025622517270347,0.0033851603713865863,0.0005235556612143144,4.0917002210649756e-05,0.0005825492599783599,7.022425039582281e-05,1.542639763008058e-05,4.206018741403916e-06,8.261157663724816e-06,1.33735749523467e-05,1.4015154935487217e-06,2.3004590121722401e-07,5.255025659067769e-08,8.036530079191806e-06,3.206220738427579e-05,3.1626124852301984e-06,1.9383826255214842e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3011224360528031,0.027256401773793737,3.6774938198460063,0.13194201061859245,0.23086226317312109,0.004029642507733966,0.3567169962392498,0.028306707717228763,0.0007157848442860271,7.213876182891876e-05,0.0007280924825834173,0.000709828756730313,8.022974606347599e-05,1.8004602771570788e-05,8.343633465579536e-06,0.0001270462419382945,0.00031426767827465174,2.8689357145561534e-05,5.464709858293837e-06
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8761404682567393,0.30964340824999204,0.003624544384510875,4.04946140370955,0.13084459306598184,0.32099222343363465,0.025927545162887755,0.0006643747972621683,5.8135281950824624e-05,0.0004635797149199483,0.00026633332925607434,7.85853072627074e-05,1.1166424766617666e-05,4.9510605060199e-06,3.685798566196996e-05,6.845001425505315e-05,9.105149647276045e-06,2.2199462851313356e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035563337795001537,0.0007823526005208414,0.12807465629653514,0.008469738036934737,0.027342548974290448,0.001123514745688281,0.0001101086010732999,1.7098628547040917e-05,7.57736944648757e-05,9.431450505026362e-06,2.828992953896048e-05,5.853082059026349e-07,4.276558449589629e-07,2.926562157057333e-06,6.575443998180219e-07,1.3336626443205546e-06,4.16762116817182e-07
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8722558107757539,0.318514732309901,0.026250052160496917,3.8348107711417394,0.13147559260373076,0.00012904669642688216,2.0783352522507625e-05,9.255959014312087e-05,8.890832268337867e-05,2.0441323840797443e-05,3.0945245053093373e-06,1.4481266412680327e-06,2.2255513805219396e-05,6.19599764433848e-05,5.603862214750843e-06,1.0105328737131103e-06
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02730958294245789,0.0010558239170255224,0.12448550114531365,0.008400753678742712,1.633018073432524e-06,1.525048112238636e-07,2.496589194711518e-06,1.4698332264639902e-06,5.581874691351629e-07,7.833491855180341e-09,1.4460575270547338e-07,1.2231096557790977e-07,4.983495924815173e-07,5.3542189792921135e-08,4.299536726648512e-09
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0547270531655313,3.600029805599351,0.12414220073200277,0.00019500722927753844,2.7815101080505555e-05,8.032325614176772e-05,3.4620867715551285e-05,1.8604209030742558e-05,1.8456064930783e-06,4.479206415775039e-07,1.35702155668882e-05,1.6973474133291644e-05,2.7514620389440525e-06,5.016127591073172e-07
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12517252515642863,0.008119766833265096,5.091908210630436e-07,1.0938436767471416e-07,1.0061467897726217e-06,2.3305560037378825e-07,1.9824136043844476e-07,5.231340249878258e-09,9.124046185249313e-09,7.730830176022607e-07,1.7899129240994682e-06,1.976210075582685e-07,1.6340131248071543e-08
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.082935950088472,0.0002519170535452142,1.6354138222790526e-05,0.00029706348444064057,0.00022024892044258948,3.270961588339172e-05,7.504209075692714e-06,3.0545816893656763e-06,3.069283996143257e-05,4.229480395721852e-05,5.252304399031016e-06,1.8905867785745656e-06
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.472335589143171e-06,5.847669299896552e-07,3.4681802707492437e-06,6.1246465139497275e-06,5.857092191252633e-07,9.800464728648706e-08,1.3285459399270394e-09,7.647000863642006e-07,2.579055276008546e-06,2.4774865070575913e-07,2.9906944698510074e-08
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82715611916388,3.3740776885901766,0.12571419636822811,0.2715124082639534,0.02278100725853749,0.030365938808012194,0.03008595660425878,0.005376355399555388,0.006020213661018209,0.0012473723864983022
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5324980925494354,0.026825109615953413,0.08235937202984381,0.008371284171565962,0.05083877598836539,0.01094410148859451,0.004521409967983163,0.0014572809678421589,0.00020914080188316753
