 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,O19,H20,C21,H22,H23,H24,C25,O26,O27,H28
N1,0.0,1.924188883383854,1.6630905067579231,3.031318609195102,0.09457804179998075,0.20139282085503635,0.01058002542052705,0.03078668157815434,0.029580762380231287,0.0016205007166806285,0.179258450179174,0.03637471333203865,0.07510293729396224,0.11692743254063354,0.009611410870556197,0.001994571800629008,0.0007799168268616263,0.00012898105604608467,0.0006773639727508246,1.6514800998179702e-05,0.0004131840294193806,0.0006206928717342741,1.891156391053972e-05,1.3468380279046954e-05,0.0009228753492948327,0.00024030339043064342,0.00019870718690778028,2.669988031667181e-05
H2,0.0,0.0,0.028400462420538508,0.09822693859456733,0.03689878488431342,0.013750016316706914,0.007376174665508328,0.0007346686013127712,0.0009529582626367494,0.0001556961731041806,0.006757826054713201,0.0011068586637816846,0.005806076679189309,0.0031147389932113523,0.000467518155299107,2.326807600572245e-05,0.0002609520550495015,0.00011193013902799365,8.436545470402734e-05,2.3449030484012923e-06,0.0006861572650093128,0.0010537765453162429,7.973227178070807e-05,5.496295801887818e-05,0.0002162368840626927,5.754189130480203e-05,5.613694277861736e-05,9.334439877717315e-06
H3,0.0,0.0,0.0,0.11066576448311571,0.007700935347411564,0.007952581763759459,0.000368890252788745,0.0008960563364026619,0.035212850724846145,0.00015562411094438566,0.030236805981896375,0.005228106527079057,0.005888761855778357,0.0012857104272907538,0.0006157547630354365,0.00043877944081338605,0.00013952500385205902,1.3772918099563825e-05,4.3197461061961206e-05,1.775178488205853e-06,2.3418981782485915e-05,3.869504414688585e-05,9.013549626679662e-07,1.842519896877448e-06,9.719150905951324e-05,2.5184248950926857e-05,2.985346473172168e-05,7.733246048635678e-06
C4,0.0,0.0,0.0,0.0,2.0076804694326604,2.4295727883210922,0.0847562589880273,0.09455476992189649,0.21539072618838206,0.00948852124160171,2.434240249499329,0.2807793485558459,0.2284307661552106,0.019521154404498864,0.03711785493275105,0.006067059947394093,0.003916359335683239,0.0011312381376176184,0.000513130662986222,6.578653533051426e-05,0.0003591972056503079,0.0003274184905139865,1.7400795625954757e-05,1.910789181636119e-05,0.004323228302266446,0.001640371181754488,0.0006564775282412449,4.184712682553382e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08643446504385088,0.03496817033835131,0.004811176238115111,0.010731011852019967,0.005240679016751404,0.10588186985794223,0.026295507395177053,0.017045010116655157,0.0002715385813176763,0.0015672969133115888,5.9920838175075986e-05,0.0003833263307215784,2.7280779791638565e-05,4.1756030483286466e-05,2.572372540310397e-06,0.0001333925168660599,0.00024142179312924839,1.8131740708859923e-07,1.890276035254601e-06,0.0008587333968119726,0.0002231392117956199,0.00017150575569380155,2.0341952141400554e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.070217223897893,2.0518212616331666,2.7667540686947185,0.10578606136631963,0.179847606281999,0.05642819806896937,0.02574298103799416,0.00484675870772211,0.004942766320507719,0.00032969906724045206,0.001186483701071106,0.00024338018078018386,0.0001284770845538935,2.5981962527010793e-06,0.00011632475894760019,0.00011776613253400292,7.008263986696406e-06,3.14803064282998e-06,0.0005180363060033888,0.00017424348839578663,6.23729820158625e-05,1.1886691695717211e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028114881896264654,0.09894644886911508,0.03379620647649695,0.006835549265374441,0.001996058548421553,0.0004855047501726162,5.161868496283972e-05,7.71021182268683e-05,1.3842176099121417e-05,1.3897272089335999e-05,4.472902835450654e-06,5.105950602324327e-06,2.5858214525165124e-07,3.0727198929714206e-05,7.683146168346866e-05,2.710798738148057e-06,1.7214934611153865e-07,3.8091495425218724e-05,1.1953090228833396e-05,8.35301306900682e-06,1.1484941351280753e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10026965152666256,0.011221932397400325,0.009394754212137757,0.023014581624801855,0.001848026027067462,4.176998113436525e-05,0.00018279838320323094,4.234501313526984e-05,1.4795978716231062e-05,4.050021993329267e-07,1.5722672382700864e-05,1.3116956016911985e-06,1.6936412561285863e-06,3.402243589079035e-06,9.77718261907512e-09,9.749361451483196e-08,2.0619029032831193e-05,7.968937406288568e-06,2.2429868206108594e-06,3.1226872199141553e-07
O9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6886808364431098,0.034972078052999095,0.006908609330908852,0.007359911045003539,0.0007580514946075034,0.0018756992453641541,8.737044287887574e-05,0.00028109344657263613,7.849144647975592e-05,2.087147262663791e-05,8.585498584290363e-07,3.108689623813887e-05,3.197303258262174e-05,9.931884809022407e-07,8.104673394626616e-07,0.00017574598770908612,8.057891826249164e-05,2.210183018418882e-05,1.8703464307323614e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010318925734188467,0.00027951835184281126,0.00043220928765763666,2.71909419005123e-05,9.223265659574764e-05,1.3672672876108294e-06,5.212810163746084e-06,2.3058199563052995e-06,7.313941324804674e-07,1.2364547918863877e-07,2.9367699682092407e-06,3.798785063846566e-06,1.4029632011691717e-07,2.293657863638998e-08,2.2857550409427496e-05,9.853513366020472e-06,4.853586781372599e-06,7.488115907339221e-07
