,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19O,20H,21C,22H,23H,24H,25C,26O,27O,28H
1N,0.0,1.0218670199318645,1.0193774153339448,1.46791991217874,2.0702756616625178,2.5254567218223145,2.7931724492518075,3.4584068936315155,2.9308471442251838,3.413998020931774,2.4859850519732785,3.6133051725720193,2.6776049707997487,2.1875936859662373,4.096455967885997,4.61406560418897,4.656578989091727,5.732445768143498,4.447044084346612,4.844509775346554,4.7003180139151715,3.8225572967397703,5.443365909178494,5.263761833296196,4.911107451745812,5.432877191770653,5.439038274683318,6.085316607420488
2H,0.0,0.0,1.6213556421559014,2.0448367020515206,2.9226634041882162,2.684622806705858,2.530389598146627,3.685208172447708,3.1490538038724574,3.8539706580983126,2.790786793228614,3.827692797797911,2.912267975492525,2.451061098485147,4.19712929733441,4.670270523113496,4.475728686620072,5.576069577806098,4.298570995472101,4.880067650720995,4.214837547832777,3.2179152993505866,4.860423081864564,4.791706590749836,5.246364305090579,5.768710281456638,5.9067613268970485,6.627398769889352
3H,0.0,0.0,0.0,2.03020537471887,2.317404597121605,2.7220419597005407,3.10577611365579,3.7127595881338316,2.593602863887737,3.0058010806799365,3.3548864796411086,4.405336840034629,3.6607322581387374,3.1302481633415544,5.091506520928967,5.6031430896590875,5.650824537609883,6.728347652256771,5.340394229686573,5.701856224916483,5.669239334377127,4.747197089425605,6.360339367306791,6.24067826697927,5.813237746074001,6.278620632118644,6.276244824222938,6.861611465140728
4C,0.0,0.0,0.0,0.0,1.1016543623121056,1.5386086947975526,2.1675824740712493,2.177199597483968,2.443068053964258,2.7556963308469786,1.5378482688735131,2.4213162853515326,2.4357463452606276,2.517599951074579,3.820557171266183,4.030886869069882,4.76542390032242,5.7563299540760156,4.953568713559865,5.29504690290674,4.83293937794119,4.068807427547188,5.7647618035214725,5.118051809505156,4.642492010171019,5.438063048330042,4.842669216868159,5.566382109391483
5H,0.0,0.0,0.0,0.0,0.0,2.147476083482734,3.058935323046746,2.5015310021269923,2.692917928347048,2.61263406307611,2.1189600325300515,2.855733991692315,2.9315938420980894,2.989348707740413,4.267127736655294,4.504346442042467,5.393074267006426,6.322585044283753,5.510815291764503,5.678359324388832,5.694234327061793,5.020948969192058,6.646293489270087,5.98641732956307,4.757493133773066,5.511225026102634,4.749943805296188,5.340993475834607
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.096538536826738,1.096021441263256,1.4262988680566948,1.9546180831545121,2.5305034829052353,2.8387575939219314,3.695273353365789,3.903067431426583,4.938151261072132,4.890087267630098,5.807774122822257,6.7801697279130275,6.160113316751959,6.625967583627798,5.5373978393822005,4.685946792761536,6.448452947707457,5.621536304154864,5.931653092004708,6.830989225553465,6.020795178539271,6.809597847728598
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7688006972948727,2.024011391266236,2.8126722248087006,2.8162517552265935,3.069361905334179,3.838985070457319,4.045847927494273,4.96261817204733,4.869936617002931,5.591521677366949,6.567129182792249,6.002218254101063,6.606868548224286,5.044715757418414,4.131712164804436,5.876893655419435,5.080616666516359,6.166509375635011,7.060133833259759,6.406636045915577,7.264856181269213
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.103647720932513,2.2638568866118227,2.7149991575028314,2.552805902142086,4.04819797913888,4.478688154130034,5.122575170070379,4.865638649136303,6.159996844831629,7.034585316152771,6.702501203417797,7.114261566610597,5.936008017199646,5.2134959865901935,6.918714249864971,5.841819296729318,6.0464965905343675,7.0616307454263545,5.911920642451707,6.709033251639302
9O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.969977423089398,3.7930247993806843,4.219673465630573,4.828846902352371,4.815362619408705,6.176820411364951,6.241808107579419,6.985159908833616,8.007206511744721,7.139643240833133,7.589539325661889,6.711403198557417,5.7708452888539234,7.542122964081527,6.897586914010909,7.077660414381785,7.874852651211177,7.180224952665511,7.890708288635791
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09856455883644,4.449794228604696,5.183004302544491,5.206003684145837,6.5296731768434775,6.578340784887608,7.490337506359343,8.481987052131089,7.647202418924637,7.998257861111413,7.366421239575762,6.483393263504844,8.25001403345972,7.5357039513600235,7.26662527779301,8.071101820143268,7.219411952905391,7.860337730990275
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.226923937241468,1.3635457247398137,2.045696603593213,2.472726219458021,2.513990352019603,3.610933246649793,4.488148455901997,4.140968115197384,4.456056003114808,3.8123250431744258,3.3170172427268763,4.854038307226868,3.9489313580337586,3.4251473138145134,4.398094830082133,3.6081735853549133,4.456597345863691
