 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,O21,N22,H23,H24,C25,O26,O27,H28
N1,0.0,1.9465912257756943,1.8324977450788682,2.673673162450951,0.09582117719231997,0.19174549654499545,0.029153067538682187,0.014225316409600675,0.0301169635849088,0.0024303175951359,0.2499457090849048,0.051258723688234115,0.03694070356481874,0.0006250755191292701,0.005231771402845295,0.00036372948354157497,0.0013114629045202636,0.00047781003537739064,6.94984281305322e-05,6.400941234030455e-05,4.467702742351476e-05,0.00016247456132632843,0.0003334235835258381,1.0649220966385542e-05,0.0008277311057412473,4.765034428269588e-05,0.00030631206461833455,0.00010326285206596619
H2,0.0,0.0,0.027551230402094617,0.10663216004481457,0.004946006100864819,0.03406228766181474,0.001840929217677978,0.0007046854632648536,0.0024311080235617233,1.5809275984768334e-05,0.01450259354476191,0.016385750906882213,0.00174984240808429,3.073548261456338e-05,0.00012857249683551064,2.757186030843961e-05,3.6815883992402654e-05,1.243273584949911e-05,8.08170046395773e-06,8.6755659181037e-06,7.668152042894505e-06,7.15925808040252e-05,4.290485299862645e-05,7.224667932126394e-06,1.1393238053436505e-05,1.2182598479792972e-05,3.823032898697676e-06,9.016910231807174e-07
H3,0.0,0.0,0.0,0.10248353477217298,0.03529505643346975,0.011533481892710529,0.0013263338068245645,0.00045302598706675745,0.030406499011757182,0.0008154516679332868,0.008043643325956529,0.0006159288523978068,0.0034040602986250557,0.0002108275008583238,0.0002726355115152401,4.564925105210449e-05,0.0001748930735991916,1.568583479882868e-05,1.1643806402172885e-05,1.8991985783589627e-05,1.8283064629365242e-05,6.837155453354171e-06,1.4229563828571656e-05,6.60682594633144e-07,2.743768988577866e-05,3.2665136443510434e-06,8.606455043191907e-06,2.3403972939650686e-06
C4,0.0,0.0,0.0,0.0,1.8117556093383111,2.8040962775899367,0.09381104312959887,0.10100796245941379,0.18282584505790184,0.031434915138946695,2.594642072470573,0.27732454977173826,0.2141815537823444,0.009339915324705461,0.035914904025203365,0.0017736156411354287,0.0028907573112485208,0.0005565864162004885,0.0003964525310615752,0.0004895181842752838,0.00018727324699843728,0.003201467649647863,0.007518436070468648,0.00018545361506960845,0.004107514515812705,0.00024964896607763964,0.0012637168542981442,0.00027933473865826564
H5,0.0,0.0,0.0,0.0,0.0,0.1080519875944913,0.0038359682329063283,0.0044226930319937185,0.026538993780757414,0.001739714969402506,0.10733570275670101,0.01819752568936217,0.021907023935090142,0.0012571341619063148,0.002798488578460212,0.00019047188927134862,0.0006155936512582949,7.028753325166726e-05,4.153269800233339e-05,7.439283909826955e-05,7.526258109069595e-05,5.447959679183434e-05,6.04931796694963e-05,6.9704661880276575e-06,0.0004011261040248737,2.284605145763674e-05,0.0001094644982745363,3.308372900123757e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7066988433610442,2.041561496770538,2.836854277586028,0.1079433148429364,0.15343173095651255,0.03405114638170825,0.025309371520143564,0.015513137165788282,0.002996185605753987,0.0010337267796857175,0.00030170585969158115,6.948847943200054e-05,2.3769385736560622e-05,7.738530945600175e-05,3.4535702213692177e-05,0.0006368791126225709,0.0008794468563162461,4.08459074291434e-05,0.00037408311646314196,0.00036499878818226084,0.00010846749127906008,2.0428529730387446e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025129787561580574,0.10520957303321743,0.006957590551701198,0.006669947905984852,0.0011899075896338873,0.003708217574306394,0.0009048862312657224,0.00028870689707383157,0.00020354782907228142,8.64929503232581e-05,4.700052039718905e-05,3.392343878250159e-06,7.025709112706835e-06,5.935096743847623e-06,1.802509049597667e-05,1.7349517884790444e-05,1.2564674454207392e-06,1.5682912583914188e-05,1.0246037347338977e-05,8.708200385121323e-06,1.510070131161001e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10383684061506948,0.007689949392841511,0.028333993824244175,0.004266032549585574,0.003692702720774599,0.004134462106389014,0.0004043761769680909,0.00016793283763827382,0.0001302733284320734,1.2405062317810689e-05,1.6709810894965926e-05,3.0542784219989016e-05,6.231175824211732e-06,0.00013967038282503008,0.000300287037018121,8.1262265581028e-06,3.5170808135198683e-05,0.00012928514913257416,7.68712612864153e-06,1.4869548106144492e-06
O9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8037625080151292,0.01264910087811641,0.0030855612751796435,0.06276714152722294,0.15927399687937538,0.007176737686189483,0.000590274842109384,0.000994355656426943,0.00011598583201044566,3.2502145825064055e-05,0.00023822730005695902,0.00010056988718183668,8.998842771998361e-05,4.800016519945771e-05,3.301267982092071e-06,0.001116675879744733,0.0015963709780967839,0.0002078667857507016,8.433010072472769e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012512234989371374,0.000281011278422838,0.0024512753176249014,0.0015290731572175087,0.0004372337847916574,3.256381382987783e-05,0.00012519640309183178,8.248277703071238e-06,5.607388015027581e-06,2.9170623108254468e-05,1.6447994792057052e-05,7.179258976752756e-06,5.685627402440829e-06,5.191349163879977e-07,9.052307926016301e-05,0.00015929154601668216,2.3817247777557782e-05,2.4878290787455626e-06
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5548154118968265,3.426108840710399,0.13800771646112397,0.2748413244228567,0.02474428440302434,0.03549590781418918,0.007461372017005807,0.001645254136311669,0.003092366947063413,0.001718936417129141,0.008678518121712997,0.020304175755684883,0.0006124191633871678,0.028266968285263788,0.006337111429576145,0.005787230227695991,0.0012848374661517115
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5438318459265657,0.02390596595286698,0.06379185604216833,0.02320710034458906,0.01871990438510708,0.0030808576364950158,0.0014599223270933548,0.00759883465181263,0.0026913624394482583,0.064847148654836,0.192224004384134,0.0022733210223108147,0.007035367240009527,0.003879928100311389,0.0010029762243160129,0.00022715986552601652
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7457467506504052,2.7827885815321087,0.1007561417883247,0.17623700991066055,0.020662654599987507,0.005815166914968084,0.01781703153646963,0.006301592737607817,0.0035808394587181214,0.001207824122939849,0.00024252561605486722,0.19082891262985302,0.05314399409531842,0.026947879626248082,0.005353832472343556
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09562683275945405,0.012788367119179966,0.008418620172127134,0.0006869555393766991,0.00013011162673315368,0.0014828964734229233,0.00039774939703784984,0.0005596861495550387,0.00014868466103257205,2.0508754409842567e-05,0.03117921885613295,0.0707149839558715,0.0052104257702154655,0.00014686996557400356
