,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21O,22N,23H,24H,25C,26O,27O,28H
1N,0.0,1.0189371330149244,1.0191697369416188,1.4679376687768,2.0792139131519534,2.443644151948973,3.3995081649803915,2.6434765247392122,2.8435563929574768,3.7019068355328435,2.4940127134164065,3.0990589512484226,3.3599803006846116,3.407170662873397,4.602648489555347,4.595769051593832,5.661003683238706,5.359363357629779,6.507642127530963,6.460351712821817,7.677054876732201,5.938042019354619,4.986136625968172,6.701882180973582,5.446387854673787,5.426061155333081,6.588243599918474,7.190376102157001
2H,0.0,0.0,1.6426852705188417,2.0427822440319443,2.391255250533333,3.331542302023546,4.176883712889232,3.5853714019643186,3.751894569373683,4.654860463437029,2.6105633063307243,2.800707672241761,3.6388335765287594,3.923257668474702,4.6736444645596045,4.443474952748867,5.691905791122793,5.451388637287215,6.634339708280622,6.260045569032777,7.478593884486575,5.54601609093209,4.569724583541789,6.204927783338902,5.656790404644896,5.829284159405132,6.6692558214813955,7.347363137107644
3H,0.0,0.0,0.0,2.0424973573456593,2.927842339890101,2.6466004979889903,3.664235559324467,2.9605955909553074,2.4901322920076265,3.341595473423575,2.7537839414005503,3.5189707521270295,3.236191439271806,3.091039858583259,4.411384485517252,4.399028431335728,5.673096301916268,5.534656355726766,6.437421919399447,6.549613322552444,7.738671076552525,6.130957072859634,5.254506651031645,6.937134901084136,5.00304319877836,4.861393900545499,6.13580546988368,6.642130502871938
4C,0.0,0.0,0.0,0.0,1.0963410400663913,1.5263437066992511,2.1659087607635876,2.1386040550568604,2.397710833131695,3.247862776127017,1.5433108632762766,2.402411813321001,2.4853512131554125,2.6252699651717637,3.8469346251750056,4.108019910849761,4.63857990817832,4.153873444415499,5.444625678295072,5.5733746492113205,6.768059740850159,5.231710930596354,4.317435631548869,6.07355337696536,4.828433636228355,4.856073448743356,6.03584319142758,6.685089339279798
5H,0.0,0.0,0.0,0.0,0.0,2.1270871802118463,2.4587133251274755,2.4209135552589602,3.329036544196254,4.06679951453018,2.1077571500729535,2.526038099154366,3.2608899062010845,3.551532240063705,4.5136535920184935,4.7454132040813235,5.020353010524024,4.356999032915876,5.874379058366487,5.810734094892603,6.989986039793423,5.363804475411476,4.414170755013322,6.1165857224709725,5.659021169578152,5.785079742507286,6.817134964814637,7.52973702131731
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.1003441889535437,1.0977650543184438,1.431977023529771,1.9736805954517116,2.5991849520242702,3.698777113175026,2.904424967878482,2.5304634040234943,4.348216380826246,4.9017339791913095,5.106660582826166,4.573798148688307,5.672944220229603,6.32010632782536,7.43727947087087,6.263886010395564,5.457223239219069,7.1840287163404195,4.982710639981715,4.669498525097002,6.304909485486414,6.7935264631501875
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7884557063229924,2.0946721869436122,2.3652131972420944,2.8346884332577393,3.8696099396995693,2.9841251960529753,2.675921755064625,4.313104342931541,5.0367940582450155,4.760721149865445,4.081284815778981,5.217550912027572,6.04123208609583,7.081172300741767,6.14784315407371,5.42932780983381,7.078150602872523,4.969452251627202,4.690703025831767,6.271210292998822,6.766463447914359
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.088610848231208,2.341904577183253,3.513980057245839,4.4961740736753395,3.975959434320344,3.589376839064831,5.4265840511187315,5.922536697518052,6.175057461114484,5.588333686347075,6.7515361538644525,7.348078815905206,8.477506671369841,7.21178187875103,6.353144264250747,8.094840765193736,6.048698205832321,5.671505970153015,7.374597063075637,7.838290881514128
9O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9689814320244916,3.02822676875509,4.249478541781735,2.78307539719096,2.0005557612842964,4.106578722041141,4.682738661449634,5.1547976256077845,4.891535089820408,5.5822482468064845,6.46739922377233,7.538111270747182,6.542771174370918,5.831348787290108,7.509242254577218,4.322360644423992,3.7479156049953293,5.6536086116179955,5.9824176843557
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.919001291377366,5.1499647181217085,3.5537882806495196,2.66546335879169,4.795656408287981,5.473291489060566,5.755850824736356,5.470083117210646,6.041201043070911,7.153829352807657,8.164973933255803,7.347148314125214,6.6817324663280315,8.331127296466809,4.812752573547967,4.048412519614251,6.135548941763658,6.347081961575213
