,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29C,30C,31H,32C,33H,34C,35H,36C,37H,38C,39O,40H,41C,42O,43O,44H
1N,0.0,1.0185105009023738,1.0191100075761708,1.4707671099139652,2.1659522241309803,2.44756496990915,2.593163699053934,2.6721645527121267,3.8346770791794236,4.578019757250922,4.356937918442242,4.780214745756934,4.726869063066321,5.924169280795154,6.635391130050988,6.084467814035435,6.883355475962534,6.5726113915775235,7.645880434436876,2.4603622895261172,3.562073750003907,2.685061546406091,2.168418725348036,4.036672296614161,4.50471865765277,5.1122134365250345,5.05539121545996,6.0385171496495165,5.548906336457344,5.8119746850378355,5.665690735905036,6.209094637270864,6.373526851324822,6.65570203940078,7.1325866745699456,7.000923481613966,7.685310249491697,7.2025800243833,8.21725142011726,8.649152565991802,4.400380581251489,3.9670355648149354,5.717796065813473,6.097037878407611
2H,0.0,0.0,1.637513896215836,2.0586513459539706,2.5366053187174864,2.5712543462064112,2.2678017344318087,2.871762259856613,3.9959144343792583,4.584082692884005,4.199882002143643,5.087579953894051,5.131493409305039,5.975643998503083,6.60933303522603,6.372554090822919,7.234450503181093,6.751254134010335,7.826960109012831,3.352654000069704,4.398508960224708,3.6501464596377327,3.0747710843259273,5.02800322897364,5.508078520743314,6.022894877676246,5.883811453174982,6.9815417784147815,6.379939210731546,6.489777653279766,6.272702169702332,7.06084409477438,7.291110579562833,7.241337226322534,7.602026300498192,7.7543315957228405,8.44144285563179,7.835815274643724,8.760691814799422,9.225893613824013,5.372930022030369,4.84811084567761,6.700103030653812,7.037117869043041
3H,0.0,0.0,0.0,2.062821797919995,2.411613340953835,3.344211081818298,3.4879868348811267,3.6486080528850384,4.613840136382307,5.222802131428412,4.905989642399968,5.572461951493674,5.547287677642387,6.53647152728056,7.171613138149425,6.822668054405968,7.626872351129614,7.241801906901921,8.290916556958589,2.747862319203612,3.717187329136244,2.9450352392234525,2.461590874332005,4.094471660652251,4.487165175381726,5.3643097231820205,5.369498020002488,6.1725645249008325,5.9924039668869415,6.441880940391958,6.329073940980714,6.591102946231321,6.5974243278497395,7.370024357426132,7.931177225754197,7.495010118389498,8.12363189844607,7.849534708546948,8.919911807065269,9.292980616668729,4.1628979205789385,3.59851967402782,5.418614164426921,5.684274519442179
4C,0.0,0.0,0.0,0.0,1.1002874993068,1.550711433931338,2.1441212837828965,2.159227676208558,2.5917104725210485,3.3285943744127637,3.2893966808578186,3.5495234208178754,3.674894226023275,4.601035683409914,5.356156124929184,4.7665064191695965,5.603457196136705,5.200747770605427,6.257565230109499,1.5400884019877186,2.4232181160379564,2.441703460094806,2.492846820651565,3.801465268083357,3.985317152608623,4.84939757015161,5.050564108054232,5.801069982653193,4.949904740400131,5.263394164951234,5.374166568952427,5.341728585465543,5.506476797972288,5.903863175707186,6.450776679628814,5.966738751138746,6.5414185953094846,6.22471501883562,7.153100508076275,7.490749604399935,4.591457276113308,4.536233630016619,5.806976086173407,6.3742270737843585
5H,0.0,0.0,0.0,0.0,0.0,2.166248126896524,2.5242671122665916,3.058444805870792,2.7669329995964804,3.0270273920764965,2.763506242569748,3.8900980829368073,4.272492448394318,4.244977552700984,4.829306567825156,4.902567195415593,5.831915061183349,5.051326123694268,6.05573627043651,2.112484186046795,2.524243342326834,3.2796498220975945,3.4448154110298677,4.493753185792416,4.452971512282472,5.666296115747222,5.9906501089388575,6.545916537676944,5.725001552795977,6.138175729208058,6.357429818463492,5.901805396889693,5.937642172542368,6.676704561388971,7.256718924488924,6.450522084029218,6.8720695007844705,6.816423949975612,7.659107610656909,7.8843652772466415,5.223250878416454,5.182839908097376,6.347879826195901,6.89457344483697
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.1003817722184,1.0960468609790415,1.5138280934311572,2.535315221229074,2.7362614157452794,2.5335360451946767,2.733417676641064,3.8215732214345417,4.687643228807962,3.8214925523080083,4.681863774737095,4.328478904892817,5.415782940080972,2.556989748008071,3.28401206494184,3.27156473430174,3.2947846880500564,4.635284675619001,4.89061063720561,5.287950592545794,5.3795709476535984,6.339016470636247,5.021745796689028,4.937741671652773,5.00977558730717,5.452507891851747,5.882380085141148,5.298923992554627,5.6313955668001645,5.777775219211089,6.404671755968264,5.702763120566786,6.438918966505502,6.873558146819184,5.654522094781095,5.669429755794866,6.8736173862196965,7.515166654465429
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.761507380078546,2.1424201519937216,2.7194540539644114,2.5753886989211527,3.322007493093537,3.626033030185978,4.067123910642884,4.780143013302078,4.49353013393839,5.4128926096273435,4.794430390781535,5.858830560726051,3.477392902212113,4.239874202655034,4.1483245653799266,3.970517926262363,5.566715968772735,5.877115015654206,6.25845445735635,6.245547231232579,7.318680699865219,6.061184508771239,5.8862612526234885,5.842022557541297,6.545158356643086,6.979129263735057,6.2167999438521555,6.427218299324738,6.841467118329382,7.460813694303675,6.683120568081968,7.334550837701787,7.793997051946812,6.4406223974889425,6.285487984390672,7.713584151126429,8.278974578054495
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1566459084395704,3.413880497635454,3.7586657804733288,2.6445955307003484,2.4122390375321374,4.570615437889353,5.52167017429279,4.027810006333339,4.700858783690609,4.818287285830301,5.88468894087801,2.77202513540355,3.651509875343516,3.028227788446598,2.9387917095671656,4.338178534488834,4.7859341360568335,4.726652950173812,4.655493975640675,5.816185848593286,4.4487216180280855,4.164079565785923,4.080666994323058,5.106506910694507,5.67813606468019,4.60168829278644,4.852965897441176,5.46857797063009,6.241642523666327,5.236719407266539,6.039934059768361,6.600910592754118,5.380554562314309,5.407962039714029,6.608666371653967,7.256434479248263
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4023381796614844,2.1585024383061304,1.3997452492800169,2.1541935256702627,2.4330653476543804,3.4146103060203314,2.432472785099386,3.4100152103988477,2.8147934466684728,3.9021386166716763,3.1464198240787185,3.344987558635345,4.095536866030416,4.422078317938342,5.2493676067202175,5.250583374279402,5.766460339572601,6.053784902329986,6.76432897855572,5.14093896447766,5.029485740336099,5.363105579284176,5.228458303501551,5.684914251027113,5.025075127373492,5.354675963893591,5.217925975394298,5.666074235660243,5.112523060613922,5.609155827941147,5.92087388766988,6.485747965071921,6.725016691966135,7.565222424698484,8.315819835179862
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0888489098996814,2.4080352555849642,3.3951540926094586,1.3950630564156414,2.1532914890425383,2.786011542759472,3.873099607145836,2.4193850142437254,3.404987624000686,4.055237357552787,4.021986246232703,5.206055445612168,5.541246296060602,6.345044495405768,6.200628237400184,7.006109304292244,7.3681971737776255,7.958301703172917,6.38587154170481,6.356697824280384,6.74856272773994,6.288617002628929,6.623436300016357,6.248555620294287,6.562553591895141,6.171042340550126,6.4242690866532115,6.145920156081921,6.4646018550130915,6.631142768471045,7.518136771193385,7.724021786029259,8.566885371415715,9.295507041632543
