,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25C,26H,27H,28C,29H,30H,31H,32C,33H,34H,35H,36C,37O,38O,39H
1N,0.0,1.0206236995820988,1.0217934363893302,1.4655346719601003,2.08347388671916,2.4524313612179593,2.5516632867830578,2.7503980177406806,3.8321005811157605,4.215232536389814,4.1172885940901285,5.282355664503099,5.702523175963207,5.2113948299190245,5.844597665487866,6.731000610913955,2.484596847473089,2.8617574615400554,3.6202446851460204,3.896982160495292,4.8775414518282805,4.927998848241394,6.036602021916472,6.211691328319281,6.06291663155253,5.351129091066001,7.040412727094657,7.382073652850598,8.185373789043975,7.726154269059874,7.506047681756319,6.271187197015299,6.640444787034145,7.157565048147376,5.488931761664701,5.477362499605481,5.585042934482729,6.337799442984987,6.857339807823511
2H,0.0,0.0,1.6206559023498122,2.0432236057077304,2.339972436095152,3.34454366276213,3.49258345586373,3.6874333757138245,4.591931524891878,4.8521889333008215,4.762845967975516,6.168596526985177,6.592518113974697,6.132074883095713,6.633770027115139,7.645055931002349,2.7175591222441398,3.088564788483252,3.6613901412398637,3.980668012795589,4.867492173144596,4.788140263540401,5.909164519538452,6.197305964759367,5.6975727630705295,4.967084572246438,6.670260962207765,7.25834971245292,8.002587070357164,7.737386639185925,7.310723481490009,5.731340654602459,5.976413374977824,6.653879513209674,4.927420328706189,5.714986164749747,5.999228032501619,6.527737883902531,7.162083464934829
3H,0.0,0.0,0.0,2.018581807325251,2.912077824829395,2.7152120088195177,2.9299823258518183,2.588459162759531,4.1721226218735525,4.46706187013064,4.680282057487889,5.459407946526069,5.563854171874856,4.913535337511362,5.706839683248,6.567975330383626,2.569005041809295,2.4825018021609995,3.8820860291561736,4.36128677867652,4.943326563803168,4.850563994019939,6.265822429074447,6.540496877007004,6.43018587667167,5.856553295403718,7.4663348529531115,7.485773590529003,8.37364905704003,7.7669236583244174,7.501854856099417,6.510413948244395,6.970714841029738,7.296140057467816,5.627316789033886,5.378656434808975,5.546440185238786,6.0647398133757,6.534375753124981
4C,0.0,0.0,0.0,0.0,1.0991536894861562,1.546884348349981,2.1447248125179286,2.1539786395520655,2.583107969349745,2.8227892594726516,2.881384430127301,4.248555350326483,4.739398539822113,4.475660640114613,4.736814526687329,5.8095002257279305,1.5400936363099997,2.4177063245520034,2.483182094239585,2.602043973534614,3.837414191555407,4.165369348032792,4.936236214884201,4.952342309413728,5.1660086686261515,4.473943317215044,6.095827755870594,6.316846207911017,7.1054076587051815,6.575364582503688,6.599143445089895,5.677290082245028,6.1779425853168055,6.543256252970624,5.052674926412567,4.349034378069634,4.313438449171404,5.389991757793532,5.876356842456667
5H,0.0,0.0,0.0,0.0,0.0,2.1699797577265474,2.5427274275218728,3.0581408227527573,2.753395489301155,3.02031180513358,2.617578409909884,4.517764311333108,5.323436413245419,5.2387050355935285,5.289404374955639,6.36921132835181,2.1754517713109527,3.276012322084995,2.5674583693431576,2.3111172099554778,4.022355709062749,4.479378603747883,4.813337654908432,4.703720899729484,4.830911820381075,3.9757835715740812,5.649317340252935,6.299639131673549,6.952940238481085,6.646732262775358,6.693300352678437,5.489624202161954,5.861907931243117,6.444912990921142,5.023978783097542,4.739726113677161,4.67675169890007,5.899359780036012,6.440133661554935
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0947369443389887,1.097451895980742,1.533478379263312,2.191807078876673,2.171695145399083,2.837685365361378,3.4301016979318057,3.19387727664576,3.681268458271154,4.4457653715201,2.522733088558087,3.151409314932486,3.392726785109174,3.3661218184351775,4.583415811844666,5.072399192676861,5.718437520900386,5.534429751975585,6.245879859494056,5.619018276389292,7.111656908482592,7.001202918467744,7.826665684977443,7.032882311188638,7.384266619661466,6.9340012932062365,7.531282293757945,7.722976870897418,6.363846538916994,4.607197268159973,4.186594992193188,5.662764506044122,5.906287088636464
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7641233135647394,2.168121791427965,3.08898135509253,2.4778130551249133,3.06447335969273,3.958669732531703,3.681085543091514,4.438199450596321,4.84909603712345,3.4459226658498587,4.046963727156445,4.342281136549692,4.225231468962421,5.6130430130601585,6.0737637861907485,6.693330991964389,6.473962333087999,7.094416169790468,6.366210332047957,7.934052181957075,8.027969704714147,8.817284303746325,8.091389468303012,8.42053278619732,7.765308265910762,8.268051651088854,8.615541978982446,7.1834430553348625,5.699976665173919,5.251266610844541,6.752252216485426,6.983250442562556
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1718823226455815,2.5808906802474447,3.0781723793100095,3.004469740674138,3.005400117910788,2.4668615935603966,3.3016713184441095,4.0096586718808105,2.669914358217688,2.856507077355435,3.732229108422527,3.9513101914573325,4.697599995155847,5.0541658789856765,6.012208757335755,5.939770946553207,6.686266364433059,6.194442031150418,7.614365252092346,7.15002665261337,8.069286188395552,7.093528443188891,7.4262526544434575,7.248432761835766,7.934150692122464,7.94011462308823,6.583847294666233,4.482357144490737,4.091692679414307,5.343846885989063,5.4887485378416265
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0950939861560582,1.0973488644547522,1.8375236755402486,2.8085919391523055,3.0927209079993307,2.911676048099045,3.767222156352786,3.1446438544769135,3.944702143509432,3.455448875745075,3.116201450215033,4.482431076188146,5.245848909875729,5.359027935783391,4.905254113429999,6.076615269622753,5.5074214455122625,6.78664385059267,6.580069508128452,7.319624548667839,6.471311292562779,7.158355451464404,7.052287438100706,7.707966149502494,7.784752866751121,6.688879119416095,4.287696450825579,3.5466383266464714,5.481466356287948,5.611320282959566
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7710003908188583,2.4024975313509587,2.826892308322565,3.2161740191037134,2.5055001445684577,3.816290093470828,2.816692915118738,3.5870447936665686,2.82228497100391,2.5342415429559613,3.6075032941919534,4.455721712877793,4.448626355299185,3.9852649653166363,5.344646849951971,4.928667780252784,6.039150004636325,5.575314055796595,6.3344599718573456,5.404418682765474,6.178597614171923,6.366543602935957,7.115238512699616,7.005405923021118,6.0679489009875045,3.27846364431143,2.485876804772236,4.505852923659479,4.637913858022824
