,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25C,26H,27H,28C,29H,30H,31H,32C,33H,34H,35H,36C,37O,38O,39H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.370502302916858,3.736947883676641,4.124853592389203,3.836797261838406,4.5878821371402125,3.6477404630667083,4.644123078733382,3.7298722540944986,3.1202617630906357,4.866894667171946,5.700547412353542,5.4916420822549,4.9131803541830585,6.021956807865262,5.326150838361662,6.620438598833277,6.80774450187944,7.419042706286755,6.787578811683179,7.478007844363263,7.108630444937131,7.651045435662428,7.916373815226097,6.856780719310312,4.901502017379852,4.198042422755562,6.1840580245005485,6.389150245198773
12S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8304734436693648,2.4570501510034823,2.4393336708195137,2.3888754123706253,4.784095262789548,5.338633073353604,5.147484852322288,4.844286575164444,5.957895791910151,6.732300560370618,6.823608531591983,6.273258831833587,7.724435986551708,7.23642671660726,8.372814936516527,7.860605303527077,8.604886385849916,7.539084224149476,8.47515612143776,8.75002201891127,9.464461608202262,9.40193054954965,8.398090446656848,5.377362359161385,4.378158809595606,6.415837425675147,6.273414790641551
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0941818170085684,1.0943180456564776,1.0937265967584018,4.804359747895864,4.965720909879576,5.260832665037981,5.263760080289074,5.720879959573714,6.358264659396602,6.776059230512948,6.394295528938462,7.908544055811314,7.6365228106370795,8.635061359366393,7.5565876912189704,8.425674645280711,7.078101052706436,8.031280812491083,8.783943145545159,9.639772214226362,9.272407491481292,8.349345782873272,4.765159490133862,3.7764683904193213,5.499033885982058,5.1508296007956
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7889879169961642,1.7775148937641254,4.556762639861134,4.510856770036692,5.26952746000071,5.437723082739635,5.772923361893503,6.2470505466744175,7.00767937749885,6.78178364093639,8.074450363330808,7.791852209400834,8.900355373654229,7.813562796889205,8.75586536068813,7.406122150732486,8.158149312381845,8.78530213571379,9.633428234806127,9.283238095492527,8.225875775097744,4.8867090914012,4.098961641740113,5.5028535159539524,5.202995176012916
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7844210859552438,4.481147264238517,4.628402984568591,4.722710311175511,4.766688566721542,4.956590763089343,5.631697710386969,5.943929044649825,5.57035658406242,7.186487720662268,7.03509000396492,7.878009811582632,6.600828144146301,7.468571629827553,6.056616161042109,7.087819097450446,8.08143846409075,8.991446981644401,8.486340096501959,7.711993466968591,3.854728623146363,2.8086400135019494,4.556620630921708,4.166072994924891
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.893879462082861,6.0118114124643265,6.316000191943112,6.289255996427923,6.69779675207596,7.344235516359483,7.693076150946183,7.26062821009259,8.885790665079908,8.64552388264724,9.567414078085905,8.374236525381304,9.219059374325768,7.800524585857919,8.869256174269385,9.795088543001375,10.670338388838944,10.242383897259929,9.386793499481662,5.631467959956678,4.5897724073153086,6.261052493749427,5.782391672244485
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2275603856402586,1.3717466420650326,2.049508406713369,2.4527800296076148,2.6697638512763198,3.7629769093815373,4.003578738855136,4.191589113951204,3.775110959793229,5.209360398573588,5.00829552528304,5.890013439912718,5.2662457619214535,5.179466265382633,4.593985608495464,5.283707675538424,5.321422639543532,3.92201409016042,3.024858639093845,3.3065469182044946,3.957564558959017,4.549547260053005
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2716598122629166,3.14608740613017,2.768527595620239,2.5871838769952027,4.269960827629405,4.707599068301664,4.804332696748307,4.594169451020877,5.872776423484474,5.254857301421279,6.240507743716703,5.448149909323628,5.204016285302347,4.912558856449077,5.675922592585213,5.47644715987731,4.076445143202313,3.0687903536055794,3.5409180118477415,3.612927937189443,4.1736982537985705
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0121601851343784,1.4554764311874564,2.0729386287794593,2.469690635681985,2.664880004915588,2.9582470748411374,2.614715411323131,3.9204054948179023,3.8392356649658965,4.633397458770034,4.182722982947317,4.175436233899247,3.6562293713101734,4.4100339132461865,4.378881566858826,3.2566695960460295,2.443487623009523,2.842328835381287,3.553293211140055,4.2518265470152246
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1183261151044053,2.9417869558165064,2.6008196743643883,2.4045279345430184,2.9838871948747614,2.4235580628809967,3.7632776537641566,4.079989541419017,4.711592341938098,4.404459046449503,4.630104013570366,4.005872401261264,4.641531018541112,4.79711494688614,3.826568629090936,2.9678551668087088,3.057986131243142,4.220777300675051,4.835262857493413
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0924486275783265,1.553807224406754,2.142112491100309,2.568452853666503,2.805520866459074,3.492661315538641,2.566711519379165,3.5106542957249283,2.878175589112323,2.807925534232241,3.1589089558062273,4.14767920953326,3.5515392713399963,2.88750619258647,1.533414594564001,2.4395374872702065,2.3933571119912265,3.227033013442635
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.186804771772486,3.0588036460560013,2.828777497753042,3.18334261758559,3.8312424344899227,2.854269362374319,3.821985295795464,3.2991313387379826,2.661163174816349,2.8426897157320785,3.8549058433312395,3.1222129670208,2.2992790853940783,2.1304333824633237,3.2344491183619026,2.4347893963025613,3.381944283254002
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1014084316164157,1.5484683848796,2.173892683835617,2.1466792175744374,1.5384177304087037,2.169994847808214,2.196345141267128,2.1964006353324854,2.6124980616923685,3.5439290064798046,2.892871078426097,2.921486342436866,2.5486271033272687,3.259536275485934,3.265149301629879,4.046838833813028
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.148278656714965,2.4388703074829894,2.427952213322471,2.1421338678551827,2.520940454646327,2.4472475415854107,3.071123925890705,3.5188518633869306,4.312201177701228,3.877257853155853,3.88602709481287,2.763209045842041,3.0577487800473726,3.724503982220057,4.328185952090508
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968974611435656,1.098560066179199,2.5549054552949535,2.713118523056495,3.5096380520319945,2.912292112954772,1.5342512981467027,2.170930913162753,2.194816217775832,2.192714594608329,3.9276746136993195,4.655329230395876,4.604958050406821,5.470671886218745
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7540535892814073,3.493535955822484,3.701625753685564,4.330178144502805,3.914534527762292,2.1541528472807476,2.4787831225640655,3.0825292207185306,2.520443579035586,4.219125906819543,4.778688269928568,5.111587792898735,5.949865074553628
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.744496723999589,2.4492082044944805,3.6949508256970156,3.246093579471385,2.1607992449458053,2.4773446397989822,2.5409949883127974,3.0860722190520486,4.689587059354517,5.320722039094067,5.336024480564493,6.143413242550722
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0959255727684591,1.0942998354650757,1.0953009873258788,3.1584308587808603,4.122912709214525,2.8635630298884545,3.607336934120712,2.989185242118661,3.7977523263621946,3.1260181011664168,3.8167306211205525
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7671969943156027,1.7727322771012053,3.372200143229212,4.144252396540036,2.9822655112591283,4.090554067352953,4.017525411918783,4.704842712488238,4.194198265119377,4.824309223609283
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7648078736889812,4.20507791605082,5.196791020638608,3.9121535539116103,4.536188487253963,2.7061836121302147,3.3307030973854532,2.707469647424918,3.1627980177325385
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9533849981979303,3.9528528029797236,2.3851863459203,3.2645228181834067,3.281987061390888,4.3031276909373695,3.047863672149665,3.825215218877153
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0958904948757175,1.0957219056207168,1.096036396588233,4.573223558207419,5.535468151637201,4.925196629097894,5.879972464309808
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7661497363793632,1.7646872819057438,5.610398901402565,6.5204837108553955,6.013923545504494,6.9698165366716385
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7722570414765382,4.759524091061693,5.808918094317769,4.841569576756905,5.774343207234462
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.308951129529938,5.324095650098732,4.6135981600372915,5.587541456064079
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2134130537124053,1.3482816616939532,1.8767354193868897
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2517439076640633,2.287973813937436
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769453459558256
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
