 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,C25,H26,H27,C28,H29,H30,H31,C32,H33,H34,H35,C36,O37,O38,H39
N1,0.0,1.9522856981409813,1.6947912891844803,3.0590411997823197,0.08808164333987611,0.19623979831892788,0.022059553266767007,0.00558278661242162,0.03279482407658914,0.0008868123043499487,0.0008655045370487002,0.0071894585207789435,0.0003731405814910854,0.00015268313201111106,6.06132305058793e-06,7.470395222863857e-05,0.22713542618032162,0.05132705468100909,0.03386270826855066,0.00249423427179285,0.006387499294802729,0.00027816996294971474,0.0012338598072352824,3.944463646265994e-05,9.826036073430633e-05,1.7820004123869637e-05,4.198134210042781e-06,0.0003541284161101138,8.902044705605405e-05,4.503292681645732e-06,1.5659875872708895e-05,1.1545267472379273e-05,2.1379004577770644e-06,6.231022033897915e-07,4.3920537124986225e-06,0.0009411082853667541,0.0001494547828887749,6.897784406770247e-05,5.582528987302382e-06
H2,0.0,0.0,0.02699146152526266,0.10423148106144631,0.006756836403725819,0.03242478973860197,0.0013336073816039296,0.0004201849899740928,0.004534203133403358,8.522870668947746e-05,1.4152547426204976e-05,0.001879882832353963,5.9564047857563196e-05,3.6939941619795746e-05,7.235556862550396e-07,1.262516545219583e-05,0.008500373612407075,0.002441921526352142,0.0005752165155715749,3.606860703486703e-05,0.00016245003343096087,2.903825675693028e-06,1.2820028513327308e-05,6.91926871576598e-07,1.6521035189898114e-06,2.3594886466860032e-07,1.1142821998433305e-07,5.20134194725852e-06,1.2360255006171883e-06,1.1607268879387789e-07,1.6049243356519582e-07,1.1176470027240981e-06,1.0698553776222752e-07,6.810868202755671e-08,2.10661897459552e-06,4.445894827898034e-05,2.6168191225139914e-05,6.619501826121699e-06,2.0491527221722095e-06
H3,0.0,0.0,0.0,0.10700386328792277,0.03658026005338466,0.008888650562571931,0.0002807984275658981,0.004117849015401687,0.001103707645193186,5.1637642764834624e-05,0.00039231921388060975,0.00024390353403791476,4.062041164720753e-05,1.59297221984378e-05,1.285085628799365e-06,1.1804153124517214e-05,0.018207376202669878,0.04430890763081352,0.0033045280676595734,0.0007236767426059831,0.0004053158137505841,2.9463645021321483e-05,7.042242941424082e-05,8.382042749666141e-06,1.1637291774890812e-05,5.467323203278696e-06,2.685461726104066e-06,8.79392354535824e-06,1.8920554964996228e-06,2.7349875586502037e-07,7.448480598970519e-07,1.3031047325640088e-06,1.4762792543976389e-07,6.294549614871414e-08,9.191536369801412e-07,5.97497607820463e-05,1.7873581049321352e-05,1.1055617828437114e-05,6.787709976308065e-07
C4,0.0,0.0,0.0,0.0,1.6602769618925377,2.7275497890915865,0.09162496858837033,0.08306509035680865,0.1548357571114924,0.0070122732133219845,0.006952506688833404,0.045169738711819715,0.002019311534857224,0.0009898494554705373,4.5995365522522036e-05,0.0003905736235227941,2.4063883842245097,0.27496211659930847,0.2224649417260506,0.01633520732782401,0.03606893876737949,0.002732747943190783,0.004173606911838018,0.00012959405853973927,0.0003183316179192902,7.4472519362212e-05,1.118542928035815e-05,0.001506430420680105,0.00023004100686319084,3.5051511068084906e-05,2.798452142838137e-05,4.187660587628983e-05,5.575720640305093e-06,3.890677704454504e-06,1.2694285798753313e-05,0.0044658153474100015,0.0012534166185325102,0.0007565142482955645,8.962311117133304e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07628944436071927,0.0032144698080083245,0.03433683624910899,0.010892717266329122,0.00017955028435978626,0.004281949802545482,0.0015093728475836787,0.0005696877793586186,0.00021798413645535142,8.790238041900267e-06,0.0001126929656558584,0.09068515882687422,0.02257098406590885,0.011870071270739024,0.009615028786376545,0.001816332772928586,0.0001161520413415218,7.151928867998869e-05,2.4401302947119063e-06,1.885400816870053e-05,1.85163470241001e-05,2.855023536474377e-06,2.3259772096828613e-05,5.14068032164694e-06,4.337462562453709e-07,8.587177369179244e-07,3.1339198462987383e-06,2.6762918636791255e-07,8.680908014646604e-08,2.6109715418609625e-06,0.00035424679053264185,2.979730895147359e-05,7.796923196812244e-05,2.5009199363656975e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.660536403970887,1.7389415819898906,2.8399553557792157,0.08512342337247569,0.08185976265519257,0.19340948929716545,0.013671462965588153,0.004811180147783589,0.000806245264419081,0.0015285445143975451,0.1891165919001814,0.03892146413616324,0.027209378060173428,0.0012647421309490703,0.003379582208197174,0.00040731874815780333,0.00030825311038350234,1.3254260481043723e-05,7.236799337016764e-05,2.723260307213593e-05,3.9764082099269515e-06,9.480863758165592e-05,1.4054145310526955e-05,5.1610099962573486e-06,1.851289241572296e-06,8.709762204822669e-06,6.199472772916437e-07,4.143621781249607e-07,6.804066994048341e-06,0.0014615536238927473,0.0014063050011980521,0.0002685942510187167,5.287740843828992e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024535274414932084,0.0868413838705645,0.03210831413419779,0.006455685190119409,0.012847182434344573,0.0005908604954963925,0.00016915195269318062,0.00023351541221372507,6.250865763690605e-05,0.02929019453246462,0.005750811151966406,0.003456291471412687,0.0001116526963649278,0.000686594878983815,4.5874015702107585e-05,7.545667771435838e-05,4.160027865740545e-06,6.280732593788585e-06,1.1353246545109386e-06,6.74014750678964e-08,3.281204260030535e-05,4.355514925835635e-06,1.5082665356658254e-06,1.640749245357398e-07,4.167583840253286e-07,5.681956016800882e-08,8.806162998808986e-08,8.707408438723974e-08,0.00021095168686779964,0.00034694681619518164,3.258369788916582e-05,4.97859952175439e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07987143695376409,0.0038336365782181137,0.03254762559524371,0.01171948877574358,0.0059880237669027725,0.006941933254629884,2.919618975294469e-05,0.0006353893946959843,0.014715465170052067,0.010286231543706004,0.002029503883338335,0.0003737652809898684,0.00014527127851815536,1.4737645209317307e-05,3.441677604620885e-05,2.7104847426517864e-06,6.322844248618509e-06,1.3452821077120092e-06,3.921112012861272e-07,8.750763391018879e-06,1.1166501008297303e-06,1.2396711102091729e-07,3.6771883205055644e-07,4.856363704508482e-07,6.151293230338695e-08,8.997085765294344e-08,7.278267344368317e-08,3.9688324931175245e-05,6.524298939591944e-05,7.194362925622144e-06,1.5970543505439139e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6524010775161024,1.8165516856161688,2.7824405318656384,0.11418827747484198,0.005161273858438342,0.011319528610534424,0.02675422105558589,0.014662732007033774,0.0031368755834829815,0.011087513066833088,0.005502073473295788,0.00108167519039995,0.00034268661281366963,0.00014356266899237524,2.305164706362106e-05,4.9501630507042815e-05,1.0581912086138345e-05,7.591947350782391e-07,2.0540076096239868e-05,1.5851433494695755e-06,4.273942446175738e-06,3.186600020965713e-06,7.467887824894048e-06,3.980740328479726e-07,6.276758262035997e-07,1.523192577401744e-06,0.0037585933739603394,0.016743417510270336,0.0015175019058479705,0.00016035182517815105
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026151552242850595,0.08805050437432482,0.012762604546927236,0.000549484108371967,0.005408229457022129,0.0007002750426026161,0.0069371514660991895,0.0003775389410390906,0.011736795110593334,0.004664954841874236,0.001119257233155535,0.0004165685213108894,0.00013267924424464894,4.7918898208543226e-05,4.1396058980014416e-05,1.1196297013960077e-05,4.235264029706087e-06,1.4011246197487282e-05,2.857143710510712e-07,3.3098556786459454e-06,2.515540562075813e-06,9.739995998514495e-06,4.093014376316262e-07,7.095528271605644e-07,4.031288589612103e-06,0.00792784196374674,0.049585765443203145,0.002875070550781289,9.798163066698784e-05
