,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23O,24H,25C,26O,27O,28H
1N,0.0,1.0231139850727935,1.478112306706884,2.077040459605809,2.432231591738421,2.967560343701891,3.336770276753206,2.43528095261202,3.0178363381825566,3.3172826859730797,1.475059637113993,2.1189708677026156,2.0915633219189145,2.502056967341176,3.5961331313108746,2.749561057474568,2.310139597486963,4.151557311932551,4.626351037203928,4.644835005693439,5.734595427519633,4.456413576396789,4.5082417168920275,5.011959401769319,5.058037504870114,5.673630416832919,5.519102546432287,6.215812885851797
2H,0.0,0.0,2.035723529642417,2.9132195639987457,2.7221700982922368,2.883018997247736,3.7645106547526153,2.7428890273927498,2.96538748884052,3.776962642694222,2.0335620669911334,2.306111632697786,2.9158669205429706,2.6279007172296414,3.6155310585851224,2.7762512119938125,2.4003043437049913,4.007499517940456,4.424836104579293,4.238050286498761,5.32007810976573,3.8385800457905335,4.184267744023198,4.8542477553065115,5.1473916656941,5.767058857477479,5.75237351873938,6.524501572555067
3C,0.0,0.0,0.0,1.1013559585944395,1.5477142807102882,2.177988544182761,2.2017260387728848,2.4403651411328067,3.2064565273725423,3.195282253592518,2.3131352656491777,3.2718937333954177,2.7156437721363376,1.5271985729704112,2.4205551766584446,2.4247476078779746,2.523923907956811,3.8091034278141227,4.014348332186324,4.727544240719792,5.728634800738137,4.62024947347268,4.953207861239181,5.3544314415709175,4.653725454452983,5.512396438631104,4.7812822153341505,5.531275623167455
4H,0.0,0.0,0.0,0.0,2.170096982678413,3.0333435309951557,2.3810516321862174,2.9137253460666748,3.8808822113016794,3.3590668165313584,2.653600546571515,3.6978773136023935,2.5941488168505655,2.1217747282376687,2.9412959592338095,2.8426040025054236,2.872666535074133,4.200857596882826,4.482177403717745,5.277724466850483,6.244653519070337,5.364895606068241,5.390159439606457,5.616654283822801,4.703396030898067,5.502006157500645,4.648331979128688,5.258916127636092
5C,0.0,0.0,0.0,0.0,0.0,1.094643156328194,1.0937190599461928,1.555306782756824,2.1969971814602034,2.2176067978890637,2.460551079994583,3.3707603205578263,3.0161522537452425,2.5944401601649294,2.918591890542769,3.7699910776738603,3.9752026939212213,5.0256073619152,4.980921518469398,5.8953082863150055,6.859565521473996,5.579189901280021,6.264675653520905,6.766001054819874,6.00095306311738,6.949951698176887,6.003100674130468,6.799010643182354
6H,0.0,0.0,0.0,0.0,0.0,0.0,1.7567944961936235,2.2096835559224095,2.3510966381861875,2.975037115192976,3.186729511518296,3.9065152448694764,3.9421925244630667,2.6713204462782842,2.6898578500421113,3.872238794044168,4.2250079838951375,4.933357808878711,4.715198676063476,5.695149468343445,6.592766536158699,5.2247964137286615,6.249192453379478,6.843155942775483,6.091139175603079,7.101090718870913,6.140413424321544,7.0186484764087895
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2231551438578308,2.9345684382350234,2.4001218050285096,3.256676909924789,4.235517216988758,3.5359408248348134,3.0895930456606586,3.1415034959733634,4.369436522730817,4.686106518722733,5.558616996953837,5.410573342560145,6.612110745594994,7.520263659674301,6.3867122864484,7.053052647136588,7.463711992075414,6.370889605851503,7.377907653110905,6.142032356129755,6.88675881284828
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095832326824745,1.0953096753314384,1.5564530072295615,2.234825528026679,2.1946819400489748,3.7994568128861594,4.368629588381306,4.705303031419039,4.595353089703633,6.065654015976022,6.200145171842674,6.707031880755904,7.7494960158917605,6.3197886632658165,6.814416141186888,7.372703399565173,7.05280795189108,7.855923763641224,7.2154794029076825,7.962216356804891
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7608807851500445,2.1976862740692864,2.4203234088084122,3.038295339329666,4.360381126628062,4.831445025908485,5.233482463174103,5.134988141669742,6.5027542156873785,6.576734647951358,6.968374593073034,7.990660307090977,6.420264074464784,7.120139190455809,7.7863606559482195,7.645087202080165,8.452629688250852,7.899248056349089,8.703200786344334
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.208276831071304,2.8301021353392444,2.383876906285928,4.616726679798838,5.111025702172249,5.579166190454743,5.469756959727573,6.9642033118718025,7.084366303031998,7.702757780705567,8.743088299042657,7.369796984261199,7.783099537673853,8.282140385497023,7.838582341722973,8.64351689655501,7.8810013978321285,8.572596143761713
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0942219479220578,1.0974159785349447,3.70768712890681,4.63864536103622,4.189880324006929,3.7635379055507103,5.607626693778736,6.012222467284372,6.095121332207691,7.187629829437671,5.826668620873698,5.902817778236196,6.41221904544932,6.479418565173013,7.08661730868316,6.83667260136364,7.500127496519812
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.767767917174263,4.52625275862565,5.484545973093593,4.8318648549860415,4.275053882940002,6.180643697727689,6.649906369195766,6.4236761266902445,7.519856072531941,6.063897479457904,6.090044610215254,6.672836397836081,7.1186052456590305,7.62253555791898,7.625881290368002,8.288164279648015
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.170661760880183,5.134189510129014,4.597207784815776,4.1121790071348805,6.042722016836937,6.518158640479629,6.648167457879401,7.733723429546129,6.533573171250559,6.347657148490119,6.719847911318777,6.690031144505188,7.22840327589749,6.951787134124678,7.506071014051684
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.224673284924291,1.369648834230689,2.059405521304417,2.4753910975148865,2.5094403484718617,3.5890393607691196,4.474793943449208,3.572386740850507,4.153638263059443,4.519939786720837,3.446177152581175,4.460173413732468,3.57558823766884,4.445232701764629
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2877462060153477,3.172284902513344,2.8382228891116923,2.3652022500505936,4.04795488699943,4.735260742451424,3.970347219580272,4.920135113258044,5.269405609240093,3.7841594471685953,4.944062629596023,3.6237301126348282,4.549340415057475
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0151723574758307,1.452254795506057,2.054600494825707,2.4570303665744504,3.402298195731358,2.7148147434775556,2.8522244654772257,3.154100198363935,2.4309669035392956,3.272815108789838,3.010223836890037,3.820523621354862
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.126555166493919,2.9561670934885793,2.655393996153375,3.6958541480947185,2.9175865320551884,2.5206847807475508,2.8480084563621872,2.8813539192313264,3.3998164264450104,3.6479842866394296,4.314065241281675
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0948922628537732,1.5364073002419099,2.168358489349579,2.154749704666138,2.4423507203522523,2.6016264724013203,1.5318094771033377,2.441208970212394,2.395150431548414,3.2282559557304173
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1904457978011798,2.5363122766178443,2.488903006423233,3.389658333242038,3.609774320983505,2.1508186340815736,3.2226454597626133,2.5238047546396096,3.459270843891907
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.101044059925545,1.0943420330650269,1.4166330708254822,1.9192147480125283,2.513551305047225,2.8191229881096938,3.6925128917117105,4.371595984553046
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.777308980179279,2.093165550899051,2.2949564995962892,2.7411929861347915,2.873123139217215,3.8675557219476517,4.445869548045009
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0260513225762216,2.8127589483645865,3.456673298329266,3.89527919251894,4.50595355811226,5.283333620736233
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9751101015464482,2.9791112632599006,2.814735246371363,4.288614056345869,4.786162077518732
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5875558987532585,2.0727395546570935,3.914402504696189,4.235499338089685
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2191974165115316,1.3429119075438931,1.8745608725771943
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.248061728716166,2.282940148516028
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9773199543829802
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
