 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,O23,H24,C25,O26,O27,H28
N1,0.0,1.9139760382373645,2.8066244286483704,0.09694562605143309,0.2223083132553454,0.0043407604436067615,0.023170306464315615,0.21555951261173498,0.004094091369436947,0.019675352834273685,2.823293691613596,0.08002234747731762,0.09788355555209938,0.16203348668895984,0.036588499197485816,0.05522921151349294,0.07964523135452728,0.007403172057804996,0.0012099114647406983,0.000673469519191533,5.174764751836314e-05,8.263856854218155e-05,0.00046773584351980646,6.72271279988923e-06,0.0010136993917904957,0.00028991851258104717,0.00018786890804030343,2.660926245900974e-05
H2,0.0,0.0,0.09759373021986173,0.0365345814798943,0.007208269954561031,0.0011522532957830567,0.00047453936144581377,0.006052260530134301,0.0004946773809688665,0.0003031092149232695,0.09933074430725386,0.008673328288361315,0.032583476624695296,0.013147735568170726,0.001190075585010275,0.012330478582977977,0.003528917931189035,0.000860228344992553,3.743099642861125e-05,0.00034626249801572584,1.0149879945409168e-05,0.00013376887700999873,9.728431631539358e-05,1.6392383201946359e-06,0.0005223411278828527,9.108127125456722e-05,0.00012729285278312297,1.5151815137892655e-05
C3,0.0,0.0,0.0,2.0247019764211505,2.507528749895203,0.07977799536090724,0.0880251728893009,0.20066297772785946,0.01066186940164715,0.008606010291175803,0.27421066459835663,0.028566437257852906,0.010055993093865068,2.6684616955693956,0.287705163509163,0.23299058960736765,0.016643885486578913,0.03659380470573362,0.0064630377072038,0.0038198689379085604,0.0011626071699826213,0.00014733025929403176,0.0005121551865554796,5.51187816603127e-05,0.004319840989889162,0.001714280529855547,0.000604379406783373,3.446960232966756e-05
H4,0.0,0.0,0.0,0.0,0.07908540637228212,0.026644795721258108,0.009885311937530172,0.004808616739935712,0.00045800772650661514,0.00012840237761646556,0.011663518499878123,0.0006869202125034946,0.004257072767400505,0.10877124211726374,0.028501569475461785,0.014265880274170861,0.00024483359351501477,0.0014453201599942123,7.390695737030661e-05,0.00042277300601267775,7.138735552914e-05,5.602167864360297e-05,4.16251778729837e-05,1.5701668569789717e-06,0.0006991958555908617,0.00017274804369471486,0.00015068545438845504,1.2450944344433168e-05
C5,0.0,0.0,0.0,0.0,0.0,1.867031760604614,1.7645237063171335,2.83037580930523,0.07805200912885324,0.07514642624833545,0.18654738710533164,0.019100179496156056,0.0045778440592059155,0.16311422346514645,0.04185188820355515,0.027303142431506056,0.003985200222009433,0.004933782887846655,0.00031451592690667773,0.0011067733318166628,0.00026698643282441203,2.5985693854702063e-05,0.00011827868612010461,2.6219402694538374e-06,0.000422941204314492,0.00014275262809376743,5.668253110603649e-05,6.086136714156254e-06
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.026724906117456593,0.08028420085919241,0.014591266296513083,0.011486751474586665,0.008648628972036443,0.00026181220257015525,0.0004059171864063682,0.017696051119389544,0.014086828207833246,0.0023095920587135055,0.0001115412171381891,0.00030031238378791514,1.841059978091586e-05,3.242022561766866e-05,4.523197898453901e-06,3.076173687555084e-06,1.0311741664659202e-05,1.0355697339647918e-06,8.148185191569901e-05,3.0445949725566024e-05,1.717779369003747e-05,2.2964995096685925e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07565427201619046,0.00893558502424252,0.011757837992952602,0.01239048810029586,0.0002073451834432305,8.382182067045996e-05,0.0029224062864543487,0.001713867484819609,0.0007743633985903831,3.123385888192942e-05,0.00013852130281999386,3.055197150114708e-05,9.133129603711154e-06,1.7168997459293678e-06,6.960682670253959e-07,3.398412318333932e-06,2.2168037117076267e-07,3.0106062447243787e-05,1.0420990213089176e-05,3.734400729094034e-06,2.6212973680550533e-07
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.148035899990898,2.1703847756776433,2.8274027561793917,0.07272267167497304,0.07620297185768787,0.024814989138380122,0.005253231323277957,0.006710737865649685,0.003730299367516232,0.0014746777985602672,7.007588173146839e-05,0.0002040222658864499,5.398240766529838e-05,7.06313668474845e-06,2.163567772058006e-05,3.359102470623654e-07,0.00012073083865274392,5.0964819409415885e-05,1.4568497786901502e-05,1.4920323937461788e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0257893015195636,0.07746243473549308,0.010171508458139522,0.02197950665386461,0.0010213248607577885,0.00016792872114412827,0.0004651829654427342,1.9688578828613856e-05,0.00010522833202353254,7.117683389346041e-07,1.9499986855242568e-05,5.814557426875311e-06,6.918900210539647e-07,1.2772525544990643e-06,1.2063097409864554e-07,6.382688477968301e-06,3.827950203150188e-06,9.439607254746463e-07,6.473528668671236e-08
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08152317834128953,0.003175095784831772,0.010646571322579623,0.001226536801840039,0.0003147724595515822,0.0006357410299977495,0.00026729494707211643,0.0001333372864320559,9.142928570016196e-06,9.189735518333464e-06,2.505271146535648e-06,5.337446209452423e-07,1.1599576112963916e-06,2.5536039727214188e-08,1.606494169581474e-05,6.898028412027912e-06,2.3961322846988153e-06,2.332543100891371e-07
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87680428040678,2.0116473937420887,0.035818239978538335,0.008039128082986471,0.009332695844075312,0.004806868474984238,0.0011993544082901653,0.0003993806588329374,0.0002056526552421667,1.9951703290610467e-05,7.0725041227959196e-06,7.960427485392829e-05,1.934850378582098e-06,0.00018877333634173543,5.2250131896705576e-05,3.6939544429612226e-05,5.672990404659295e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02643289257979009,0.0035789245452175766,0.001803934561770415,0.0002812168598169684,0.0001003590929671283,4.270046829457641e-05,3.068043169029977e-05,1.1210614222711968e-05,2.4364971258350465e-06,1.8223425102270596e-06,3.1914739206939657e-06,6.430002539303814e-07,4.420418836303952e-06,2.77779628299335e-06,1.0574853460676437e-06,2.344305216617215e-08
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010345525240300635,0.000339326008108376,0.0004836659416644906,8.653804857705616e-05,6.201537968286708e-05,1.3465662551004343e-05,1.0822950823108357e-05,5.0043680199785e-07,1.6941109699519785e-06,1.904710141054089e-06,6.781026717916916e-08,2.6556809317845875e-05,5.413465444581433e-06,2.7092580037191283e-06,3.2190161514122906e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91146100078614,3.5161055632184626,0.13545727061503854,0.26923414749618435,0.02875447285501309,0.031645903049362156,0.004046293864652384,0.0008624180726706232,0.005049385311751836,0.00022711155959320717,0.03758041739917198,0.009447431959609204,0.005607744756851024,0.0007216347582973404
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5496950179255772,0.023591742839767393,0.07039789193525728,0.05474906866748985,0.01064350490034155,0.001578496097647375,0.00019337507722227976,0.0031994472294145926,0.0003221009249375628,0.01502941922312065,0.004795591258672086,0.0026512197437824347,0.0005943060730415617
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7917297628813107,2.8475706793854587,0.09914714486068255,0.1901917046699802,0.026993371360434892,0.00890142802994176,0.03640074183521706,0.0007208516057641834,0.23034583174296377,0.04489538174906353,0.027148705992728756,0.002599780353640835
