,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26H,27C,28O,29O,30H
1N,0.0,1.0218549814246354,1.0204090216264174,1.466172932126964,2.086042503700851,2.4498431712838324,2.5986574185556752,2.6690628498195466,3.8237100690675434,4.714741040954256,4.6261410577819975,4.608575959244881,4.43760631289049,6.015133283919011,6.79589492501678,5.9318615944348965,6.663639699885737,6.536466891791271,7.604152806592716,2.485532254191427,2.906766873878852,3.5634603806897203,3.832049796433944,4.814113488812617,5.25379966806285,4.926719117638419,5.923980207918882,6.018892935012274,7.086661221937458,7.778634992629887
2H,0.0,0.0,1.6243165582174566,2.018944469195656,2.911995428708453,2.724943022176823,3.0330878386381452,2.5191271428721027,4.1257462612940845,4.77938787777402,4.459470038330946,5.13575418882605,5.122491504023276,6.141319932317639,6.804198000612647,6.4228730672733,7.252389988888924,6.854952546350624,7.924974333724644,2.5584201542325693,2.5118569253492096,3.8210769734338808,4.316217014000189,4.880650550807426,5.1861019803766295,4.861117043149274,6.160050524662601,6.443015848304437,7.2110602816385345,7.988862141104119
3H,0.0,0.0,0.0,2.045311742475832,2.3350984349556723,3.3424110133679887,3.5114701250422753,3.629662464539614,4.58955356001593,5.454977802864406,5.374715149161213,5.268388921688125,5.039763421153784,6.695742810871688,7.461788321668883,6.543828855248949,7.216973132424724,7.171578961195093,8.210376927077322,2.7387399789897438,3.2015742358827586,3.5799296701322567,3.8177855805483585,4.763696663856178,5.382106551626763,4.7332023345784675,5.772470151765328,5.8380760287427265,6.911246664067668,7.566967660012853
4C,0.0,0.0,0.0,0.0,1.0978440369653741,1.5487552927931862,2.1391240965022638,2.149642855341813,2.5699805766207597,3.4554933174789118,3.5444386219207002,3.3612391445256753,3.386791421067455,4.670750670312508,5.487317079107535,4.601068120140832,5.380838656381276,5.145920877665694,6.197205142034553,1.538381962781054,2.4162704839476463,2.467525604608906,2.632413453825699,3.825265264400499,4.191779940347825,4.2244182945683315,4.853817410079417,4.894441200007659,6.07395153581391,6.729779659426055
5H,0.0,0.0,0.0,0.0,0.0,2.167451336660859,2.475487737221071,3.054108474057339,2.805940556981184,3.868114073978273,4.2112393952181755,3.130819769044694,2.9316913193149374,4.88430541562882,5.792209746364803,4.322356841649783,4.9315871066786094,5.075542343656281,6.076433268397615,2.176097483912061,3.289258801361352,2.5401918695702963,2.27794080167534,3.9842589585105923,4.517165941089908,4.491796872637873,4.7029501494904595,4.476664698300061,6.012263952672933,6.536018392045362
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0954662916074367,1.0971052122151002,1.51389216743004,2.5389527925620157,2.7354176098220613,2.5348519779940353,2.7316896102440724,3.8255193806670253,4.691902940521736,3.8231863996134203,4.68816941775136,4.332110360637629,5.419197451094575,2.521866805941548,3.08456386810389,3.448104646835249,3.569484085937353,4.669844342481691,4.710968653012133,5.2301138414721295,5.704964293331896,5.750767099107823,6.880163110439685,7.537473957350366
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7656252299414716,2.162523539578503,3.377796882948697,3.684865988827107,2.7169384715328215,2.5298245211331887,4.551749308176806,5.485603697952701,4.085061076592812,4.785723911106358,4.838321722338307,5.905512107010662,3.4490416443262197,4.040704458241391,4.345362877219937,4.322485703121271,5.65351743508616,5.770520989178441,6.196538265191364,6.609515753229268,6.525893077079678,7.8369747985172715,8.447249983983388
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1529534681503564,2.666848572787583,2.445177592496199,3.400040949684882,3.7308148562367593,4.047429073068003,4.735012211527316,4.565358978810032,5.510896346342822,4.827006300864081,5.894174850480936,2.730695540687147,2.8273778495476285,3.8767599139637205,4.24212734641672,4.910520252616605,4.7929114516571545,5.339855734847981,6.129680380910952,6.369269960075934,7.190629225309112,7.939124085706848
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4027668229775814,2.154157460534908,1.4027714337998742,2.1564457988660637,2.4348457339054996,3.4158664027247325,2.4357401727016206,3.4167268671534083,2.8184245295392176,3.9055092519062304,3.0444974187090503,3.710360931253965,3.486857247349474,3.424176559066188,4.523763855357714,4.385277627650689,5.332979695463429,5.3215824210616365,5.285341350144383,6.451875079644119,7.018690686995738
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0877981559472787,2.409116705801871,3.3970457540820145,1.3965432504956843,2.1540127170636465,2.7874925087499376,3.874774625852726,2.4211580981078678,3.407343810551219,3.3293436227656725,3.6762142991379907,3.6487867061958785,3.8025595721543803,4.2752343755317,3.805388188042631,5.10871305148368,5.11323924588358,5.305140925092557,6.036699458670182,6.653509957331714
