 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,H26,C27,O28,O29,H30
N1,0.0,1.8680145555775876,1.826547669224667,3.002214150086738,0.08812137345347992,0.2046287916398803,0.01752266835018934,0.008423888870916496,0.03420510141088107,0.006175765273784203,0.00018858997899884322,0.00534632386853863,0.0003533557576862467,0.001170883280747173,0.00010380139410681721,0.0009811423157554955,6.807982554468683e-05,0.0016897280936735704,4.3961644414780565e-06,0.23432999429068402,0.05222308109125981,0.035801973125437495,0.0020062064170652816,0.006258728690517773,0.0005764453805334746,0.0004290197038246957,0.0010144034673270075,7.236604114882472e-05,0.00034631660911497303,0.00010844470101445403
H2,0.0,0.0,0.02716658196203503,0.10433003013546616,0.03614681610746229,0.008926386499177319,0.0002065025123869635,0.005388617700190057,0.0008032715617388719,8.404178409571195e-05,8.39876663172312e-06,0.0005030265418720647,6.993606319039003e-05,4.4281057977935134e-05,1.5629291951757551e-06,0.00013957157758537342,1.5052428940842688e-05,1.064607440459664e-05,4.2990870352532795e-07,0.019648008771476877,0.04264278398336352,0.0034543591345939095,0.0007117271213956666,0.0003980829239067507,1.99805340059811e-05,2.6558892609385154e-05,6.519122569104141e-05,3.499185294486562e-05,7.649719269919864e-06,2.582067836653934e-06
H3,0.0,0.0,0.0,0.10659891183423376,0.007025484347807254,0.03244812001030317,0.0008796793485219556,0.0008468644193995178,0.004796184437673379,0.0009052496376587005,5.765640359611801e-05,0.0008842931261838771,4.464305779738886e-05,0.00017200015915752598,3.1322526681032414e-05,0.00016031314293096788,2.9310369324075936e-05,0.0002955985757909785,5.92413556210758e-07,0.007803840873996326,0.00151652566864946,0.000789276970987185,5.201253356101887e-05,0.00016730233358075441,4.4819624004821534e-05,1.417411768089849e-05,1.4324636233298271e-05,2.481273515653193e-06,6.128533263649594e-06,1.4272406823057082e-06
C4,0.0,0.0,0.0,0.0,2.0165524551358773,2.6376776600386043,0.09316563245325526,0.0843460761151793,0.1756511282263021,0.03645441584486181,0.0005880411081258252,0.03577050081875274,0.0010091244564427448,0.004714928372948818,0.00015978018662066162,0.004322009043948999,0.00012612095365316378,0.01353550012520724,3.5992322410249855e-05,2.5169310154800564,0.2707085297793001,0.22833808011852189,0.01622090831587275,0.03756919008679638,0.0020923182899623693,0.0021411118734524504,0.0045726528898629715,0.0003885011350347328,0.0013432284831212116,0.0002863154579494376
H5,0.0,0.0,0.0,0.0,0.0,0.07934884926181907,0.005116922410914437,0.03438885765516431,0.007784643940112135,0.0006726899561197985,0.00016600769868380105,0.004171142872365197,0.0011330829980309431,0.0004786394288411877,9.391856908180785e-06,0.0005212966008545372,2.2599427697223007e-05,0.00038838215973668877,8.945981106345258e-06,0.08884637892309977,0.021044417925275893,0.012186426887838553,0.010680159988545546,0.0017261478963341848,0.00021870591693073926,9.716621491895339e-05,9.436561135633958e-05,0.00011411888212731203,2.4787014650917705e-05,9.14528095097289e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9116964927062061,2.0198899993874697,2.787097713041161,0.2438781887957127,0.01471650510124034,0.24031930069213936,0.014361020253332635,0.03581460130022472,0.0026272844287880126,0.03667234467777099,0.002634332519142246,0.02168500202419446,0.0005084157628958419,0.1835249934387099,0.0377899986350959,0.02993398283175587,0.0011461931645898593,0.0040904523655675845,0.0006881397722950933,0.0005407826275583005,0.00046657041863332194,6.064778173776875e-05,0.00017673538421216634,4.162780566829838e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02450069182985959,0.09757575708033905,0.02787341528285836,0.0005929196933660563,0.016883473051459985,0.004673018851850896,0.0030532790222881356,0.000615016877070218,0.0017412692635396798,4.5268168026968425e-05,0.004135965032371125,2.370234945270333e-05,0.028903514048020273,0.005443502970105429,0.003178194443763327,5.6243541158185195e-05,0.0007842875961586726,3.0693934523817745e-05,5.067055884788729e-05,0.00012167659250428287,7.548740468266146e-06,4.0653417059610675e-05,1.1023462310078003e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09866385033118341,0.017297301972206913,0.006329362827272256,0.02554768928369433,0.0006979593894538283,0.001624622180702584,5.920021490735117e-05,0.002889691712059772,0.0007024117802922891,0.002356198266200815,3.139980374400331e-05,0.011642039595001874,0.010851736154920744,0.0016219982233584007,0.0005869828923052989,0.00014734221736345532,1.555456156165924e-05,5.21775061490537e-06,3.527171876549495e-05,9.772171612576486e-06,4.7232887054882156e-06,7.996427917600357e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.748594630994855,0.12467521206044285,3.7585641964652465,0.12347248813492162,0.3292286094399823,0.02635739681055349,0.32941288190623896,0.026341491664613415,0.300082137625895,0.004013566585765016,0.01976368670399864,0.005218527788034402,0.007058002386607226,0.0021810234729031652,0.0008236280641172739,0.0003423424308555134,0.00023098803475207763,6.625687088138155e-05,3.634084374086466e-05,2.1400872832019746e-05,1.8373517669534323e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9852243978240598,0.3262105380885048,0.02857661704160508,3.7014895883751344,0.12979068287197082,0.3159426376187874,0.003596802994280335,0.331830079099174,0.027340216067642142,0.012039955177801459,0.004550108819581872,0.004096473020664654,0.0006143234866404779,0.000991606658059141,0.0012881215362000598,5.6643189847438435e-05,5.999195382014322e-05,2.1726247763212414e-05,1.4243561410595684e-05,3.950992218726412e-06
