,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18H,19C,20H,21H,22S,23C,24H,25H,26H,27C,28O,29O,30H
1N,0.0,1.0202617457339986,1.021231395156306,1.4588615378082566,2.0748733645869333,2.449010205387537,2.642763400622162,2.75324387037862,3.4134687879977337,2.501845115014133,2.78314291160128,3.7293547205520983,4.047161242175342,4.962359105624858,5.033612972482623,5.5451049121793785,4.905965194370334,5.886640513557236,6.859470705289694,7.595648542644025,6.823813154827643,7.779741214006609,9.299777306226709,9.792654066653188,9.226879615107375,10.019561811676217,6.0824226570178075,6.23627683993376,7.187139593171497,7.887270002407683
2H,0.0,0.0,1.6073072427865247,2.028742081986632,2.385370930679663,3.334096789677286,3.601278503941502,3.657653825050342,4.194143267322832,2.631959569113968,2.6439322619564285,3.8826587149344096,4.333270765906655,4.976786801468852,5.057136826939287,5.279660991188994,4.486162323239086,5.629791585256716,6.53955246140312,7.376061218352007,6.506885340669787,7.256668630955946,8.804157452608735,9.385368105167395,8.737741908882464,9.448224536658149,6.24725681212289,6.513464912721896,7.313683887134552,8.078856620368752
3H,0.0,0.0,0.0,2.0213972055280114,2.9169315759979217,2.6561700166936935,2.9584732259559634,2.5303395615953668,3.6771114071720503,2.683687154931157,2.652218862018437,3.990394863361416,4.439005669428887,5.079385489290923,4.931764871708494,5.785869144760931,5.160960069811448,6.288854459242537,6.974073652248942,7.708678648328517,6.781708641790727,8.002576388497395,9.394139579083578,9.89216655205349,9.205223019787093,10.15555082301959,6.2201737753162565,6.490715559229451,7.206243006355499,7.937502403453861
4C,0.0,0.0,0.0,0.0,1.099982875634218,1.5377065154333605,2.162269299042866,2.1800157279725187,2.1998979332118713,1.5479845974220345,2.4344608596829174,2.470838682830717,2.6260089911379003,3.8442946904615107,4.10418878493564,4.601304768565814,4.192759271578024,4.84233958444558,6.008689756188501,6.607314779096475,6.1071547412971166,7.093297511447409,8.625022157986105,8.984627251709671,8.645366967931203,9.41075116410113,4.79057014334115,4.826603729324507,5.976862601531745,6.603361718063701
5H,0.0,0.0,0.0,0.0,0.0,2.153784236704716,2.496629290324715,3.072045111183171,2.50179914692772,2.151087035500075,3.143295822374183,2.6808717090884877,2.572402912296151,4.087094107443262,4.595069201715419,4.6189330926881365,4.230108590172738,4.6138070902986,6.117430056971375,6.696134429266206,6.39745747981275,7.032030888961214,8.679825200363162,9.027031056213863,8.832453135946977,9.401589634799276,4.9360412047673945,4.807552701356406,6.2153325289459245,6.78129629777877
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.093929655081614,1.0974185290654639,1.0952875503998438,2.545536472381064,3.4658920554490416,3.0607528835654283,2.901657455780764,4.396877542891367,4.593489599747476,5.503899474176908,5.3293483870973475,5.730348758409776,6.861929872684003,7.282659057846634,6.931707800556416,8.169803805291787,9.599265444311483,9.830896074684883,9.596215329526835,10.467199174647742,4.958737950945682,4.778488524863441,6.11541125507534,6.5888950816320655
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7749240688175338,1.7788246100420986,3.4892759572279535,4.366268477674974,4.055820748774233,3.7911369560180757,5.438992550778124,5.676832974834298,6.469353280823369,6.238826120589483,6.612525016822242,7.872327788409043,8.309426080115083,7.973813556320406,9.100012447018075,10.590117367254226,10.842772635076038,10.611755755844253,11.426300571668866,5.964469831949276,5.668697759755744,7.152986013904004,7.580305557645815
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7710244310293193,2.794080213900165,3.4215149143338794,3.4210135427568478,3.4698618216282284,4.557245969556608,4.4971708345551065,5.793948022117769,5.6262267194542925,6.196333353969198,7.012906837488995,7.425800622473652,6.919322654012499,8.433964686043526,9.729584060208918,9.960979116587394,9.608756823362144,10.64232700729444,5.133742835420074,5.111133918063665,6.132078856603097,6.63545792717488
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8242282922916204,3.9064605541804,2.817101041833542,2.355091049312228,4.0813151354212645,4.426747491361953,5.286400588527681,5.324104810824134,5.3969626053532105,6.636135708324298,6.906915089724247,6.811887832903934,8.023189144440826,9.420403454156618,9.536627860515706,9.491540766644723,10.317899476419706,4.326836799322788,3.9453955455622407,5.511469090592336,5.859875576940716
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2283961421693068,1.3651864477692,2.0825300364791537,2.4633573866497085,2.6191950988066797,3.2406387553577067,2.8749680443246652,3.710593872223213,4.550741309940063,5.175395448561231,4.576629239154213,5.754760747695097,7.185003963170329,7.53517821889102,7.15571352982455,8.019457869432806,3.6561314864564434,4.023806837123123,4.716252229273915,5.462262883104286
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.269449449504331,3.1795242588332395,2.7906533308137256,2.536317935969861,3.3236732365915147,2.734682786990668,4.058181955293328,4.358751748661888,5.1310842827658245,4.131114399214019,5.4835217689217,6.784970834783638,7.255073594318754,6.599225175304336,7.599810522429566,4.192160396474697,4.831143837391148,5.003713820896577,5.866560829793619
12N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0123927346655872,1.4524018513860684,2.079460257971522,2.484239654092231,2.587834304206831,2.7849793700696046,3.8561656828971174,4.262569624848577,4.102938476032692,5.2184074257993105,6.620156741868265,6.800238764248885,6.72139226481355,7.505011673234842,2.390558994938465,2.6932299716359336,3.581410543324591,4.250114824799229
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.106924285144023,2.894219701247506,3.093649892336878,3.348120411628046,3.070131535853313,4.48816500353768,4.73234945949794,4.883565921291658,5.8076783613631475,7.239818082918994,7.32275170418852,7.444406276552821,8.110471061778465,2.4429393190277136,2.2535250998694303,3.7717411346960854,4.239945083260365
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0954514150067431,1.5560474294580073,2.1285697369120817,2.176158190417638,2.5986132043175183,2.891636316034484,2.8326704576697175,4.205241797334834,5.392984548379163,5.484183658294982,5.468781106386404,6.351575432516417,1.521789471038951,2.42539397938385,2.390298404562935,3.220291485889998
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1675720984798366,2.508661637973137,3.0665653268592017,2.753994216226981,3.110681395446255,2.543540840752301,4.457751570133099,5.408375055406917,5.550757652464749,5.263592878731438,6.41375057511605,2.150242805578087,3.1954983085201354,2.556399591702771,3.479228025636928
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0945671547626625,1.0971215320967165,1.5313463601359614,2.183273033477624,2.1680515442910466,2.754333995565698,4.187467475395095,4.423212984117593,4.430490888341316,5.039377087194179,2.553441698361977,3.3922045159522134,3.1138729182845872,3.932081976806894
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7682661317804482,2.155418597551041,3.0757898280675358,2.4963373110493934,2.911130528734132,4.481142388118866,4.950113377926409,4.626656206720212,5.221610284915164,3.4461923192529302,4.226139953387904,4.092370118454454,4.953727773733833
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1749932895545276,2.540447854121384,3.0810087665902595,2.935791555169202,4.500846261100494,4.638556232995269,4.974805260359733,5.240737859709872,2.735090089908624,3.2372103627584825,3.4464917939993422,4.072641222069842
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0940084093397742,1.0969859130533377,1.8383177994249251,2.795863922417498,2.987458691048406,2.990848367491814,3.7636162368835118,3.2161541018767057,4.243037021270686,3.1159831188211506,3.927410394346528
