 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,C19,H20,H21,S22,C23,H24,H25,H26,C27,O28,O29,H30
N1,0.0,1.8794068225553144,1.9483931320226613,3.013699895738944,0.09302841518239002,0.188430394193615,0.01433285035842602,0.007436511001517321,0.02911625867141554,0.231730646587095,0.04555033701679091,0.03534998878213216,0.0021484842344223765,0.0075371513087877096,0.0003686158484921265,0.0005407019970182503,0.00010461881529200134,1.1947479008123096e-05,0.00017463087976928027,5.187738373990669e-06,1.0753904137184023e-06,5.6134483598868634e-05,1.2613482607629067e-05,4.158509089302598e-07,2.486789664191136e-07,3.5100391656550656e-06,0.0012940295614764785,0.00014503039941327067,0.0003832607320046616,0.00011048421003712061
H2,0.0,0.0,0.026874548729459713,0.10817100492711518,0.005048561531919349,0.03544531285066066,0.0009734466846533785,0.0006482832394461013,0.0030717262802431033,0.013317224662850125,0.019436493580926584,0.0018860234470992054,4.434207496717413e-05,0.0003224722604063812,1.9773068970385665e-05,2.218436815282221e-05,2.14410124210751e-06,1.1720976709206354e-06,3.7315426141271146e-06,7.518680122942101e-08,5.483304188480531e-08,1.0880410384883632e-06,2.6319607715485915e-07,3.5922171903735034e-09,7.568127013968251e-09,8.695288866711337e-08,5.2278600208954806e-05,1.7846340881644274e-05,1.0540681204762592e-05,3.7677146185188803e-06
H3,0.0,0.0,0.0,0.10559621185112067,0.038967389600888414,0.012970103375831488,0.00026294845349728035,0.006010322343714236,0.0005603513267449234,0.010521122361560442,0.02114733338379482,0.0017203335795343833,0.0004290959031409969,0.0002493013845519254,2.8817761676069864e-05,5.479640609096226e-05,1.6667676561832323e-05,3.5092464722996652e-06,5.947813881190811e-06,1.8699151682621817e-06,7.904047563123129e-07,1.307839843978087e-06,4.0351221286538674e-07,1.886327805067367e-08,1.1032613711492445e-08,6.420406828411274e-08,2.3292766714533286e-05,1.340368540603265e-05,4.252442695196201e-06,3.9605011559196157e-07
C4,0.0,0.0,0.0,0.0,2.0043728602527353,2.7593676076085965,0.09461385176887571,0.08271525968371307,0.08616205996817317,2.660626180397488,0.2830106555922468,0.21735142335636526,0.010827054377270162,0.03484992130591563,0.0036419627113297715,0.0032283827352332373,0.0008435733419878133,8.205992348120361e-05,0.0007798137170066111,1.4443092851035289e-05,1.3973697826630271e-05,0.00017018974703367218,4.534227425267989e-05,1.4387574818197635e-06,5.337142223726943e-07,1.2197084109821787e-05,0.004369161391075016,0.0004628853980304104,0.0012334755594408109,0.00025726249366708753
H5,0.0,0.0,0.0,0.0,0.0,0.08343891419853466,0.004825283413714354,0.03514771434779007,0.004844397543187551,0.10033462378449576,0.02830180581042241,0.010787691940183253,0.0022678315268989113,0.0012098194655014716,0.0003339713339940431,0.00040164332596770436,0.00010773962045984575,1.672538656705136e-05,4.5241167577314556e-05,3.6268595959842997e-06,6.177523542039154e-06,9.80203495504206e-06,4.4783880038812285e-06,1.5027476951701146e-07,6.532874952114298e-08,8.536346878251777e-07,8.594623855318062e-05,2.4305733783980266e-05,2.8584120375652056e-05,1.0256021041543661e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0866114312941306,2.070472783323708,2.0126780819491037,0.18566600356239982,0.03986843501184695,0.03368599953096636,0.009282480445927943,0.003518093541350187,0.00027050108665138684,0.0014195099521100846,0.00017601589803861728,1.783406342459326e-05,0.0002440183843633592,3.3352220064619686e-06,3.4885005775198152e-06,7.055781380553572e-05,2.5220309531434615e-05,4.474693016121023e-07,2.0524686550338345e-07,4.941046008455352e-06,0.0004604912451868226,0.00019189253148864382,0.00013516074118724575,2.800701999627897e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024302126210816066,0.02570084418074514,0.030801131856125652,0.004884598947307972,0.005714106032288502,0.0007241632037902068,0.0005924673016772797,4.7644174191008304e-05,0.0002427704189684743,3.972200994351027e-06,1.5998541538220223e-06,3.24982658082007e-05,5.723353053710412e-07,2.9615109164993214e-07,9.746200799076732e-06,4.525886543427227e-06,6.75860345467072e-08,1.9408542328847034e-08,7.510853818892826e-07,0.00015621228393913889,8.481326355558316e-06,4.151039288202707e-05,1.1263713229459071e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023880134042661316,0.009861766520802062,0.0018361421973926983,0.000906726541725078,0.00014986270738104324,0.0001514985871506891,2.5731695143527133e-06,2.9630748891396053e-05,4.939749364218926e-06,4.727362621359532e-07,6.397779095612677e-06,7.158212218527638e-07,3.197563922530122e-07,1.5938302189155706e-06,4.094542442878435e-07,2.2156446233267957e-08,7.084386854927516e-09,1.1560299828516918e-07,8.341737664174786e-06,2.5588294354506047e-06,3.2692484883689588e-06,9.63522438723885e-07
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005612700992882136,0.0011224036876653631,0.008352856273439846,0.008461861085482303,0.0007077789582030647,7.1255537161807325e-06,0.00037537407816490287,1.3759621877440509e-05,1.24538080736869e-06,8.076349402719174e-05,3.6253925683737975e-07,1.276061920796323e-06,2.503649849716627e-05,7.667400985011952e-06,1.1983303416229774e-07,9.01197310110291e-08,1.801671330570187e-06,0.0001025031301349344,0.00016189307486846882,2.4135324249829893e-05,2.5042098239502764e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.846451033613547,3.4717721542318656,0.1334740601887615,0.2650251049633253,0.022847432594629735,0.03566353342683162,0.008386417431653914,0.0005924925932474512,0.004758835732776023,0.0003807361964691669,0.0001007701557984575,0.0012220000033092288,0.00039368985649348986,7.247482831651553e-06,3.579613420123806e-06,7.400649127387027e-05,0.029154352705934777,0.0068580504953843074,0.005354492026658886,0.0012260973011556375
