,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25H,26C,27H,28H,29N,30H,31C,32N,33H,34H,35N,36H,37H,38C,39O,40O,41H
1N,0.0,1.0211034360583944,1.4646049697454706,2.0867190872040573,2.4448939043737616,3.0193299664454116,3.321553402111972,2.430588030231646,2.9818997951108557,3.3298351457181967,1.473985485402575,2.115200957678394,2.0942967016425613,2.447630985575855,2.829232530957295,3.5610775325767556,3.810805356751195,4.871807237188511,4.99307023462796,5.633462947511873,5.838481155208742,6.645297124081757,5.398159838377015,4.472227653839945,6.206400979319894,5.917309124229694,6.301751943328861,6.854908269404634,5.146270757979067,4.165596864305552,5.8447985667327735,7.1201475703934465,7.568851236807169,7.800787753821516,5.533682708772491,4.647691157217169,6.176182253597493,5.8973520560067465,5.935516725206508,7.042527778733324,7.717643489704953
2H,0.0,0.0,2.01782542579639,2.904312746370637,2.7671440707673858,2.980858479099842,3.793672629696871,2.7555114800222613,2.939635811657274,3.795350336384584,2.049157811251145,2.323022568337059,2.9281573803675722,2.4943022369851087,2.3879534899876687,3.777297075451412,4.257973892821568,4.902502043646457,4.808672364800436,5.668749060812412,6.053555636237727,6.613208638647602,5.3004763885543404,4.432749905395774,6.175629708386266,5.552531719826025,5.898770066723649,6.486760619181043,4.604472749280512,3.6633293711334436,5.127553300271704,6.387487948415211,6.91201933611994,7.004123615450323,4.707933854568815,3.834442177454713,5.271050784756785,6.052420182081365,6.271181751576231,7.074254530103436,7.819011523467503
3C,0.0,0.0,0.0,1.0984629567269253,1.569967336815379,2.205119650745909,2.2165469664233113,2.455234094870453,3.181335163864793,3.243116622241153,2.3131297788754672,3.2674475854624485,2.7188713657388064,1.5156470330535872,2.407072192561449,2.4414875246997534,2.55628208440829,3.8257378781667213,4.048620030713296,4.8317037324170435,4.9970522533497235,5.799742856117103,4.989123958840587,4.237179492568069,5.863785221783326,5.658687816239738,6.2701721236801395,6.453781701844692,4.941612197950296,3.9138295363067286,5.7346047499984705,7.05751546523869,7.497589785991027,7.748316735498955,5.449350132657259,4.5278902602712625,6.218730127305676,4.624746418521628,4.558894756737533,5.8130430711300125,6.408713558582288
4H,0.0,0.0,0.0,0.0,2.1890908852705024,3.0345036981608637,2.369485910282133,2.9922364681168454,3.9218497242171986,3.4947999754891472,2.7139824914851034,3.7484295541515302,2.6691269214857143,2.146822554943794,3.2705803578574453,2.5176095549228266,2.2187717670170706,3.9733732193943103,4.463074015176154,4.845417390794312,4.764800389377787,5.852974710047131,5.1257533398397435,4.3597390157381595,5.869968818498801,6.052135824737252,6.658907079188052,6.832991678234521,5.56759833288763,4.580707657668246,6.50833295584633,7.798716647594798,8.13771066595253,8.554091500901674,6.370326619104909,5.493900184561196,7.192437607685395,4.585682452997731,4.290817848469937,5.878907182104804,6.3822175070263985
5C,0.0,0.0,0.0,0.0,0.0,1.0952694409302923,1.094310472679973,1.554218859095082,2.1903764495417817,2.212326391186232,2.4560130790387222,3.378301684208088,2.989131261830465,2.5658974917898494,3.1784714611624287,3.4340722215045054,3.4536854872974376,4.645065615219265,4.685707180254167,5.923927170409622,6.1551901503263275,6.770357590544095,6.273489201466033,5.642705426699567,7.220357663118747,6.794016234254647,7.490974585122376,7.480825160742792,5.883291701325996,4.861884475937487,6.445993823563581,7.79009895234507,8.36965908156409,8.339049061162152,5.868751342537708,4.8691920352142075,6.520240856914868,5.127801600434258,4.9423109734455135,6.214521187219558,6.685269959140884
6H,0.0,0.0,0.0,0.0,0.0,0.0,1.7661902425096818,2.19892112687929,2.327322332599313,2.934678463491746,3.210204139816657,3.9519655237842386,3.938604967546175,2.605172923593794,2.8570191326595786,3.5317692603590367,3.7750445600018354,4.486826657214391,4.284645237980176,5.868469284016285,6.27375874361164,6.601389489857653,6.238397981607423,5.734271931790762,7.261725555427347,6.543744174232237,7.29245366283821,7.142794909472746,5.485899940924602,4.515973437569822,5.8687254958679524,7.195041896441739,7.857441581536075,7.649551658352424,5.146632781401089,4.147938611939277,5.743522539631959,4.975596295530448,4.976941624757415,5.891676035999333,6.395081491569092
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2229584449962876,2.958470184729233,2.394309053694542,3.21713034321137,4.210203501639474,3.453575466101446,3.1286316212593634,3.9463970763984357,3.6207224167126855,3.3658712468164853,4.786989459029182,4.965926986083661,6.122106143621768,6.226444857510544,6.92383441308431,6.699257107331839,6.143406501383838,7.6047079180446016,7.3611205666643915,8.13382139639369,7.969038204746371,6.563053142129503,5.560483956827536,7.194334459155676,8.528982575005413,9.07104258785167,9.089765892554713,6.671766745919134,5.695274746446987,7.36707871737269,4.947615781089809,4.527671886348771,6.056945795851258,6.379385656498478
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095193523085399,1.0943118253967143,1.551468590103976,2.229098203844803,2.1911714642767484,3.7310834794102363,4.142886514757828,4.768427405706616,4.790163980905938,6.050203140618253,6.059811366673793,7.213672871183263,7.4254397600718365,8.120787610428593,7.343770316028439,6.570377273537165,8.252801152667452,7.800860952377713,8.353547067895304,8.5936315669566,6.824399510984533,5.8073826390172325,7.291274130817985,8.617520419511973,9.23789349726862,9.126623906870568,6.61155843859257,5.605224719259724,7.117191222813566,6.6482889027685,6.446819954166845,7.748011592434568,8.237389027552707
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.762104145999349,2.19151928058339,2.422417655368276,3.044212755973435,4.202192339641265,4.31062504657601,5.36266417379578,5.539014107309564,6.519934479658144,6.350489676254359,7.72198117019459,8.063914108435926,8.5731969633617,7.7777842636516725,7.043271210060315,8.739398335014592,8.0333936906191,8.561903749220088,8.80411096697154,6.909526342156269,5.93946491434739,7.179760242161128,8.47132390380621,9.179783969343411,8.875236027821355,6.334435666295027,5.342667050333336,6.7017982607936695,7.176476495384471,7.099962901829609,8.166891503723583,8.691525033568407
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2097698626633773,2.8133395309767817,2.398014914363331,4.603992359036492,5.148435923707423,5.4884640537363785,5.337015892627519,6.796692000374952,6.888627078973843,7.989920232893341,8.104099607746843,8.896482526638964,8.225169248746214,7.452355174943557,9.10285333791401,8.778896308132497,9.355634285070037,9.553751115529835,7.85015969246392,6.824562985362733,8.347371288604522,9.679724255743936,10.293461481520348,10.186908100208246,7.662687263747007,6.6509441664822075,8.165784497827408,7.221060892584323,6.855204590743329,8.348389876618304,8.7394519951069
