 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,C26,H27,H28,N29,H30,C31,N32,H33,H34,N35,H36,H37,C38,O39,O40,H41
N1,0.0,1.8061424990754875,2.9122213032714845,0.09774686317982006,0.22518346351361834,0.0038985885015062616,0.01989487385070099,0.21952599522231853,0.004149102954048023,0.02145476881591135,2.9956473228008482,0.08247994321117069,0.10037365162134282,0.18535892767082757,0.04345973896907284,0.0296110234620406,0.002822329151499825,0.004852912556910588,0.00032664978566565583,0.0012722106670945699,1.7619183861228294e-05,0.00022879663146047058,0.0001258018028141017,0.0002071868121652498,6.065816786637868e-06,3.4392072149808106e-05,2.9149802521777346e-06,4.112628000485508e-06,0.00023540013225373246,0.00028650149131448366,4.3550711520512486e-05,1.329309246971e-05,7.208075221143417e-07,2.972284055990926e-06,3.856207354173413e-05,7.440385917567571e-05,1.8503018598403642e-06,0.0003884657865906027,8.302812854572156e-05,9.354841868212949e-05,1.4362480837970537e-05
H2,0.0,0.0,0.10435076516281416,0.0348803790766119,0.006512605538036231,0.0006392155023779988,0.0003957065171502627,0.005815272362476032,0.0006643885748298661,0.00028524378191430166,0.09584466331281494,0.008886618413682656,0.03080458892265958,0.024573193756710632,0.04909540481580188,0.0035637341991471283,0.0009053799383280658,0.0004478589734507876,4.808810830292387e-05,3.0733133285720804e-05,5.332034697103083e-06,1.6478571387423813e-06,1.5712042430449102e-05,4.7669490557122884e-06,6.718227902879903e-07,2.3849203117043416e-05,2.651121898900044e-06,3.4095785015342273e-06,0.00016260768494580358,1.7812713194231833e-05,3.110245903659159e-05,9.032505772998967e-06,1.3211824456682564e-07,3.325748826776831e-06,2.2969903606062658e-05,8.312558128165115e-05,1.586324019031693e-06,5.840672826917803e-05,3.1816849538457426e-05,6.813274015526893e-06,1.2321343585419697e-06
C3,0.0,0.0,0.0,1.9991790729208891,2.5384175595407075,0.07361685735254975,0.08171099913027846,0.19888793137621816,0.008918757662121246,0.010866959686028244,0.28838285644957573,0.02903691932698238,0.009974045601991222,2.6996780234999305,0.2560897954601843,0.2512595946918096,0.020386512939619017,0.03706279462061643,0.003009122825872401,0.0041380383545013555,0.00012349747190221194,0.0009703877002855688,0.00045012834765595366,0.0002600348463610569,1.1471985748912061e-05,0.0004977836114995471,4.8060489694856656e-05,5.1334656527179945e-05,0.004524221423947317,0.008446423660993574,0.0005897032208912467,0.00014602364280838498,3.3965800756430298e-06,4.351689123949232e-05,0.000441500833576039,0.0009516604226756931,2.0295451327312364e-05,0.002901277174218536,0.00036776807373631315,0.0009131832681120722,0.00020611230449119056
H4,0.0,0.0,0.0,0.0,0.0716447570369958,0.021987775264939113,0.010137796088680151,0.004395146264009275,0.0003830899331906945,0.00011954863464058718,0.0091108634791921,0.0003270783407267608,0.0030407867316566417,0.10674630316542233,0.020607061267494342,0.014970973300432289,0.012676612046906177,0.002433499056218258,0.00034143637260197757,6.700046435803575e-05,1.3337873977947723e-05,1.9783956964891658e-05,4.336843255459133e-05,1.8545537884495644e-05,1.097065031263611e-06,8.398188048674982e-05,5.679614140108313e-06,1.8096807679501836e-05,0.0006698227163710602,0.00026533351056556853,7.910839550961946e-05,2.5133956324752127e-05,3.18146022415533e-07,1.022126006722246e-05,4.9730636652478566e-05,1.8870869492371156e-05,4.488276782010914e-06,0.00010430239417602571,0.00012006137092446245,4.892545075596555e-05,1.6604290009825107e-05
C5,0.0,0.0,0.0,0.0,0.0,2.1227832880205937,1.9157790746734746,2.42398402593538,0.08196269981540882,0.07681010597779014,0.19461922573015014,0.021668527737892518,0.004931933732664762,0.19548490332669324,0.036510111466202116,0.03417167317085806,0.0005908745425881046,0.004106814499498984,0.00020459784165471895,0.0009005046183981763,3.178504539724791e-05,4.9803069463560945e-05,0.00017328814780420698,0.00021994967475236216,3.2599360773044594e-06,5.677166200870887e-05,2.6299165818421955e-06,1.4308616835823074e-05,0.00045117438095046425,0.0006765431628907859,7.002222517446532e-05,1.9669650134071515e-05,1.3639818394750591e-06,3.1664581338075592e-06,4.2823811937806044e-05,0.00011527457886351122,3.1138097473792925e-06,0.0009725173634385076,0.0001226945405931601,0.0002917724714189551,0.00010723639872534108
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.026811504405227282,0.07917251185645946,0.014811237258198329,0.0088620160260513,0.010481358602881574,0.00032622159969131204,0.00030827085385687347,0.021338767925613844,0.008559609691249137,0.001983493380138923,0.0002562818847477999,0.0001374427396239053,1.2020486361397076e-05,1.0260285134178204e-05,3.963059187483964e-07,2.7620815923334874e-06,1.599567100818433e-05,1.3892330655407292e-05,1.7702467149938172e-06,1.809649396777857e-05,1.2822266393097692e-06,4.770572397783113e-06,0.00015086067785241575,4.715532270771483e-05,2.0475785145412928e-05,6.501005969328233e-06,1.0279089646125783e-07,1.9882446764540873e-06,8.924632325491011e-06,2.8091214589132107e-05,8.887914504374095e-07,4.067055091927507e-05,7.2600320685234365e-06,8.946568355483464e-06,2.7631334940103613e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07446342957778773,0.011294139469128162,0.011699908465484743,0.009532304008142534,0.0001272389663420359,0.00012596995488056706,0.004190258868621344,0.001278622207630642,0.00028871949475628433,3.466571359567183e-05,4.351262288837532e-05,1.610133117413426e-05,1.3638645297353591e-05,1.145724120021896e-07,2.0363185053717814e-06,3.7363148929214773e-06,2.130051598880911e-06,2.3666817816625496e-07,1.7980871858114256e-06,4.085753246840795e-08,6.787506459104975e-07,1.8440852706080868e-05,1.9372078779555935e-05,3.3832786880960697e-06,9.66472546104491e-07,9.996440852866328e-08,1.1856032933188487e-07,3.259927094489967e-06,7.1244654948898756e-06,4.1834086550451843e-07,2.4379611213820596e-05,3.1916319101821244e-05,7.711093346740583e-06,1.1542492102112334e-06
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.049159189752052,1.814638517560397,2.7571003488140304,0.07508398882518263,0.07735599633541823,0.027975584733871545,0.00536972700986299,0.006543872230244788,0.00010361986002316304,0.0010675616137306998,2.77529012372435e-05,0.00015225401333249233,4.402620380039579e-06,5.567718967647295e-06,3.0693535386150383e-05,3.169582975393048e-05,3.900090101982556e-07,6.388801974427372e-06,5.357957952867309e-07,1.1988188650668974e-06,2.5777734078816228e-05,2.9950154146973773e-05,6.829153702148094e-06,2.1589752152439967e-06,1.8030060033868978e-07,2.9086416419854544e-07,1.0448092223558358e-05,2.368499390204004e-05,8.156329270869733e-07,0.00024347923454384746,1.6304823888119158e-05,8.43184798282881e-05,2.685251111955722e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026408718902894313,0.07799598653808948,0.009990201939792387,0.023528393213148036,0.0008544422177780842,0.00026674523672420847,0.00030126134402275184,1.0264533822690325e-05,5.8095951173564586e-05,7.897696625569495e-07,9.596082691243346e-06,1.7931301110607478e-07,2.4481666294207116e-07,1.2060855457685093e-06,5.493510510934385e-07,5.1049955374082856e-08,3.726712727303294e-07,6.889464088111197e-08,8.175076171568207e-09,1.8856309975667784e-06,3.193305511128841e-07,3.460316200243341e-07,1.1891633844296479e-07,6.3982881215451926e-09,3.201819209763812e-08,7.734233637979315e-07,1.3670902083706693e-06,3.935636572194312e-08,1.723772298478643e-05,9.278986076166618e-07,5.0117006767935735e-06,1.876086263008503e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07984370707584132,0.002699231676552394,0.010105138107724843,0.002736236127987457,0.0008416068857237669,0.000510439337449875,7.803038092335512e-06,6.901793813507417e-05,2.143676158583574e-06,1.3523933522052722e-05,5.482319709315675e-07,1.300593994724153e-07,3.1217378374526206e-06,1.6690201420921369e-06,4.367368422464324e-08,8.108592015609872e-07,1.800193838441544e-08,2.9741690954487865e-07,9.48008358225838e-06,1.4842294490557961e-05,1.7506024518887386e-06,5.364111617112144e-07,4.5778938861928964e-08,6.123898210752543e-08,1.3184559926049388e-06,3.2275010919402547e-06,1.1968405111417724e-07,2.135841846007125e-05,1.6959581283781944e-06,6.064403133332341e-06,2.3016079089277497e-06
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9985974537124929,2.063306232053176,0.0385702751922789,0.0070598961848248876,0.00710668806640069,0.0004774390885624591,0.001525742709231892,6.545938037216814e-05,0.00030525134192752046,4.142744714386026e-06,6.87047954670561e-05,2.6397404902386845e-05,2.0054497795296555e-05,8.480632229801444e-07,1.0351033705724433e-05,7.84040566470523e-07,1.0952054623203367e-06,7.26744543745883e-05,0.00010918440311558086,1.2899350899459039e-05,3.878284312780478e-06,1.6343064435098142e-07,9.624106439565239e-07,5.328376930943679e-06,1.3556259863212183e-05,1.84643265566109e-07,0.00011410065518999146,1.6935106276302903e-05,3.529529512050211e-05,9.476676199215994e-06
