 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,C30,H31,C32,H33,H34,H35,C36,H37,H38,H39,C40,O41,O42,H43
N1,0.0,2.027142848623508,1.8042988177618595,2.752945460968571,0.09679305743533051,0.19183908190326693,0.03334457787769429,0.00425326617859989,0.027630649913860966,0.004165532423280327,0.0004266315223064865,0.005922449173008396,0.00021421973547608442,0.0006584932853504755,2.9039133226493874e-05,0.0012915344677039836,0.00011572232238088453,0.0009674017441271832,0.0002597653055735477,1.5555463329652852e-05,0.21704321082531605,0.050896351821995145,0.03287149287791977,0.00191234381146288,0.007356347734569224,0.00047540920787425556,0.0008476534985846773,2.553773976265994e-05,0.00023451683730302264,7.174420837741113e-05,1.511816934507415e-05,9.67793304308684e-06,4.333010072965493e-07,3.4136117399441446e-06,1.4066044311533688e-06,5.066388467786509e-05,2.206520484104857e-06,2.1124005098460685e-06,6.236393440195442e-05,0.0008101763330712053,8.933898939976481e-05,0.00023973636515445262,7.337310621413629e-05
H2,0.0,0.0,0.02719582593388936,0.10915087274222068,0.003831800810776942,0.0346611229409407,0.0024055256492538923,0.00011671585081440838,0.004426184805361388,0.00042444434073796167,3.6292800409176706e-05,0.0012040076367837438,5.177469974859683e-05,5.483570204400934e-05,7.47399068323773e-06,0.00024123983482016165,4.527317053892865e-05,0.00013655969372861065,3.30442960230215e-05,5.1843238684234905e-06,0.01955293109548606,0.05062474294689301,0.0034666614962881592,8.070350440436691e-05,0.0005531428501032165,5.6986240053458204e-05,4.434232631034263e-05,1.7675581082565728e-05,4.798847826004149e-06,7.100836565188118e-06,1.5372165216298583e-06,1.2706243333049372e-06,3.784676192442049e-07,3.811408650911119e-07,5.203809316789432e-08,1.2702929005792285e-05,8.216075086941999e-07,1.388765347165588e-07,2.7260681767504735e-06,6.922744254289626e-05,1.5283839452262526e-05,1.1962122571151923e-05,2.194910600827882e-06
H3,0.0,0.0,0.0,0.10345447668341834,0.03744814581269318,0.01501684979787199,0.0022623642444066228,0.0030131436626039676,0.0013728548265556917,0.0006619302353172429,8.334800956055766e-05,0.00023329359246548886,1.916753800990101e-05,0.00016569329317928094,1.7150170868118764e-05,6.416855457169746e-05,8.585732995447515e-06,2.9735159557175983e-05,6.894640375509908e-06,8.297523359512837e-07,0.008032172956183858,0.00889308563632596,0.0010624004436144974,0.00013278424230334096,0.00022064761317730497,1.0208902027519784e-05,4.678419890813412e-05,1.3067134490007959e-06,8.74185584454068e-06,5.5315067466477075e-06,4.878317559020573e-06,1.2973483505263061e-06,1.1983858350106402e-07,1.4566121753212258e-07,1.5266977815286964e-07,2.6522340718315718e-05,1.1802354467072007e-06,1.3840166774858886e-06,1.454074912921044e-05,1.876603547168454e-05,6.3367417950654925e-06,2.3232351935575934e-06,2.6963312405037243e-07
C4,0.0,0.0,0.0,0.0,1.8841095924469702,2.7595614921945426,0.0928967204803599,0.07636356189253934,0.16678283332314864,0.033964481326187956,0.003216379300195804,0.034206922688338914,0.0007626102078517327,0.0043200350335654,0.00010413238364903599,0.005516288006200826,0.0002736773585250152,0.009679719639187234,0.0024153134569554896,3.852547764815473e-05,2.340168447834126,0.2732874605664605,0.2052848044273505,0.010437860062741389,0.03505600237443071,0.006036729743848057,0.0035782506974092465,0.00012755842487921498,0.0011213579828106557,0.0003102198943944756,8.883411749116554e-05,6.67757668230684e-05,4.232229810829935e-06,2.691437496826765e-05,8.523276494365462e-06,0.00069817247864426,9.9275413150135e-06,1.0636489225834822e-05,0.0015069010395074578,0.0033467471779742297,0.00037127362269688546,0.0009591084019626855,0.00020961344974268492
H5,0.0,0.0,0.0,0.0,0.0,0.07448352274425507,0.001962463184021157,0.029260532317429533,0.015875226977754897,0.010387085670204854,0.004688035827538739,0.0015248687413347284,0.00022234470888027325,0.0009647715337892659,5.70446469083663e-05,0.0009007558352560618,3.898667943769141e-05,0.0005418361336351207,0.0001052794816732705,1.692135441677678e-05,0.1092558313003773,0.028298174222797345,0.01128736215698134,0.000565700488621701,0.0013528124327781832,5.696164389834557e-05,0.00043835127817315467,4.188525665416165e-06,3.3307731303944266e-05,0.00011108677564242164,0.00011166832060238718,2.5426370777292817e-05,2.203907836006991e-06,1.4434873800928116e-05,2.8633819371126634e-06,0.00014419231605988792,3.3074877883176867e-06,2.407589172248592e-06,0.00015051536644539176,0.00043323959147589797,4.5695125004519e-05,6.179655267035677e-05,1.6684280997880663e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9096107583510382,1.917882439259792,2.5729572990618244,0.22778466238000059,0.012644475252966414,0.24470462395050804,0.014585001533233388,0.03576757673048453,0.002458689907669065,0.03562754979511798,0.002298009548759694,0.0198362416863119,0.004853257373357886,0.00028148893302082367,0.16556635128511743,0.037079974647969374,0.023341429621285617,0.0062119309692860725,0.002668832913306801,0.0004931006715572783,0.0007533796244941493,8.575871016658354e-06,8.802329791968155e-05,7.515805032851097e-05,5.089684267045591e-05,1.3267574055106368e-05,5.753434815236602e-07,6.473534801321179e-06,2.985420388901261e-06,4.5903804350572175e-05,1.0480841008408959e-06,1.6879820818882507e-06,9.321499376846454e-05,0.0006085868276264061,0.0004205189282644045,0.00014846555827763286,3.537491398497572e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02553250642864846,0.09801705447120379,0.018220835353789155,0.002195633940856867,0.03057999766092001,0.00032399978239427973,0.0019703701229398796,3.778552537903046e-05,0.0030405016661823048,0.00034334968358029627,0.006620420137760874,0.0016258652783368577,3.823117488765959e-05,0.026227809249578016,0.003568509007866205,0.0038640325145039567,0.0008315753937830905,0.00040942983425562574,0.0001867259944563493,0.00010314843462366774,1.4037975102354494e-06,2.212397330003668e-06,1.1836653325492108e-05,4.018407035344396e-06,1.761384594289872e-06,1.325602327906239e-07,9.372217197878285e-07,6.490392927549493e-07,7.642921547867942e-06,2.1542899686366468e-07,7.846875393902053e-08,1.4049080841127548e-05,0.00017456545176375293,3.010409360160171e-05,4.0713065086905864e-05,1.2183324196612944e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09835123043438698,0.023254231561795624,0.000865981688652262,0.018157535399563107,0.007710397240019873,0.002808770256717441,0.0007967976956877454,0.0014619596748111086,6.66028395053253e-05,0.0006167917860022687,0.00012752903651502834,1.3309621021972973e-05,0.014179829021401691,0.0019218756300365403,0.002938924006606114,0.00026519968408611483,0.0002584825714855299,5.4702372838777436e-05,0.00012266331297072774,1.5552135599339323e-06,8.542152467150288e-06,1.8135273820441e-05,2.157627407051166e-05,4.387112135240123e-06,3.779924684366165e-08,2.199832948024394e-06,7.077959669476996e-07,1.4875974691519467e-05,6.720749561317518e-07,2.641508149991978e-07,1.27266548679561e-05,0.00019417651039566053,0.0005131610986716106,6.2380951418195e-05,7.128050119487028e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5935824491076005,0.12398536724190223,3.8553360727914106,0.1282311026512286,0.3200063363806237,0.02670319667570542,0.3265131568458921,0.02544623143022151,0.2594175753080452,0.05325863297287749,0.0013893291006733532,0.008657921371448857,0.0024700257663490266,0.018772670429273663,0.05222809819855845,0.0024276063645787826,0.0005815804480477915,0.00011473275319420773,3.155058070425376e-05,2.435907719755548e-05,2.4450328749370254e-05,9.958590503789111e-06,3.6528860453965972e-06,2.492935469167179e-07,9.86416055059891e-07,4.352506317584215e-07,1.0925214698462304e-05,1.684086038400423e-06,1.3928984974320713e-06,5.952913535223203e-06,0.000642268051897682,0.0024937495921063535,0.0002363525747766937,2.2458437188510594e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1020284687265494,0.33444322009441857,0.028999596488538337,3.76871620171178,0.1319243984930929,0.2992812919946156,0.0039329591170973455,0.3416341127548754,0.04038819881689605,0.003873218436378112,0.002696176009499618,0.0013652294173455287,0.004042438704821044,0.0037156407502898503,0.0007493735105595367,0.0001906769964548083,4.965731652101235e-05,3.207187655007715e-05,5.7386009320037346e-06,5.544657880607318e-06,9.78166722642726e-06,1.0708955103799767e-06,1.3655251618338582e-07,1.7612486602480715e-07,1.1522442155964541e-07,6.76020937213917e-06,8.564148197276467e-07,2.238981664515194e-07,5.938982017950067e-06,0.00011637422634791506,0.000369312418505241,3.7460456997137626e-05,9.015768560272086e-06
